hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3952.0,3686.0,2726.0,4095.0,2757.0,2494.0,2800.0,2281.0,1.51,8.65,10.26,-0.16,-0.04,-0.07,a
3952.0,3686.0,2726.0,4095.0,2757.0,2494.0,2800.0,2281.0,1.51,8.65,10.26,-0.16,-0.04,-0.07,a
3952.0,3686.0,2726.0,4095.0,2757.0,2494.0,2800.0,2281.0,1.51,8.65,10.26,-0.16,-0.04,-0.07,a
3952.0,3686.0,2726.0,4095.0,2757.0,2494.0,2800.0,2281.0,1.51,8.65,10.26,-0.16,-0.04,-0.07,a
3952.0,3686.0,2726.0,4095.0,2757.0,2494.0,2800.0,2281.0,1.51,8.65,10.26,-0.16,-0.04,-0.07,a
3952.0,3686.0,2726.0,4095.0,2757.0,2494.0,2800.0,2281.0,1.51,8.65,10.26,-0.16,-0.04,-0.07,a
3952.0,3686.0,2726.0,4095.0,2757.0,2494.0,2800.0,2281.0,1.51,8.65,10.26,-0.16,-0.04,-0.07,a
3952.0,3686.0,2726.0,4095.0,2757.0,2494.0,2800.0,2281.0,1.51,8.65,10.26,-0.16,-0.04,-0.07,a
3952.0,3686.0,2726.0,4095.0,2757.0,2494.0,2800.0,2281.0,1.51,8.65,10.26,-0.16,-0.04,-0.07,a
