hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3349.0,3107.0,3165.0,4095.0,3204.0,2675.0,3061.0,2794.0,2.78,8.67,8.36,0.01,-0.01,-0.15,0.0,o
3352.0,3105.0,3165.0,4095.0,3209.0,2673.0,3063.0,2793.0,2.75,8.69,8.37,0.02,-0.01,-0.15,0.0,o
3351.0,3088.0,3162.0,4095.0,3213.0,2673.0,3056.0,2794.0,2.7,8.68,8.25,0.03,0.01,-0.15,0.0,o
3354.0,3109.0,3171.0,4095.0,3216.0,2679.0,3059.0,2798.0,2.73,8.69,8.24,0.02,-0.01,-0.15,0.0,o
3354.0,3115.0,3169.0,4095.0,3215.0,2683.0,3061.0,2795.0,2.8,8.7,8.21,0.0,-0.02,-0.14,0.0,o
3354.0,3109.0,3159.0,4095.0,3216.0,2687.0,3069.0,2791.0,2.81,8.66,8.34,0.0,-0.0,-0.15,0.0,o
3367.0,3104.0,3177.0,4095.0,3216.0,2683.0,3062.0,2798.0,2.75,8.64,8.37,0.01,-0.01,-0.15,0.0,o
3356.0,3105.0,3169.0,4095.0,3218.0,2687.0,3068.0,2799.0,2.84,8.68,8.37,0.01,-0.01,-0.14,0.0,o
3355.0,3114.0,3170.0,4095.0,3227.0,2688.0,3059.0,2797.0,2.8,8.63,8.39,0.02,0.0,-0.15,0.0,o
3339.0,3097.0,3162.0,4095.0,3215.0,2682.0,3059.0,2790.0,2.7,8.68,8.32,0.03,-0.01,-0.15,0.0,o
3344.0,3101.0,3163.0,4095.0,3221.0,2682.0,3058.0,2790.0,2.8,8.68,8.34,0.02,-0.0,-0.14,0.0,o
3359.0,3111.0,3177.0,4095.0,3226.0,2686.0,3065.0,2799.0,2.86,8.71,8.2,0.02,-0.01,-0.15,0.0,o
3370.0,3100.0,3173.0,4095.0,3215.0,2675.0,3062.0,2788.0,2.86,8.68,8.34,-0.01,-0.01,-0.16,0.0,o
3351.0,3103.0,3156.0,4095.0,3221.0,2682.0,3059.0,2795.0,2.76,8.65,8.4,0.02,0.0,-0.16,0.0,o
3359.0,3101.0,3165.0,4095.0,3221.0,2678.0,3058.0,2797.0,2.72,8.66,8.34,0.01,-0.01,-0.15,0.0,o
3362.0,3113.0,3170.0,4095.0,3218.0,2684.0,3062.0,2799.0,2.75,8.7,8.37,0.03,-0.01,-0.15,0.0,o
3357.0,3119.0,3180.0,4095.0,3215.0,2688.0,3065.0,2799.0,2.75,8.67,8.31,0.03,0.0,-0.15,0.0,o
3357.0,3102.0,3184.0,4095.0,3216.0,2688.0,3055.0,2791.0,2.77,8.68,8.29,0.02,-0.0,-0.15,0.0,o
3363.0,3104.0,3167.0,4095.0,3221.0,2685.0,3063.0,2800.0,2.77,8.72,8.27,0.02,-0.02,-0.14,0.0,o
3365.0,3110.0,3152.0,4095.0,3214.0,2671.0,3016.0,2752.0,2.82,8.75,8.26,-0.07,0.03,-0.12,0.0,o
3799.0,3119.0,3139.0,3463.0,2986.0,2524.0,2750.0,2521.0,2.77,8.55,8.62,0.04,-0.03,-0.17,0.0,o
3867.0,3116.0,3152.0,3413.0,2957.0,2509.0,2714.0,2487.0,2.78,8.55,8.38,-0.1,-0.05,-0.13,0.0,o
3938.0,3107.0,3139.0,3367.0,2943.0,2493.0,2689.0,2458.0,2.72,8.51,8.72,-0.04,0.05,-0.13,0.0,o
3984.0,3120.0,3138.0,3345.0,2935.0,2482.0,2690.0,2465.0,2.87,8.39,8.7,-0.03,0.02,-0.18,0.0,o
4030.0,3116.0,3148.0,3335.0,2943.0,2491.0,2707.0,2481.0,2.81,8.52,8.72,0.06,-0.08,-0.21,0.0,o
4030.0,3114.0,3143.0,3349.0,2944.0,2501.0,2723.0,2493.0,2.85,8.52,8.51,0.08,-0.01,-0.18,0.0,o
4007.0,3117.0,3149.0,3433.0,2980.0,2519.0,2771.0,2534.0,2.85,8.43,8.68,0.18,0.03,-0.26,0.0,o
3943.0,3123.0,3156.0,3535.0,3007.0,2549.0,2815.0,2587.0,2.7,8.65,8.46,0.26,0.03,-0.32,0.0,o
3856.0,3133.0,3167.0,3643.0,3041.0,2559.0,2857.0,2644.0,2.66,8.63,8.42,0.28,0.04,-0.34,0.0,o
3783.0,3121.0,3171.0,3775.0,3070.0,2607.0,2954.0,2721.0,2.27,8.86,8.23,0.3,-0.09,-0.28,0.0,o
3759.0,3121.0,3188.0,3979.0,3129.0,2640.0,3041.0,2788.0,2.51,8.83,8.04,0.15,-0.06,-0.2,0.0,o
3710.0,3122.0,3189.0,4095.0,3168.0,2672.0,3114.0,2839.0,2.45,8.94,7.96,0.14,-0.01,-0.18,0.0,o
3663.0,3124.0,3186.0,4095.0,3199.0,2694.0,3153.0,2876.0,2.66,8.94,7.92,0.2,0.05,-0.19,0.0,o
3606.0,3120.0,3190.0,4095.0,3222.0,2711.0,3190.0,2914.0,2.54,8.94,7.99,0.28,0.02,-0.28,0.0,o
3575.0,3104.0,3207.0,4095.0,3268.0,2742.0,3250.0,2941.0,2.46,8.98,7.81,0.37,-0.07,-0.3,0.0,o
3524.0,3119.0,3212.0,4095.0,3309.0,2751.0,3317.0,2970.0,2.28,9.12,7.47,0.42,-0.07,-0.34,0.0,o
3527.0,3106.0,3203.0,4095.0,3339.0,2779.0,3382.0,3003.0,2.17,9.24,7.16,0.41,0.04,-0.23,0.0,o
3514.0,3112.0,3212.0,4095.0,3365.0,2809.0,3423.0,3034.0,2.05,9.41,6.96,0.23,0.06,-0.15,0.0,o
3524.0,3114.0,3221.0,4095.0,3404.0,2836.0,3463.0,3054.0,2.15,9.34,6.9,0.05,0.06,-0.08,0.0,o
3488.0,3118.0,3211.0,4095.0,3396.0,2843.0,3467.0,3050.0,2.18,9.28,7.12,-0.01,-0.03,-0.08,0.0,o
4095.0,3132.0,3152.0,3379.0,2909.0,2512.0,2735.0,2533.0,2.81,8.42,8.7,-0.15,0.02,-0.07,0.0,o
4095.0,3126.0,3163.0,3409.0,2929.0,2524.0,2753.0,2551.0,2.92,8.43,8.83,0.04,-0.04,-0.14,0.0,o
4095.0,3121.0,3142.0,3453.0,2954.0,2541.0,2783.0,2591.0,2.85,8.47,8.78,0.13,0.01,-0.2,0.0,o
4095.0,3131.0,3161.0,3500.0,2973.0,2555.0,2816.0,2624.0,2.91,8.51,8.56,0.13,-0.02,-0.2,0.0,o
4095.0,3122.0,3167.0,3569.0,2992.0,2559.0,2867.0,2667.0,2.77,8.61,8.59,0.18,0.01,-0.24,0.0,o
4095.0,3120.0,3185.0,3649.0,2994.0,2587.0,2903.0,2704.0,2.82,8.64,8.36,0.16,-0.04,-0.22,0.0,o
4095.0,3135.0,3174.0,3789.0,3024.0,2603.0,2961.0,2752.0,2.6,8.82,8.33,0.25,0.06,-0.27,0.0,o
4095.0,3123.0,3175.0,3850.0,3041.0,2626.0,3015.0,2800.0,2.59,8.82,8.22,0.18,-0.09,-0.21,0.0,o
4027.0,3127.0,3169.0,3998.0,3065.0,2638.0,3059.0,2819.0,2.57,8.76,8.07,0.18,0.04,-0.14,0.0,o
4017.0,3125.0,3187.0,4063.0,3071.0,2640.0,3069.0,2829.0,2.61,8.82,8.02,0.01,0.01,-0.12,0.0,o
3951.0,3120.0,3189.0,4095.0,3120.0,2672.0,3103.0,2860.0,2.67,8.73,8.23,0.09,0.05,-0.15,0.0,o
3844.0,3120.0,3180.0,4095.0,3152.0,2687.0,3136.0,2890.0,2.75,8.82,8.03,0.19,-0.05,-0.26,0.0,o
3803.0,3110.0,3184.0,4095.0,3174.0,2705.0,3174.0,2905.0,2.65,8.8,8.14,0.28,0.03,-0.27,0.0,o
3747.0,3125.0,3184.0,4095.0,3216.0,2738.0,3226.0,2942.0,2.49,9.03,7.8,0.24,-0.04,-0.27,0.0,o
3728.0,3133.0,3184.0,4095.0,3249.0,2751.0,3248.0,2951.0,2.41,8.97,7.81,0.17,0.01,-0.22,0.0,o
3712.0,3123.0,3179.0,4095.0,3303.0,2787.0,3311.0,2974.0,2.3,9.06,7.52,0.12,-0.05,-0.17,0.0,o
3691.0,3117.0,3195.0,4095.0,3328.0,2803.0,3338.0,2983.0,2.49,9.0,7.6,0.01,0.03,-0.11,0.0,o
