hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3430.0,4095.0,3867.0,3899.0,3884.0,2881.0,3070.0,3298.0,0.6,9.88,2.12,-0.08,-0.05,-0.05,1.0,a
3454.0,4095.0,3858.0,3884.0,3887.0,2906.0,3088.0,3297.0,0.56,9.84,2.07,-0.05,0.02,-0.01,1.0,a
3440.0,4095.0,3840.0,3891.0,3875.0,2881.0,3088.0,3302.0,0.6,9.9,1.82,-0.01,0.02,-0.01,1.0,a
3437.0,4095.0,3835.0,3899.0,3868.0,2901.0,3071.0,3301.0,0.7,9.98,1.64,0.02,0.03,-0.01,1.0,a
3438.0,4095.0,3845.0,3888.0,3891.0,2900.0,3065.0,3292.0,0.66,10.02,1.59,0.01,0.04,-0.02,1.0,a
3440.0,4095.0,3847.0,3874.0,3878.0,2896.0,3087.0,3289.0,0.68,9.97,1.59,-0.01,-0.0,-0.05,1.0,a
3426.0,4095.0,3824.0,3920.0,3911.0,2899.0,3094.0,3302.0,0.54,9.97,1.57,-0.03,0.01,-0.05,1.0,a
3437.0,4095.0,3828.0,3899.0,3893.0,2896.0,3057.0,3291.0,0.62,9.97,1.61,-0.05,-0.01,-0.05,1.0,a
3445.0,4095.0,3833.0,3937.0,3891.0,2906.0,3091.0,3299.0,0.59,9.95,1.64,-0.02,-0.02,-0.07,1.0,a
3427.0,4095.0,3846.0,3925.0,3893.0,2915.0,3088.0,3299.0,0.52,9.86,1.64,0.0,0.06,-0.06,1.0,a
3456.0,4095.0,3824.0,3922.0,3879.0,2912.0,3071.0,3313.0,0.18,9.81,2.24,0.36,0.07,-0.01,1.0,a
3454.0,4095.0,3826.0,3947.0,3879.0,2919.0,3092.0,3302.0,0.51,10.36,1.19,0.21,0.09,0.05,1.0,a
3439.0,4095.0,3843.0,3939.0,3884.0,2919.0,3100.0,3290.0,0.69,10.1,0.93,-0.0,0.12,0.02,1.0,a
3420.0,4095.0,3813.0,3916.0,3873.0,2915.0,3103.0,3312.0,0.75,10.07,0.88,-0.13,-0.07,0.01,1.0,a
3472.0,4095.0,3831.0,3955.0,3877.0,2926.0,3105.0,3314.0,0.75,10.08,0.92,-0.12,0.01,-0.01,1.0,a
3440.0,4095.0,3814.0,3949.0,3871.0,2919.0,3088.0,3315.0,0.65,10.04,1.07,-0.17,0.02,0.0,1.0,a
