hall_1_L,hall_2_L,hall_3_L,flex_t_L,flex_i_L,flex_m_L,flex_r_L,flex_p_L,accel_x_L,accel_y_L,accel_z_L,gyro_x_L,gyro_y_L,gyro_z_L,hand,hall_1_R,hall_2_R,hall_3_R,flex_t_R,flex_i_R,flex_m_R,flex_r_R,flex_p_R,accel_x_R,accel_y_R,accel_z_R,gyro_x_R,gyro_y_R,gyro_z_R,hand.1,sign
3705.0,978.0,3340.0,4095.0,3215.0,3523.0,4095.0,4095.0,7.43,1.72,-3.2,0.46,-4.13,-1.13,0.0,1047.0,3379.0,1379.0,3126.0,4095.0,4095.0,4095.0,4026.0,-7.29,1.92,-5.93,-2.16,1.85,0.75,1.0,bad
3751.0,971.0,3355.0,4095.0,3307.0,3607.0,4095.0,4095.0,6.99,1.27,-3.83,0.16,-0.72,0.2,0.0,1465.0,4095.0,4014.0,3114.0,4095.0,4095.0,4095.0,4095.0,-6.96,5.44,-2.35,-1.84,0.39,0.56,1.0,bad
3804.0,978.0,3341.0,3856.0,3415.0,3825.0,4095.0,4095.0,7.37,0.56,-2.44,-0.2,0.05,-0.29,0.0,1195.0,4095.0,4095.0,3123.0,4095.0,4095.0,4095.0,2993.0,-4.05,6.42,1.65,-0.78,0.51,0.01,1.0,bad
3824.0,974.0,3362.0,3838.0,3437.0,3840.0,4095.0,4095.0,7.02,0.27,-2.63,-0.03,-0.12,-0.28,0.0,1168.0,4095.0,4095.0,3134.0,4095.0,4095.0,4095.0,3391.0,-6.77,7.52,-3.79,-0.7,0.37,0.03,1.0,bad
3800.0,982.0,3371.0,3893.0,3398.0,3791.0,4095.0,4095.0,7.26,1.3,-3.58,0.1,0.01,-0.38,0.0,986.0,4095.0,4095.0,3242.0,4095.0,4095.0,4095.0,4095.0,-9.79,6.76,12.9,2.2,-1.07,-0.15,1.0,bad
3792.0,987.0,3444.0,4095.0,3408.0,3821.0,4095.0,4095.0,6.38,1.54,-3.81,-0.08,-0.12,-0.2,0.0,1099.0,4095.0,1375.0,3279.0,4095.0,4095.0,4095.0,1535.0,-3.96,4.41,-7.21,0.79,-2.45,2.95,1.0,bad
3819.0,981.0,3427.0,4029.0,3444.0,3935.0,4095.0,4095.0,6.51,1.52,-4.08,-0.28,-0.24,-0.29,0.0,1054.0,4095.0,1245.0,3243.0,4095.0,4095.0,4095.0,737.0,5.23,4.7,-5.64,-1.26,-1.02,0.14,1.0,bad
3792.0,980.0,3438.0,4048.0,3475.0,3939.0,4095.0,4093.0,6.17,1.52,-4.02,-0.41,-0.48,-0.38,0.0,1043.0,4095.0,1232.0,3210.0,4095.0,4095.0,4095.0,1597.0,-0.05,-0.12,-2.44,-4.41,-0.98,-1.8,1.0,bad
3717.0,969.0,3611.0,4095.0,3494.0,4034.0,4095.0,4095.0,5.99,2.15,-4.79,-1.21,-0.91,-0.5,0.0,4095.0,4095.0,1866.0,3184.0,4095.0,4095.0,4095.0,3347.0,-13.01,-3.56,22.07,-4.28,7.31,-2.5,1.0,bad
3541.0,1019.0,3475.0,4095.0,3434.0,3825.0,4095.0,4095.0,6.13,2.94,-4.82,0.04,0.07,-0.16,0.0,4095.0,4095.0,2096.0,3370.0,4095.0,4095.0,4095.0,3402.0,-1.57,0.09,12.01,0.06,0.59,0.04,1.0,bad
3562.0,1013.0,3473.0,4095.0,3445.0,3822.0,4095.0,4095.0,4.25,2.14,-3.77,0.03,0.07,-0.1,0.0,4095.0,4095.0,2353.0,3411.0,4095.0,4095.0,4095.0,3357.0,-0.98,-0.66,9.03,0.13,-0.21,-0.1,1.0,bad
3547.0,1005.0,3467.0,4095.0,3453.0,3811.0,4095.0,4095.0,5.11,2.62,-4.18,-0.11,-0.05,-0.04,0.0,4095.0,4095.0,2799.0,3418.0,4095.0,4095.0,4095.0,3309.0,-1.92,-0.68,9.78,-0.02,0.04,-0.22,1.0,bad
3562.0,1004.0,3457.0,4095.0,3485.0,3814.0,4095.0,4095.0,4.58,2.48,-4.31,-0.04,0.12,0.03,0.0,4095.0,4095.0,2866.0,3429.0,4095.0,4095.0,4095.0,3193.0,-1.5,-0.88,9.81,0.03,0.07,-0.16,1.0,bad
3558.0,1022.0,3458.0,4095.0,3473.0,3794.0,4095.0,4095.0,5.0,2.32,-4.1,-0.04,0.23,-0.18,0.0,4095.0,4095.0,3008.0,3415.0,4095.0,4095.0,4095.0,3214.0,-1.79,-0.95,9.81,-0.04,-0.07,0.06,1.0,bad
3554.0,1015.0,3461.0,4095.0,3450.0,3778.0,4095.0,4095.0,5.56,2.52,-4.01,0.0,-0.07,-0.36,0.0,4095.0,4095.0,3108.0,3441.0,4095.0,4095.0,4095.0,3082.0,-2.48,-1.28,10.73,-0.34,0.21,0.08,1.0,bad
3559.0,1011.0,3455.0,4095.0,3486.0,3787.0,4095.0,4095.0,5.39,2.5,-3.5,-0.02,0.09,-0.18,0.0,4095.0,4095.0,3223.0,3437.0,4095.0,4095.0,4095.0,3159.0,-2.09,-0.55,10.17,-0.14,-0.05,-0.02,1.0,bad
3568.0,1015.0,3441.0,4095.0,3494.0,3799.0,4095.0,4095.0,5.83,2.51,-3.85,-0.03,0.04,-0.18,0.0,4095.0,4095.0,3341.0,3429.0,4095.0,4095.0,4095.0,3216.0,-2.46,-0.41,9.74,-0.09,0.1,-0.01,1.0,bad
3551.0,1019.0,3452.0,4095.0,3498.0,3795.0,4095.0,4095.0,5.71,2.25,-3.91,0.02,0.0,-0.21,0.0,4095.0,4095.0,3393.0,3421.0,4095.0,4095.0,4095.0,3243.0,-2.01,-0.66,9.8,-0.13,-0.05,0.03,1.0,bad
3559.0,1018.0,3424.0,4095.0,3475.0,3805.0,4095.0,4095.0,5.66,2.41,-3.77,0.03,0.01,-0.16,0.0,4095.0,4095.0,3389.0,3405.0,4095.0,4095.0,4095.0,3258.0,-1.94,-0.53,9.82,-0.08,-0.0,-0.01,1.0,bad
3553.0,1005.0,3439.0,4095.0,3487.0,3805.0,4095.0,4095.0,5.61,2.57,-3.74,-0.01,0.02,-0.1,0.0,4095.0,4095.0,3453.0,3421.0,4095.0,4095.0,4095.0,3281.0,-2.04,-0.46,9.67,-0.04,0.1,-0.02,1.0,bad
4095.0,1012.0,4095.0,4091.0,3403.0,3933.0,4095.0,4095.0,5.33,1.54,-3.61,0.35,-0.85,-0.47,0.0,962.0,4095.0,917.0,3071.0,4095.0,4095.0,4095.0,3986.0,-6.63,5.36,-0.97,-0.57,-0.04,0.28,1.0,bad
4095.0,975.0,4095.0,3962.0,3537.0,3987.0,4095.0,4095.0,6.07,1.07,-4.36,0.1,-0.24,-0.12,0.0,1013.0,4095.0,959.0,2979.0,4095.0,4095.0,4095.0,3529.0,-5.33,7.64,2.87,-0.67,0.18,0.35,1.0,bad
4095.0,971.0,4095.0,3922.0,3583.0,4055.0,4095.0,4095.0,5.48,0.91,-4.23,0.01,-0.07,-0.17,0.0,951.0,4095.0,1098.0,3025.0,4095.0,4095.0,4095.0,3599.0,-5.59,7.75,-0.36,-0.28,0.52,0.06,1.0,bad
4095.0,973.0,4095.0,3920.0,3600.0,4095.0,4095.0,4095.0,5.34,1.04,-4.04,-0.06,0.02,-0.25,0.0,947.0,4095.0,965.0,3103.0,4095.0,4095.0,4095.0,3687.0,-5.91,7.42,9.09,-0.35,-0.46,0.02,1.0,bad
4095.0,985.0,4095.0,3970.0,3569.0,4007.0,4095.0,4095.0,6.06,1.31,-3.44,0.06,0.07,-0.31,0.0,966.0,4095.0,890.0,3187.0,4095.0,4095.0,4095.0,3042.0,-16.68,2.1,-9.51,4.04,-8.73,2.36,1.0,bad
4095.0,973.0,4095.0,4079.0,3575.0,3962.0,4095.0,4095.0,6.18,1.65,-4.54,-0.46,0.1,-0.56,0.0,1003.0,4095.0,965.0,3153.0,4095.0,4095.0,4095.0,979.0,-0.12,6.1,-5.52,0.54,-5.3,2.03,1.0,bad
4095.0,979.0,4095.0,4091.0,3578.0,4009.0,4095.0,4095.0,5.73,1.63,-4.66,-0.55,-0.16,-0.26,0.0,1002.0,4095.0,969.0,2963.0,4095.0,4095.0,4095.0,3058.0,0.6,4.96,0.45,-3.35,-0.13,-0.94,1.0,bad
3658.0,986.0,3506.0,3999.0,3465.0,3785.0,4095.0,4095.0,4.16,5.15,-3.01,0.34,-4.81,1.45,0.0,957.0,4095.0,1567.0,3197.0,4095.0,4095.0,4095.0,3785.0,-11.24,-17.96,69.38,-2.69,-4.84,0.62,1.0,bad
3635.0,1008.0,3489.0,4095.0,3495.0,3806.0,4095.0,4095.0,4.74,2.83,-4.24,-0.07,0.15,-0.17,0.0,1009.0,4095.0,1535.0,3264.0,4095.0,4095.0,4095.0,3920.0,-1.29,-0.83,9.85,0.08,0.37,-0.03,1.0,bad
3638.0,1006.0,3504.0,4095.0,3509.0,3814.0,4095.0,4095.0,5.18,2.93,-3.84,-0.05,0.16,-0.05,0.0,1003.0,4095.0,1588.0,3247.0,4095.0,4095.0,4095.0,3955.0,-1.49,-0.6,9.9,0.03,0.03,-0.07,1.0,bad
3633.0,983.0,3511.0,3977.0,3515.0,3831.0,4095.0,4095.0,5.54,2.83,-4.13,0.01,0.07,-0.04,0.0,1018.0,4095.0,1677.0,3219.0,4095.0,4095.0,4095.0,3329.0,-2.11,-0.4,10.28,-0.16,0.13,-0.09,1.0,bad
3635.0,985.0,3489.0,4095.0,3533.0,3850.0,4095.0,4095.0,5.73,2.74,-4.05,0.08,-0.02,-0.19,0.0,1008.0,4095.0,1703.0,3217.0,4095.0,4095.0,4095.0,4095.0,-1.85,-0.33,10.01,-0.14,0.05,-0.02,1.0,bad
3632.0,1003.0,3495.0,4090.0,3519.0,3893.0,4095.0,4095.0,5.53,2.86,-3.67,-0.01,0.06,-0.16,0.0,1008.0,4095.0,1769.0,3226.0,4095.0,4095.0,4095.0,4095.0,-2.16,-0.3,10.23,-0.15,0.1,-0.03,1.0,bad
3648.0,991.0,3519.0,4095.0,3519.0,3844.0,4095.0,4095.0,5.67,2.71,-3.88,0.02,-0.06,-0.21,0.0,993.0,4095.0,1785.0,3211.0,4095.0,4095.0,4095.0,4095.0,-1.15,-0.13,9.75,-0.1,-0.04,0.01,1.0,bad
3612.0,1005.0,3498.0,4095.0,3503.0,3863.0,4095.0,4095.0,5.57,2.7,-3.68,0.04,0.03,-0.16,0.0,1023.0,4095.0,1839.0,3227.0,4095.0,4095.0,4095.0,4053.0,-1.68,-0.46,9.86,-0.21,-0.01,-0.07,1.0,bad
3622.0,1005.0,3509.0,4095.0,3527.0,3871.0,4095.0,4095.0,5.4,2.61,-3.91,0.04,0.03,-0.12,0.0,1057.0,4095.0,1951.0,3229.0,4095.0,4095.0,4095.0,3843.0,-1.81,-0.52,9.99,-0.19,0.06,-0.03,1.0,bad
3619.0,995.0,3491.0,4095.0,3537.0,3863.0,4095.0,4095.0,5.51,2.75,-4.22,0.0,0.03,-0.16,0.0,1086.0,4095.0,2000.0,3245.0,4095.0,4095.0,4095.0,3974.0,-1.71,-0.58,10.11,-0.1,0.05,-0.07,1.0,bad
3619.0,997.0,3513.0,4095.0,3531.0,3883.0,4095.0,4095.0,5.35,2.61,-3.99,0.02,-0.06,-0.16,0.0,1072.0,4095.0,2075.0,3221.0,4095.0,4095.0,4095.0,4095.0,-1.7,-0.78,9.97,-0.06,-0.01,-0.05,1.0,bad
3616.0,997.0,3481.0,4095.0,3556.0,3889.0,4095.0,4095.0,5.45,2.6,-3.98,0.03,-0.04,-0.13,0.0,1088.0,4095.0,2119.0,3170.0,4095.0,4095.0,4095.0,4095.0,-1.84,-0.78,9.84,-0.04,0.03,-0.06,1.0,bad
3616.0,1005.0,3504.0,4095.0,3568.0,3861.0,4095.0,4095.0,5.37,2.53,-4.13,-0.01,-0.01,-0.13,0.0,1075.0,4095.0,2174.0,3211.0,4095.0,4095.0,4095.0,4095.0,-1.96,-0.78,9.86,-0.03,0.04,-0.04,1.0,bad
3633.0,990.0,946.0,3920.0,3456.0,3824.0,4095.0,4095.0,6.88,0.36,-3.8,0.01,-0.4,-0.48,0.0,962.0,4095.0,950.0,3120.0,4095.0,4095.0,4095.0,3994.0,-4.82,5.88,4.81,-0.33,0.2,0.41,1.0,bad
3605.0,986.0,944.0,3957.0,3496.0,3850.0,4095.0,4095.0,6.43,0.51,-3.7,-0.13,-0.1,-0.24,0.0,974.0,4095.0,2255.0,3120.0,4095.0,4095.0,4095.0,3991.0,-6.76,7.38,0.05,-0.37,0.24,0.18,1.0,bad
3623.0,991.0,959.0,4016.0,3527.0,3939.0,4095.0,4095.0,6.37,0.39,-3.36,-0.11,-0.03,-0.19,0.0,989.0,4095.0,929.0,3138.0,4095.0,4095.0,4095.0,4095.0,-6.32,7.41,1.02,-0.17,0.37,0.09,1.0,bad
3617.0,987.0,949.0,4046.0,3536.0,3967.0,4095.0,4095.0,6.4,0.73,-3.39,-0.01,-0.09,-0.27,0.0,982.0,4095.0,912.0,3138.0,4095.0,4095.0,4095.0,4095.0,-4.07,6.51,2.95,-0.08,0.35,-0.14,1.0,bad
3632.0,987.0,953.0,4017.0,3557.0,3987.0,4095.0,4095.0,6.46,1.12,-4.36,-0.02,-0.18,-0.33,0.0,989.0,4095.0,976.0,3129.0,4095.0,4095.0,4095.0,4095.0,-18.42,2.88,-0.77,4.96,-6.79,-1.27,1.0,bad
3648.0,979.0,954.0,4061.0,3583.0,3987.0,4095.0,4095.0,6.01,1.52,-3.86,0.03,-0.12,-0.27,0.0,1136.0,4095.0,1616.0,3237.0,4095.0,4095.0,4095.0,2541.0,0.51,3.96,-6.28,0.67,-3.42,2.21,1.0,bad
3659.0,986.0,957.0,4095.0,3577.0,3964.0,4095.0,4095.0,5.58,1.81,-3.47,-0.23,0.07,-0.33,0.0,1156.0,4095.0,1663.0,3245.0,4095.0,4095.0,4095.0,4095.0,-0.15,1.65,-1.19,-4.14,0.46,-1.41,1.0,bad
3664.0,958.0,960.0,4095.0,3625.0,4007.0,4095.0,4095.0,5.53,1.94,-4.08,-0.32,-0.14,-0.37,0.0,1156.0,4095.0,1797.0,3212.0,4095.0,4095.0,4095.0,4095.0,-0.64,-1.97,13.87,-4.68,-1.5,-1.05,1.0,bad
3583.0,991.0,990.0,4095.0,3514.0,3866.0,4095.0,4095.0,8.02,1.46,-4.32,1.04,0.22,-0.37,0.0,1088.0,4095.0,2879.0,3328.0,4095.0,4095.0,4095.0,3349.0,-4.15,-1.85,10.28,-1.07,4.32,0.17,1.0,bad
3514.0,986.0,2223.0,4095.0,3536.0,3514.0,4095.0,4095.0,5.53,2.47,-3.79,-0.16,0.09,-0.17,0.0,1066.0,4095.0,2849.0,3369.0,4095.0,4095.0,4095.0,3205.0,-1.87,-0.46,10.19,-0.07,0.67,-0.01,1.0,bad
3459.0,976.0,3277.0,4095.0,3541.0,3566.0,4095.0,4095.0,5.63,2.52,-3.92,-0.23,0.21,0.08,0.0,1042.0,4095.0,2906.0,3348.0,4095.0,4095.0,4095.0,3243.0,-1.39,-0.45,9.7,-0.08,0.18,-0.14,1.0,bad
3453.0,976.0,3414.0,4095.0,3566.0,3547.0,4095.0,4095.0,5.76,2.57,-4.3,-0.1,-0.01,-0.12,0.0,1051.0,4095.0,2941.0,3356.0,4095.0,4095.0,4095.0,3101.0,-2.42,-0.47,10.06,-0.07,0.51,-0.14,1.0,bad
3429.0,976.0,3446.0,4095.0,3569.0,3559.0,4095.0,4095.0,5.59,2.69,-3.77,0.01,0.01,-0.13,0.0,1043.0,4095.0,2930.0,3353.0,4095.0,4095.0,4095.0,3209.0,-1.6,-0.07,9.76,-0.01,-0.02,-0.07,1.0,bad
3439.0,993.0,3477.0,4095.0,3549.0,3568.0,4095.0,4095.0,5.34,2.56,-3.91,-0.06,0.01,-0.07,0.0,1042.0,4095.0,2965.0,3347.0,4095.0,4095.0,4095.0,3263.0,-1.79,-0.01,9.63,-0.07,-0.05,-0.08,1.0,bad
