hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3441.0,3481.0,3472.0,3850.0,2586.0,2221.0,2423.0,2067.0,-0.43,9.85,4.72,0.02,0.03,-0.14,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3450.0,3497.0,3478.0,3851.0,2592.0,2224.0,2430.0,2071.0,-0.54,9.95,4.6,-0.0,-0.04,-0.17,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3451.0,3497.0,3460.0,3865.0,2599.0,2215.0,2416.0,2080.0,-0.83,9.87,4.81,-0.03,0.03,-0.2,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3437.0,3498.0,3465.0,3855.0,2593.0,2221.0,2432.0,2089.0,-0.64,9.79,4.81,0.03,-0.03,-0.14,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3440.0,3475.0,3460.0,3869.0,2594.0,2223.0,2427.0,2079.0,-0.71,9.92,4.96,0.01,0.02,-0.15,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
3449.0,3484.0,3472.0,3849.0,2602.0,2219.0,2426.0,2085.0,-0.51,9.83,4.75,0.08,-0.02,-0.14,0.0,a
