hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3456.0,2162.0,3985.0,2968.0,2225.0,2611.0,2675.0,-3.94,8.78,7.49,-0.01,-0.32,-0.54,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
1453.0,3455.0,2160.0,3999.0,2960.0,2236.0,2608.0,2679.0,-3.08,8.96,6.76,0.2,-0.36,-0.42,0.0,a
