hall_1,hall_2,hall_3,flex_t,sign
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
0.0,0.03,0.02,-0.04,
