hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3253.0,4023.0,2951.0,3361.0,4095.0,3083.0,2373.0,3981.0,1.75,9.45,1.05,-0.08,-0.06,-0.02,Hook'em
3295.0,4095.0,2966.0,3287.0,4095.0,3088.0,2363.0,3926.0,1.86,9.15,1.3,-0.15,-0.02,0.02,Hook'em
3278.0,4095.0,2972.0,3277.0,4095.0,3056.0,2352.0,3851.0,2.05,9.96,1.56,0.11,0.03,-0.02,Hook'em
3294.0,4095.0,2936.0,3216.0,4095.0,3035.0,2336.0,3775.0,1.71,9.23,1.52,-0.03,0.08,-0.09,Hook'em
3335.0,4095.0,2909.0,3243.0,4095.0,3028.0,2335.0,3761.0,1.99,9.49,1.32,0.06,0.09,-0.01,Hook'em
3319.0,4095.0,2925.0,3231.0,4095.0,3039.0,2348.0,3787.0,1.65,9.56,0.87,-0.07,0.21,0.01,Hook'em
3267.0,4095.0,2962.0,3216.0,4095.0,3043.0,2385.0,3803.0,2.27,9.39,1.14,0.0,0.05,0.01,Hook'em
3233.0,4095.0,2979.0,3187.0,4095.0,3031.0,2404.0,3811.0,1.63,8.97,1.37,0.2,0.14,0.02,Hook'em
3190.0,3773.0,2979.0,3183.0,4095.0,3028.0,2409.0,3807.0,2.2,9.85,0.92,0.18,0.04,-0.05,Hook'em
3238.0,3751.0,2960.0,3179.0,4095.0,3029.0,2402.0,3822.0,2.4,9.22,1.03,0.16,-0.25,-0.14,Hook'em
3221.0,3901.0,2935.0,3152.0,4095.0,3021.0,2379.0,3829.0,1.76,9.92,0.69,-0.08,-0.04,-0.13,Hook'em
3221.0,4045.0,2913.0,3134.0,4095.0,3019.0,2368.0,3778.0,2.02,9.16,1.3,0.35,-0.15,-0.24,Hook'em
3217.0,4051.0,2889.0,3062.0,4095.0,3027.0,2347.0,3696.0,1.47,9.27,0.77,0.14,0.1,-0.21,Hook'em
3216.0,4081.0,2923.0,3018.0,4095.0,3044.0,2352.0,3734.0,1.83,8.9,0.92,0.57,-0.09,-0.41,Hook'em
3207.0,4078.0,2995.0,2992.0,4095.0,3037.0,2342.0,3791.0,1.11,9.62,0.24,0.51,-0.1,-0.34,Hook'em
3211.0,4095.0,3029.0,2971.0,4095.0,2966.0,2350.0,3829.0,1.36,9.08,-0.37,0.59,-0.2,-0.37,Hook'em
3202.0,3415.0,3056.0,2847.0,4095.0,2907.0,2405.0,3847.0,0.63,10.09,-0.96,0.76,-0.11,-0.63,Hook'em
3199.0,2400.0,3020.0,2755.0,4095.0,2879.0,2335.0,3845.0,0.43,9.47,-0.68,0.28,-0.77,-0.24,Hook'em
3190.0,2192.0,2947.0,2647.0,4095.0,2881.0,2291.0,3853.0,-0.18,10.03,-2.0,0.13,-0.27,-0.21,Hook'em
3190.0,2177.0,2945.0,2617.0,4095.0,2899.0,2288.0,3847.0,0.17,8.96,-1.92,0.18,-0.47,0.12,Hook'em
3205.0,2413.0,2947.0,2614.0,4095.0,2913.0,2290.0,3670.0,-0.23,9.51,-2.39,-0.02,-0.09,0.03,Hook'em
3201.0,2559.0,2976.0,2646.0,4095.0,2925.0,2292.0,3616.0,0.65,9.47,-2.24,-0.5,-0.03,-0.01,Hook'em
3184.0,2590.0,3024.0,2715.0,4095.0,2992.0,2359.0,3649.0,0.35,9.8,-1.46,-0.46,0.11,0.0,Hook'em
3189.0,2559.0,3022.0,2770.0,4095.0,2999.0,2382.0,3454.0,-0.06,8.88,-0.37,-0.15,0.35,0.28,Hook'em
3184.0,2559.0,3008.0,3006.0,4095.0,2997.0,2423.0,3364.0,1.01,10.31,-0.18,-0.72,0.66,0.07,Hook'em
3181.0,2580.0,3007.0,3141.0,4095.0,3011.0,2448.0,3499.0,0.64,9.53,0.22,-0.75,0.22,-0.03,Hook'em
3177.0,2559.0,3024.0,3106.0,4095.0,3029.0,2448.0,3602.0,-0.9,8.88,-0.97,-0.7,-0.14,0.57,Hook'em
3187.0,2590.0,2971.0,2801.0,4095.0,3024.0,2403.0,3599.0,2.05,8.63,-0.18,-1.15,-0.32,0.86,Hook'em
3216.0,2603.0,2927.0,2720.0,4095.0,3024.0,2369.0,3612.0,2.94,9.09,1.52,-1.08,-0.0,0.7,Hook'em
3239.0,2605.0,2928.0,2607.0,4095.0,3023.0,2341.0,3555.0,1.53,9.19,1.41,-0.66,0.8,0.15,Hook'em
3222.0,2685.0,2981.0,2587.0,4095.0,3049.0,2347.0,3382.0,2.24,10.05,2.81,-0.63,0.42,0.37,Hook'em
3185.0,2733.0,2969.0,3021.0,4095.0,3045.0,2402.0,3402.0,0.22,9.18,2.48,-0.67,0.71,-0.15,Hook'em
3213.0,2754.0,2960.0,3222.0,4095.0,3052.0,2368.0,3419.0,1.62,10.03,1.99,0.07,-0.1,0.57,Hook'em
3201.0,2801.0,2932.0,3399.0,4095.0,3043.0,2366.0,3408.0,2.94,8.94,3.82,-0.15,-0.13,0.1,Hook'em
3207.0,2846.0,2865.0,3276.0,4095.0,3037.0,2360.0,3430.0,2.87,9.14,2.79,0.47,-0.04,0.02,Hook'em
3221.0,2870.0,2855.0,2893.0,4095.0,3043.0,2245.0,3631.0,2.72,9.1,2.84,0.61,-0.33,0.24,Hook'em
3207.0,2818.0,3051.0,2767.0,4095.0,2974.0,2159.0,4095.0,4.46,10.05,1.95,0.62,-0.4,-0.19,Hook'em
3220.0,2798.0,3249.0,2724.0,4095.0,2950.0,2138.0,4095.0,2.29,8.54,1.85,0.35,-0.21,-0.26,Hook'em
3219.0,2877.0,3310.0,2735.0,4095.0,3011.0,2213.0,4095.0,2.23,9.02,1.17,0.01,0.08,-0.03,Hook'em
3232.0,2905.0,3276.0,2743.0,4095.0,3020.0,2221.0,4095.0,2.42,9.08,0.55,0.07,-0.12,0.01,Hook'em
3245.0,2922.0,3216.0,2738.0,4095.0,3022.0,2224.0,4095.0,2.2,8.67,0.75,-0.25,0.11,-0.24,Hook'em
3252.0,2929.0,3214.0,2746.0,4095.0,3026.0,2228.0,4095.0,1.95,9.39,1.48,-0.1,-0.15,0.01,Hook'em
3248.0,2928.0,3200.0,2743.0,4095.0,3029.0,2233.0,4095.0,0.89,6.33,2.75,-0.88,0.04,0.25,Hook'em
3259.0,2931.0,3198.0,2737.0,4095.0,3027.0,2230.0,4095.0,2.69,9.77,2.15,-0.54,-0.55,0.84,Hook'em
3265.0,2937.0,3164.0,2738.0,4095.0,3024.0,2230.0,4095.0,3.7,10.81,2.62,0.09,-0.61,0.35,Hook'em
3255.0,2889.0,3143.0,2752.0,4095.0,2982.0,2189.0,4095.0,4.81,11.09,1.89,0.27,-0.44,-0.18,Hook'em
