hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
4095.0,3123.0,2922.0,2673.0,4095.0,4095.0,4095.0,4095.0,1.54,9.49,1.23,-0.06,0.2,0.14,b
3101.0,3125.0,2930.0,2677.0,4095.0,4095.0,4095.0,4095.0,1.61,9.53,0.87,0.23,-0.01,0.08,b
1582.0,3130.0,2957.0,2683.0,4095.0,4095.0,4095.0,4095.0,1.69,9.78,0.19,0.28,0.09,-0.36,b
1511.0,3130.0,2957.0,2666.0,4095.0,4095.0,4095.0,4095.0,0.48,9.91,-0.63,0.38,0.55,-0.54,b
1520.0,3121.0,2942.0,2659.0,4095.0,4095.0,4095.0,4095.0,0.39,9.67,-0.08,-0.04,0.59,-0.21,b
1533.0,3122.0,2939.0,2669.0,4095.0,4095.0,4095.0,4095.0,0.78,9.53,-0.24,0.11,0.63,-0.01,b
1591.0,3105.0,2895.0,2673.0,4095.0,4095.0,4095.0,4095.0,1.42,9.27,0.42,-0.41,0.29,0.15,b
1680.0,3056.0,2871.0,2675.0,4095.0,4095.0,4095.0,4095.0,1.81,9.25,1.27,-0.42,0.05,0.2,b
2189.0,2906.0,2911.0,2686.0,4095.0,4095.0,4095.0,4095.0,1.05,9.56,1.1,-0.26,0.01,0.13,b
2188.0,2677.0,2896.0,2693.0,4095.0,4095.0,4095.0,4095.0,1.06,9.29,1.23,-0.13,0.32,-0.02,b
2023.0,2820.0,2901.0,2694.0,4095.0,4095.0,4095.0,4095.0,1.01,10.07,1.04,-0.11,0.28,-0.23,b
1845.0,3005.0,2907.0,2686.0,4095.0,4095.0,4095.0,4095.0,0.19,9.43,0.11,0.17,0.23,-0.34,b
1775.0,3043.0,2918.0,2686.0,4095.0,4095.0,4095.0,4095.0,0.14,10.04,-0.86,0.03,0.32,-0.34,b
1735.0,3056.0,2915.0,2687.0,4095.0,4095.0,4095.0,4095.0,-0.38,9.24,-1.03,-0.19,0.44,-0.07,b
1750.0,3056.0,2912.0,2693.0,4095.0,4095.0,4095.0,4095.0,-0.77,9.23,0.51,-0.61,0.52,0.2,b
1791.0,3071.0,2914.0,2697.0,4095.0,4095.0,4095.0,4095.0,0.37,9.05,2.49,-0.53,0.23,0.46,b
1872.0,3079.0,2919.0,2673.0,4095.0,4095.0,4095.0,4095.0,2.73,9.69,2.58,-0.47,0.15,0.09,b
1839.0,3082.0,2931.0,2674.0,4095.0,4095.0,4095.0,4095.0,2.55,9.32,3.28,-0.0,-0.2,0.12,b
1824.0,3058.0,2913.0,2676.0,4095.0,4095.0,4095.0,4095.0,2.66,9.33,3.27,-0.19,-0.14,-0.56,b
1845.0,2998.0,2862.0,2681.0,4095.0,4095.0,4095.0,4095.0,1.16,9.55,2.38,0.31,-0.55,-0.38,b
1861.0,3030.0,2867.0,2683.0,4095.0,4095.0,4095.0,4095.0,0.11,9.52,0.79,0.04,-0.49,-0.4,b
1853.0,3034.0,2854.0,2688.0,4095.0,4095.0,4095.0,4095.0,-0.27,9.12,-0.01,0.12,-0.43,-0.21,b
1840.0,3031.0,2848.0,2688.0,4095.0,4095.0,4095.0,4095.0,-0.03,9.74,0.62,-0.03,-0.41,-0.25,b
1825.0,3035.0,2850.0,2685.0,4095.0,4095.0,4095.0,4095.0,0.62,9.46,3.53,0.46,-0.46,0.08,b
1847.0,3043.0,2861.0,2675.0,4095.0,4095.0,4095.0,4095.0,0.77,9.48,3.32,0.66,-0.19,-0.22,b
1818.0,3050.0,2867.0,2655.0,4095.0,4095.0,4095.0,4095.0,0.47,10.3,0.74,0.47,-0.26,-0.42,b
1818.0,3050.0,2877.0,2642.0,4095.0,4095.0,4095.0,4095.0,-0.34,8.81,-1.09,-0.05,-0.36,-0.45,b
1787.0,3053.0,2893.0,2607.0,4095.0,4095.0,4095.0,4095.0,-1.59,10.21,-1.6,0.49,-0.18,-0.01,b
1727.0,3068.0,2913.0,2608.0,4095.0,4095.0,4095.0,4095.0,-0.8,9.24,0.05,0.17,-0.16,0.49,b
1718.0,3059.0,2900.0,2621.0,4095.0,4095.0,4095.0,4095.0,0.64,9.4,0.28,0.84,-0.22,0.73,b
1763.0,3071.0,2896.0,2647.0,4095.0,4095.0,4095.0,4095.0,1.71,9.29,0.15,0.45,-0.28,0.21,b
1761.0,3061.0,2821.0,2656.0,4095.0,4095.0,4095.0,4095.0,2.78,11.25,-0.17,0.88,-1.03,-0.67,b
1744.0,3051.0,2766.0,2655.0,4095.0,4095.0,4095.0,4095.0,0.12,8.1,-1.03,0.46,-0.85,-0.23,b
1781.0,3059.0,2738.0,2645.0,4095.0,4095.0,4095.0,4095.0,-0.4,9.87,-2.67,0.85,-0.7,0.13,b
1799.0,3056.0,2688.0,2660.0,4095.0,4095.0,4095.0,4095.0,-0.14,10.27,-2.92,0.58,0.78,0.18,b
1776.0,3063.0,2639.0,2657.0,4095.0,4095.0,4095.0,4095.0,-0.69,9.79,-4.23,-0.53,0.92,0.04,b
1776.0,3058.0,2624.0,2658.0,4095.0,4095.0,4095.0,4095.0,0.25,8.64,-1.56,-0.79,0.0,0.01,b
1775.0,3071.0,2634.0,2669.0,4095.0,4095.0,4095.0,4095.0,-0.14,9.72,-1.1,-0.45,-0.01,-0.13,b
