hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3001.0,1851.0,2823.0,2865.0,4095.0,4095.0,4095.0,4095.0,-0.17,9.61,-0.24,-0.04,-0.0,-0.0,b
3055.0,1837.0,2817.0,2865.0,4095.0,4095.0,4095.0,4095.0,-0.13,9.65,-0.33,-0.05,0.03,-0.02,b
3167.0,1839.0,2817.0,2865.0,4095.0,4095.0,4095.0,4095.0,-0.23,9.64,-0.0,-0.02,-0.03,-0.01,b
3161.0,1849.0,2821.0,2865.0,4095.0,4095.0,4095.0,4095.0,-0.07,9.62,-0.17,-0.06,0.03,-0.07,b
3301.0,1858.0,2815.0,2862.0,4095.0,4095.0,4095.0,4095.0,-0.33,9.45,0.02,-0.06,-0.01,-0.19,b
3313.0,1856.0,2813.0,2866.0,4095.0,4095.0,4095.0,4095.0,-0.66,9.63,-0.05,0.02,0.02,-0.02,b
3238.0,1854.0,2817.0,2863.0,4095.0,4095.0,4095.0,4095.0,-0.39,9.74,-0.26,0.03,-0.02,0.04,b
3111.0,1849.0,2821.0,2870.0,4095.0,4095.0,4095.0,4095.0,-0.38,9.63,-0.18,0.0,0.05,0.05,b
3050.0,1846.0,2813.0,2870.0,4095.0,4095.0,4095.0,4095.0,-0.16,9.76,-0.13,-0.05,0.02,-0.01,b
2981.0,1841.0,2807.0,2868.0,4095.0,4095.0,4095.0,4095.0,-0.17,9.59,0.07,-0.06,0.15,-0.07,b
3018.0,1825.0,2804.0,2862.0,4095.0,4095.0,4095.0,4095.0,-0.06,9.46,-0.65,-0.15,0.07,-0.12,b
3026.0,1825.0,2803.0,2869.0,4095.0,4095.0,4095.0,4095.0,0.03,9.61,-0.36,-0.28,-0.28,-0.09,b
3016.0,1829.0,2812.0,2874.0,4095.0,4095.0,4095.0,4095.0,-0.26,9.45,0.57,-0.54,-0.6,-0.07,b
2999.0,1830.0,2815.0,2880.0,4095.0,4095.0,4095.0,4095.0,-0.55,9.13,1.62,-0.32,0.17,-0.19,b
2979.0,1833.0,2815.0,2891.0,4095.0,4095.0,4095.0,4095.0,-1.04,10.27,0.68,-0.11,-0.09,-0.07,b
2834.0,1840.0,2810.0,2889.0,4095.0,4095.0,4095.0,4095.0,-0.74,9.5,1.47,-0.13,-0.15,0.18,b
2719.0,1842.0,2816.0,2897.0,4095.0,4095.0,4095.0,4095.0,0.44,9.34,1.77,-0.01,0.27,0.05,b
2719.0,1831.0,2803.0,2895.0,4095.0,4095.0,4095.0,4095.0,-0.91,9.7,1.08,-0.08,0.24,-0.09,b
2716.0,1839.0,2814.0,2891.0,4095.0,4095.0,4095.0,4095.0,-2.09,9.7,1.14,-0.0,0.27,-0.0,b
2719.0,1843.0,2815.0,2899.0,4095.0,4095.0,4095.0,4095.0,-0.78,9.5,1.04,-0.05,0.07,0.25,b
