hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3111.0,3856.0,3338.0,3651.0,3690.0,4095.0,4095.0,4095.0,2.18,9.83,0.62,-0.06,-0.02,-0.03,f
3120.0,4095.0,3354.0,3646.0,3678.0,4095.0,4095.0,4095.0,1.85,9.24,0.92,-0.02,-0.01,-0.06,f
3121.0,4095.0,3369.0,3651.0,3695.0,4095.0,4095.0,4095.0,1.43,9.58,0.98,-0.07,0.05,-0.05,f
3121.0,4095.0,3344.0,3658.0,3697.0,4095.0,4095.0,4095.0,1.89,9.46,1.0,0.02,-0.21,0.04,f
3118.0,4095.0,3331.0,3651.0,3701.0,4095.0,4095.0,4095.0,1.55,9.36,0.98,0.0,0.16,-0.09,f
3117.0,4095.0,3354.0,3645.0,3691.0,4095.0,4095.0,4095.0,1.83,9.68,0.94,0.05,-0.13,0.05,f
3111.0,4095.0,3358.0,3655.0,3695.0,4095.0,4095.0,4095.0,1.5,9.06,0.75,-0.14,0.1,-0.07,f
3119.0,4095.0,3341.0,3711.0,3690.0,4095.0,4095.0,4095.0,1.68,9.77,0.93,0.07,0.06,-0.02,f
3108.0,4095.0,3351.0,3743.0,3683.0,4095.0,4095.0,4095.0,1.83,9.33,0.96,-0.01,-0.09,-0.0,f
3114.0,4095.0,3359.0,3743.0,3655.0,4095.0,4095.0,4095.0,1.7,9.58,0.84,-0.12,0.1,-0.01,f
3115.0,4095.0,3347.0,3732.0,3611.0,4095.0,4093.0,4095.0,1.38,9.58,0.99,0.07,-0.01,-0.02,f
3111.0,4095.0,3346.0,3665.0,3610.0,4095.0,4048.0,4095.0,1.72,9.38,0.91,-0.11,0.04,-0.02,f
3114.0,4095.0,3355.0,3582.0,3607.0,4095.0,4058.0,4095.0,2.04,9.62,1.06,0.03,-0.04,0.01,f
3115.0,4095.0,3347.0,3540.0,3615.0,4095.0,4047.0,4095.0,1.67,9.31,0.79,-0.07,-0.02,-0.03,f
3115.0,4095.0,3338.0,3523.0,3642.0,4095.0,4033.0,4095.0,1.74,9.48,1.15,-0.01,0.01,-0.03,f
3118.0,4095.0,3339.0,3558.0,3618.0,4095.0,4033.0,4095.0,1.42,9.46,0.85,-0.0,0.02,-0.02,f
3113.0,4095.0,3344.0,3665.0,3575.0,4095.0,4020.0,4095.0,1.36,9.49,0.89,0.05,0.08,-0.04,f
3107.0,4095.0,3346.0,3852.0,3583.0,4095.0,4034.0,4095.0,1.81,9.57,0.68,0.01,-0.04,0.03,f
3105.0,4095.0,3338.0,3979.0,3568.0,4095.0,4034.0,4095.0,1.81,9.31,0.76,-0.08,-0.05,-0.03,f
3114.0,4095.0,3335.0,4048.0,3513.0,4095.0,3989.0,4095.0,1.59,9.66,0.96,0.03,0.03,-0.02,f
3115.0,4095.0,3339.0,4031.0,3456.0,4095.0,3919.0,4095.0,1.51,9.42,0.89,-0.06,-0.05,0.02,f
3103.0,4095.0,3342.0,3874.0,3455.0,4095.0,3894.0,4095.0,1.5,9.46,0.68,-0.03,0.09,-0.03,f
3110.0,4095.0,3339.0,3788.0,3474.0,4095.0,3905.0,4095.0,1.65,9.57,0.87,0.0,-0.05,0.04,f
3104.0,4095.0,3335.0,3632.0,3467.0,4095.0,3879.0,4095.0,1.51,9.17,0.91,-0.11,0.07,-0.05,f
3111.0,4095.0,3335.0,3583.0,3463.0,4095.0,3861.0,4095.0,1.77,9.77,1.11,0.05,0.01,0.04,f
3107.0,4095.0,3322.0,3616.0,3475.0,4095.0,3862.0,4095.0,1.55,9.11,0.78,-0.04,-0.06,-0.01,f
3103.0,4095.0,3325.0,3673.0,3493.0,4095.0,3866.0,4095.0,1.63,9.62,0.75,0.02,0.06,-0.02,f
3105.0,4095.0,3319.0,3803.0,3495.0,4095.0,3875.0,4095.0,1.82,9.31,0.84,-0.0,-0.16,-0.05,f
3107.0,4095.0,3326.0,3935.0,3501.0,4095.0,3885.0,4095.0,1.13,9.65,0.77,0.11,0.12,-0.06,f
3103.0,4095.0,3315.0,3984.0,3515.0,4095.0,3888.0,4095.0,2.19,9.45,0.63,0.01,-0.14,0.01,f
3110.0,4095.0,3311.0,4005.0,3573.0,4095.0,3907.0,4095.0,1.38,9.28,0.56,-0.09,0.03,-0.02,f
