hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3027.0,1936.0,2802.0,2779.0,3253.0,4093.0,3178.0,4095.0,0.35,9.55,-1.36,0.26,1.42,-0.58,i
3038.0,1933.0,2806.0,2778.0,3251.0,4094.0,3182.0,4095.0,0.68,9.54,-1.53,0.1,0.85,-0.35,i
3029.0,1936.0,2806.0,2783.0,3252.0,4091.0,3184.0,4095.0,0.1,9.47,-1.36,-0.02,1.16,-0.45,i
3029.0,1926.0,2807.0,2778.0,3254.0,4089.0,3178.0,4095.0,0.26,9.74,-0.98,-0.23,0.84,-0.4,i
3031.0,1939.0,2814.0,2775.0,3248.0,4073.0,3184.0,4095.0,-0.45,9.65,-1.24,-0.02,0.03,-0.03,i
3035.0,1938.0,2813.0,2781.0,3246.0,4079.0,3178.0,4095.0,0.44,9.79,-1.02,-0.07,-0.54,0.17,i
3035.0,1929.0,2804.0,2778.0,3247.0,4075.0,3175.0,4095.0,-0.33,9.5,-1.29,0.01,-0.35,0.12,i
3031.0,1932.0,2809.0,2782.0,3248.0,4079.0,3179.0,4095.0,-0.32,9.62,-1.21,-0.07,-0.7,0.32,i
3038.0,1936.0,2816.0,2788.0,3247.0,4073.0,3180.0,4095.0,0.05,9.65,-0.91,-0.06,-1.07,0.49,i
3029.0,1939.0,2803.0,2780.0,3248.0,4074.0,3169.0,4095.0,0.36,9.28,-1.06,-0.13,-1.08,0.51,i
3031.0,1936.0,2806.0,2770.0,3244.0,4081.0,3175.0,4095.0,2.06,9.43,-0.77,-0.21,-1.24,0.47,i
3031.0,1936.0,2809.0,2778.0,3245.0,4080.0,3173.0,4095.0,2.2,9.59,-0.78,-0.2,-0.84,0.34,i
3027.0,1936.0,2800.0,2768.0,3246.0,4076.0,3165.0,4095.0,2.54,9.48,-0.55,-0.23,-0.57,0.18,i
3024.0,1941.0,2786.0,2765.0,3239.0,4042.0,3155.0,4095.0,2.19,9.35,-1.05,-0.24,-0.51,0.23,i
3020.0,1937.0,2795.0,2758.0,3223.0,4038.0,3147.0,4095.0,2.77,9.39,-0.75,-0.29,-0.39,0.15,i
3023.0,1943.0,2779.0,2758.0,3232.0,4031.0,3139.0,4095.0,2.65,9.42,-0.47,-0.31,-0.27,0.13,i
3023.0,1933.0,2768.0,2755.0,3227.0,4035.0,3138.0,4095.0,2.88,9.53,-0.12,-0.22,-0.25,0.06,i
3011.0,1925.0,2773.0,2755.0,3225.0,4030.0,3138.0,4095.0,3.25,9.42,0.0,-0.02,-0.41,-0.01,i
3001.0,1929.0,2766.0,2749.0,3217.0,4016.0,3133.0,4095.0,2.8,9.66,-0.57,0.15,-0.56,-0.21,i
3007.0,1931.0,2767.0,2752.0,3210.0,4002.0,3140.0,4095.0,1.99,9.47,-1.19,0.33,-0.4,-0.13,i
3008.0,1928.0,2775.0,2768.0,3216.0,4002.0,3200.0,4095.0,2.11,9.44,-1.83,0.24,0.04,-0.19,i
3002.0,1925.0,2768.0,2775.0,3227.0,4016.0,3208.0,4095.0,3.44,9.2,-1.62,0.13,0.88,-0.39,i
3005.0,1927.0,2775.0,2799.0,3216.0,4020.0,3205.0,4095.0,0.87,9.34,-1.15,0.21,2.76,-0.72,i
3013.0,1936.0,2783.0,2810.0,3231.0,4026.0,3213.0,4095.0,1.0,9.4,-1.41,0.05,2.06,-0.58,i
3011.0,1924.0,2779.0,2802.0,3233.0,4034.0,3215.0,4095.0,0.93,9.62,-1.06,-0.19,0.63,-0.12,i
3011.0,1930.0,2784.0,2806.0,3234.0,4031.0,3214.0,4095.0,0.98,9.55,-0.67,-0.19,0.09,0.02,i
3019.0,1935.0,2789.0,2821.0,3231.0,4027.0,3213.0,4095.0,1.42,9.69,-0.36,-0.03,-0.85,0.36,i
3007.0,1926.0,2783.0,2825.0,3222.0,3986.0,3194.0,4095.0,2.5,9.18,-0.82,-0.49,-2.29,0.85,i
3001.0,1921.0,2770.0,2743.0,3205.0,3973.0,3184.0,4095.0,3.59,9.24,-0.13,-0.48,-1.06,0.5,i
2992.0,1921.0,2777.0,2644.0,3172.0,3966.0,3182.0,4095.0,2.6,9.32,-0.29,-0.18,-0.39,0.04,i
2994.0,1931.0,2783.0,2590.0,3149.0,3953.0,3159.0,4095.0,2.5,9.15,-0.63,0.06,-0.05,-0.06,i
2987.0,1934.0,2773.0,2557.0,3136.0,3937.0,3167.0,4095.0,3.14,9.23,-0.85,-0.01,-0.24,-0.07,i
2993.0,1933.0,2773.0,2667.0,3167.0,3942.0,3171.0,4095.0,3.12,9.44,-0.87,-0.0,-0.45,-0.02,i
2985.0,1927.0,2771.0,2847.0,3188.0,3904.0,3171.0,4095.0,2.9,9.39,-1.22,-0.01,-0.28,-0.08,i
2981.0,1918.0,2770.0,3071.0,3155.0,3888.0,3179.0,4095.0,2.77,9.45,-1.56,-0.04,-0.09,-0.11,i
2990.0,1925.0,2774.0,3146.0,3152.0,3898.0,3185.0,4095.0,2.9,9.54,-1.19,-0.05,0.49,-0.26,i
2983.0,1918.0,2771.0,3153.0,3165.0,3908.0,3194.0,4095.0,2.94,9.54,-0.93,0.1,1.2,-0.44,i
2983.0,1924.0,2775.0,3146.0,3183.0,3917.0,3195.0,4095.0,1.86,9.15,-0.65,-0.0,0.19,0.26,i
2978.0,1926.0,2771.0,3007.0,3198.0,3933.0,3191.0,4095.0,2.58,9.31,-1.02,-0.0,0.09,0.32,i
2984.0,1926.0,2766.0,2895.0,3170.0,3873.0,3111.0,4095.0,3.49,8.81,-1.23,-0.36,0.44,-0.02,i
2986.0,1919.0,2777.0,2870.0,3163.0,3878.0,3115.0,4095.0,2.2,8.73,0.23,-0.67,0.25,-0.03,i
2982.0,1921.0,2771.0,2845.0,3169.0,3886.0,3114.0,4095.0,3.02,9.17,0.72,-0.56,0.23,-0.13,i
2977.0,1935.0,2768.0,2832.0,3159.0,3883.0,3106.0,4095.0,2.87,9.66,1.0,-0.43,0.11,-0.16,i
2987.0,1935.0,2762.0,2800.0,3122.0,3830.0,3047.0,4095.0,2.68,9.5,1.58,-0.19,0.04,-0.22,i
2979.0,1935.0,2754.0,2799.0,3117.0,3837.0,3042.0,4095.0,2.67,9.6,1.46,0.04,-0.07,0.01,i
2976.0,1936.0,2767.0,2838.0,3134.0,3867.0,3070.0,4095.0,2.67,9.62,1.42,0.6,-0.37,0.08,i
2983.0,1923.0,2761.0,2863.0,3150.0,3892.0,3104.0,4095.0,2.82,9.38,0.04,0.95,-0.31,-0.08,i
2990.0,1925.0,2768.0,2866.0,3156.0,3886.0,3120.0,4095.0,2.28,9.09,-1.69,0.77,-0.12,-0.12,i
2986.0,1936.0,2768.0,2868.0,3158.0,3888.0,3113.0,4095.0,2.34,8.96,-1.86,0.41,0.03,-0.06,i
2986.0,1921.0,2769.0,2873.0,3152.0,3894.0,3115.0,4095.0,2.55,8.97,-2.1,0.27,-0.12,-0.04,i
2988.0,1926.0,2766.0,2869.0,3161.0,3894.0,3117.0,4095.0,2.51,8.77,-2.77,-0.03,0.05,-0.06,i
2977.0,1931.0,2766.0,2869.0,3154.0,3905.0,3120.0,4095.0,2.79,8.83,-2.46,-0.57,0.21,-0.04,i
2992.0,1925.0,2768.0,2864.0,3152.0,3903.0,3115.0,4095.0,2.4,9.28,-1.24,-0.8,0.15,-0.18,i
2986.0,1931.0,2767.0,2866.0,3162.0,3891.0,3120.0,4095.0,1.82,9.54,-0.22,-0.64,0.53,-0.29,i
2987.0,1935.0,2763.0,2871.0,3162.0,3903.0,3122.0,4095.0,1.94,9.44,0.39,-0.72,0.19,-0.06,i
2990.0,1933.0,2767.0,2864.0,3155.0,3903.0,3120.0,4095.0,1.52,9.47,0.79,-0.7,0.37,-0.02,i
2990.0,1920.0,2765.0,2870.0,3175.0,3906.0,3125.0,4095.0,2.41,9.63,2.57,-0.48,-0.02,0.08,i
