hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3130.0,3126.0,4095.0,3314.0,3085.0,3008.0,2377.0,4095.0,4.13,8.51,-1.26,-0.03,-0.03,-0.04,i
3136.0,3095.0,4095.0,3217.0,3066.0,3055.0,2406.0,4095.0,4.17,9.52,-1.64,-0.01,0.04,-0.05,i
3263.0,3131.0,4095.0,3305.0,3067.0,3101.0,2443.0,4095.0,4.04,7.59,-0.67,-0.07,-0.11,-0.18,i
4095.0,3174.0,4095.0,3344.0,3055.0,3120.0,2448.0,4095.0,4.44,10.03,-1.73,0.35,0.01,0.12,i
4095.0,3163.0,4095.0,3411.0,3055.0,3129.0,2480.0,4095.0,3.89,8.4,-1.39,-0.1,0.0,-0.15,i
3508.0,3143.0,4095.0,3519.0,3050.0,3129.0,2494.0,4095.0,4.42,9.09,-1.75,0.09,-0.2,0.07,i
3639.0,3139.0,4095.0,3539.0,3055.0,3122.0,2492.0,4095.0,4.15,8.34,-1.53,-0.14,0.09,-0.17,i
4095.0,3184.0,4095.0,3191.0,3059.0,3117.0,2389.0,4095.0,4.48,8.73,-1.59,-0.03,-0.0,-0.13,i
4095.0,3198.0,4095.0,2954.0,3068.0,3063.0,2334.0,4095.0,3.38,8.68,-1.47,-0.06,0.06,-0.23,i
4095.0,3179.0,4095.0,2873.0,3071.0,3044.0,2310.0,4095.0,3.98,9.27,-1.54,-0.02,-0.05,0.1,i
4095.0,3207.0,4095.0,2837.0,3066.0,3030.0,2311.0,4095.0,3.77,9.04,-1.43,-0.0,-0.07,-0.12,i
4095.0,3191.0,4095.0,2843.0,3071.0,3030.0,2318.0,4095.0,3.9,8.83,-1.55,0.02,-0.01,0.05,i
4095.0,3191.0,4095.0,2834.0,3066.0,3029.0,2305.0,4095.0,4.07,8.92,-1.81,-0.02,0.07,-0.06,i
3417.0,3153.0,4095.0,2809.0,3067.0,3024.0,2302.0,4095.0,3.81,8.8,-1.54,-0.1,0.02,0.1,i
3109.0,3071.0,4095.0,2801.0,3069.0,3021.0,2295.0,4095.0,4.46,9.14,-1.58,-0.09,0.17,-0.08,i
2819.0,2793.0,4095.0,2821.0,3082.0,3019.0,2289.0,4095.0,3.85,8.76,-1.41,0.01,0.15,-0.01,i
2787.0,2795.0,3997.0,2849.0,3069.0,3024.0,2282.0,4095.0,3.85,9.34,-1.53,-0.01,0.1,-0.11,i
2783.0,2800.0,3961.0,2878.0,3071.0,3029.0,2301.0,4095.0,3.61,8.66,-1.41,-0.03,0.03,-0.04,i
2773.0,2803.0,3775.0,2885.0,3083.0,3029.0,2304.0,4095.0,3.77,8.48,-1.34,-0.15,0.11,0.03,i
2765.0,2800.0,3440.0,2890.0,3071.0,3029.0,2288.0,4095.0,3.77,8.82,-1.29,-0.14,0.0,0.1,i
2785.0,2785.0,3222.0,2950.0,3068.0,3059.0,2279.0,4095.0,3.97,9.28,-1.33,0.1,-0.2,0.08,i
2766.0,2791.0,3213.0,3179.0,3053.0,3097.0,2374.0,3869.0,4.18,9.04,-1.4,0.2,-0.24,-0.02,i
2482.0,2797.0,3263.0,3583.0,3024.0,3057.0,2493.0,3729.0,4.7,8.83,-1.51,0.29,-0.25,-0.2,i
2492.0,2807.0,3322.0,3967.0,3008.0,3049.0,2551.0,3712.0,3.79,8.91,-1.88,0.37,-0.02,-0.03,i
2479.0,2817.0,3259.0,3515.0,3014.0,3046.0,2487.0,3725.0,4.13,9.27,-2.21,0.34,-0.21,-0.07,i
2444.0,2832.0,3098.0,2911.0,3026.0,2992.0,2338.0,3757.0,3.89,8.43,-2.46,0.06,-0.12,-0.23,i
2437.0,2841.0,3041.0,2783.0,3045.0,2978.0,2304.0,3852.0,3.2,8.79,-2.42,-0.15,0.08,0.1,i
2442.0,2832.0,3824.0,2730.0,3056.0,2985.0,2221.0,4048.0,4.22,9.22,-2.22,-0.26,-0.01,-0.04,i
2460.0,2832.0,4095.0,2705.0,3059.0,2992.0,2219.0,4095.0,3.63,8.68,-1.76,-0.09,0.0,-0.0,i
2473.0,2837.0,4095.0,2656.0,3061.0,2998.0,2201.0,4095.0,3.66,8.75,-1.62,-0.22,0.12,-0.06,i
2743.0,3120.0,4095.0,2626.0,3071.0,2994.0,2197.0,4095.0,4.31,9.29,-2.03,-0.12,0.05,0.0,i
3487.0,3216.0,4095.0,2599.0,3081.0,3003.0,2205.0,4095.0,3.76,8.36,-1.48,-0.14,0.05,0.06,i
2897.0,3216.0,4095.0,2593.0,3082.0,3002.0,2195.0,4095.0,3.74,9.09,-1.81,-0.22,0.21,0.11,i
2862.0,3191.0,4095.0,2603.0,3078.0,3001.0,2197.0,4095.0,4.14,9.04,-1.32,0.02,0.01,0.07,i
4095.0,3271.0,4095.0,2595.0,3071.0,2992.0,2202.0,4095.0,3.87,8.52,-1.47,-0.2,0.19,-0.03,i
4095.0,3273.0,4095.0,2588.0,3081.0,2982.0,2211.0,4095.0,3.97,8.92,-1.49,-0.01,0.08,0.19,i
2802.0,3153.0,4095.0,2547.0,3070.0,2945.0,2211.0,4095.0,3.92,8.14,-0.99,0.22,-0.2,0.16,i
2843.0,3153.0,4095.0,2558.0,3053.0,2955.0,2215.0,4095.0,4.64,9.77,-1.92,0.12,0.04,-0.15,i
2963.0,3183.0,4095.0,2748.0,3040.0,2992.0,2287.0,4095.0,3.39,8.31,-1.14,0.17,-0.09,-0.17,i
3735.0,3187.0,4095.0,2832.0,3043.0,3015.0,2337.0,4095.0,3.86,9.24,-1.92,-0.01,0.02,-0.02,i
4095.0,3202.0,4095.0,2921.0,3051.0,3027.0,2355.0,4095.0,4.42,8.93,-1.85,0.17,-0.11,-0.15,i
4095.0,3215.0,4095.0,3069.0,3055.0,3054.0,2381.0,4095.0,3.9,9.02,-2.11,-0.11,0.05,0.05,i
4095.0,3218.0,4095.0,3127.0,3055.0,3058.0,2384.0,4095.0,3.9,8.9,-1.81,0.08,-0.04,-0.13,i
4095.0,3216.0,4095.0,3022.0,3057.0,3055.0,2351.0,4095.0,3.71,9.08,-1.86,-0.06,0.02,-0.05,i
4095.0,3216.0,4095.0,2811.0,3059.0,3035.0,2315.0,4095.0,3.9,8.96,-1.79,0.07,-0.1,-0.02,i
4095.0,3211.0,4095.0,2736.0,3059.0,3024.0,2289.0,4095.0,3.85,8.75,-1.9,-0.06,0.01,0.2,i
4095.0,3225.0,4095.0,2709.0,3066.0,3023.0,2290.0,4095.0,4.35,8.66,-2.02,0.0,-0.11,0.04,i
4095.0,3298.0,4095.0,2709.0,3065.0,3023.0,2298.0,4095.0,3.95,8.8,-2.02,-0.01,-0.03,0.12,i
4095.0,3574.0,4095.0,2704.0,3071.0,3019.0,2305.0,4095.0,4.24,8.65,-1.88,-0.17,0.1,-0.07,i
2901.0,3166.0,4095.0,2692.0,3083.0,3022.0,2310.0,4095.0,4.24,9.37,-2.31,-0.11,0.03,0.08,i
2559.0,2831.0,4095.0,2684.0,3083.0,3018.0,2314.0,4095.0,4.0,8.7,-1.72,-0.05,0.04,-0.03,i
2559.0,2838.0,4095.0,2704.0,3086.0,3017.0,2317.0,4095.0,3.93,8.73,-1.82,-0.07,0.1,0.11,i
2727.0,3006.0,4095.0,2711.0,3089.0,3014.0,2320.0,4095.0,4.42,8.9,-1.89,-0.03,-0.02,-0.01,i
2864.0,3142.0,4095.0,2722.0,3090.0,3017.0,2318.0,4095.0,3.82,8.55,-1.53,-0.01,0.03,0.04,i
4095.0,3346.0,4095.0,2723.0,3091.0,3009.0,2319.0,4095.0,3.92,8.97,-1.98,-0.04,0.17,-0.0,i
4095.0,3214.0,4095.0,2724.0,3093.0,3003.0,2316.0,4095.0,4.48,8.75,-1.92,0.05,-0.05,-0.0,i
2854.0,3138.0,4095.0,2726.0,3092.0,3003.0,2322.0,4095.0,4.04,8.48,-1.87,-0.13,0.08,-0.01,i
2754.0,3066.0,4095.0,2731.0,3093.0,3011.0,2322.0,4095.0,4.39,8.59,-1.72,-0.05,-0.02,0.0,i
2633.0,2919.0,4095.0,2757.0,3095.0,3010.0,2326.0,4095.0,3.77,8.87,-1.87,0.01,-0.01,-0.02,i
2881.0,3152.0,4095.0,2897.0,3094.0,3047.0,2370.0,4095.0,3.84,8.68,-1.59,-0.06,-0.05,-0.02,i
2923.0,3152.0,4095.0,3069.0,3085.0,3083.0,2415.0,4095.0,4.38,9.04,-1.94,0.06,-0.05,-0.06,i
2949.0,3162.0,4095.0,3152.0,3087.0,3089.0,2445.0,4095.0,4.19,8.27,-1.51,-0.02,0.02,-0.12,i
