hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3098.0,3045.0,3174.0,4095.0,4095.0,3471.0,2791.0,3136.0,0.57,9.33,-2.11,-0.05,-0.0,0.0,l
3103.0,3033.0,3173.0,4095.0,4095.0,3471.0,2797.0,3136.0,0.65,9.47,-2.37,-0.07,0.08,-0.02,l
3098.0,3046.0,3173.0,4095.0,4095.0,3475.0,2801.0,3136.0,0.58,9.45,-2.07,-0.08,-0.01,0.05,l
3102.0,3041.0,3170.0,4095.0,4095.0,3489.0,2810.0,3137.0,0.63,9.66,-2.04,-0.05,0.07,-0.03,l
3109.0,3036.0,3174.0,4095.0,4095.0,3500.0,2815.0,3137.0,0.77,9.41,-1.95,0.01,-0.0,0.03,l
3101.0,3043.0,3181.0,4095.0,4095.0,3504.0,2817.0,3142.0,0.94,9.75,-2.15,0.06,-0.02,-0.01,l
3099.0,3039.0,3177.0,4095.0,4095.0,3502.0,2816.0,3137.0,0.67,9.45,-2.26,-0.0,-0.06,-0.01,l
3106.0,3033.0,3170.0,4095.0,4095.0,3501.0,2821.0,3138.0,0.68,9.52,-2.4,0.02,-0.02,-0.03,l
3103.0,3038.0,3173.0,4095.0,4095.0,3502.0,2822.0,3142.0,0.42,9.48,-2.61,-0.07,0.06,-0.01,l
3103.0,3039.0,3181.0,4095.0,4095.0,3510.0,2822.0,3166.0,0.93,9.39,-2.22,0.03,-0.0,0.02,l
3101.0,3042.0,3184.0,4095.0,4095.0,3520.0,2833.0,3171.0,0.49,9.5,-2.43,-0.08,0.11,0.01,l
3099.0,3039.0,3174.0,4095.0,4095.0,3518.0,2833.0,3171.0,1.14,9.4,-2.03,0.0,-0.06,0.05,l
3099.0,3043.0,3167.0,4095.0,4095.0,3522.0,2832.0,3173.0,0.49,9.54,-2.36,-0.01,0.08,-0.04,l
3106.0,3040.0,3177.0,4095.0,4095.0,3521.0,2833.0,3163.0,0.33,9.59,-2.25,-0.0,-0.12,0.05,l
