hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3088.0,2915.0,2992.0,4095.0,4095.0,4095.0,2800.0,3155.0,-5.19,6.16,4.7,-0.08,0.16,0.32,p
3088.0,2922.0,2988.0,4095.0,4095.0,4095.0,2800.0,3152.0,-4.67,5.46,6.1,-0.51,0.22,0.43,p
3084.0,2915.0,2987.0,4095.0,4095.0,4095.0,2809.0,3157.0,-4.64,4.66,6.62,-0.43,0.38,0.25,p
3083.0,2912.0,2979.0,4095.0,4095.0,4095.0,2799.0,3151.0,-5.15,4.56,6.17,-0.24,0.24,-0.06,p
3088.0,2907.0,2983.0,4095.0,4095.0,4095.0,2811.0,3156.0,-5.66,4.01,6.36,-0.24,0.26,-0.08,p
3086.0,2908.0,2979.0,4095.0,4095.0,4095.0,2812.0,3165.0,-6.17,4.29,5.95,0.3,0.46,0.07,p
3084.0,2902.0,2981.0,4095.0,4095.0,4095.0,2803.0,3153.0,-5.89,4.16,6.2,0.42,-0.11,-0.29,p
3071.0,2911.0,2989.0,4095.0,4095.0,4095.0,2800.0,3163.0,-5.81,4.81,5.52,0.54,-0.13,-0.3,p
3085.0,2913.0,2982.0,4095.0,4095.0,4095.0,2798.0,3157.0,-6.68,5.56,4.15,0.25,-0.06,0.15,p
3071.0,2910.0,2977.0,4095.0,4095.0,4095.0,2811.0,3163.0,-6.64,5.4,4.02,-0.04,-0.16,0.02,p
3089.0,2912.0,2985.0,4095.0,4095.0,4095.0,2800.0,3163.0,-5.87,4.8,5.67,-0.4,0.13,0.25,p
3088.0,2911.0,2972.0,4095.0,4095.0,4095.0,2830.0,3162.0,-5.94,4.62,6.17,-0.25,-0.12,0.17,p
3088.0,2913.0,2987.0,4095.0,4095.0,4095.0,2812.0,3158.0,-5.69,4.49,5.99,-0.07,-0.11,0.44,p
3081.0,2901.0,2975.0,4095.0,4095.0,4095.0,2815.0,3166.0,-4.27,4.97,6.27,0.28,-0.24,0.31,p
3083.0,2919.0,2985.0,4095.0,4095.0,4095.0,2820.0,3168.0,-3.36,6.44,5.49,0.4,-0.22,-0.07,p
3079.0,2914.0,2979.0,4095.0,4095.0,4095.0,2818.0,3171.0,-3.84,6.93,4.32,0.32,-0.12,-0.42,p
3085.0,2917.0,2979.0,4095.0,4095.0,4095.0,2821.0,3183.0,-5.97,6.7,4.11,0.05,-0.2,-0.66,p
3082.0,2909.0,2983.0,4095.0,4095.0,4095.0,2797.0,3157.0,-6.86,6.06,6.6,-0.22,-0.28,-0.28,p
3086.0,2922.0,2979.0,4095.0,4095.0,4095.0,2814.0,3184.0,-5.43,5.24,6.55,-0.14,-0.34,-0.01,p
3082.0,2911.0,2974.0,4095.0,4095.0,4095.0,2829.0,3173.0,-4.65,3.99,6.03,0.04,-0.39,-0.03,p
3079.0,2911.0,2971.0,4095.0,4095.0,4095.0,2827.0,3163.0,-4.89,4.06,4.95,0.04,-0.26,-0.05,p
3085.0,2910.0,2973.0,4095.0,4095.0,4095.0,2815.0,3168.0,-4.55,4.9,5.29,-0.59,0.2,0.03,p
3086.0,2915.0,2975.0,4095.0,4095.0,4095.0,2827.0,3171.0,-5.68,5.02,4.11,0.47,-0.12,-0.17,p
3071.0,2918.0,2979.0,4095.0,4095.0,4095.0,2826.0,3176.0,-5.25,7.28,4.95,0.02,0.05,0.24,p
3088.0,2912.0,2976.0,4095.0,4095.0,4095.0,2825.0,3184.0,-5.2,5.1,6.24,0.13,-0.19,0.21,p
3082.0,2915.0,2979.0,4095.0,4095.0,4095.0,2826.0,3170.0,-4.25,5.88,6.63,-0.01,-0.26,0.2,p
3085.0,2911.0,2975.0,4095.0,4095.0,4095.0,2827.0,3183.0,-4.31,6.0,6.34,0.35,-0.25,0.23,p
3070.0,2919.0,2986.0,4095.0,4095.0,4095.0,2828.0,3179.0,-3.3,6.18,6.55,0.01,-0.18,0.33,p
3071.0,2913.0,2975.0,4095.0,4095.0,4095.0,2830.0,3179.0,-2.43,6.56,6.07,-0.33,-0.19,0.14,p
3081.0,2913.0,2977.0,4095.0,4095.0,4095.0,2823.0,3184.0,-2.72,6.09,5.73,-0.01,-0.31,-0.16,p
3081.0,2907.0,2977.0,4095.0,4095.0,4095.0,2829.0,3185.0,-3.08,6.07,5.4,0.21,0.09,0.26,p
3071.0,2906.0,2979.0,4095.0,4095.0,4095.0,2819.0,3174.0,-1.91,4.51,5.93,-0.03,0.04,-0.07,p
3083.0,2911.0,2983.0,4095.0,4095.0,4095.0,2817.0,3193.0,-1.44,6.05,6.59,0.07,0.07,-0.74,p
3071.0,2910.0,2972.0,4095.0,4095.0,4095.0,2812.0,3195.0,-5.3,5.3,7.26,0.3,0.16,-1.1,p
3071.0,2913.0,2971.0,4095.0,4095.0,4095.0,2831.0,3186.0,-6.33,6.92,4.62,0.26,0.23,-0.31,p
3083.0,2905.0,2970.0,4095.0,4095.0,4095.0,2814.0,3185.0,-4.79,5.58,3.79,0.43,0.04,-0.07,p
3070.0,2915.0,2971.0,4095.0,4095.0,4095.0,2813.0,3195.0,-5.22,7.21,5.11,0.21,0.37,0.06,p
3082.0,2909.0,2971.0,4095.0,4095.0,4095.0,2837.0,3182.0,-5.77,6.82,4.16,0.08,0.04,0.13,p
3071.0,2908.0,2978.0,4095.0,4095.0,4095.0,2847.0,3184.0,-5.43,6.93,5.35,-0.46,0.13,0.44,p
3082.0,2909.0,2967.0,4095.0,4095.0,4095.0,2847.0,3167.0,-4.09,6.94,6.38,-0.48,-0.03,0.41,p
3087.0,2911.0,2985.0,4095.0,4095.0,4095.0,2838.0,3184.0,-3.59,5.54,6.39,-0.15,-0.39,-0.02,p
3071.0,2912.0,2974.0,4095.0,4095.0,4095.0,2843.0,3182.0,-3.33,5.72,5.41,0.12,-0.11,-0.11,p
