hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2942.0,2913.0,2980.0,2927.0,4095.0,4095.0,2399.0,3387.0,0.27,9.54,0.73,-0.0,0.02,-0.07,r
2945.0,2919.0,2986.0,2924.0,4095.0,4095.0,2411.0,3389.0,0.06,9.86,0.53,-0.04,-0.0,-0.04,r
2944.0,2918.0,2983.0,2930.0,4095.0,4095.0,2398.0,3394.0,0.27,9.61,0.71,0.04,0.14,-0.08,r
2943.0,2909.0,2975.0,2925.0,4095.0,4095.0,2402.0,3393.0,0.11,9.46,0.57,-0.04,-0.01,0.04,r
2947.0,2911.0,2983.0,2923.0,4095.0,4095.0,2410.0,3382.0,0.55,9.86,0.53,0.05,0.01,-0.03,r
2948.0,2916.0,2976.0,2928.0,4095.0,4095.0,2405.0,3390.0,0.3,9.22,0.43,-0.03,-0.01,-0.01,r
2933.0,2913.0,2977.0,2926.0,4095.0,4095.0,2399.0,3387.0,0.1,9.9,0.31,-0.01,0.04,-0.04,r
2945.0,2918.0,2978.0,2928.0,4095.0,4095.0,2405.0,3392.0,0.4,9.24,0.62,-0.04,-0.02,0.02,r
2938.0,2923.0,2982.0,2924.0,4095.0,4095.0,2402.0,3395.0,0.05,9.78,0.51,-0.07,0.04,0.01,r
2942.0,2911.0,2978.0,2922.0,4095.0,4095.0,2402.0,3403.0,0.52,9.54,0.74,0.03,0.06,-0.03,r
2946.0,2913.0,2975.0,2926.0,4095.0,4095.0,2404.0,3393.0,0.18,9.72,0.59,-0.1,0.02,-0.01,r
2954.0,2922.0,2975.0,2933.0,4095.0,4095.0,2406.0,3391.0,0.39,9.58,0.58,0.0,0.01,0.02,r
2945.0,2915.0,2987.0,2928.0,4095.0,4095.0,2403.0,3395.0,0.34,9.82,0.5,-0.03,0.04,-0.05,r
2955.0,2915.0,2992.0,2929.0,4095.0,4095.0,2400.0,3408.0,0.42,9.6,0.66,0.03,0.03,-0.04,r
2944.0,2917.0,2985.0,2935.0,4095.0,4095.0,2414.0,3398.0,0.25,9.85,0.31,-0.17,0.08,-0.12,r
2941.0,2928.0,2987.0,2939.0,4095.0,4095.0,2403.0,3403.0,0.04,9.66,0.67,0.05,0.03,-0.07,r
2945.0,2918.0,2972.0,2943.0,4095.0,4095.0,2403.0,3399.0,0.23,9.53,0.52,-0.09,-0.01,-0.01,r
2950.0,2914.0,2985.0,2943.0,4095.0,4095.0,2410.0,3399.0,0.22,9.69,0.63,0.02,0.0,-0.01,r
2944.0,2924.0,2981.0,2938.0,4095.0,4095.0,2400.0,3394.0,0.22,9.37,0.66,-0.09,-0.03,0.01,r
2934.0,2918.0,2992.0,2939.0,4095.0,4095.0,2404.0,3398.0,0.21,9.84,0.62,-0.01,0.01,-0.0,r
2947.0,2912.0,2982.0,2937.0,4095.0,4095.0,2416.0,3407.0,0.33,9.32,0.8,-0.02,-0.03,0.01,r
2944.0,2910.0,2977.0,2934.0,4095.0,4095.0,2411.0,3408.0,0.04,9.81,0.51,-0.06,0.02,0.0,r
2941.0,2923.0,2983.0,2945.0,4095.0,4095.0,2410.0,3406.0,0.47,9.34,0.79,-0.0,-0.02,0.02,r
2950.0,2919.0,2980.0,2939.0,4095.0,4095.0,2414.0,3402.0,0.1,9.79,0.46,-0.08,0.03,-0.03,r
2944.0,2923.0,2992.0,2943.0,4095.0,4095.0,2411.0,3404.0,-0.11,9.4,0.48,-0.07,0.05,0.0,r
2949.0,2917.0,2982.0,2942.0,4095.0,4095.0,2413.0,3408.0,0.33,9.99,0.78,-0.06,-0.05,0.09,r
2944.0,2917.0,2987.0,2941.0,4095.0,4095.0,2405.0,3407.0,0.64,9.58,0.89,0.03,0.04,-0.03,r
2935.0,2923.0,2972.0,2941.0,4095.0,4095.0,2413.0,3405.0,0.38,9.71,0.67,-0.05,-0.03,-0.03,r
2939.0,2913.0,2975.0,2938.0,4095.0,4095.0,2413.0,3406.0,0.29,9.69,0.66,0.08,0.01,-0.06,r
2945.0,2915.0,2977.0,2943.0,4095.0,4095.0,2414.0,3409.0,0.11,9.28,0.45,-0.08,-0.02,-0.01,r
2951.0,2909.0,2983.0,2938.0,4095.0,4095.0,2413.0,3409.0,0.09,9.74,0.45,-0.02,0.01,0.0,r
2943.0,2923.0,2974.0,2938.0,4095.0,4095.0,2410.0,3399.0,0.43,9.44,0.77,-0.02,0.01,0.01,r
