hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3056.0,2971.0,3047.0,3535.0,4095.0,4095.0,2559.0,2991.0,-0.87,10.04,-1.37,-0.14,3.76,-0.5,r
3058.0,2976.0,3049.0,3526.0,4095.0,4095.0,2596.0,2985.0,-1.28,10.06,0.47,-0.19,2.34,-0.26,r
3056.0,2974.0,3039.0,3543.0,4095.0,4095.0,2579.0,2985.0,-0.21,10.0,-0.17,-0.17,1.17,0.06,r
3055.0,2976.0,3042.0,3534.0,4095.0,4095.0,2589.0,2992.0,-2.14,10.28,-0.74,0.4,-0.35,0.35,r
3063.0,2974.0,3039.0,3551.0,4095.0,4095.0,2589.0,2989.0,-0.46,9.19,-0.33,0.43,-2.71,0.59,r
3055.0,2976.0,3049.0,3551.0,4095.0,4095.0,2578.0,2989.0,-0.69,8.52,-2.54,0.34,-3.15,0.18,r
3056.0,2978.0,3043.0,3558.0,4095.0,4095.0,2589.0,2991.0,-0.07,8.9,-2.07,-0.0,-3.94,0.38,r
3056.0,2975.0,3035.0,3525.0,4095.0,4095.0,2597.0,2986.0,-0.17,9.74,-0.68,-0.28,-1.03,0.33,r
3067.0,2975.0,3043.0,3503.0,4095.0,4095.0,2590.0,2967.0,-1.06,9.3,-0.73,-0.15,-0.53,-0.01,r
3058.0,2966.0,3039.0,3515.0,4095.0,4095.0,2583.0,2950.0,-1.52,10.42,-1.03,0.02,0.02,0.34,r
3066.0,2969.0,3041.0,3525.0,4095.0,4095.0,2593.0,2962.0,-0.42,10.94,-0.2,-0.27,0.48,0.16,r
3064.0,2975.0,3038.0,3605.0,4095.0,4095.0,2596.0,2967.0,0.28,11.08,0.4,-0.36,0.43,-0.19,r
3061.0,2975.0,3040.0,3649.0,4095.0,4095.0,2586.0,2978.0,0.24,9.91,0.64,0.25,0.2,0.01,r
3061.0,2971.0,3029.0,3637.0,4095.0,4095.0,2578.0,2989.0,0.78,9.32,-0.7,0.37,-0.24,-0.05,r
3061.0,2967.0,3036.0,3661.0,4095.0,4095.0,2581.0,2983.0,0.11,8.56,-0.76,0.21,-0.53,-0.04,r
3061.0,2974.0,3039.0,3650.0,4095.0,4095.0,2583.0,2977.0,0.5,8.6,-1.7,-0.26,-0.17,0.03,r
3058.0,2967.0,3037.0,3667.0,4095.0,4095.0,2598.0,2989.0,0.18,7.93,-1.88,-0.16,1.3,-0.8,r
3071.0,2967.0,3039.0,3685.0,4095.0,4095.0,2579.0,3003.0,-2.27,8.74,-2.97,0.07,2.12,-1.1,r
3058.0,2978.0,3038.0,3698.0,4095.0,4095.0,2590.0,3021.0,-3.21,9.91,-2.11,-0.18,0.65,-0.33,r
3056.0,2975.0,3042.0,3707.0,4095.0,4095.0,2603.0,3011.0,-2.63,10.83,-1.38,-0.45,0.77,-0.15,r
3058.0,2974.0,3039.0,3728.0,4095.0,4095.0,2595.0,3021.0,-2.34,11.3,1.14,-0.36,0.72,-0.01,r
3063.0,2977.0,3042.0,3811.0,4095.0,4095.0,2607.0,3030.0,-1.21,9.93,0.93,-0.02,-0.51,0.52,r
3057.0,2966.0,3038.0,3770.0,4095.0,4095.0,2592.0,3034.0,-0.34,9.56,-0.03,0.16,-0.36,0.44,r
3056.0,2975.0,3031.0,3773.0,4095.0,4095.0,2595.0,3025.0,0.08,9.12,-0.58,0.14,-0.15,0.33,r
3049.0,2975.0,3046.0,3792.0,4095.0,4095.0,2603.0,3034.0,-0.76,9.04,-1.82,0.1,-0.1,0.11,r
3056.0,2979.0,3037.0,3807.0,4095.0,4095.0,2597.0,3038.0,-1.27,9.01,-2.42,-0.05,0.24,-0.09,r
3047.0,2970.0,3042.0,3777.0,4095.0,4095.0,2607.0,3043.0,-2.45,8.7,-2.07,-0.09,0.56,-0.04,r
3043.0,2974.0,3024.0,3755.0,4095.0,4095.0,2598.0,3035.0,-1.03,9.58,-1.82,0.03,0.92,0.19,r
3050.0,2975.0,3043.0,3729.0,4095.0,4095.0,2598.0,3028.0,-0.16,9.18,-0.6,-0.38,0.86,0.27,r
3039.0,2967.0,3035.0,3728.0,4095.0,4095.0,2610.0,3043.0,1.73,9.4,-0.88,-0.36,0.21,-0.12,r
3049.0,2976.0,3033.0,3728.0,4095.0,4095.0,2608.0,3046.0,0.06,11.15,-0.89,0.11,-0.44,-0.35,r
3047.0,2969.0,3037.0,3729.0,4095.0,4095.0,2610.0,3045.0,-1.72,10.74,-2.54,0.3,-0.37,-0.1,r
3050.0,2973.0,3035.0,3735.0,4095.0,4095.0,2605.0,3054.0,-1.91,9.65,-2.6,0.18,0.14,0.35,r
3046.0,2978.0,3031.0,3746.0,4095.0,4095.0,2624.0,3041.0,-0.67,8.46,-2.59,-0.07,0.54,0.41,r
3044.0,2974.0,3039.0,3743.0,4095.0,4095.0,2605.0,3049.0,0.3,7.86,-1.23,-0.41,0.84,0.04,r
3047.0,2981.0,3034.0,3749.0,4095.0,4095.0,2616.0,3043.0,0.03,9.24,-0.45,-0.41,0.69,-0.38,r
3055.0,2981.0,3042.0,3731.0,4095.0,4095.0,2600.0,3054.0,-0.31,9.49,-0.87,-0.16,0.61,-0.43,r
3052.0,2979.0,3038.0,3705.0,4095.0,4095.0,2598.0,3046.0,-1.44,12.09,0.89,-0.15,0.06,0.09,r
3056.0,2978.0,3045.0,3702.0,4095.0,4095.0,2595.0,3047.0,-0.71,11.68,1.81,0.23,-0.41,0.65,r
3055.0,2977.0,3039.0,3708.0,4095.0,4095.0,2615.0,3055.0,1.34,8.64,0.19,0.55,-0.88,0.64,r
3046.0,2983.0,3045.0,3736.0,4095.0,4095.0,2629.0,3046.0,0.45,7.08,-1.96,0.46,-1.15,-0.09,r
3049.0,2976.0,3028.0,3727.0,4095.0,4095.0,2605.0,3056.0,-0.38,6.91,-3.99,0.04,-0.76,-0.71,r
3036.0,2975.0,3046.0,3711.0,4095.0,4095.0,2608.0,3066.0,-1.56,9.57,-3.35,-0.55,-0.36,-0.75,r
3047.0,2981.0,3033.0,3728.0,4095.0,4095.0,2601.0,3049.0,-2.18,11.69,-0.82,-0.41,0.02,-0.21,r
3047.0,2969.0,3046.0,3729.0,4095.0,4095.0,2599.0,3054.0,-2.21,11.7,0.51,-0.07,0.28,0.3,r
3056.0,2978.0,3046.0,3717.0,4095.0,4095.0,2592.0,2989.0,-0.1,10.05,1.02,0.26,-0.09,0.56,r
3053.0,2982.0,3036.0,3666.0,4095.0,4095.0,2559.0,2967.0,0.29,7.07,-1.57,0.23,-0.29,0.13,r
3048.0,2978.0,3046.0,3638.0,4095.0,4095.0,2543.0,2935.0,0.48,9.97,-0.28,-0.21,-2.49,0.76,r
3058.0,2977.0,3046.0,3567.0,4095.0,4095.0,2537.0,2914.0,-0.52,11.73,-1.28,-0.15,-2.54,0.51,r
3055.0,2972.0,3049.0,3580.0,4095.0,4095.0,2535.0,2898.0,0.43,8.49,-1.12,-0.05,-1.35,0.73,r
3063.0,2975.0,3044.0,3600.0,4095.0,4095.0,2530.0,2897.0,2.17,8.54,-0.79,-0.02,-0.18,0.22,r
3056.0,2983.0,3042.0,3607.0,4095.0,4095.0,2551.0,2908.0,1.02,8.16,-0.73,0.04,0.65,-0.37,r
3057.0,2970.0,3035.0,3621.0,4095.0,4095.0,2538.0,2917.0,0.5,10.06,-1.31,-0.24,0.58,-0.22,r
3051.0,2981.0,3038.0,3630.0,4095.0,4095.0,2559.0,2935.0,0.91,11.83,0.07,-0.24,0.7,-0.02,r
3054.0,2970.0,3034.0,3648.0,4095.0,4095.0,2555.0,2947.0,1.78,10.07,1.13,0.24,0.46,-0.12,r
3055.0,2978.0,3042.0,3667.0,4095.0,4095.0,2559.0,2954.0,1.64,9.0,0.19,0.36,-0.14,-0.13,r
3057.0,2975.0,3037.0,3647.0,4095.0,4095.0,2559.0,2954.0,0.85,8.9,-1.13,0.11,-0.44,-0.37,r
3057.0,2966.0,3051.0,3664.0,4095.0,4095.0,2559.0,2961.0,-0.57,8.5,-1.43,0.23,-0.14,-0.59,r
3056.0,2977.0,3046.0,3691.0,4095.0,4095.0,2551.0,2949.0,-1.57,9.65,-2.72,-0.09,0.2,-0.43,r
3064.0,2976.0,3038.0,3669.0,4095.0,4095.0,2579.0,2963.0,-2.04,9.55,-2.29,-0.33,0.29,-0.21,r
3054.0,2971.0,3047.0,3691.0,4095.0,4095.0,2559.0,2964.0,-0.95,10.22,-0.84,-0.3,1.0,-0.02,r
3056.0,2977.0,3040.0,3710.0,4095.0,4095.0,2559.0,2975.0,-0.84,9.68,-0.37,-0.63,3.31,-0.44,r
3056.0,2973.0,3038.0,3711.0,4095.0,4095.0,2559.0,2966.0,1.42,10.0,-0.0,0.05,-1.48,0.54,r
3059.0,2963.0,3043.0,3727.0,4095.0,4095.0,2559.0,2978.0,-0.49,9.11,-0.16,0.37,-1.28,-0.49,r
3055.0,2976.0,3049.0,3733.0,4095.0,4095.0,2559.0,2975.0,-2.45,9.16,-1.32,0.32,0.33,-0.77,r
3056.0,2985.0,3045.0,3741.0,4095.0,4095.0,2559.0,2988.0,-3.56,8.43,-3.03,-0.15,3.73,-0.95,r
3056.0,2978.0,3050.0,3749.0,4095.0,4095.0,2559.0,2990.0,-1.33,9.98,-1.98,-0.34,0.51,0.06,r
3057.0,2977.0,3040.0,3742.0,4095.0,4095.0,2579.0,2994.0,-2.08,9.36,-1.6,-0.22,0.7,0.05,r
3055.0,2979.0,3053.0,3753.0,4095.0,4095.0,2559.0,2986.0,-4.64,8.53,-2.03,-0.38,-0.23,1.21,r
