hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3067.0,3019.0,3120.0,2935.0,4095.0,2527.0,2608.0,2475.0,2.5,9.77,7.23,-0.18,-0.09,0.02,7
3071.0,3019.0,3105.0,3030.0,4095.0,2541.0,2609.0,2450.0,6.97,9.98,6.33,-0.08,-0.61,-0.45,7
3071.0,3021.0,3113.0,3034.0,4095.0,2539.0,2609.0,2422.0,9.71,9.39,6.99,-0.44,-1.3,-1.45,7
3071.0,3023.0,3094.0,3043.0,4095.0,2541.0,2603.0,2435.0,3.18,8.28,9.66,-0.15,-1.27,-2.18,7
3079.0,3029.0,3118.0,3024.0,4095.0,2541.0,2608.0,2448.0,-1.51,7.24,9.68,-0.1,-1.95,-2.37,7
3071.0,3025.0,3114.0,3012.0,4095.0,2544.0,2614.0,2450.0,-6.15,4.99,9.72,-0.51,-1.63,-1.49,7
3071.0,3024.0,3120.0,3002.0,4095.0,2544.0,2614.0,2448.0,-9.87,2.32,12.05,-0.83,-0.54,-0.65,7
3066.0,3030.0,3107.0,2987.0,4095.0,2555.0,2620.0,2448.0,-7.7,-0.6,11.33,-0.97,-0.38,0.23,7
3062.0,3024.0,3113.0,2994.0,4095.0,2549.0,2624.0,2446.0,-6.46,-0.83,11.1,-1.22,0.18,1.47,7
3079.0,3012.0,3113.0,2999.0,4095.0,2545.0,2614.0,2466.0,-1.86,0.72,13.05,-1.27,0.31,2.07,7
3058.0,3023.0,3114.0,3024.0,4095.0,2550.0,2615.0,2448.0,3.97,6.19,14.15,-1.53,0.23,2.17,7
3071.0,3042.0,3114.0,3043.0,4095.0,2556.0,2622.0,2455.0,5.29,12.6,13.72,-1.21,1.59,2.07,7
3083.0,3029.0,3119.0,3059.0,4095.0,2559.0,2623.0,2452.0,7.89,10.59,15.94,-0.87,0.7,1.27,7
3085.0,3023.0,3118.0,3066.0,4095.0,2559.0,2627.0,2448.0,5.6,11.56,13.07,-0.31,0.29,0.47,7
3085.0,3034.0,3114.0,3070.0,4095.0,2559.0,2623.0,2471.0,2.56,9.51,12.47,-0.01,-0.01,0.0,7
3069.0,3021.0,3117.0,3069.0,4095.0,2553.0,2627.0,2481.0,2.4,8.4,13.04,0.3,-0.34,-0.25,7
3083.0,3037.0,3115.0,3085.0,4095.0,2559.0,2635.0,2502.0,2.26,7.26,13.07,0.46,-0.47,-0.5,7
3069.0,3023.0,3115.0,3091.0,4095.0,2554.0,2640.0,2510.0,1.55,6.9,12.89,0.55,-0.4,-0.76,7
3086.0,3035.0,3116.0,3118.0,4095.0,2559.0,2631.0,2499.0,2.2,6.86,12.83,0.86,-0.68,-0.78,7
3069.0,3024.0,3126.0,3141.0,4095.0,2559.0,2640.0,2509.0,0.74,7.68,11.66,0.75,-0.22,-0.79,7
3069.0,3024.0,3126.0,3271.0,4095.0,2639.0,2736.0,2642.0,3.32,9.73,5.48,-0.21,-0.53,0.48,7
3069.0,3024.0,3126.0,3271.0,4095.0,2639.0,2736.0,2642.0,3.32,9.73,5.48,-0.21,-0.53,0.48,7
3067.0,3024.0,3131.0,3253.0,4095.0,2631.0,2736.0,2585.0,11.09,9.39,5.78,-0.19,-1.99,-0.19,7
3079.0,3039.0,3135.0,3264.0,4095.0,2639.0,2734.0,2591.0,11.13,9.18,5.08,-0.18,-2.11,-1.5,7
3061.0,3026.0,3120.0,3295.0,4095.0,2637.0,2736.0,2640.0,2.26,8.37,6.39,-1.01,-1.45,-2.25,7
3057.0,3025.0,3119.0,3277.0,4095.0,2640.0,2739.0,2624.0,-3.71,6.93,10.83,-1.04,-2.53,-1.93,7
