hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3182.0,2804.0,2416.0,2911.0,4095.0,4095.0,2715.0,2916.0,3.58,8.99,2.66,0.44,0.13,-0.3,v
3174.0,2803.0,2417.0,2913.0,4095.0,4095.0,2719.0,2919.0,2.61,9.82,1.43,0.51,0.18,-0.27,v
3168.0,2799.0,2415.0,2918.0,4095.0,4095.0,2713.0,2922.0,1.47,9.53,0.2,0.7,0.31,0.05,v
3169.0,2814.0,2416.0,2915.0,4095.0,4095.0,2717.0,2923.0,1.87,8.35,-1.06,0.23,0.69,0.27,v
3173.0,2807.0,2417.0,2897.0,4095.0,4095.0,2710.0,2927.0,3.54,8.24,0.85,-0.52,0.25,0.41,v
3183.0,2812.0,2415.0,2875.0,4095.0,4095.0,2715.0,2927.0,3.85,8.88,2.2,-0.5,-0.04,-0.03,v
3183.0,2806.0,2416.0,2830.0,4095.0,4095.0,2709.0,2920.0,3.49,9.27,2.15,-0.34,-0.23,0.03,v
3195.0,2805.0,2411.0,2750.0,4095.0,4095.0,2710.0,2907.0,3.46,8.99,1.66,-0.22,-0.23,-0.0,v
3217.0,2805.0,2417.0,2683.0,4095.0,4095.0,2725.0,2896.0,3.28,9.0,1.26,-0.02,-0.15,-0.08,v
3249.0,2803.0,2416.0,2672.0,4095.0,4095.0,2736.0,2890.0,3.77,9.36,1.75,0.11,-0.19,-0.01,v
3283.0,2807.0,2418.0,2671.0,4095.0,4095.0,2750.0,2886.0,3.41,9.18,1.28,0.32,-0.08,0.08,v
3289.0,2804.0,2421.0,2773.0,4095.0,4095.0,2711.0,2907.0,3.39,8.93,0.77,0.37,0.17,0.16,v
3310.0,2800.0,2431.0,2929.0,4095.0,4095.0,2630.0,2946.0,3.75,8.29,0.69,0.23,0.38,-0.0,v
3336.0,2805.0,2448.0,2984.0,4095.0,4095.0,2642.0,2956.0,4.2,8.06,1.09,-0.24,0.09,0.06,v
3327.0,2800.0,2435.0,2883.0,4095.0,4095.0,2678.0,2931.0,4.28,8.41,1.55,-0.45,-0.32,-0.13,v
3302.0,2806.0,2443.0,2789.0,4095.0,4095.0,2703.0,2917.0,4.51,9.33,1.81,-0.33,-0.71,-0.38,v
3264.0,2810.0,2443.0,2756.0,4095.0,4095.0,2725.0,2906.0,3.23,9.58,1.37,-0.05,-0.98,-0.4,v
3259.0,2811.0,2438.0,2711.0,4095.0,4095.0,2725.0,2905.0,2.41,9.72,0.45,0.34,-0.69,-0.29,v
3039.0,2809.0,2434.0,2730.0,4095.0,4095.0,2736.0,2897.0,2.77,9.2,-0.21,0.15,0.01,0.08,v
2922.0,2807.0,2448.0,2751.0,4095.0,4095.0,2735.0,2898.0,3.67,9.03,0.46,-0.09,0.29,0.07,v
2841.0,2811.0,2441.0,2768.0,4095.0,4095.0,2743.0,2903.0,3.28,8.99,0.3,-0.14,0.22,-0.15,v
2818.0,2807.0,2437.0,2766.0,4095.0,4095.0,2740.0,2901.0,3.2,9.19,0.28,-0.24,0.13,-0.06,v
2799.0,2813.0,2446.0,2772.0,4095.0,4095.0,2739.0,2899.0,3.23,9.12,1.32,-0.25,-0.05,-0.08,v
2798.0,2816.0,2435.0,2770.0,4095.0,4095.0,2740.0,2898.0,2.8,9.17,1.28,-0.2,0.07,-0.04,v
2801.0,2815.0,2444.0,2769.0,4095.0,4095.0,2738.0,2898.0,2.85,8.77,1.4,-0.1,0.14,-0.03,v
2805.0,2814.0,2447.0,2779.0,4095.0,4095.0,2737.0,2907.0,2.64,8.83,1.3,-0.12,0.07,-0.08,v
2800.0,2802.0,2448.0,2779.0,4095.0,4095.0,2734.0,2910.0,2.71,9.04,1.43,-0.03,0.07,-0.02,v
2801.0,2813.0,2448.0,2783.0,4095.0,4095.0,2733.0,2913.0,2.76,8.98,1.39,-0.02,0.03,0.07,v
2805.0,2802.0,2451.0,2793.0,4095.0,4095.0,2725.0,2919.0,3.04,9.06,1.63,-0.04,-0.03,0.02,v
2812.0,2810.0,2455.0,2797.0,4095.0,4095.0,2721.0,2915.0,3.21,9.22,1.91,0.09,-0.05,-0.07,v
2804.0,2810.0,2461.0,2798.0,4095.0,4095.0,2724.0,2922.0,3.17,10.04,1.63,0.4,-0.12,-0.22,v
2808.0,2813.0,2469.0,2798.0,4095.0,4095.0,2717.0,2927.0,1.63,9.12,-0.23,0.32,0.18,0.2,v
2816.0,2813.0,2458.0,2798.0,4095.0,4095.0,2719.0,2929.0,2.81,8.08,-0.04,-0.28,0.59,0.56,v
2810.0,2813.0,2471.0,2801.0,4095.0,4095.0,2725.0,2933.0,4.71,8.08,1.93,-0.53,0.13,0.15,v
2806.0,2805.0,2471.0,2805.0,4095.0,4095.0,2720.0,2934.0,3.71,9.56,2.12,-0.32,-0.14,-0.36,v
2809.0,2803.0,2470.0,2801.0,4095.0,4095.0,2724.0,2938.0,2.96,10.56,2.03,0.42,-0.45,-0.17,v
2817.0,2816.0,2466.0,2812.0,4095.0,4095.0,2719.0,2939.0,2.72,8.83,0.28,0.81,-0.25,-0.0,v
2814.0,2802.0,2469.0,2808.0,4095.0,4095.0,2720.0,2937.0,3.14,7.85,-0.95,0.1,0.21,0.24,v
2823.0,2811.0,2473.0,2811.0,4095.0,4095.0,2718.0,2938.0,4.34,7.86,0.62,-0.67,0.18,0.13,v
2815.0,2802.0,2478.0,2817.0,4095.0,4095.0,2719.0,2939.0,2.64,8.71,1.24,-0.82,0.34,-0.12,v
2821.0,2810.0,2470.0,2814.0,4095.0,4095.0,2719.0,2943.0,3.82,9.39,2.55,-0.6,0.14,-0.17,v
2827.0,2814.0,2482.0,2820.0,4095.0,4095.0,2726.0,2950.0,2.88,10.06,3.49,0.06,-0.19,-0.14,v
2827.0,2817.0,2480.0,2820.0,4095.0,4095.0,2725.0,2947.0,2.57,9.33,1.76,0.8,-0.08,-0.2,v
2829.0,2820.0,2479.0,2826.0,4095.0,4095.0,2725.0,2949.0,3.39,7.98,-0.74,0.26,0.17,0.12,v
2820.0,2813.0,2478.0,2827.0,4095.0,4095.0,2724.0,2956.0,3.88,7.76,0.9,-0.64,0.28,-0.06,v
2827.0,2812.0,2480.0,2832.0,4095.0,4095.0,2727.0,2954.0,2.63,8.96,2.12,-0.78,0.35,-0.18,v
2826.0,2815.0,2481.0,2832.0,4095.0,4095.0,2723.0,2958.0,3.37,10.1,4.81,-0.17,0.24,-0.14,v
2831.0,2815.0,2481.0,2829.0,4095.0,4095.0,2728.0,2960.0,2.64,9.18,3.56,1.16,-0.32,-0.38,v
2827.0,2820.0,2482.0,2823.0,4095.0,4095.0,2733.0,2958.0,2.47,8.42,-0.47,0.89,-0.54,-0.26,v
2822.0,2810.0,2479.0,2830.0,4095.0,4095.0,2733.0,2957.0,1.84,8.37,-1.46,-0.2,-0.01,0.21,v
2830.0,2813.0,2482.0,2832.0,4095.0,4095.0,2735.0,2963.0,2.91,9.2,1.68,-0.54,0.03,0.19,v
2830.0,2817.0,2475.0,2830.0,4095.0,4095.0,2736.0,2967.0,2.29,9.35,1.49,-0.28,0.03,0.17,v
2836.0,2819.0,2484.0,2831.0,4095.0,4095.0,2736.0,2974.0,3.25,8.91,1.57,-0.3,-0.08,0.44,v
2831.0,2814.0,2479.0,2833.0,4095.0,4095.0,2735.0,2967.0,4.52,8.66,2.05,-0.21,-0.08,0.37,v
2830.0,2821.0,2479.0,2833.0,4095.0,4095.0,2736.0,2978.0,4.25,8.66,2.07,-0.0,-0.03,0.14,v
2827.0,2817.0,2482.0,2837.0,4095.0,4095.0,2735.0,2976.0,4.19,8.56,1.67,-0.09,0.02,0.11,v
2815.0,2810.0,2478.0,2837.0,4095.0,4095.0,2732.0,2976.0,4.47,8.71,1.85,-0.06,-0.04,0.04,v
2813.0,2815.0,2482.0,2832.0,4095.0,4095.0,2731.0,2974.0,3.95,8.56,1.78,-0.09,0.02,-0.02,v
2811.0,2817.0,2480.0,2835.0,4095.0,4095.0,2722.0,2975.0,4.37,8.52,2.05,-0.05,-0.05,0.03,v
2807.0,2823.0,2486.0,2839.0,4095.0,4095.0,2720.0,2974.0,4.14,8.82,1.97,-0.02,-0.06,-0.13,v
2811.0,2818.0,2486.0,2834.0,4095.0,4095.0,2719.0,2975.0,4.0,8.79,1.69,0.05,-0.09,-0.15,v
2831.0,2821.0,2495.0,2816.0,4095.0,4095.0,2722.0,2955.0,4.13,8.9,1.85,-0.02,-0.17,-0.27,v
2847.0,2822.0,2501.0,2803.0,4095.0,4095.0,2732.0,2965.0,3.49,8.86,1.46,-0.08,0.0,-0.21,v
2847.0,2822.0,2498.0,2810.0,4095.0,4095.0,2745.0,2973.0,3.54,8.37,1.73,-0.17,-0.02,-0.04,v
2850.0,2825.0,2509.0,2816.0,4095.0,4095.0,2743.0,2974.0,3.52,8.5,2.2,-0.05,0.03,-0.01,v
2845.0,2822.0,2513.0,2827.0,4095.0,4095.0,2747.0,2982.0,3.62,9.1,1.84,0.0,0.05,-0.04,v
2845.0,2827.0,2515.0,2833.0,4095.0,4095.0,2742.0,2991.0,3.74,8.75,2.26,-0.02,0.09,-0.15,v
2845.0,2826.0,2507.0,2833.0,4095.0,4095.0,2743.0,2992.0,4.01,9.51,2.57,0.15,-0.19,-0.16,v
2849.0,2825.0,2512.0,2839.0,4095.0,4095.0,2736.0,2992.0,2.42,10.07,1.45,0.78,-0.52,-0.25,v
2842.0,2825.0,2515.0,2843.0,4095.0,4095.0,2746.0,2995.0,2.04,8.8,-1.28,0.74,0.13,0.06,v
2835.0,2827.0,2517.0,2847.0,4095.0,4095.0,2747.0,2993.0,3.86,7.86,0.65,0.0,0.83,0.46,v
2841.0,2822.0,2513.0,2843.0,4095.0,4095.0,2746.0,2999.0,5.86,8.36,1.73,-0.05,0.18,-0.19,v
2838.0,2831.0,2521.0,2847.0,4095.0,4095.0,2736.0,3003.0,3.25,9.25,0.16,0.04,-0.22,-0.4,v
2836.0,2829.0,2512.0,2855.0,4095.0,4095.0,2739.0,3004.0,3.11,9.12,0.17,-0.08,-0.13,-0.42,v
2847.0,2830.0,2515.0,2857.0,4095.0,4095.0,2742.0,3003.0,3.96,9.08,0.47,0.12,0.95,-0.95,v
2843.0,2832.0,2523.0,2858.0,4095.0,4095.0,2741.0,2997.0,2.22,9.8,-0.37,0.25,2.32,-0.93,v
2843.0,2823.0,2515.0,2861.0,4095.0,4095.0,2725.0,2997.0,0.99,9.66,-0.23,-0.22,2.04,-0.35,v
2855.0,2831.0,2526.0,2852.0,4095.0,4095.0,2719.0,2990.0,1.31,9.23,1.68,-0.04,2.03,-0.6,v
2848.0,2823.0,2512.0,2851.0,4095.0,4095.0,2722.0,2995.0,-0.18,9.42,1.09,0.16,0.85,-0.43,v
2853.0,2832.0,2528.0,2858.0,4095.0,4095.0,2722.0,2999.0,-1.21,9.69,0.66,0.11,-1.13,0.2,v
2852.0,2832.0,2521.0,2854.0,4095.0,4095.0,2718.0,3008.0,0.32,9.64,0.76,-0.18,-1.84,0.52,v
2848.0,2828.0,2522.0,2854.0,4095.0,4095.0,2720.0,3008.0,1.5,9.45,0.6,-0.06,-1.47,0.25,v
2847.0,2834.0,2523.0,2853.0,4095.0,4095.0,2723.0,3003.0,0.2,9.56,0.52,-0.05,-1.31,0.23,v
2838.0,2819.0,2519.0,2851.0,4095.0,4095.0,2723.0,3008.0,2.61,9.57,0.44,-0.46,-2.0,0.57,v
2842.0,2817.0,2521.0,2861.0,4095.0,4095.0,2736.0,3009.0,3.29,9.24,0.23,-0.2,-0.37,0.25,v
2851.0,2832.0,2517.0,2866.0,4095.0,4095.0,2746.0,3017.0,3.16,8.99,0.59,-0.56,-0.06,0.4,v
2839.0,2832.0,2516.0,2859.0,4095.0,4095.0,2823.0,3022.0,3.77,9.01,1.19,-0.84,0.6,-0.01,v
2840.0,2831.0,2529.0,2853.0,4095.0,4095.0,2740.0,3029.0,3.97,8.86,2.18,-0.71,1.41,-0.65,v
2839.0,2832.0,2529.0,2850.0,4095.0,4095.0,2737.0,3040.0,2.81,8.44,3.18,-0.91,0.5,-0.41,v
2834.0,2827.0,2531.0,2847.0,4095.0,4095.0,2731.0,3041.0,1.59,8.02,4.35,-0.67,0.27,-0.15,v
2832.0,2822.0,2534.0,2842.0,4095.0,4095.0,2736.0,3039.0,2.04,8.07,4.39,-0.35,0.23,0.13,v
2831.0,2832.0,2531.0,2848.0,4095.0,4095.0,2736.0,3041.0,1.9,7.83,4.65,0.27,0.05,-0.03,v
2833.0,2825.0,2526.0,2851.0,4095.0,4095.0,2726.0,3024.0,1.82,7.66,4.16,1.62,-1.14,0.18,v
2839.0,2832.0,2528.0,2845.0,4095.0,4095.0,2711.0,2970.0,2.89,9.23,1.12,1.26,-1.0,0.15,v
2833.0,2826.0,2525.0,2834.0,4095.0,4095.0,2711.0,2949.0,3.48,9.24,0.14,0.79,-0.64,0.12,v
