hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3142.0,3085.0,3063.0,2759.0,4095.0,3391.0,2559.0,2924.0,-1.64,9.38,0.08,-0.04,-0.03,-0.05,z
3139.0,3071.0,3064.0,2762.0,4095.0,3387.0,2559.0,2919.0,-1.85,9.4,-0.23,-0.0,-0.04,-0.05,z
3137.0,3090.0,3067.0,2755.0,4095.0,3387.0,2559.0,2923.0,-2.23,9.38,-0.31,-0.09,0.02,-0.09,z
3145.0,3079.0,3068.0,2758.0,4095.0,3388.0,2559.0,2918.0,-2.39,9.27,-0.46,-0.09,-0.04,0.0,z
3147.0,3084.0,3071.0,2751.0,4095.0,3383.0,2559.0,2917.0,-3.78,9.14,-1.63,-0.12,0.21,-0.02,z
3151.0,3085.0,3058.0,2755.0,4095.0,3379.0,2559.0,2896.0,-6.16,7.74,-5.72,0.16,-0.09,0.11,z
3169.0,3118.0,3103.0,2781.0,4095.0,3407.0,2601.0,2927.0,-4.98,6.68,-5.69,-0.94,0.81,1.04,z
3175.0,3120.0,3104.0,2785.0,4095.0,3408.0,2589.0,2925.0,-2.81,8.44,0.24,-1.83,1.1,1.16,z
3174.0,3113.0,3093.0,2782.0,4095.0,3408.0,2607.0,2933.0,0.85,9.2,3.9,-0.81,0.8,0.94,z
3165.0,3120.0,3110.0,2771.0,4095.0,3423.0,2592.0,2941.0,2.83,8.95,6.52,-1.04,0.84,0.57,z
3168.0,3122.0,3113.0,2782.0,4095.0,3427.0,2611.0,2941.0,3.7,7.59,8.68,-0.58,0.24,0.02,z
3173.0,3123.0,3107.0,2766.0,4095.0,3421.0,2615.0,2944.0,6.82,6.51,8.76,-0.46,-0.51,-0.38,z
3179.0,3120.0,3114.0,2771.0,4095.0,3429.0,2608.0,2937.0,8.24,5.63,8.07,0.24,-1.06,-1.99,z
3169.0,3123.0,3093.0,2763.0,4095.0,3414.0,2608.0,2937.0,1.6,5.97,4.52,0.52,-0.94,-3.13,z
3180.0,3115.0,3095.0,2767.0,4095.0,3442.0,2598.0,2937.0,-5.29,7.1,-0.52,0.49,-1.3,-2.72,z
3184.0,3111.0,3091.0,2755.0,4095.0,3419.0,2592.0,2922.0,-9.94,7.71,-2.85,-0.21,-0.97,-2.45,z
3178.0,3102.0,3095.0,2759.0,4095.0,3376.0,2581.0,2911.0,-15.32,7.39,-4.44,-0.57,0.05,-1.42,z
3194.0,3109.0,3094.0,2768.0,4095.0,3377.0,2592.0,2927.0,-14.3,6.51,-4.58,-1.46,0.54,-0.28,z
3163.0,3071.0,3054.0,2749.0,4095.0,3347.0,2544.0,2870.0,-11.18,5.23,-1.09,-2.1,0.84,0.8,z
3228.0,3130.0,3117.0,2943.0,4095.0,3401.0,2612.0,2961.0,-7.58,5.21,3.25,-2.7,1.03,1.16,z
3442.0,3138.0,3124.0,3006.0,4095.0,3415.0,2652.0,2986.0,-1.24,9.32,1.45,-0.05,0.0,-0.03,z
3442.0,3138.0,3124.0,3006.0,4095.0,3415.0,2652.0,2986.0,-1.24,9.32,1.45,-0.05,0.0,-0.03,z
3451.0,3136.0,3123.0,3015.0,4095.0,3431.0,2652.0,2983.0,-0.74,9.53,2.08,-0.02,-0.04,0.01,z
3451.0,3137.0,3136.0,3024.0,4095.0,3415.0,2642.0,2986.0,0.44,9.84,3.45,0.11,-0.18,-0.06,z
3447.0,3143.0,3131.0,3015.0,4095.0,3434.0,2646.0,2987.0,1.07,9.34,3.12,0.2,-0.73,-0.23,z
3455.0,3142.0,3131.0,3071.0,4095.0,3437.0,2640.0,2992.0,2.1,9.42,3.15,0.05,-0.64,-0.27,z
3461.0,3161.0,3139.0,2855.0,4095.0,3442.0,2645.0,2989.0,3.08,8.67,3.02,0.19,-0.81,-0.48,z
3504.0,3178.0,3161.0,2953.0,4095.0,3467.0,2690.0,3015.0,0.19,9.38,0.35,0.09,-0.97,-1.26,z
3506.0,3213.0,3189.0,3040.0,4095.0,3490.0,2705.0,3034.0,-8.31,7.25,-0.43,-0.04,-0.15,-1.61,z
3429.0,3120.0,3121.0,2960.0,4095.0,3425.0,2619.0,2958.0,-11.8,7.58,-3.24,0.05,-0.25,-0.26,z
3417.0,3133.0,3120.0,2942.0,4095.0,3409.0,2629.0,2959.0,-7.41,5.19,-5.55,-0.0,-0.17,0.22,z
3419.0,3133.0,3119.0,2970.0,4095.0,3405.0,2619.0,2959.0,-4.38,2.55,-6.15,-0.95,0.3,0.23,z
3408.0,3122.0,3107.0,2880.0,4095.0,3395.0,2607.0,2960.0,-3.89,4.63,-2.03,-3.32,1.25,0.06,z
