hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3949.0,3692.0,2730.0,4095.0,2752.0,2496.0,2801.0,2273.0,0.93,8.26,9.74,-0.47,0.54,0.28,a
3930.0,3685.0,2719.0,4095.0,2757.0,2491.0,2800.0,2275.0,1.15,8.47,10.31,-0.36,0.14,0.12,a
3952.0,3686.0,2726.0,4095.0,2757.0,2494.0,2800.0,2281.0,1.51,8.65,10.26,-0.16,-0.04,-0.07,a
3945.0,3673.0,2721.0,4095.0,2761.0,2494.0,2801.0,2286.0,1.37,8.62,10.02,-0.03,-0.09,-0.26,a
3950.0,3691.0,2727.0,4095.0,2762.0,2497.0,2806.0,2288.0,1.05,8.37,9.7,0.12,-0.11,-0.38,a
3949.0,3691.0,2718.0,4095.0,2755.0,2496.0,2801.0,2287.0,0.57,8.25,9.37,0.23,-0.06,-0.39,a
3938.0,3679.0,2736.0,4095.0,2762.0,2496.0,2801.0,2284.0,0.32,8.68,8.76,0.21,-0.01,-0.31,a
3953.0,3692.0,2733.0,4095.0,2761.0,2497.0,2805.0,2288.0,0.39,8.9,9.12,0.04,0.01,-0.19,a
3958.0,3687.0,2727.0,4095.0,2764.0,2500.0,2802.0,2287.0,0.6,8.67,9.47,0.07,0.05,-0.18,a
3943.0,3678.0,2715.0,4095.0,2756.0,2495.0,2801.0,2287.0,0.68,8.54,9.17,0.18,0.07,-0.23,a
3942.0,3680.0,2727.0,4095.0,2758.0,2498.0,2801.0,2287.0,0.67,8.51,8.78,0.2,0.07,-0.29,a
3930.0,3674.0,2723.0,4095.0,2756.0,2496.0,2800.0,2288.0,0.51,8.74,8.52,0.19,0.01,-0.33,a
3949.0,3707.0,2731.0,4095.0,2762.0,2497.0,2802.0,2288.0,0.33,9.03,8.26,0.07,-0.08,-0.29,a
3945.0,3677.0,2732.0,4095.0,2759.0,2503.0,2801.0,2290.0,0.21,8.91,8.68,-0.09,0.0,-0.21,a
3952.0,3687.0,2725.0,4095.0,2759.0,2500.0,2800.0,2287.0,0.15,8.53,9.31,-0.05,0.02,-0.19,a
3943.0,3685.0,2727.0,4095.0,2756.0,2496.0,2801.0,2288.0,0.26,8.49,8.96,0.09,0.05,-0.2,a
3939.0,3679.0,2717.0,4095.0,2758.0,2496.0,2800.0,2288.0,0.24,8.82,8.32,0.12,-0.01,-0.23,a
3933.0,3681.0,2727.0,4095.0,2755.0,2496.0,2800.0,2293.0,0.13,9.17,8.26,-0.03,-0.03,-0.18,a
3949.0,3685.0,2731.0,4095.0,2767.0,2497.0,2801.0,2288.0,0.04,8.99,8.86,-0.15,-0.0,-0.15,a
3953.0,3670.0,2729.0,4095.0,2757.0,2497.0,2800.0,2288.0,0.18,8.8,9.29,-0.03,0.02,-0.16,a
3962.0,3679.0,2730.0,4095.0,2765.0,2495.0,2800.0,2288.0,0.23,8.78,8.93,0.09,0.0,-0.21,a
3954.0,3678.0,2718.0,4095.0,2756.0,2495.0,2800.0,2288.0,0.15,8.9,8.69,0.11,0.0,-0.23,a
3959.0,3680.0,2735.0,4095.0,2767.0,2504.0,2802.0,2288.0,0.09,9.07,8.49,0.03,-0.02,-0.19,a
3925.0,3671.0,2723.0,4095.0,2765.0,2503.0,2800.0,2290.0,0.13,8.84,8.85,0.02,-0.04,-0.19,a
