hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
897.0,897.0,980.0,4095.0,2754.0,2398.0,2594.0,2377.0,0.69,9.79,4.89,0.05,-0.01,-0.19,a
897.0,903.0,981.0,4095.0,2763.0,2401.0,2602.0,2386.0,0.62,9.98,4.7,-0.01,-0.02,-0.12,a
912.0,899.0,987.0,4095.0,2768.0,2405.0,2602.0,2384.0,0.47,9.75,4.99,-0.01,-0.06,-0.23,a
898.0,911.0,978.0,4095.0,2772.0,2406.0,2599.0,2383.0,0.28,9.96,4.91,0.06,-0.08,-0.17,a
903.0,903.0,989.0,4095.0,2773.0,2406.0,2603.0,2383.0,0.58,9.75,4.85,0.02,-0.02,-0.18,a
907.0,906.0,985.0,4095.0,2781.0,2409.0,2605.0,2386.0,0.53,9.92,4.74,0.04,-0.03,-0.15,a
907.0,910.0,986.0,4095.0,2784.0,2410.0,2607.0,2391.0,0.84,9.77,4.8,-0.08,0.03,-0.16,a
909.0,899.0,991.0,4095.0,2784.0,2409.0,2608.0,2390.0,0.48,9.85,4.92,0.02,0.07,-0.25,a
899.0,899.0,992.0,4095.0,2786.0,2405.0,2607.0,2391.0,0.51,9.81,4.98,0.0,0.03,-0.25,a
906.0,895.0,993.0,4095.0,2786.0,2409.0,2603.0,2389.0,0.39,9.87,4.84,0.05,0.06,-0.25,a
903.0,895.0,993.0,4095.0,2789.0,2410.0,2606.0,2384.0,0.3,9.97,4.8,-0.0,-0.15,-0.18,a
908.0,907.0,988.0,4095.0,2791.0,2407.0,2606.0,2383.0,0.43,9.87,4.97,-0.03,-0.17,-0.05,a
905.0,897.0,1004.0,4095.0,2790.0,2407.0,2607.0,2378.0,0.38,9.89,5.21,0.01,-0.49,0.18,a
905.0,912.0,999.0,4095.0,2791.0,2403.0,2608.0,2375.0,1.35,9.58,4.79,0.1,0.03,-0.03,a
903.0,903.0,1005.0,4095.0,2793.0,2412.0,2611.0,2383.0,0.21,10.05,4.95,0.07,0.02,-0.08,a
897.0,906.0,998.0,4095.0,2791.0,2406.0,2605.0,2380.0,0.59,9.81,4.98,0.05,-0.42,0.17,a
902.0,911.0,1008.0,4095.0,2793.0,2411.0,2608.0,2381.0,0.84,9.86,4.79,0.12,-0.15,0.11,a
907.0,913.0,1008.0,4095.0,2791.0,2401.0,2608.0,2374.0,0.7,9.83,4.8,-0.02,-0.26,0.11,a
