hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3204.0,2498.0,2911.0,3263.0,4095.0,4095.0,4095.0,4095.0,-0.79,9.2,2.64,-0.03,0.03,0.0,b
3219.0,2493.0,2909.0,3237.0,4095.0,4095.0,4095.0,4095.0,-0.74,9.02,2.92,-0.09,-0.0,-0.04,b
3208.0,2465.0,2896.0,3114.0,4095.0,4095.0,4095.0,4095.0,-1.03,8.88,2.98,0.08,0.0,-0.1,b
3193.0,2480.0,2941.0,3127.0,4095.0,4095.0,4095.0,4095.0,-0.92,8.76,2.62,-0.0,-0.06,-0.03,b
3166.0,2461.0,2976.0,3131.0,4095.0,4095.0,4095.0,4095.0,-1.07,9.0,2.66,-0.03,-0.02,0.04,b
3174.0,2443.0,2992.0,3136.0,4095.0,4095.0,4095.0,4095.0,-0.7,9.01,2.8,-0.02,-0.07,0.04,b
3176.0,2441.0,2977.0,3152.0,4095.0,4095.0,4095.0,4095.0,-0.63,9.04,2.94,0.04,-0.11,-0.09,b
3313.0,2530.0,2862.0,3167.0,4095.0,4095.0,4095.0,4095.0,-0.97,9.14,2.73,0.27,0.03,-0.0,b
3597.0,2587.0,2855.0,3186.0,4095.0,4095.0,4095.0,4095.0,-1.16,9.38,2.74,-0.06,-0.11,0.02,b
3403.0,2581.0,2866.0,3199.0,4095.0,4095.0,4095.0,4095.0,-0.83,9.67,2.54,-0.16,-0.06,-0.04,b
3697.0,2538.0,2851.0,3205.0,4095.0,4095.0,4095.0,4095.0,-0.54,8.96,2.57,-0.16,-0.09,-0.02,b
3655.0,2541.0,2861.0,3214.0,4095.0,4095.0,4095.0,4095.0,-0.81,8.73,2.58,-0.01,0.01,-0.03,b
3759.0,2536.0,2831.0,3229.0,4095.0,4095.0,4095.0,4095.0,-0.81,8.91,2.34,-0.08,0.05,0.03,b
3825.0,2526.0,2827.0,3267.0,4095.0,4095.0,4095.0,4095.0,-0.52,9.06,2.74,-0.11,0.03,-0.03,b
3856.0,2528.0,2824.0,3249.0,4095.0,4095.0,4095.0,4095.0,-0.94,9.11,2.72,-0.05,0.0,-0.04,b
4095.0,2512.0,2800.0,3243.0,4095.0,4095.0,4095.0,4095.0,-0.9,8.96,2.61,-0.05,0.03,0.02,b
4095.0,2529.0,2818.0,3250.0,4095.0,4095.0,4095.0,4095.0,-0.7,8.88,2.87,-0.0,0.0,0.0,b
4095.0,2547.0,2832.0,3243.0,4095.0,4095.0,4095.0,4095.0,-0.64,8.92,2.87,-0.03,0.01,0.04,b
4095.0,2544.0,2830.0,3237.0,4095.0,4095.0,4095.0,4095.0,-0.82,9.12,3.1,0.01,0.02,-0.0,b
4095.0,2527.0,2833.0,3239.0,4095.0,4095.0,4095.0,4095.0,-0.59,9.37,2.95,0.1,0.02,0.0,b
4095.0,2533.0,2832.0,3247.0,4095.0,4095.0,4095.0,4095.0,-0.65,9.14,2.43,0.04,0.02,-0.01,b
4095.0,2524.0,2823.0,3247.0,4095.0,4095.0,4095.0,4095.0,-0.73,9.27,2.53,0.09,0.03,-0.02,b
4095.0,2537.0,2832.0,3259.0,4095.0,4095.0,4095.0,4095.0,-0.84,9.16,2.29,-0.01,0.05,-0.03,b
4095.0,2527.0,2822.0,3238.0,4095.0,4095.0,4095.0,4095.0,-0.69,9.2,2.65,-0.04,0.03,0.01,b
4095.0,2539.0,2819.0,3247.0,4095.0,4095.0,4095.0,4095.0,-0.71,9.08,3.03,-0.05,-0.0,0.02,b
4095.0,2539.0,2829.0,3263.0,4095.0,4095.0,4095.0,4095.0,-0.69,9.13,2.84,0.1,-0.09,-0.01,b
