hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3101.0,3121.0,3194.0,3446.0,3479.0,3830.0,3184.0,4095.0,1.53,8.32,4.68,-0.39,0.75,0.17,c
3079.0,3122.0,3196.0,3456.0,3486.0,3835.0,3227.0,4095.0,0.66,8.44,4.55,0.01,0.39,0.1,c
2922.0,3120.0,3200.0,3458.0,3504.0,3841.0,3153.0,4095.0,0.74,8.55,4.06,0.16,-0.31,-0.07,c
2912.0,3121.0,3205.0,3466.0,3506.0,3846.0,3153.0,4095.0,1.28,8.71,3.86,0.21,-0.32,-0.13,c
2913.0,3120.0,3194.0,3467.0,3511.0,3843.0,3152.0,4095.0,0.54,8.67,3.49,0.17,-0.07,-0.17,c
2910.0,3124.0,3197.0,3461.0,3509.0,3831.0,3136.0,4095.0,1.24,8.87,3.45,0.38,-0.26,-0.22,c
2845.0,3115.0,3199.0,3454.0,3507.0,3795.0,3093.0,4095.0,0.62,8.83,3.16,0.3,-0.36,-0.41,c
2723.0,3120.0,3195.0,3455.0,3515.0,3758.0,3071.0,4095.0,1.39,8.98,2.89,0.23,-0.35,-0.33,c
2645.0,3115.0,3201.0,3440.0,3528.0,3712.0,3061.0,4095.0,-0.13,9.18,2.58,0.16,-0.43,-0.47,c
2479.0,3149.0,3237.0,3434.0,3533.0,3711.0,3066.0,4095.0,0.95,9.21,2.81,0.18,-0.22,-0.45,c
2235.0,3166.0,3249.0,3408.0,3522.0,3671.0,3017.0,4095.0,-0.17,9.21,2.66,-0.16,-0.26,-0.41,c
2159.0,3152.0,3250.0,3409.0,3519.0,3638.0,2972.0,4091.0,0.09,9.03,2.94,-0.03,-0.08,-0.37,c
2087.0,3156.0,3259.0,3402.0,3493.0,3639.0,2977.0,4086.0,-0.78,9.1,2.93,-0.07,-0.17,-0.31,c
2054.0,3159.0,3251.0,3408.0,3483.0,3635.0,3009.0,4019.0,-0.9,9.13,2.63,-0.12,0.1,-0.22,c
1936.0,3151.0,3263.0,3409.0,3491.0,3618.0,2962.0,3918.0,-0.89,9.09,2.75,-0.18,-0.02,-0.2,c
1614.0,3152.0,3267.0,3416.0,3504.0,3607.0,2948.0,3779.0,-0.91,9.15,3.01,-0.1,-0.06,-0.1,c
1557.0,3139.0,3265.0,3413.0,3523.0,3622.0,2959.0,3792.0,-1.71,9.18,2.35,-0.21,0.23,0.06,c
1556.0,3140.0,3255.0,3417.0,3536.0,3632.0,2965.0,3815.0,-1.41,8.94,2.05,-0.48,0.32,0.21,c
1555.0,3152.0,3259.0,3421.0,3543.0,3641.0,2967.0,3856.0,-1.38,8.94,2.62,-0.58,0.31,0.36,c
1566.0,3141.0,3259.0,3430.0,3544.0,3637.0,2952.0,3820.0,-0.58,8.53,3.76,-0.6,0.38,0.42,c
1555.0,3133.0,3257.0,3435.0,3555.0,3619.0,3010.0,3716.0,-0.04,8.45,4.62,-0.55,0.3,0.46,c
1535.0,3130.0,3254.0,3430.0,3554.0,3619.0,2960.0,3600.0,0.06,8.27,4.36,-0.47,0.34,0.38,c
1535.0,3120.0,3248.0,3438.0,3561.0,3612.0,2957.0,3613.0,0.03,8.18,4.96,-0.49,0.36,0.39,c
1533.0,3130.0,3250.0,3439.0,3565.0,3617.0,3026.0,3634.0,0.55,8.06,5.54,-0.32,0.32,0.33,c
1530.0,3125.0,3250.0,3441.0,3569.0,3615.0,2933.0,3596.0,0.62,8.01,6.02,-0.21,0.17,0.24,c
1501.0,3120.0,3247.0,3445.0,3605.0,3633.0,2947.0,3607.0,0.89,7.96,5.61,-0.03,0.17,0.11,c
1510.0,3120.0,3248.0,3447.0,3615.0,3639.0,2957.0,3659.0,0.23,7.91,5.27,0.17,0.15,0.05,c
1579.0,3117.0,3247.0,3447.0,3619.0,3542.0,2969.0,3710.0,0.84,8.41,5.04,0.21,-0.21,-0.08,c
1695.0,3115.0,3250.0,3452.0,3611.0,3515.0,2972.0,3715.0,0.12,8.3,4.26,-0.03,-0.14,-0.18,c
1725.0,3120.0,3258.0,3457.0,3613.0,3534.0,2974.0,3705.0,0.5,8.01,4.88,0.17,-0.5,-0.12,c
1775.0,3107.0,3247.0,3451.0,3603.0,3570.0,2986.0,3695.0,0.34,8.48,5.01,0.32,-0.29,-0.12,c
2006.0,3099.0,3249.0,3455.0,3573.0,3648.0,3007.0,3611.0,0.14,8.3,4.47,0.45,-0.42,-0.02,c
1867.0,3114.0,3253.0,3461.0,3552.0,3737.0,2935.0,3543.0,0.9,9.02,4.41,0.24,-0.14,-0.29,c
1515.0,3133.0,3248.0,3459.0,3488.0,3778.0,2941.0,3506.0,-0.48,8.33,3.63,0.35,-0.29,-0.13,c
1530.0,3139.0,3246.0,3471.0,3470.0,3727.0,2864.0,3501.0,0.37,8.73,3.55,0.43,-0.21,-0.07,c
1630.0,3127.0,3247.0,3474.0,3471.0,3651.0,2875.0,3505.0,0.42,8.69,3.58,0.54,-0.57,-0.06,c
1834.0,3084.0,3248.0,3484.0,3467.0,3630.0,2870.0,3440.0,0.43,9.07,3.51,0.48,-0.29,-0.16,c
1937.0,2965.0,3248.0,3499.0,3465.0,3621.0,2882.0,3445.0,0.46,8.88,3.28,0.59,-0.4,-0.15,c
