hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3283.0,2887.0,2858.0,4095.0,4095.0,3827.0,2920.0,3249.0,0.2,9.4,0.22,-0.02,-0.0,-0.03,d
3274.0,2894.0,2860.0,4095.0,4095.0,3831.0,2928.0,3264.0,-0.06,9.77,0.44,0.04,0.02,-0.02,d
3282.0,2886.0,2862.0,4095.0,4095.0,3831.0,2922.0,3254.0,0.02,9.73,0.08,0.1,-0.03,0.01,d
3282.0,2895.0,2864.0,4095.0,4095.0,3830.0,2928.0,3253.0,-0.05,9.75,0.17,-0.0,-0.01,-0.01,d
3280.0,2885.0,2857.0,4095.0,4095.0,3839.0,2927.0,3250.0,0.02,9.85,0.16,0.06,0.02,-0.01,d
3276.0,2879.0,2865.0,3957.0,3728.0,3825.0,2898.0,3231.0,-0.59,10.09,-0.12,0.1,0.0,-0.01,d
3280.0,2897.0,2864.0,4006.0,3895.0,3838.0,2915.0,3239.0,-0.05,9.76,-0.13,-0.06,-0.09,0.09,d
3286.0,2893.0,2850.0,4095.0,4095.0,3879.0,2991.0,3293.0,0.04,9.61,-0.03,-0.11,0.02,-0.04,d
3274.0,2882.0,2863.0,4095.0,4095.0,3903.0,3029.0,3314.0,-0.25,9.8,0.2,0.01,-0.03,0.01,d
3279.0,2891.0,2863.0,4095.0,4095.0,3916.0,3018.0,3325.0,0.04,9.71,0.08,-0.03,-0.01,0.02,d
3264.0,2893.0,2861.0,4095.0,4095.0,3919.0,3019.0,3323.0,-0.12,9.79,0.16,0.0,-0.02,0.01,d
3269.0,2890.0,2855.0,4095.0,4095.0,3904.0,3002.0,3316.0,-0.05,9.82,0.05,0.04,-0.05,-0.0,d
3266.0,2884.0,2863.0,4095.0,4095.0,3903.0,2999.0,3315.0,0.13,9.67,0.2,0.0,-0.05,-0.0,d
3279.0,2885.0,2864.0,4095.0,4095.0,3907.0,3009.0,3317.0,0.04,9.7,0.14,0.03,-0.05,0.02,d
3277.0,2887.0,2859.0,4095.0,4095.0,3909.0,3005.0,3318.0,0.01,9.6,0.01,-0.02,-0.02,-0.03,d
3277.0,2881.0,2859.0,4095.0,4095.0,3909.0,3006.0,3312.0,0.05,9.69,0.07,-0.01,0.0,-0.01,d
3267.0,2888.0,2862.0,4095.0,4095.0,3921.0,2999.0,3322.0,0.01,9.72,0.01,0.01,-0.01,-0.0,d
3263.0,2884.0,2858.0,4095.0,4095.0,3920.0,3007.0,3323.0,-0.06,9.66,0.02,-0.03,0.04,-0.04,d
3270.0,2884.0,2865.0,4095.0,4095.0,3902.0,3009.0,3318.0,-0.04,9.69,0.02,-0.03,0.0,-0.02,d
3267.0,2890.0,2858.0,4095.0,4095.0,3915.0,3003.0,3316.0,0.05,9.67,-0.08,-0.08,0.01,-0.02,d
3266.0,2896.0,2864.0,4095.0,4095.0,3908.0,3005.0,3317.0,-0.03,9.65,0.21,-0.03,0.03,-0.02,d
3276.0,2890.0,2864.0,4095.0,4095.0,3920.0,3005.0,3323.0,0.09,9.68,0.08,-0.06,0.01,-0.02,d
3275.0,2885.0,2854.0,4095.0,4095.0,3916.0,3011.0,3328.0,-0.17,9.74,0.07,0.02,0.03,-0.01,d
3280.0,2893.0,2855.0,4095.0,4095.0,3926.0,3010.0,3325.0,0.01,9.64,-0.09,-0.09,0.04,-0.04,d
3276.0,2882.0,2854.0,4095.0,4095.0,3920.0,3013.0,3317.0,-0.01,9.73,0.29,-0.01,0.01,-0.01,d
3275.0,2898.0,2866.0,4095.0,4095.0,3914.0,3010.0,3314.0,0.19,9.77,0.23,0.03,-0.0,-0.03,d
3262.0,2882.0,2852.0,4095.0,4095.0,3910.0,3010.0,3325.0,-0.13,9.61,0.08,0.0,0.01,-0.04,d
3280.0,2896.0,2852.0,4095.0,4095.0,3920.0,3007.0,3315.0,-0.22,9.63,-0.07,-0.01,-0.0,-0.05,d
3268.0,2891.0,2855.0,4095.0,4095.0,3903.0,3008.0,3321.0,-0.01,9.72,-0.1,-0.01,-0.01,-0.03,d
3269.0,2891.0,2850.0,4095.0,4095.0,3907.0,3008.0,3313.0,-0.09,9.69,0.05,-0.01,0.0,-0.02,d
3261.0,2883.0,2857.0,4095.0,4095.0,3919.0,3003.0,3321.0,-0.16,9.62,-0.2,-0.02,0.0,-0.03,d
3271.0,2894.0,2865.0,4095.0,4095.0,3899.0,3006.0,3317.0,-0.08,9.8,-0.02,-0.01,-0.0,-0.02,d
3265.0,2887.0,2867.0,4095.0,4095.0,3919.0,3008.0,3315.0,-0.06,9.74,-0.13,-0.02,0.01,-0.02,d
3269.0,2902.0,2859.0,4095.0,4095.0,3923.0,3011.0,3312.0,-0.19,9.78,-0.12,-0.04,0.02,-0.04,d
3280.0,2883.0,2853.0,4095.0,4095.0,3940.0,3014.0,3303.0,-0.17,9.65,-0.1,-0.03,0.03,-0.03,d
3273.0,2892.0,2850.0,4095.0,4095.0,3920.0,3008.0,3309.0,-0.11,9.76,-0.08,-0.07,-0.0,-0.0,d
3262.0,2889.0,2864.0,4095.0,4095.0,3923.0,3021.0,3313.0,-0.1,9.81,0.01,-0.01,-0.02,-0.01,d
3267.0,2896.0,2853.0,4095.0,4095.0,3939.0,3005.0,3296.0,-0.16,9.72,-0.21,-0.01,-0.02,-0.01,d
3259.0,2896.0,2864.0,4055.0,4095.0,3926.0,2976.0,3267.0,-0.22,9.73,-0.16,-0.05,-0.01,-0.01,d
3266.0,2891.0,2862.0,4046.0,4095.0,3926.0,2979.0,3280.0,-0.16,9.8,-0.08,-0.03,-0.02,0.01,d
3270.0,2896.0,2850.0,4063.0,4095.0,3943.0,2986.0,3279.0,-0.12,9.71,0.01,-0.01,0.01,-0.02,d
3277.0,2896.0,2864.0,4043.0,4095.0,3919.0,2991.0,3287.0,-0.09,9.68,-0.18,-0.04,-0.0,-0.03,d
3267.0,2883.0,2863.0,4016.0,4095.0,3920.0,2974.0,3277.0,-0.11,9.69,-0.14,-0.06,0.02,-0.02,d
3271.0,2887.0,2862.0,3953.0,4095.0,3915.0,2965.0,3271.0,-0.14,9.69,0.08,-0.03,-0.01,0.0,d
3264.0,2893.0,2864.0,3954.0,4095.0,3905.0,2931.0,3248.0,-0.16,9.55,-0.02,0.01,0.01,-0.01,d
3269.0,2896.0,2853.0,3947.0,4095.0,3905.0,2931.0,3250.0,-0.18,9.56,-0.09,-0.01,-0.01,-0.01,d
3266.0,2890.0,2849.0,3953.0,4095.0,3919.0,2946.0,3265.0,-0.15,9.48,-0.2,-0.06,0.03,-0.04,d
3258.0,2895.0,2857.0,3969.0,4095.0,3909.0,2959.0,3269.0,-0.07,9.59,-0.02,-0.04,0.02,-0.01,d
3269.0,2894.0,2861.0,3978.0,4095.0,3921.0,2956.0,3271.0,-0.1,9.64,-0.09,-0.05,0.0,-0.03,d
3263.0,2892.0,2860.0,3971.0,4095.0,3915.0,2960.0,3280.0,-0.27,9.66,-0.04,0.02,0.04,-0.04,d
3268.0,2889.0,2855.0,3967.0,4095.0,3918.0,2963.0,3280.0,-0.18,9.59,-0.22,-0.03,0.02,-0.03,d
3273.0,2882.0,2855.0,3991.0,4095.0,3917.0,2955.0,3282.0,-0.23,9.6,-0.08,-0.05,0.01,0.01,d
3264.0,2896.0,2864.0,3977.0,4095.0,3922.0,2969.0,3280.0,-0.07,9.68,-0.01,-0.07,0.01,0.01,d
3275.0,2894.0,2859.0,3969.0,4095.0,3933.0,2970.0,3280.0,-0.07,9.66,-0.05,-0.07,0.0,-0.01,d
3267.0,2887.0,2855.0,3982.0,4095.0,3921.0,2967.0,3279.0,-0.07,9.75,0.07,-0.04,-0.03,0.01,d
3263.0,2894.0,2862.0,3987.0,4095.0,3923.0,2960.0,3282.0,0.01,9.73,0.0,-0.07,-0.01,-0.01,d
3269.0,2886.0,2863.0,3984.0,4095.0,3910.0,2965.0,3280.0,-0.02,9.67,0.08,-0.06,0.0,-0.03,d
3270.0,2887.0,2851.0,3971.0,4095.0,3913.0,2971.0,3280.0,-0.2,9.64,0.11,-0.02,0.0,-0.01,d
3275.0,2889.0,2851.0,3984.0,4095.0,3911.0,2971.0,3283.0,-0.09,9.64,0.14,-0.02,-0.02,0.0,d
3267.0,2899.0,2860.0,3978.0,4095.0,3907.0,2970.0,3284.0,-0.02,9.61,0.0,-0.02,-0.02,-0.03,d
3265.0,2894.0,2855.0,3992.0,4095.0,3937.0,2963.0,3280.0,-0.15,9.67,0.06,-0.04,0.0,-0.03,d
3279.0,2893.0,2854.0,3969.0,4095.0,3921.0,2967.0,3287.0,-0.02,9.62,0.03,-0.03,0.05,-0.02,d
3267.0,2895.0,2866.0,3963.0,4095.0,3925.0,2962.0,3286.0,-0.08,9.58,0.14,-0.03,0.01,-0.03,d
3265.0,2887.0,2864.0,3955.0,4095.0,3919.0,2974.0,3282.0,-0.14,9.68,0.04,-0.02,0.01,-0.01,d
3275.0,2896.0,2850.0,3967.0,4095.0,3916.0,2962.0,3286.0,-0.05,9.55,0.1,-0.02,-0.01,-0.02,d
3265.0,2894.0,2853.0,3947.0,4095.0,3905.0,2963.0,3280.0,-0.33,9.6,0.02,-0.03,-0.01,-0.01,d
3270.0,2882.0,2859.0,3963.0,4095.0,3907.0,2969.0,3281.0,-0.11,9.64,-0.01,-0.04,0.02,-0.02,d
3261.0,2886.0,2867.0,3977.0,4095.0,3916.0,2961.0,3282.0,-0.15,9.65,0.07,-0.05,0.02,-0.02,d
3277.0,2896.0,2858.0,3968.0,4095.0,3905.0,2960.0,3283.0,-0.12,9.65,0.17,-0.02,-0.0,-0.01,d
3270.0,2899.0,2864.0,3977.0,4095.0,3915.0,2971.0,3293.0,0.05,9.56,-0.02,-0.02,0.0,-0.05,d
3277.0,2887.0,2859.0,3967.0,4095.0,3926.0,2962.0,3283.0,-0.11,9.57,0.08,-0.03,-0.0,-0.01,d
