hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3221.0,3063.0,3300.0,3071.0,4095.0,3706.0,2981.0,3502.0,-0.34,9.72,-1.06,0.05,-0.05,0.02,d
3217.0,3082.0,3295.0,3088.0,4095.0,3699.0,2990.0,3506.0,-0.11,9.53,-0.48,0.08,0.04,0.05,d
3216.0,3071.0,3302.0,3082.0,4095.0,3697.0,2989.0,3507.0,0.05,9.79,-0.43,-0.08,-0.08,0.07,d
3219.0,3025.0,3301.0,3062.0,4095.0,3735.0,2989.0,3482.0,-0.01,9.62,-0.08,-0.02,-0.26,0.28,d
3225.0,2992.0,3303.0,3049.0,4095.0,3749.0,2983.0,3470.0,0.66,9.62,-0.13,0.14,-0.19,-0.02,d
3183.0,2992.0,3296.0,3024.0,4095.0,3701.0,2943.0,3443.0,0.21,9.64,-0.39,0.19,-0.24,-0.06,d
3150.0,2996.0,3295.0,3024.0,4095.0,3638.0,2922.0,3423.0,-0.27,9.65,-1.06,0.14,-0.07,-0.23,d
3138.0,2992.0,3298.0,2929.0,4095.0,3541.0,2843.0,3298.0,-0.85,9.54,-1.34,0.18,-0.05,-0.2,d
3175.0,2993.0,3299.0,2972.0,4095.0,3583.0,2887.0,3365.0,-0.81,9.99,-1.24,-0.15,-0.02,-0.06,d
3230.0,3026.0,3309.0,3049.0,4095.0,3683.0,2958.0,3518.0,-0.71,9.36,-1.07,0.59,0.07,0.26,d
3339.0,3056.0,3308.0,3146.0,4095.0,3764.0,3024.0,3674.0,-0.55,9.92,-1.54,-0.19,0.42,0.08,d
3371.0,3058.0,3309.0,3174.0,4095.0,3797.0,3041.0,3703.0,0.34,8.97,-1.3,-0.14,0.2,0.15,d
3312.0,3055.0,3311.0,3154.0,4095.0,3792.0,3026.0,3692.0,0.5,9.8,-1.65,-0.47,0.23,-0.08,d
3342.0,3071.0,3312.0,3059.0,4095.0,3729.0,2987.0,3596.0,0.05,9.62,-1.18,-0.4,0.3,-0.07,d
3371.0,3083.0,3314.0,3046.0,3675.0,3754.0,2989.0,3574.0,0.3,9.02,0.84,-0.35,0.13,0.21,d
3493.0,3079.0,3321.0,3092.0,3521.0,3780.0,3013.0,3622.0,1.29,10.26,0.72,-0.1,0.44,-0.06,d
3381.0,3091.0,3325.0,3144.0,3643.0,3792.0,3031.0,3638.0,-0.07,9.45,0.5,-0.05,0.2,0.05,d
3278.0,3114.0,3319.0,3183.0,3847.0,3765.0,3042.0,3653.0,0.55,9.84,-0.35,-0.03,-0.0,-0.13,d
3229.0,3123.0,3323.0,3216.0,4095.0,3749.0,3047.0,3670.0,0.03,9.58,-0.17,-0.09,-0.1,-0.08,d
3217.0,3125.0,3322.0,3225.0,4095.0,3755.0,3050.0,3689.0,0.01,9.45,-0.07,0.15,-0.11,-0.03,d
3207.0,3123.0,3315.0,3237.0,4095.0,3765.0,3062.0,3714.0,-0.08,9.86,0.56,0.09,0.02,-0.07,d
3198.0,3125.0,3312.0,3248.0,4095.0,3773.0,3069.0,3726.0,0.36,9.74,1.15,0.24,-0.23,-0.01,d
3183.0,3125.0,3316.0,3247.0,4095.0,3767.0,3071.0,3723.0,0.19,9.69,-0.05,0.17,-0.3,-0.12,d
3161.0,3121.0,3312.0,3239.0,4095.0,3770.0,3094.0,3718.0,0.21,9.61,-1.53,0.17,-0.25,-0.23,d
3152.0,3113.0,3311.0,3232.0,4095.0,3771.0,3147.0,3724.0,-0.61,9.55,-1.89,0.2,-0.48,-0.09,d
3146.0,3118.0,3315.0,3230.0,4095.0,3775.0,3150.0,3715.0,-0.47,9.49,-3.62,0.1,0.15,-0.38,d
3149.0,3120.0,3313.0,3218.0,4095.0,3756.0,3147.0,3707.0,-1.89,9.76,-3.34,-0.02,-0.05,0.03,d
3152.0,3121.0,3328.0,3211.0,4095.0,3746.0,3133.0,3696.0,-0.38,9.57,-2.25,-0.42,0.62,-0.17,d
3155.0,3119.0,3333.0,3184.0,4095.0,3712.0,3111.0,3664.0,-1.08,9.92,-1.48,-0.31,0.78,0.02,d
3158.0,3117.0,3341.0,3129.0,4095.0,3670.0,2987.0,3612.0,0.17,12.93,-2.18,-0.33,1.01,-0.06,d
3152.0,3066.0,3287.0,3024.0,4095.0,3529.0,2932.0,3515.0,0.82,12.26,1.5,-0.16,0.68,0.03,d
3141.0,3056.0,3289.0,3056.0,4095.0,3503.0,2927.0,3552.0,-1.17,10.25,-0.46,-0.19,0.97,-0.42,d
3139.0,3071.0,3296.0,3071.0,4095.0,3454.0,2896.0,3547.0,-0.42,9.98,-0.6,-0.17,0.42,-0.14,d
3094.0,3071.0,3311.0,3098.0,4095.0,3435.0,2896.0,3554.0,-0.27,9.38,0.99,-0.42,0.18,-0.18,d
3017.0,3081.0,3293.0,3141.0,4095.0,3437.0,2906.0,3549.0,0.08,10.2,2.51,-0.11,0.29,0.05,d
3037.0,3088.0,3310.0,3120.0,4095.0,3520.0,2961.0,3615.0,-1.75,9.45,1.02,-0.22,0.82,-0.25,d
3059.0,3106.0,3338.0,3167.0,4095.0,3572.0,3017.0,3691.0,-0.84,9.57,0.78,0.01,0.08,-0.12,d
3066.0,3099.0,3331.0,3199.0,4095.0,3600.0,3030.0,3707.0,-1.2,9.55,0.4,0.04,-0.12,-0.09,d
3039.0,3127.0,3351.0,3235.0,4095.0,3653.0,3081.0,3738.0,-0.93,9.56,-0.04,0.15,-0.13,-0.16,d
3019.0,3140.0,3366.0,3270.0,4095.0,3695.0,3109.0,3760.0,-1.97,9.68,-0.05,-0.18,0.26,-0.2,d
3006.0,3171.0,3403.0,3280.0,4095.0,3747.0,3154.0,3815.0,-0.69,9.62,1.12,0.15,0.07,0.03,d
3026.0,3162.0,3381.0,3289.0,4095.0,3747.0,3150.0,3806.0,-1.86,9.58,0.01,0.22,0.08,-0.02,d
3050.0,3172.0,3383.0,3305.0,4095.0,3745.0,3150.0,3805.0,-0.94,9.66,-0.45,0.27,-0.15,0.07,d
3031.0,3157.0,3371.0,3312.0,4095.0,3729.0,3137.0,3783.0,-1.12,9.26,-0.16,0.25,-0.16,0.11,d
3069.0,3125.0,3376.0,3298.0,4095.0,3702.0,3120.0,3702.0,-0.1,9.97,0.08,0.49,-0.23,0.07,d
3163.0,3151.0,3371.0,3294.0,4095.0,3728.0,3134.0,3730.0,-0.84,9.76,-0.59,0.18,0.02,0.06,d
3297.0,3168.0,3360.0,3289.0,4095.0,3786.0,3149.0,3787.0,-0.87,9.59,-0.83,-0.04,0.0,-0.16,d
3318.0,3183.0,3378.0,3334.0,4095.0,3829.0,3168.0,3813.0,-1.38,9.62,-0.51,0.2,-0.58,0.25,d
3253.0,3182.0,3379.0,3321.0,4095.0,3830.0,3168.0,3809.0,-0.23,9.57,-0.54,0.21,-0.06,0.01,d
3229.0,3162.0,3361.0,3299.0,4095.0,3829.0,3163.0,3815.0,-0.66,9.45,-1.01,0.28,-0.09,-0.14,d
3231.0,3163.0,3367.0,3252.0,4095.0,3839.0,3167.0,3810.0,-1.48,9.44,-1.72,0.34,-0.08,0.02,d
3239.0,3152.0,3362.0,3237.0,4095.0,3753.0,3137.0,3723.0,-0.8,9.53,-2.48,0.27,-0.02,0.01,d
3232.0,3152.0,3360.0,3255.0,4095.0,3757.0,3131.0,3710.0,-1.22,9.21,-1.59,0.12,-0.27,0.08,d
3231.0,3150.0,3359.0,3269.0,4095.0,3770.0,3120.0,3674.0,-1.14,9.59,-1.46,0.33,-0.17,0.08,d
3243.0,3129.0,3348.0,3228.0,4095.0,3754.0,3090.0,3600.0,-0.33,9.93,-1.65,0.18,0.07,0.05,d
3248.0,3125.0,3343.0,3245.0,4095.0,3767.0,3107.0,3637.0,-0.81,9.62,-2.5,-0.04,0.12,-0.05,d
3218.0,3134.0,3342.0,3281.0,4095.0,3790.0,3149.0,3700.0,-1.07,9.58,-3.66,-0.46,0.22,-0.29,d
3205.0,3147.0,3338.0,3281.0,4095.0,3798.0,3153.0,3735.0,-0.67,9.69,-1.9,-0.34,-0.2,0.01,d
3203.0,3145.0,3343.0,3294.0,4095.0,3814.0,3158.0,3745.0,-1.3,9.3,-1.99,-0.45,0.4,-0.06,d
3201.0,3152.0,3333.0,3313.0,4095.0,3826.0,3169.0,3759.0,-1.1,9.69,-3.43,-0.39,0.49,-0.04,d
3200.0,3198.0,3377.0,3338.0,4095.0,3888.0,3221.0,3829.0,-1.98,9.19,-1.99,-0.9,0.28,0.16,d
3198.0,3167.0,3351.0,3351.0,4095.0,3868.0,3204.0,3812.0,-0.65,9.75,-0.21,-0.8,0.65,0.03,d
3198.0,3166.0,3355.0,3351.0,4095.0,3856.0,3215.0,3806.0,-0.49,9.35,0.89,-0.56,0.57,0.14,d
3195.0,3159.0,3344.0,3345.0,4095.0,3851.0,3205.0,3792.0,-0.82,9.45,-0.51,-0.53,0.78,-0.08,d
3191.0,3165.0,3350.0,3360.0,4095.0,3867.0,3216.0,3806.0,-1.63,9.23,0.66,-1.04,0.13,0.2,d
3191.0,3184.0,3373.0,3312.0,4095.0,3833.0,3219.0,3806.0,0.66,9.03,3.33,-0.54,0.35,0.06,d
