hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2999.0,2778.0,2647.0,3173.0,4095.0,3327.0,2711.0,3539.0,-0.76,8.91,2.37,-0.55,0.09,-0.02,d
2989.0,2773.0,2650.0,3177.0,4095.0,3327.0,2706.0,3565.0,-1.34,8.96,3.18,-0.24,0.09,0.31,d
2992.0,2790.0,2644.0,3183.0,4095.0,3335.0,2706.0,3569.0,-0.73,8.81,3.5,-0.15,0.03,0.44,d
2992.0,2768.0,2646.0,3183.0,4095.0,3339.0,2710.0,3555.0,0.01,8.97,3.2,0.21,0.06,0.23,d
2992.0,2775.0,2643.0,3169.0,4095.0,3343.0,2714.0,3541.0,0.13,8.89,3.09,0.84,-0.06,0.37,d
2992.0,2779.0,2645.0,3141.0,4095.0,3345.0,2711.0,3543.0,0.67,9.7,1.37,0.73,-0.06,-0.08,d
2992.0,2784.0,2647.0,3095.0,4095.0,3349.0,2706.0,3531.0,0.45,9.71,0.63,0.68,-0.04,-0.93,d
2996.0,2781.0,2643.0,3057.0,4095.0,3346.0,2708.0,3531.0,-1.41,9.65,-0.2,-0.06,-0.02,-0.6,d
2992.0,2778.0,2651.0,3070.0,4095.0,3351.0,2710.0,3519.0,-1.78,9.6,0.38,-0.48,0.14,-0.33,d
2991.0,2775.0,2646.0,3100.0,4095.0,3360.0,2711.0,3527.0,-1.57,9.4,1.22,-0.36,0.07,0.02,d
2992.0,2783.0,2646.0,3129.0,4095.0,3357.0,2713.0,3545.0,-1.66,9.33,1.21,-0.32,0.19,0.37,d
2996.0,2773.0,2641.0,3151.0,4095.0,3361.0,2719.0,3555.0,-0.93,9.42,1.5,-0.44,0.2,0.54,d
2991.0,2769.0,2643.0,3167.0,4095.0,3367.0,2722.0,3568.0,-0.45,9.18,2.07,-0.09,0.06,0.51,d
2990.0,2768.0,2651.0,3186.0,4095.0,3370.0,2719.0,3568.0,-0.16,9.46,1.43,0.23,-0.04,-0.14,d
2989.0,2775.0,2641.0,3150.0,4095.0,3357.0,2722.0,3543.0,-0.92,9.48,0.65,0.16,-0.18,-0.59,d
2988.0,2774.0,2647.0,3136.0,4095.0,3360.0,2718.0,3542.0,-1.85,9.52,0.76,-0.28,-0.05,-0.52,d
2997.0,2774.0,2645.0,3147.0,4095.0,3354.0,2715.0,3551.0,-2.53,9.53,1.7,-0.4,-0.1,-0.25,d
2994.0,2778.0,2647.0,3183.0,4095.0,3305.0,2684.0,3560.0,-1.74,8.62,2.36,-0.83,-0.08,-0.15,d
3010.0,2783.0,2672.0,3238.0,4095.0,3273.0,2653.0,3569.0,-1.65,8.63,2.63,-0.52,-0.07,-0.17,d
3013.0,2783.0,2687.0,3255.0,4095.0,3248.0,2622.0,3600.0,-2.04,8.56,3.52,0.09,-0.12,-0.13,d
2991.0,2786.0,2703.0,3254.0,4095.0,3219.0,2595.0,3603.0,-2.24,8.66,3.11,0.09,-0.04,-0.11,d
3001.0,2785.0,2707.0,3206.0,4095.0,3246.0,2607.0,3599.0,-2.26,8.86,3.11,0.67,0.09,0.03,d
3010.0,2787.0,2699.0,3129.0,4095.0,3270.0,2620.0,3555.0,-1.66,9.48,1.99,0.58,-0.05,0.15,d
3002.0,2784.0,2686.0,3041.0,4095.0,3324.0,2678.0,3530.0,-1.35,9.57,1.46,0.45,-0.05,0.17,d
2992.0,2767.0,2668.0,3173.0,4095.0,3425.0,2756.0,3521.0,-0.8,9.53,1.21,0.38,-0.13,0.08,d
2983.0,2768.0,2559.0,3510.0,4095.0,3600.0,2933.0,3607.0,-0.97,9.53,1.26,0.18,0.05,0.16,d
2987.0,2768.0,2503.0,3989.0,4095.0,3730.0,3063.0,3719.0,-0.84,9.02,0.79,-0.21,0.08,0.11,d
2987.0,2770.0,2504.0,4053.0,4095.0,3664.0,3011.0,3686.0,-0.22,9.44,0.38,0.37,0.0,0.58,d
