hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2946.0,845.0,1235.0,4005.0,4095.0,2446.0,2781.0,2735.0,1.33,9.6,6.83,-0.07,0.42,-0.25,d
2951.0,851.0,1235.0,3999.0,4095.0,2443.0,2777.0,2732.0,1.49,9.52,6.42,0.02,0.37,-0.24,d
2948.0,847.0,1242.0,4026.0,4095.0,2447.0,2782.0,2734.0,1.15,9.3,6.56,0.1,0.14,-0.27,d
2949.0,849.0,1243.0,4009.0,4095.0,2448.0,2778.0,2729.0,1.36,9.66,5.74,0.07,-0.18,-0.24,d
2948.0,849.0,1235.0,3998.0,4095.0,2445.0,2782.0,2736.0,1.0,9.7,5.97,0.01,-0.13,-0.18,d
2948.0,857.0,1247.0,3995.0,4095.0,2446.0,2780.0,2735.0,1.64,9.88,5.75,-0.16,-0.06,-0.07,d
2943.0,860.0,1235.0,4000.0,4095.0,2447.0,2782.0,2736.0,1.8,9.69,6.58,-0.07,-0.1,-0.06,d
2950.0,851.0,1234.0,4022.0,4095.0,2449.0,2783.0,2734.0,1.84,9.56,6.62,0.05,0.0,-0.08,d
2945.0,852.0,1237.0,4009.0,4095.0,2445.0,2778.0,2730.0,1.81,9.79,6.43,0.14,-0.04,-0.19,d
2954.0,849.0,1246.0,4031.0,4095.0,2442.0,2781.0,2734.0,1.43,9.74,6.43,0.15,-0.05,-0.21,d
2964.0,864.0,1241.0,4022.0,4095.0,2447.0,2783.0,2731.0,1.54,9.68,6.57,0.1,-0.08,-0.3,d
2943.0,853.0,1234.0,4017.0,4095.0,2448.0,2778.0,2733.0,1.44,9.78,6.24,0.0,0.18,-0.27,d
2946.0,857.0,1237.0,4004.0,4095.0,2446.0,2783.0,2735.0,1.5,9.62,6.58,0.14,-0.11,-0.31,d
2951.0,852.0,1232.0,4022.0,4095.0,2448.0,2784.0,2735.0,1.3,9.79,6.12,0.11,0.03,-0.28,d
2959.0,861.0,1235.0,4034.0,4095.0,2449.0,2790.0,2731.0,1.2,9.8,6.2,0.1,-0.11,-0.29,d
2958.0,850.0,1239.0,4011.0,4095.0,2446.0,2785.0,2734.0,1.32,9.64,6.26,-0.01,0.1,-0.25,d
2948.0,848.0,1233.0,4022.0,4095.0,2448.0,2787.0,2735.0,0.91,9.67,6.07,0.04,-0.05,-0.29,d
2947.0,858.0,1231.0,4003.0,4095.0,2448.0,2783.0,2736.0,1.47,9.89,5.02,0.0,-0.79,-0.35,d
2953.0,846.0,1230.0,3984.0,4095.0,2438.0,2775.0,2736.0,2.02,10.05,5.3,-0.14,-1.27,-0.6,d
2950.0,858.0,1232.0,4007.0,4095.0,2446.0,2778.0,2733.0,1.25,10.23,6.45,0.09,-0.61,-0.61,d
2947.0,854.0,1222.0,4014.0,4095.0,2442.0,2782.0,2732.0,2.0,9.82,5.19,0.11,-0.49,-0.57,d
2961.0,855.0,1210.0,3993.0,4095.0,2437.0,2773.0,2733.0,0.52,8.77,2.51,-0.37,0.08,-0.52,d
2960.0,848.0,1223.0,4021.0,4095.0,2437.0,2786.0,2735.0,-1.33,8.54,9.6,-1.09,0.26,-0.44,d
2953.0,857.0,1222.0,4016.0,4095.0,2427.0,2778.0,2733.0,-0.22,9.52,7.55,-0.22,-0.19,-0.34,d
2944.0,851.0,1234.0,4016.0,4095.0,2422.0,2781.0,2736.0,-0.7,9.35,7.96,-0.05,-0.06,-0.25,d
2955.0,855.0,1222.0,4025.0,4095.0,2422.0,2781.0,2735.0,0.03,9.17,7.19,0.6,-0.36,-0.29,d
2953.0,854.0,1228.0,4032.0,4095.0,2430.0,2783.0,2725.0,-0.18,9.31,5.54,0.66,-0.58,-0.37,d
2957.0,851.0,1211.0,4025.0,4095.0,2435.0,2782.0,2725.0,-0.14,9.47,5.77,0.63,-0.89,-0.5,d
2955.0,859.0,1216.0,4021.0,4095.0,2439.0,2781.0,2731.0,0.12,9.64,5.59,0.72,-0.44,-0.33,d
2960.0,853.0,1218.0,4017.0,4095.0,2432.0,2778.0,2721.0,0.28,8.77,4.79,0.8,-0.17,-0.18,d
