hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3033.0,2955.0,2937.0,4095.0,3331.0,4095.0,4095.0,4095.0,2.69,8.44,8.91,0.09,-0.04,-0.2,f
3034.0,2949.0,2945.0,4095.0,3341.0,4095.0,4095.0,4095.0,2.71,8.51,8.72,0.05,-0.01,-0.17,f
3034.0,2940.0,2941.0,4095.0,3360.0,4095.0,4095.0,4095.0,2.49,8.54,8.85,0.03,0.01,-0.18,f
3041.0,2944.0,2937.0,4095.0,3375.0,4095.0,4095.0,4095.0,2.54,8.46,8.74,0.02,-0.03,-0.16,f
3043.0,2958.0,2928.0,4095.0,3401.0,4039.0,4095.0,4095.0,2.68,8.45,8.78,0.08,-0.04,-0.18,f
3020.0,2947.0,2934.0,4095.0,3442.0,3925.0,4095.0,4095.0,2.69,8.53,8.7,0.05,-0.05,-0.17,f
3036.0,2957.0,2935.0,4095.0,3462.0,3834.0,4095.0,4095.0,2.67,8.49,8.66,0.01,-0.04,-0.18,f
3039.0,2946.0,2930.0,4095.0,3474.0,3801.0,4095.0,4095.0,2.51,8.41,8.84,0.02,-0.02,-0.17,f
3039.0,2956.0,2925.0,4095.0,3473.0,3881.0,4095.0,4095.0,2.72,8.55,8.7,0.0,-0.05,-0.14,f
3039.0,2963.0,2936.0,4095.0,3472.0,4095.0,4095.0,4095.0,2.83,8.54,8.56,0.0,0.1,-0.18,f
3030.0,2959.0,2941.0,4095.0,3469.0,4095.0,4095.0,4095.0,2.43,8.54,8.84,-0.0,0.0,-0.19,f
3038.0,2967.0,2930.0,4095.0,3470.0,4095.0,4095.0,4095.0,2.58,8.61,8.87,0.04,-0.11,-0.19,f
3030.0,2985.0,2933.0,4095.0,3431.0,4095.0,4095.0,4095.0,2.58,8.6,8.73,0.01,0.03,-0.15,f
3024.0,2981.0,2938.0,4095.0,3388.0,4095.0,4095.0,4095.0,2.5,8.66,8.7,0.02,-0.01,-0.15,f
3038.0,2985.0,2938.0,4095.0,3376.0,4095.0,4095.0,4095.0,2.43,8.6,8.84,0.06,-0.02,-0.18,f
3025.0,3003.0,2943.0,4095.0,3369.0,4095.0,4095.0,4095.0,2.49,8.54,8.66,0.01,0.03,-0.15,f
3034.0,3024.0,2931.0,4080.0,3347.0,4095.0,4095.0,4095.0,2.48,8.44,8.72,0.02,0.03,-0.12,f
3042.0,3055.0,2932.0,4019.0,3323.0,4095.0,4095.0,4095.0,2.55,8.45,8.82,0.07,0.03,-0.16,f
3027.0,3084.0,2945.0,4034.0,3312.0,4095.0,4095.0,4095.0,2.74,8.58,8.68,0.05,-0.0,-0.12,f
3035.0,3091.0,2957.0,4064.0,3313.0,4095.0,4095.0,4095.0,2.59,8.52,8.77,-0.0,0.05,-0.12,f
3025.0,3107.0,2971.0,4080.0,3325.0,4095.0,4095.0,4095.0,2.74,8.48,8.65,0.01,0.08,-0.14,f
3030.0,3110.0,2979.0,4078.0,3323.0,4095.0,4095.0,4095.0,2.59,8.46,8.78,-0.01,0.05,-0.13,f
3024.0,3120.0,2992.0,4086.0,3315.0,4095.0,4095.0,4095.0,2.68,8.46,8.84,0.06,-0.02,-0.18,f
3029.0,3127.0,3009.0,4075.0,3297.0,4095.0,4095.0,4095.0,2.56,8.43,8.75,0.03,-0.03,-0.15,f
3024.0,3120.0,3001.0,4050.0,3280.0,4095.0,4095.0,4095.0,2.5,8.55,8.8,0.03,-0.04,-0.16,f
3041.0,3143.0,3014.0,4049.0,3295.0,4095.0,4095.0,4095.0,2.59,8.52,8.82,0.04,-0.01,-0.16,f
3034.0,3138.0,3011.0,4048.0,3297.0,4095.0,4095.0,4095.0,2.65,8.64,8.69,0.02,-0.06,-0.16,f
3039.0,3136.0,3011.0,4044.0,3286.0,4095.0,4095.0,4095.0,2.73,8.46,8.79,0.02,0.04,-0.14,f
3036.0,3142.0,2973.0,4035.0,3289.0,4095.0,4095.0,4095.0,2.54,8.47,8.8,-0.0,0.06,-0.16,f
3033.0,3126.0,2927.0,4011.0,3265.0,4095.0,4095.0,4095.0,2.25,8.6,8.72,0.0,0.02,-0.17,f
3037.0,3111.0,2928.0,3952.0,3223.0,4095.0,4095.0,4095.0,2.43,8.55,8.83,-0.03,-0.04,-0.13,f
3041.0,3071.0,2928.0,3911.0,3211.0,4095.0,4095.0,4095.0,2.49,8.62,8.73,-0.01,-0.02,-0.13,f
3039.0,3088.0,2933.0,3920.0,3207.0,4095.0,4095.0,4095.0,2.66,8.58,8.72,0.04,-0.16,-0.16,f
3024.0,3086.0,2971.0,3920.0,3211.0,4095.0,4095.0,4095.0,2.64,8.55,8.65,0.0,-0.17,-0.11,f
3037.0,3101.0,2978.0,3937.0,3207.0,4095.0,4095.0,4095.0,2.57,8.56,8.73,0.06,0.04,-0.15,f
3026.0,3082.0,2982.0,3951.0,3214.0,4095.0,4095.0,4095.0,2.56,8.54,8.8,0.03,-0.01,-0.12,f
3041.0,3084.0,2982.0,3967.0,3217.0,4095.0,4095.0,4095.0,2.61,8.61,8.88,0.07,-0.15,-0.14,f
3040.0,3110.0,2978.0,3983.0,3216.0,4095.0,4095.0,4095.0,2.69,8.66,8.15,0.05,0.1,-0.08,f
3031.0,3153.0,2989.0,3797.0,3184.0,4095.0,4095.0,4095.0,3.17,8.75,8.09,-0.03,0.02,-0.16,f
3035.0,3297.0,2829.0,3901.0,3152.0,4095.0,4095.0,3822.0,3.55,8.41,8.37,-0.23,-0.14,-0.26,f
3029.0,3382.0,2453.0,3903.0,3159.0,4095.0,4095.0,3714.0,3.25,8.44,9.43,-0.08,-0.17,-0.41,f
3039.0,3339.0,2733.0,3919.0,3157.0,4095.0,4095.0,3922.0,2.79,8.6,9.52,0.35,-2.02,-0.74,f
3051.0,3247.0,2973.0,3927.0,3169.0,4095.0,4095.0,4095.0,2.06,9.11,8.2,0.53,-2.32,-0.99,f
3025.0,3177.0,2981.0,3919.0,3171.0,4095.0,4095.0,4095.0,2.9,8.72,7.65,0.46,-1.99,-0.86,f
3040.0,3152.0,2992.0,3903.0,3171.0,4095.0,4095.0,4095.0,2.33,9.1,7.15,0.42,-2.2,-0.85,f
3033.0,3165.0,2992.0,3891.0,3175.0,4095.0,4095.0,4095.0,3.1,9.19,6.48,0.35,-1.82,-0.78,f
3025.0,3152.0,2991.0,3890.0,3182.0,4095.0,4095.0,4095.0,3.54,9.37,6.11,0.26,-0.35,-0.58,f
3035.0,3170.0,2985.0,3877.0,3183.0,4095.0,4095.0,4095.0,2.53,9.45,5.96,0.01,1.73,-0.29,f
3041.0,3173.0,2987.0,3885.0,3184.0,4095.0,4095.0,4095.0,1.66,9.4,6.32,-0.16,2.38,-0.07,f
3029.0,3187.0,2990.0,3915.0,3182.0,4095.0,4095.0,4095.0,1.9,9.15,6.67,-0.21,1.84,-0.06,f
3025.0,3191.0,2973.0,3904.0,3183.0,4095.0,4095.0,4095.0,1.72,9.17,6.58,-0.21,2.52,0.02,f
3039.0,3186.0,2967.0,3902.0,3182.0,4095.0,4095.0,4095.0,1.09,9.11,7.47,-0.35,2.48,0.19,f
3041.0,3192.0,2960.0,3917.0,3192.0,4095.0,4095.0,4095.0,1.18,9.21,7.68,-0.3,2.22,-0.01,f
3027.0,3188.0,2966.0,3920.0,3193.0,4095.0,4095.0,4095.0,0.06,9.19,8.43,-0.45,1.84,0.09,f
3039.0,3197.0,2976.0,3931.0,3198.0,4095.0,4095.0,4095.0,0.8,8.77,8.71,-0.31,1.36,0.05,f
3029.0,3196.0,2970.0,3937.0,3198.0,4095.0,4095.0,4095.0,0.83,8.82,8.32,-0.26,1.58,0.11,f
3031.0,3190.0,2962.0,3947.0,3207.0,4095.0,4095.0,4095.0,-0.05,8.83,8.42,-0.38,2.06,0.21,f
3033.0,3199.0,2960.0,3968.0,3205.0,4095.0,4095.0,4095.0,-0.72,8.5,9.28,-0.35,1.15,0.15,f
3028.0,3190.0,2960.0,3965.0,3205.0,4095.0,4095.0,4095.0,-1.03,8.31,9.79,-0.06,-0.36,0.07,f
3045.0,3211.0,2967.0,3997.0,3214.0,4095.0,4095.0,4095.0,0.17,8.48,9.52,0.08,-1.87,-0.05,f
3031.0,3197.0,2960.0,3969.0,3213.0,4095.0,4095.0,4095.0,0.73,8.91,8.54,0.22,-1.52,-0.2,f
3043.0,3205.0,2974.0,3975.0,3205.0,4095.0,4095.0,4095.0,1.14,8.83,7.94,-0.03,-0.19,0.01,f
3039.0,3207.0,2967.0,3974.0,3206.0,4095.0,4095.0,4095.0,1.27,8.46,7.91,-0.37,0.09,-0.0,f
