hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2806.0,2214.0,2358.0,4080.0,4095.0,3386.0,2533.0,2870.0,-2.9,6.24,6.5,0.02,-0.45,-0.3,g
2809.0,2207.0,2359.0,4064.0,4095.0,3383.0,2530.0,2879.0,-2.74,6.28,6.4,0.15,-0.36,-0.25,g
2801.0,2215.0,2356.0,4071.0,4095.0,3381.0,2531.0,2869.0,-2.75,6.8,5.72,0.07,0.57,0.31,g
2809.0,2213.0,2355.0,4067.0,4095.0,3385.0,2533.0,2871.0,-2.58,6.78,5.72,-0.05,0.65,0.37,g
2813.0,2205.0,2355.0,4065.0,4095.0,3385.0,2532.0,2873.0,-2.71,6.59,5.92,-0.05,-0.09,-0.06,g
2801.0,2209.0,2362.0,4076.0,4093.0,3387.0,2533.0,2874.0,-2.81,6.61,5.97,-0.0,-0.63,-0.43,g
2810.0,2218.0,2361.0,4095.0,3901.0,3387.0,2537.0,2880.0,-2.9,6.43,6.39,-0.0,-0.73,-0.41,g
2810.0,2192.0,2365.0,4069.0,3151.0,3363.0,2538.0,2867.0,-2.56,6.48,6.39,-0.02,-0.07,-0.0,g
2812.0,2192.0,2363.0,4083.0,3056.0,3371.0,2541.0,2874.0,-2.24,6.36,6.25,-0.21,-0.04,-0.07,g
2811.0,2193.0,2362.0,4087.0,3084.0,3373.0,2542.0,2873.0,-2.52,6.29,6.59,0.04,0.09,0.06,g
2816.0,2197.0,2365.0,4087.0,3525.0,3385.0,2539.0,2879.0,-2.39,6.71,5.99,0.14,0.16,-0.03,g
2817.0,2210.0,2377.0,4095.0,4010.0,3405.0,2545.0,2880.0,-2.89,6.3,6.82,0.02,-0.08,-0.0,g
2816.0,2233.0,2368.0,4094.0,4003.0,3402.0,2543.0,2880.0,-2.83,6.62,5.99,0.41,0.29,0.24,g
2817.0,2238.0,2366.0,4082.0,4016.0,3407.0,2538.0,2870.0,-2.28,7.66,4.57,0.03,0.95,0.69,g
2816.0,2239.0,2370.0,4071.0,4029.0,3408.0,2534.0,2868.0,-2.54,7.02,5.74,-0.51,0.43,0.28,g
2813.0,2240.0,2365.0,4084.0,4046.0,3403.0,2534.0,2868.0,-2.27,6.42,6.38,-0.19,-1.26,-0.76,g
2809.0,2235.0,2365.0,4080.0,4031.0,3392.0,2530.0,2871.0,-2.6,6.43,6.51,-0.11,-1.38,-0.69,g
2800.0,2239.0,2351.0,4029.0,3998.0,3367.0,2518.0,2864.0,-1.72,6.11,6.92,0.02,-0.15,-0.0,g
2798.0,2243.0,2357.0,4043.0,3996.0,3376.0,2516.0,2860.0,-2.0,6.39,6.82,0.12,0.93,0.62,g
2800.0,2235.0,2347.0,4031.0,3990.0,3374.0,2518.0,2862.0,-1.73,6.9,5.92,0.02,0.73,0.61,g
2800.0,2241.0,2354.0,4027.0,3985.0,3378.0,2518.0,2861.0,-1.46,6.67,5.51,-0.4,0.27,-0.0,g
2801.0,2240.0,2352.0,4030.0,3979.0,3381.0,2515.0,2863.0,-1.86,6.48,5.77,-0.83,0.18,-0.32,g
2795.0,2242.0,2353.0,4034.0,3983.0,3380.0,2523.0,2863.0,-3.27,5.14,8.2,-0.58,-0.12,-0.31,g
2799.0,2233.0,2350.0,4024.0,3984.0,3375.0,2517.0,2859.0,-2.77,4.93,8.32,0.65,-0.3,0.17,g
2798.0,2240.0,2349.0,4027.0,3987.0,3376.0,2516.0,2859.0,-2.07,6.21,6.68,1.02,-0.3,0.28,g
2799.0,2241.0,2345.0,4016.0,4004.0,3378.0,2515.0,2851.0,-1.16,7.14,5.15,0.73,-0.43,0.02,g
