hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3238.0,2931.0,2875.0,2769.0,4095.0,4095.0,2617.0,2997.0,-9.94,1.19,1.73,0.36,-0.01,-0.09,h
3242.0,2935.0,2877.0,2769.0,4095.0,4095.0,2617.0,2995.0,-9.67,1.32,1.34,-0.33,-0.05,0.38,h
3234.0,2934.0,2878.0,2763.0,4095.0,4095.0,2611.0,2995.0,-8.25,1.02,2.38,-0.43,0.04,0.1,h
3234.0,2931.0,2878.0,2770.0,4095.0,4095.0,2618.0,3005.0,-8.47,0.73,3.1,0.22,0.01,-0.27,h
3233.0,2935.0,2876.0,2766.0,4095.0,4095.0,2614.0,2997.0,-9.88,1.27,1.11,0.5,-0.18,-0.16,h
3231.0,2932.0,2869.0,2772.0,4095.0,4095.0,2613.0,2992.0,-10.04,1.32,1.7,-0.26,0.02,0.35,h
3222.0,2935.0,2875.0,2765.0,4095.0,4095.0,2618.0,2992.0,-8.68,1.32,1.77,-0.51,-0.06,0.23,h
3230.0,2930.0,2879.0,2769.0,4095.0,4095.0,2611.0,3000.0,-8.92,0.35,3.67,-0.11,0.23,-0.21,h
3228.0,2933.0,2880.0,2762.0,4095.0,4095.0,2613.0,3001.0,-9.77,1.3,1.47,0.68,-0.1,-0.25,h
3220.0,2927.0,2872.0,2768.0,4095.0,4095.0,2615.0,2992.0,-10.2,1.39,1.69,0.13,-0.14,0.3,h
3222.0,2929.0,2875.0,2759.0,4095.0,4095.0,2611.0,2982.0,-9.01,1.67,1.91,-0.48,0.04,0.56,h
3228.0,2928.0,2875.0,2759.0,4095.0,4095.0,2617.0,2992.0,-8.11,1.36,2.76,-0.56,0.07,0.11,h
3222.0,2930.0,2880.0,2767.0,4095.0,4095.0,2615.0,2994.0,-8.09,1.3,3.01,0.14,0.06,-0.43,h
3231.0,2937.0,2868.0,2768.0,4095.0,4095.0,2623.0,3003.0,-9.29,1.28,1.96,0.06,0.16,-0.33,h
3223.0,2931.0,2871.0,2772.0,4095.0,4095.0,2618.0,2999.0,-9.39,1.04,1.98,0.18,0.06,-0.22,h
3223.0,2933.0,2871.0,2773.0,4095.0,4095.0,2620.0,3007.0,-9.38,1.03,1.98,0.01,0.2,-0.29,h
3218.0,2932.0,2869.0,2775.0,4095.0,4095.0,2618.0,3005.0,-11.0,0.67,1.99,0.06,0.08,0.08,h
3230.0,2930.0,2866.0,2774.0,4095.0,4095.0,2619.0,3006.0,-9.93,1.09,1.92,0.11,-0.09,0.59,h
3223.0,2928.0,2865.0,2771.0,4095.0,4095.0,2624.0,3008.0,-8.99,1.79,2.07,0.1,0.0,0.61,h
3225.0,2934.0,2881.0,2775.0,4095.0,4095.0,2624.0,3008.0,-8.77,2.08,2.0,-0.01,-0.02,0.49,h
3221.0,2928.0,2866.0,2768.0,4095.0,4095.0,2623.0,3008.0,-8.35,2.75,1.83,-0.01,0.03,0.41,h
3225.0,2928.0,2871.0,2774.0,4095.0,4095.0,2619.0,3004.0,-8.01,3.25,1.88,0.0,0.11,0.24,h
3223.0,2934.0,2870.0,2775.0,4095.0,4095.0,2619.0,3003.0,-7.24,3.58,1.56,-0.02,0.11,-0.11,h
3222.0,2934.0,2870.0,2767.0,4095.0,4095.0,2621.0,3007.0,-8.19,2.82,1.41,-0.18,0.34,-0.57,h
3219.0,2926.0,2874.0,2767.0,4095.0,4095.0,2621.0,3005.0,-9.27,2.05,1.88,0.06,0.14,-0.57,h
3219.0,2938.0,2880.0,2763.0,4095.0,4095.0,2624.0,3008.0,-10.27,1.7,1.79,0.25,0.05,-0.34,h
3223.0,2929.0,2869.0,2765.0,4095.0,4095.0,2618.0,3010.0,-9.83,1.81,1.36,0.23,-0.04,-0.07,h
3226.0,2935.0,2875.0,2765.0,4095.0,4095.0,2619.0,3006.0,-9.32,1.87,1.1,0.32,-0.07,0.02,h
3226.0,2925.0,2873.0,2766.0,4095.0,4095.0,2624.0,3007.0,-9.48,2.54,1.03,0.14,0.06,0.01,h
3223.0,2938.0,2873.0,2768.0,4095.0,4095.0,2624.0,3006.0,-10.3,1.96,0.51,-0.08,-0.06,0.31,h
3226.0,2935.0,2881.0,2768.0,4095.0,4095.0,2625.0,3011.0,-8.49,2.29,0.77,-0.28,-0.15,0.48,h
3222.0,2928.0,2875.0,2766.0,4095.0,4095.0,2627.0,3013.0,-7.61,2.59,1.55,-0.45,-0.06,0.07,h
3219.0,2932.0,2878.0,2772.0,4095.0,4095.0,2622.0,3008.0,-8.41,2.5,1.89,-0.32,0.09,-0.22,h
3217.0,2928.0,2869.0,2768.0,4095.0,4095.0,2621.0,3007.0,-8.87,2.06,2.14,-0.31,0.16,-0.35,h
3225.0,2931.0,2876.0,2768.0,4095.0,4095.0,2624.0,3009.0,-9.34,1.58,2.39,-0.04,0.0,-0.31,h
3218.0,2932.0,2871.0,2770.0,4095.0,4095.0,2624.0,3011.0,-9.57,1.59,2.17,0.21,-0.01,-0.25,h
3215.0,2927.0,2879.0,2770.0,4095.0,4095.0,2619.0,3004.0,-9.47,1.52,1.7,0.33,-0.06,-0.2,h
3212.0,2931.0,2879.0,2776.0,4095.0,4095.0,2624.0,3007.0,-9.16,1.63,1.64,0.37,-0.03,-0.17,h
3214.0,2923.0,2877.0,2770.0,4095.0,4095.0,2622.0,3008.0,-9.94,1.92,1.48,0.45,-0.0,-0.05,h
3216.0,2931.0,2878.0,2778.0,4095.0,4095.0,2618.0,3007.0,-9.97,1.87,0.84,0.37,-0.11,0.19,h
3229.0,2932.0,2871.0,2770.0,4095.0,4095.0,2627.0,3012.0,-9.21,2.34,0.7,-0.01,0.04,0.24,h
3216.0,2923.0,2879.0,2773.0,4095.0,4095.0,2624.0,3008.0,-8.88,2.34,0.67,-0.34,0.04,0.18,h
3210.0,2929.0,2875.0,2768.0,4095.0,4095.0,2628.0,3007.0,-8.73,2.12,1.04,-0.55,0.04,0.14,h
3213.0,2930.0,2871.0,2768.0,4095.0,4095.0,2623.0,3006.0,-8.8,2.12,1.69,-0.72,0.05,0.07,h
3216.0,2928.0,2869.0,2785.0,4095.0,4095.0,2623.0,3011.0,-8.88,1.93,2.27,-0.58,0.09,0.03,h
3214.0,2930.0,2877.0,2783.0,4095.0,4095.0,2626.0,3010.0,-9.0,1.93,2.63,-0.44,0.16,0.01,h
3205.0,2929.0,2881.0,2777.0,4095.0,4095.0,2623.0,3011.0,-8.86,1.83,2.54,-0.23,0.06,-0.03,h
3216.0,2931.0,2880.0,2774.0,4095.0,4095.0,2624.0,3013.0,-9.02,1.83,2.47,0.01,0.02,-0.08,h
3216.0,2934.0,2871.0,2774.0,4095.0,4095.0,2630.0,3015.0,-9.05,1.68,2.13,0.23,-0.02,-0.06,h
3215.0,2930.0,2871.0,2780.0,4095.0,4095.0,2619.0,3009.0,-9.16,1.84,2.07,0.35,0.0,-0.06,h
3210.0,2941.0,2871.0,2776.0,4095.0,4095.0,2627.0,3013.0,-9.21,1.85,1.88,0.42,-0.05,-0.05,h
3213.0,2929.0,2872.0,2774.0,4095.0,4095.0,2625.0,3011.0,-9.18,2.01,1.63,0.4,0.01,-0.06,h
3212.0,2928.0,2873.0,2784.0,4095.0,4095.0,2627.0,3012.0,-9.15,2.11,1.4,0.4,-0.03,-0.05,h
3215.0,2929.0,2878.0,2781.0,4095.0,4095.0,2622.0,3009.0,-9.07,2.19,1.45,0.36,-0.07,-0.02,h
3216.0,2933.0,2871.0,2785.0,4095.0,4095.0,2626.0,3015.0,-9.23,2.15,1.32,0.42,-0.02,-0.05,h
3216.0,2925.0,2875.0,2783.0,4095.0,4095.0,2631.0,3014.0,-9.21,2.29,1.09,0.37,-0.03,-0.01,h
3213.0,2926.0,2880.0,2783.0,4095.0,4095.0,2630.0,3013.0,-8.98,2.61,0.79,0.25,-0.03,-0.01,h
3216.0,2944.0,2881.0,2789.0,4095.0,4095.0,2630.0,3016.0,-9.04,2.6,0.82,0.08,-0.0,-0.04,h
3221.0,2928.0,2877.0,2784.0,4095.0,4095.0,2630.0,3018.0,-9.24,2.63,0.6,-0.03,0.03,-0.02,h
3216.0,2935.0,2879.0,2793.0,4095.0,4095.0,2631.0,3019.0,-9.2,2.44,0.96,-0.31,0.05,0.03,h
3230.0,2942.0,2896.0,2796.0,4095.0,4095.0,2639.0,3024.0,-9.03,2.53,0.83,-0.55,0.11,0.04,h
3223.0,2938.0,2882.0,2793.0,4095.0,4095.0,2636.0,3024.0,-9.09,2.17,1.37,-0.49,0.08,-0.08,h
3216.0,2939.0,2877.0,2795.0,4095.0,4095.0,2637.0,3024.0,-9.23,2.04,1.19,-0.55,0.04,-0.04,h
3222.0,2935.0,2887.0,2799.0,4095.0,4095.0,2637.0,3024.0,-9.19,1.89,1.56,-0.46,0.07,-0.03,h
3216.0,2945.0,2875.0,2794.0,4095.0,4095.0,2637.0,3024.0,-9.29,1.72,1.67,-0.5,0.04,-0.01,h
3213.0,2933.0,2886.0,2795.0,4095.0,4095.0,2631.0,3024.0,-9.02,1.71,1.91,-0.39,0.06,-0.02,h
3220.0,2939.0,2882.0,2789.0,4095.0,4095.0,2635.0,3023.0,-9.07,1.25,2.03,-0.32,0.15,-0.07,h
3216.0,2945.0,2883.0,2794.0,4095.0,4095.0,2637.0,3024.0,-9.51,1.39,2.26,0.36,-0.29,0.14,h
3170.0,2954.0,2881.0,2796.0,4095.0,4095.0,2622.0,3007.0,-9.51,1.6,2.06,0.32,-0.26,0.12,h
3162.0,2937.0,2889.0,2807.0,4095.0,4095.0,2612.0,2985.0,-9.3,1.93,1.9,0.47,-0.31,0.08,h
3152.0,2940.0,2881.0,2827.0,4095.0,4095.0,2613.0,2971.0,-8.9,2.4,1.95,0.45,-0.3,0.02,h
3171.0,2951.0,2879.0,2832.0,4095.0,4095.0,2612.0,2967.0,-8.74,2.41,2.05,0.44,-0.29,0.05,h
3194.0,2939.0,2879.0,2846.0,4095.0,4095.0,2614.0,2961.0,-8.68,2.48,2.06,0.25,-0.11,0.01,h
3207.0,2944.0,2882.0,2864.0,4095.0,4095.0,2613.0,2958.0,-8.87,2.6,2.08,0.32,-0.13,-0.05,h
3201.0,2945.0,2875.0,2869.0,4095.0,4095.0,2614.0,2960.0,-9.01,2.61,2.55,0.22,-0.11,-0.08,h
3227.0,2938.0,2881.0,2869.0,4095.0,4095.0,2614.0,2953.0,-8.74,2.7,2.14,-0.17,0.08,-0.03,h
3218.0,2939.0,2883.0,2866.0,4095.0,4095.0,2618.0,2970.0,-9.15,2.71,1.67,-0.39,0.25,-0.02,h
3169.0,2943.0,2879.0,2846.0,4095.0,4095.0,2608.0,2986.0,-8.36,1.8,1.09,-0.64,0.48,0.01,h
3121.0,2931.0,2880.0,2766.0,4095.0,4095.0,2621.0,2992.0,-8.82,1.7,1.69,-0.43,0.15,-0.09,h
3120.0,2931.0,2873.0,2734.0,4095.0,4095.0,2624.0,2994.0,-9.03,2.01,1.71,-0.31,0.17,-0.05,h
3126.0,2935.0,2879.0,2727.0,4095.0,4095.0,2634.0,3009.0,-9.17,1.77,1.83,-0.14,0.03,-0.07,h
3120.0,2942.0,2883.0,2707.0,4095.0,4095.0,2635.0,3017.0,-9.09,1.36,2.42,0.16,-0.03,-0.39,h
3113.0,2928.0,2878.0,2693.0,4095.0,4095.0,2657.0,3037.0,-9.88,1.34,1.97,0.79,-0.27,-0.06,h
3119.0,2942.0,2880.0,2724.0,4095.0,4095.0,2663.0,3024.0,-9.78,2.53,1.25,0.49,-0.24,0.65,h
3120.0,2930.0,2875.0,2725.0,4095.0,4095.0,2659.0,3014.0,-8.59,2.87,1.38,-0.22,-0.11,0.99,h
3127.0,2937.0,2883.0,2730.0,4095.0,4095.0,2651.0,3014.0,-7.77,3.29,1.61,-0.66,0.23,0.38,h
3127.0,2935.0,2879.0,2736.0,4095.0,4095.0,2662.0,3019.0,-8.14,2.95,2.44,-0.51,0.16,-0.19,h
3123.0,2941.0,2880.0,2751.0,4095.0,4095.0,2666.0,3038.0,-8.08,2.52,2.68,-0.2,0.11,-0.74,h
3108.0,2942.0,2876.0,2766.0,4095.0,4095.0,2671.0,3038.0,-8.8,1.87,2.51,0.2,-0.08,-0.93,h
3090.0,2931.0,2880.0,2756.0,4095.0,4095.0,2670.0,3047.0,-9.87,1.78,2.45,0.3,0.08,-0.53,h
3069.0,2919.0,2879.0,2767.0,4095.0,4095.0,2669.0,3043.0,-10.51,1.68,1.98,0.31,0.02,-0.04,h
3085.0,2944.0,2871.0,2768.0,4095.0,4095.0,2671.0,3039.0,-10.09,2.01,1.58,0.21,-0.16,0.47,h
3084.0,2935.0,2877.0,2772.0,4095.0,4095.0,2666.0,3035.0,-9.05,2.31,1.34,0.09,-0.28,0.64,h
3071.0,2935.0,2866.0,2768.0,4095.0,4095.0,2671.0,3033.0,-8.4,2.47,1.36,-0.27,-0.14,0.55,h
3066.0,2929.0,2865.0,2773.0,4095.0,4095.0,2668.0,3037.0,-7.16,2.37,2.35,-0.71,0.15,0.17,h
3085.0,2929.0,2878.0,2774.0,4095.0,4095.0,2671.0,3039.0,-7.77,2.51,3.37,-0.26,0.18,-0.3,h
3094.0,2941.0,2877.0,2778.0,4095.0,4095.0,2670.0,3049.0,-8.18,2.28,2.56,0.16,0.11,-0.55,h
3087.0,2928.0,2878.0,2766.0,4095.0,4095.0,2669.0,3045.0,-9.25,2.02,2.56,0.28,0.16,-0.49,h
3093.0,2928.0,2878.0,2771.0,4095.0,4095.0,2670.0,3050.0,-10.59,2.49,1.54,0.34,0.02,-0.07,h
3105.0,2935.0,2871.0,2778.0,4095.0,4095.0,2665.0,3051.0,-10.07,2.13,1.53,-0.08,0.0,0.39,h
3106.0,2934.0,2879.0,2779.0,4095.0,4095.0,2660.0,3055.0,-8.54,2.4,1.71,-0.22,-0.03,0.38,h
3117.0,2930.0,2877.0,2737.0,4095.0,4095.0,2657.0,3053.0,-7.82,2.35,1.96,-0.29,-0.07,0.23,h
3120.0,2929.0,2871.0,2698.0,4095.0,4095.0,2657.0,3043.0,-7.86,2.15,2.99,-0.13,-0.02,-0.08,h
3097.0,2935.0,2874.0,2634.0,4095.0,4095.0,2661.0,3030.0,-9.05,2.39,2.39,0.09,0.04,-0.28,h
3088.0,2933.0,2875.0,2545.0,4095.0,4095.0,2641.0,2999.0,-9.69,2.66,2.31,0.14,-0.01,-0.17,h
3097.0,2929.0,2871.0,2559.0,4095.0,4095.0,2643.0,2997.0,-9.11,2.22,1.99,0.03,-0.04,-0.01,h
3104.0,2928.0,2879.0,2624.0,4095.0,4095.0,2662.0,2994.0,-8.97,2.37,1.9,-0.02,0.01,0.06,h
3123.0,2929.0,2881.0,2624.0,4095.0,4095.0,2696.0,2971.0,-8.84,2.4,2.14,0.05,-0.05,0.08,h
3135.0,2928.0,2874.0,2608.0,4095.0,4095.0,2704.0,2953.0,-8.72,2.58,2.17,0.18,-0.15,0.12,h
3166.0,2930.0,2880.0,2557.0,4095.0,4095.0,2698.0,2913.0,-8.95,2.5,2.44,0.04,-0.03,0.0,h
3153.0,2928.0,2877.0,2527.0,4095.0,4095.0,2672.0,2917.0,-8.85,2.59,2.46,0.02,-0.01,-0.09,h
3148.0,2935.0,2890.0,2559.0,4095.0,4095.0,2671.0,2933.0,-8.79,2.62,2.39,0.13,-0.11,0.08,h
3135.0,2929.0,2890.0,2614.0,4095.0,4095.0,2663.0,2933.0,-9.0,2.57,2.52,-0.09,-0.07,0.03,h
3123.0,2939.0,2882.0,2657.0,4095.0,4095.0,2658.0,2934.0,-8.86,2.62,2.39,-0.12,0.01,-0.1,h
3066.0,2928.0,2879.0,2719.0,4095.0,4095.0,2628.0,2942.0,-8.64,2.55,2.43,-0.24,0.08,-0.12,h
2986.0,2934.0,2886.0,2726.0,4095.0,4095.0,2624.0,2951.0,-8.85,2.54,2.26,-0.18,0.1,-0.03,h
2966.0,2937.0,2890.0,2726.0,4095.0,4095.0,2619.0,2953.0,-8.94,2.42,2.44,0.0,0.03,-0.01,h
2950.0,2928.0,2891.0,2741.0,4095.0,4095.0,2626.0,2954.0,-8.95,2.47,2.42,0.01,-0.02,-0.1,h
2919.0,2925.0,2887.0,2746.0,4095.0,4095.0,2608.0,2955.0,-8.86,2.42,2.2,-0.07,0.02,0.02,h
2711.0,2934.0,2890.0,2701.0,4095.0,4095.0,2559.0,2931.0,-8.76,2.51,2.49,-0.03,-0.08,-0.02,h
2559.0,2933.0,2892.0,2667.0,4095.0,4095.0,2581.0,2943.0,-8.98,3.24,2.32,-0.09,0.05,-0.01,h
2527.0,2933.0,2895.0,2666.0,4095.0,4095.0,2583.0,2950.0,-8.46,2.33,1.6,-0.06,0.08,0.03,h
2559.0,2935.0,2890.0,2640.0,4095.0,4095.0,2596.0,2958.0,-8.79,2.15,2.25,-0.05,0.04,0.04,h
2683.0,2935.0,2896.0,2646.0,4095.0,4095.0,2593.0,2960.0,-8.96,2.4,2.3,0.01,-0.04,0.01,h
2727.0,2935.0,2891.0,2648.0,4095.0,4095.0,2589.0,2966.0,-8.79,2.32,2.14,-0.05,0.06,0.02,h
2751.0,2928.0,2885.0,2655.0,4095.0,4095.0,2602.0,2962.0,-8.7,2.54,2.16,0.08,0.04,-0.04,h
2767.0,2931.0,2896.0,2670.0,4095.0,4095.0,2607.0,2974.0,-8.91,2.64,2.56,0.24,-0.05,-0.03,h
2776.0,2929.0,2887.0,2672.0,4095.0,4095.0,2607.0,2976.0,-9.09,2.79,2.31,0.2,0.05,0.04,h
2767.0,2930.0,2883.0,2681.0,4095.0,4095.0,2607.0,2973.0,-8.91,2.88,1.57,0.16,0.01,0.1,h
2739.0,2928.0,2894.0,2689.0,4095.0,4095.0,2608.0,2982.0,-8.9,2.72,1.26,-0.09,-0.09,0.2,h
2713.0,2928.0,2891.0,2693.0,4095.0,4095.0,2615.0,2992.0,-8.27,2.32,2.25,-0.37,-0.04,0.04,h
2747.0,2928.0,2891.0,2690.0,4095.0,4095.0,2612.0,2989.0,-7.85,1.93,2.77,-0.25,-0.08,-0.15,h
2741.0,2939.0,2895.0,2701.0,4095.0,4095.0,2618.0,2995.0,-8.48,3.13,2.83,0.18,0.08,-0.39,h
2707.0,2928.0,2884.0,2702.0,4095.0,4095.0,2622.0,2997.0,-10.31,3.42,1.7,0.23,0.17,-0.17,h
2701.0,2942.0,2896.0,2707.0,4095.0,4095.0,2622.0,3011.0,-9.94,2.89,1.54,-0.02,-0.06,0.27,h
2654.0,2939.0,2891.0,2704.0,4095.0,4095.0,2615.0,3011.0,-8.13,2.14,1.92,-0.29,-0.12,0.29,h
2707.0,2945.0,2893.0,2704.0,4095.0,4095.0,2615.0,3021.0,-7.73,2.25,2.91,-0.2,0.05,0.06,h
2723.0,2935.0,2886.0,2704.0,4095.0,4095.0,2622.0,3015.0,-8.22,2.41,3.2,0.05,0.1,-0.11,h
2732.0,2930.0,2881.0,2706.0,4095.0,4095.0,2623.0,3015.0,-9.05,3.61,2.44,0.36,0.15,-0.17,h
2733.0,2937.0,2880.0,2704.0,4095.0,4095.0,2624.0,3010.0,-9.75,3.47,1.5,0.2,0.05,-0.02,h
2733.0,2930.0,2891.0,2709.0,4095.0,4095.0,2621.0,3011.0,-9.17,3.29,1.02,0.05,0.01,0.22,h
2735.0,2943.0,2887.0,2716.0,4095.0,4095.0,2627.0,3013.0,-8.46,2.97,1.23,-0.29,-0.07,0.26,h
2731.0,2930.0,2893.0,2715.0,4095.0,4095.0,2626.0,3014.0,-7.23,2.64,2.02,-0.55,-0.11,0.09,h
2919.0,2931.0,2876.0,2653.0,4095.0,4095.0,2625.0,2995.0,-7.79,2.34,3.38,-0.17,0.03,-0.3,h
3291.0,2933.0,2886.0,2559.0,4095.0,4095.0,2635.0,2971.0,-9.07,2.32,2.89,0.3,0.18,-0.37,h
3312.0,2934.0,2896.0,2593.0,4095.0,4095.0,2640.0,2973.0,-9.56,3.32,2.03,0.43,0.01,-0.24,h
3201.0,2928.0,2889.0,2634.0,4095.0,4095.0,2641.0,2991.0,-10.06,3.45,1.41,0.09,-0.08,0.02,h
3152.0,2938.0,2889.0,2673.0,4095.0,4095.0,2627.0,2992.0,-9.37,3.07,1.0,-0.21,-0.12,0.39,h
3047.0,2940.0,2891.0,2688.0,4095.0,4095.0,2625.0,2994.0,-8.32,2.74,1.66,-0.33,-0.09,0.34,h
3109.0,2935.0,2883.0,2688.0,4095.0,4095.0,2629.0,2997.0,-7.37,2.35,2.81,-0.37,-0.02,0.07,h
3136.0,2939.0,2887.0,2687.0,4095.0,4095.0,2632.0,2999.0,-8.15,2.77,2.89,-0.08,0.11,-0.17,h
3211.0,2943.0,2889.0,2692.0,4095.0,4095.0,2637.0,3001.0,-8.9,2.91,2.57,0.13,0.11,-0.34,h
3717.0,2935.0,2883.0,2692.0,4095.0,4095.0,2637.0,2992.0,-9.44,3.45,1.93,0.27,0.05,-0.17,h
3622.0,2930.0,2891.0,2691.0,4095.0,4095.0,2640.0,3004.0,-9.59,3.35,1.41,-0.06,-0.03,0.1,h
3291.0,2931.0,2886.0,2697.0,4095.0,4095.0,2643.0,3001.0,-8.43,2.87,2.04,-0.23,-0.08,0.13,h
3451.0,2928.0,2883.0,2692.0,4095.0,4095.0,2640.0,3001.0,-8.25,2.04,2.52,-0.23,-0.04,0.13,h
3522.0,2931.0,2881.0,2694.0,4095.0,4095.0,2642.0,3006.0,-8.04,2.4,2.81,-0.06,0.08,-0.08,h
3525.0,2931.0,2891.0,2702.0,4095.0,4095.0,2643.0,3005.0,-8.55,2.73,2.67,0.04,0.01,-0.21,h
3522.0,2933.0,2894.0,2703.0,4095.0,4095.0,2639.0,3005.0,-9.22,2.89,2.32,0.16,0.05,-0.18,h
3511.0,2928.0,2887.0,2704.0,4095.0,4095.0,2640.0,3002.0,-9.45,3.53,1.5,0.05,-0.0,0.06,h
3426.0,2928.0,2885.0,2709.0,4095.0,4095.0,2643.0,3007.0,-8.86,2.6,2.07,-0.16,-0.07,0.25,h
2880.0,2933.0,2893.0,2708.0,4095.0,4095.0,2645.0,3011.0,-7.86,2.69,2.64,-0.13,-0.06,0.12,h
2866.0,2931.0,2884.0,2707.0,4095.0,4095.0,2647.0,3011.0,-8.54,3.2,2.54,-0.0,0.04,-0.11,h
2944.0,2935.0,2894.0,2714.0,4095.0,4095.0,2641.0,3014.0,-8.89,2.9,2.28,-0.02,0.0,-0.02,h
2941.0,2933.0,2890.0,2713.0,4095.0,4095.0,2645.0,3014.0,-8.27,2.5,2.74,0.0,-0.02,-0.04,h
2942.0,2929.0,2888.0,2715.0,4095.0,4095.0,2645.0,3009.0,-8.46,2.85,2.8,0.26,0.09,-0.22,h
2933.0,2932.0,2883.0,2717.0,4095.0,4095.0,2645.0,3013.0,-9.94,4.08,1.24,0.09,0.07,0.05,h
2923.0,2935.0,2889.0,2718.0,4095.0,4095.0,2649.0,3011.0,-8.66,3.17,1.38,-0.23,-0.09,0.32,h
2928.0,2933.0,2883.0,2723.0,4095.0,4095.0,2653.0,3015.0,-6.79,2.49,2.18,-0.63,-0.03,0.01,h
2913.0,2928.0,2878.0,2718.0,4095.0,4095.0,2647.0,3012.0,-7.83,1.8,3.61,-0.2,0.23,-0.58,h
2894.0,2928.0,2887.0,2711.0,4095.0,4095.0,2651.0,3008.0,-9.76,2.32,2.59,0.33,0.22,-0.56,h
2893.0,2928.0,2885.0,2708.0,4095.0,4095.0,2646.0,3010.0,-11.09,2.13,2.34,0.29,0.05,-0.01,h
2901.0,2930.0,2886.0,2683.0,4095.0,4095.0,2651.0,2991.0,-9.45,2.58,1.06,0.03,-0.08,0.55,h
2947.0,2930.0,2885.0,2613.0,4095.0,4095.0,2655.0,2974.0,-7.69,2.97,1.32,-0.63,0.05,0.38,h
2949.0,2930.0,2890.0,2595.0,4095.0,4095.0,2658.0,2981.0,-8.64,2.13,2.29,-1.12,0.87,-0.17,h
2958.0,2929.0,2887.0,2609.0,4095.0,4095.0,2656.0,2991.0,-9.29,1.73,2.76,0.1,0.03,-0.06,h
2919.0,2927.0,2885.0,2638.0,4095.0,4095.0,2660.0,2992.0,-8.33,2.18,2.22,0.88,-0.33,-0.28,h
2896.0,2929.0,2884.0,2645.0,4095.0,4095.0,2672.0,2997.0,-9.2,3.17,1.59,0.7,-0.14,-0.19,h
2882.0,2927.0,2893.0,2671.0,4095.0,4095.0,2671.0,2996.0,-9.88,3.04,1.21,0.15,-0.02,0.18,h
2893.0,2931.0,2880.0,2682.0,4095.0,4095.0,2658.0,2984.0,-9.0,2.84,1.09,-0.18,-0.1,0.65,h
2896.0,2928.0,2883.0,2683.0,4095.0,4095.0,2670.0,2995.0,-6.86,3.18,1.6,-0.93,0.07,0.21,h
2931.0,2929.0,2877.0,2631.0,4095.0,4095.0,2669.0,3013.0,-8.18,2.14,2.92,-0.73,0.57,-0.43,h
2917.0,2927.0,2886.0,2641.0,4095.0,4095.0,2671.0,3029.0,-9.07,1.99,2.89,1.02,-0.17,-0.35,h
2832.0,2929.0,2881.0,2701.0,4095.0,4095.0,2657.0,3002.0,-9.5,3.51,0.56,1.17,-0.21,-0.2,h
2886.0,2925.0,2875.0,2725.0,4095.0,4095.0,2658.0,2998.0,-9.41,3.26,0.43,-0.04,0.06,0.01,h
2911.0,2928.0,2883.0,2738.0,4095.0,4095.0,2658.0,3008.0,-9.2,2.56,1.29,-0.66,0.15,0.18,h
2911.0,2928.0,2889.0,2715.0,4095.0,4095.0,2660.0,3014.0,-9.05,2.09,2.08,-0.7,0.21,0.11,h
2953.0,2928.0,2886.0,2645.0,4095.0,4095.0,2671.0,3027.0,-8.42,2.23,1.43,-0.48,0.24,0.07,h
2963.0,2925.0,2896.0,2594.0,4095.0,4095.0,2671.0,3039.0,-8.31,2.2,1.53,-0.38,0.25,-0.01,h
2960.0,2927.0,2880.0,2608.0,4095.0,4095.0,2672.0,3040.0,-8.91,2.45,2.22,0.4,-0.11,-0.12,h
2945.0,2918.0,2885.0,2620.0,4095.0,4095.0,2679.0,3030.0,-9.11,2.59,1.44,0.83,-0.3,-0.13,h
2925.0,2922.0,2881.0,2639.0,4095.0,4095.0,2674.0,3024.0,-9.08,2.51,1.29,0.41,-0.16,-0.08,h
2893.0,2923.0,2881.0,2656.0,4095.0,4095.0,2674.0,3023.0,-8.75,2.58,1.16,0.44,-0.18,-0.05,h
2831.0,2926.0,2893.0,2687.0,4095.0,4095.0,2672.0,3008.0,-9.06,2.81,1.13,0.29,-0.1,0.0,h
2806.0,2927.0,2885.0,2715.0,4095.0,4095.0,2662.0,3002.0,-9.03,3.02,1.13,0.06,-0.05,0.04,h
2761.0,2929.0,2881.0,2741.0,4095.0,4095.0,2660.0,3014.0,-8.9,2.8,1.09,-0.56,-0.01,0.28,h
2543.0,2927.0,2873.0,2765.0,4095.0,4095.0,2656.0,3028.0,-8.47,2.31,2.08,-0.97,0.33,0.27,h
2590.0,2928.0,2883.0,2745.0,4095.0,4095.0,2654.0,3050.0,-8.54,2.3,1.71,-1.36,0.69,0.13,h
2662.0,2927.0,2891.0,2721.0,4095.0,4095.0,2645.0,3056.0,-8.84,2.41,2.24,-0.8,0.36,0.05,h
