hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3120.0,2931.0,2930.0,4095.0,4087.0,3209.0,2775.0,3536.0,-1.57,8.37,-5.14,-0.42,1.08,-0.15,i-love-you
3120.0,2915.0,2879.0,4095.0,4095.0,3170.0,2720.0,3479.0,0.63,7.96,-4.34,-0.61,1.12,0.24,i-love-you
3113.0,2800.0,2756.0,4095.0,4095.0,3062.0,2592.0,3367.0,-0.57,8.22,-3.86,-0.93,1.92,-0.3,i-love-you
3101.0,3047.0,2976.0,4095.0,4080.0,3290.0,2789.0,3509.0,2.45,10.41,-0.23,-0.97,1.37,0.61,i-love-you
3112.0,2987.0,2874.0,4095.0,4095.0,3182.0,2657.0,3393.0,2.09,10.8,0.28,-0.43,1.97,-0.06,i-love-you
3120.0,3002.0,2903.0,4095.0,4095.0,3280.0,2779.0,3504.0,4.24,10.05,0.24,0.02,0.81,0.7,i-love-you
3104.0,2980.0,2882.0,4095.0,4069.0,3223.0,2730.0,3446.0,7.88,8.72,-0.21,-0.04,-0.03,0.68,i-love-you
3099.0,3034.0,2960.0,4095.0,4061.0,3247.0,2786.0,3516.0,4.88,9.12,-0.9,-0.38,-0.0,-0.19,i-love-you
3105.0,2782.0,2754.0,4095.0,4064.0,3004.0,2559.0,3347.0,5.25,9.3,0.31,0.05,-0.92,0.26,i-love-you
3121.0,3071.0,3026.0,4095.0,4095.0,3291.0,2871.0,3659.0,3.46,8.9,-1.2,-0.12,-0.29,-0.49,i-love-you
3120.0,3071.0,3024.0,4095.0,4095.0,3289.0,2861.0,3661.0,2.49,8.84,-1.95,-0.08,-1.05,0.08,i-love-you
3123.0,3010.0,2955.0,4095.0,4095.0,3247.0,2799.0,3651.0,2.78,9.97,-1.91,0.04,-1.1,0.57,i-love-you
3110.0,2817.0,2737.0,4095.0,4048.0,3068.0,2591.0,3546.0,3.23,9.15,-1.83,-0.64,-0.58,-0.18,i-love-you
3101.0,2837.0,2767.0,4095.0,4039.0,3085.0,2592.0,3632.0,1.72,8.26,-0.82,0.56,-0.77,0.01,i-love-you
3097.0,2833.0,2783.0,4095.0,4048.0,3093.0,2608.0,3687.0,2.81,9.87,-2.97,-0.04,-0.71,-0.42,i-love-you
3117.0,2926.0,2883.0,4095.0,4094.0,3179.0,2711.0,3760.0,2.35,8.84,-2.3,0.22,-0.44,-0.63,i-love-you
3115.0,2896.0,2877.0,4095.0,4095.0,3126.0,2692.0,3629.0,2.85,9.05,-3.35,-0.31,-0.83,-0.62,i-love-you
3114.0,2805.0,2832.0,4095.0,4095.0,3025.0,2635.0,3494.0,1.42,10.29,-2.42,-0.32,-0.42,-1.28,i-love-you
3115.0,2790.0,2845.0,4095.0,4082.0,3005.0,2652.0,3472.0,-0.54,9.62,-1.38,-0.25,0.48,-1.15,i-love-you
3119.0,2785.0,2859.0,4095.0,4083.0,2994.0,2670.0,3516.0,-0.19,8.91,-1.9,-0.07,-0.21,-0.52,i-love-you
3125.0,2791.0,2853.0,4095.0,4095.0,3011.0,2658.0,3507.0,1.32,8.24,-2.67,-0.1,-0.52,-0.37,i-love-you
3123.0,2787.0,2859.0,4095.0,4095.0,3021.0,2670.0,3507.0,2.07,8.5,-2.95,-0.2,-0.65,-0.31,i-love-you
3119.0,2793.0,2867.0,4095.0,4095.0,3019.0,2683.0,3527.0,-0.76,8.88,-1.62,-0.5,-0.47,-0.61,i-love-you
3125.0,2793.0,2880.0,4095.0,4095.0,3012.0,2698.0,3558.0,-2.0,10.74,-0.81,-0.72,-0.06,-0.69,i-love-you
3137.0,2794.0,2885.0,4095.0,4095.0,3009.0,2712.0,3600.0,-3.41,9.73,0.18,-0.1,0.12,-0.21,i-love-you
3137.0,2798.0,2886.0,4095.0,4095.0,3015.0,2731.0,3636.0,-2.16,9.75,-1.26,-0.1,0.02,0.14,i-love-you
3161.0,2811.0,2907.0,4095.0,4095.0,3045.0,2739.0,3669.0,-0.47,9.83,-1.98,-0.23,0.06,0.08,i-love-you
3153.0,2806.0,2895.0,4095.0,4089.0,3051.0,2761.0,3670.0,-0.69,8.69,-1.09,-0.5,0.1,0.42,i-love-you
3165.0,2796.0,2887.0,4095.0,4081.0,3049.0,2754.0,3689.0,-0.02,10.18,-0.28,-0.29,0.16,0.36,i-love-you
3152.0,2779.0,2879.0,4095.0,4037.0,3046.0,2755.0,3689.0,0.38,10.3,0.43,-0.05,0.1,0.21,i-love-you
3154.0,2779.0,2881.0,4095.0,4061.0,3049.0,2749.0,3698.0,-1.12,9.88,-0.93,0.1,0.32,0.75,i-love-you
3142.0,2971.0,3070.0,4095.0,4083.0,3244.0,2938.0,3937.0,1.28,9.52,-0.58,0.08,0.02,0.64,i-love-you
3150.0,2967.0,3053.0,4095.0,4095.0,3248.0,2932.0,3781.0,0.74,11.34,-2.6,-0.5,0.73,1.1,i-love-you
3167.0,2999.0,3088.0,4095.0,4082.0,3289.0,2933.0,3871.0,3.73,7.16,2.36,-0.59,-1.67,2.08,i-love-you
3157.0,2779.0,2857.0,4095.0,4048.0,3103.0,2722.0,3639.0,2.47,11.29,-1.15,0.19,0.99,0.2,i-love-you
3157.0,2971.0,3065.0,4095.0,4077.0,3290.0,2914.0,3863.0,4.0,9.23,0.11,0.58,0.24,0.08,i-love-you
3155.0,3020.0,3042.0,4095.0,4095.0,3290.0,2917.0,3914.0,1.94,9.5,-0.46,0.24,0.28,-0.08,i-love-you
3155.0,3019.0,3106.0,4095.0,4084.0,3323.0,2960.0,3857.0,3.0,10.06,-0.76,0.41,0.32,-0.24,i-love-you
3150.0,3005.0,3088.0,4095.0,4095.0,3312.0,2962.0,3820.0,0.84,9.5,-0.4,0.08,0.72,-0.32,i-love-you
3153.0,3013.0,3088.0,4095.0,4095.0,3293.0,2960.0,3775.0,3.76,9.85,-1.27,0.55,0.26,0.06,i-love-you
3141.0,3001.0,3079.0,4095.0,4093.0,3285.0,2941.0,3760.0,2.0,8.45,-1.84,0.23,0.28,-0.16,i-love-you
3142.0,2994.0,3071.0,4095.0,4081.0,3286.0,2941.0,3775.0,5.93,9.83,-0.82,0.59,0.41,-0.8,i-love-you
3157.0,2871.0,2950.0,4095.0,4095.0,3177.0,2815.0,3702.0,0.51,9.17,-1.62,0.72,2.18,-2.59,i-love-you
3180.0,3063.0,3159.0,4095.0,4095.0,3367.0,3037.0,3993.0,0.7,8.48,-2.2,0.8,1.24,-1.75,i-love-you
3185.0,3056.0,3162.0,4095.0,4095.0,3369.0,3039.0,3999.0,-1.98,7.91,-3.58,-0.08,-1.34,1.48,i-love-you
3188.0,3045.0,3152.0,4095.0,4095.0,3355.0,3029.0,3983.0,1.78,10.64,-3.11,0.08,-0.87,0.24,i-love-you
3171.0,2826.0,2927.0,4095.0,4095.0,3121.0,2815.0,3684.0,0.72,9.54,-1.54,0.16,-0.71,0.38,i-love-you
3155.0,2815.0,2922.0,4095.0,4095.0,3111.0,2813.0,3711.0,1.3,9.53,-2.53,0.26,-0.62,-0.15,i-love-you
3155.0,2819.0,2914.0,4095.0,4095.0,3106.0,2749.0,3610.0,-0.26,10.23,-2.51,0.15,-0.29,0.17,i-love-you
3151.0,2832.0,2885.0,4095.0,4095.0,3024.0,2662.0,3520.0,1.66,8.33,-1.64,-0.17,-0.5,-0.31,i-love-you
3156.0,2828.0,2881.0,4095.0,4095.0,3038.0,2689.0,3507.0,-0.78,9.99,-2.43,0.56,-0.26,-0.16,i-love-you
3159.0,2830.0,2861.0,4095.0,4095.0,3038.0,2688.0,3422.0,1.41,8.82,-2.61,0.2,-0.08,-0.03,i-love-you
3154.0,2832.0,2755.0,4095.0,4095.0,3056.0,2663.0,3354.0,0.09,10.21,-3.52,0.45,-0.37,0.11,i-love-you
3184.0,2831.0,2706.0,4095.0,3904.0,3059.0,2642.0,3358.0,0.03,8.7,-3.45,0.14,-0.11,-0.05,i-love-you
3200.0,2825.0,2736.0,4095.0,3754.0,3056.0,2643.0,3379.0,0.57,9.88,-3.82,-0.09,-0.04,-0.22,i-love-you
3212.0,2822.0,2711.0,4095.0,3883.0,3056.0,2651.0,3372.0,-1.64,7.74,-3.95,-0.3,0.11,-0.01,i-love-you
3223.0,2828.0,2750.0,4095.0,3933.0,3025.0,2626.0,3408.0,0.34,9.04,-4.11,-0.59,0.06,-0.08,i-love-you
3242.0,2830.0,2753.0,4095.0,3875.0,3035.0,2628.0,3423.0,-1.4,8.87,-3.35,-0.52,0.18,0.25,i-love-you
3253.0,2832.0,2784.0,4095.0,3937.0,3051.0,2637.0,3456.0,-0.02,9.44,-1.09,-0.33,-0.25,0.94,i-love-you
3231.0,2821.0,2835.0,4095.0,3982.0,3047.0,2659.0,3487.0,0.83,10.01,-1.9,-0.32,0.38,0.54,i-love-you
3197.0,2806.0,2880.0,4095.0,4049.0,3056.0,2691.0,3600.0,2.81,10.76,-1.79,0.3,-0.09,0.79,i-love-you
3173.0,2814.0,2886.0,4095.0,4095.0,3059.0,2709.0,3616.0,1.5,9.29,-2.11,0.05,0.2,0.25,i-love-you
3167.0,2800.0,2893.0,4095.0,4095.0,3056.0,2701.0,3676.0,-0.4,9.06,-2.59,-0.41,0.17,1.21,i-love-you
3173.0,3061.0,3171.0,4095.0,4095.0,3326.0,3013.0,4095.0,0.78,8.85,-2.15,-0.72,0.56,1.8,i-love-you
3170.0,2791.0,2898.0,4095.0,4095.0,3093.0,2754.0,3963.0,1.62,5.2,0.23,-0.89,0.31,2.18,i-love-you
3200.0,2819.0,2914.0,4095.0,4095.0,3133.0,2752.0,3942.0,7.3,9.93,-2.42,0.24,0.57,0.36,i-love-you
3195.0,2829.0,2884.0,4095.0,4095.0,3136.0,2734.0,3889.0,9.72,9.82,-0.67,0.62,1.02,-0.97,i-love-you
3203.0,2832.0,2870.0,4095.0,4095.0,3152.0,2714.0,3883.0,1.07,9.85,-0.95,1.91,2.58,-2.98,i-love-you
3216.0,2853.0,2893.0,4095.0,4095.0,3178.0,2721.0,3947.0,-0.3,10.53,-2.48,1.04,1.15,-0.67,i-love-you
3056.0,2719.0,2736.0,4095.0,4002.0,3011.0,2587.0,3619.0,3.8,8.71,-2.95,1.14,0.01,-0.24,i-love-you
3029.0,2685.0,2645.0,4095.0,3985.0,2997.0,2558.0,3493.0,3.98,9.42,-2.05,1.21,1.04,-1.44,i-love-you
3094.0,2741.0,2592.0,4095.0,4095.0,3040.0,2588.0,3491.0,1.24,9.63,-3.65,1.01,1.3,-1.59,i-love-you
3114.0,2768.0,2616.0,4095.0,4095.0,3037.0,2592.0,3532.0,0.77,8.95,-3.76,1.1,0.45,-1.0,i-love-you
3103.0,2770.0,2767.0,4095.0,4080.0,3014.0,2631.0,3505.0,-2.47,6.82,-3.73,0.33,-0.55,0.5,i-love-you
3115.0,2799.0,2858.0,4095.0,4077.0,3040.0,2724.0,3513.0,2.42,9.23,-5.26,0.58,-1.48,1.27,i-love-you
3095.0,2849.0,2898.0,4095.0,3981.0,3053.0,2754.0,3508.0,1.6,8.72,-7.26,0.18,-2.32,1.84,i-love-you
3101.0,2833.0,2919.0,4095.0,3983.0,3061.0,2784.0,3669.0,6.33,5.99,-5.69,-0.72,-3.32,1.29,i-love-you
3071.0,2811.0,2911.0,4095.0,3968.0,3014.0,2864.0,3809.0,1.93,8.42,-6.28,-1.2,-0.63,-0.77,i-love-you
3088.0,2790.0,2909.0,4095.0,4032.0,3011.0,2967.0,4037.0,-0.19,8.89,-4.26,-0.04,-0.51,0.12,i-love-you
