hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
4095.0,2886.0,2994.0,2798.0,2858.0,3066.0,2999.0,4095.0,1.78,9.39,-2.12,-0.05,0.08,-0.03,i
4095.0,2874.0,2999.0,2786.0,2853.0,3070.0,2992.0,4095.0,2.05,9.43,-2.1,-0.06,0.04,0.0,i
4095.0,2866.0,2999.0,2791.0,2857.0,3069.0,2992.0,4095.0,1.87,9.42,-1.94,-0.05,0.01,-0.03,i
4095.0,2869.0,3007.0,2799.0,2855.0,3071.0,2996.0,4095.0,1.69,9.61,-1.87,-0.03,-0.01,-0.05,i
4095.0,2879.0,2995.0,2793.0,2864.0,3070.0,2993.0,4095.0,1.47,9.5,-1.92,0.01,-0.02,-0.03,i
4095.0,2864.0,2998.0,2796.0,2857.0,3082.0,2998.0,4095.0,1.83,9.44,-2.09,0.04,0.0,-0.05,i
4095.0,2878.0,3014.0,2800.0,2863.0,3071.0,3008.0,4095.0,1.59,9.36,-2.19,0.0,-0.03,0.04,i
4095.0,2871.0,2992.0,2799.0,2859.0,3067.0,2999.0,4095.0,1.48,9.41,-2.3,-0.02,0.05,-0.05,i
4095.0,2865.0,3006.0,2803.0,2860.0,3083.0,2999.0,4095.0,1.96,9.48,-2.04,-0.03,0.0,0.0,i
4095.0,2875.0,2999.0,2801.0,2860.0,3071.0,3002.0,4095.0,1.82,9.49,-2.09,-0.02,0.0,-0.04,i
4095.0,2869.0,2992.0,2801.0,2855.0,3070.0,3003.0,4095.0,1.93,9.53,-1.93,-0.01,-0.0,-0.07,i
4095.0,2874.0,2989.0,2806.0,2859.0,3067.0,3007.0,4095.0,1.46,9.68,-1.95,0.03,0.0,-0.05,i
4095.0,2877.0,2992.0,2802.0,2864.0,3080.0,3005.0,4095.0,1.08,9.02,-2.48,0.03,0.09,-0.06,i
4095.0,2865.0,2996.0,2804.0,2860.0,3071.0,3007.0,4095.0,2.16,9.26,-2.37,-0.06,-0.02,0.1,i
4095.0,2865.0,2993.0,2807.0,2864.0,3085.0,3008.0,4095.0,1.68,9.34,-2.11,-0.04,0.05,0.02,i
4095.0,2871.0,2998.0,2806.0,2862.0,3082.0,3013.0,4095.0,1.82,9.4,-2.11,-0.04,0.02,-0.07,i
4095.0,2869.0,2997.0,2802.0,2864.0,3083.0,3005.0,4095.0,1.69,9.47,-2.02,-0.02,-0.01,0.02,i
4095.0,2864.0,2992.0,2799.0,2862.0,3082.0,3009.0,4095.0,1.61,9.4,-2.09,-0.04,0.04,-0.08,i
4095.0,2876.0,2996.0,2801.0,2863.0,3071.0,3010.0,4095.0,1.88,9.62,-2.12,0.0,-0.05,0.02,i
4095.0,2873.0,2993.0,2800.0,2870.0,3080.0,3007.0,4095.0,1.47,9.25,-2.14,-0.03,0.03,-0.03,i
4095.0,2863.0,2992.0,2800.0,2865.0,3082.0,3012.0,4095.0,1.88,9.37,-2.18,-0.05,-0.02,0.0,i
4095.0,2871.0,2998.0,2802.0,2867.0,3088.0,3007.0,4095.0,1.7,9.37,-2.07,-0.05,0.0,0.03,i
4095.0,2868.0,2995.0,2800.0,2863.0,3088.0,3009.0,4095.0,1.78,9.33,-2.05,0.0,0.03,0.03,i
4095.0,2879.0,3003.0,2800.0,2863.0,3071.0,3007.0,4095.0,1.78,9.66,-2.08,-0.04,-0.0,-0.03,i
4095.0,2869.0,2992.0,2800.0,2863.0,3086.0,3015.0,4095.0,1.86,9.56,-1.98,-0.02,-0.02,-0.02,i
4095.0,2878.0,3010.0,2800.0,2864.0,3087.0,3020.0,4095.0,1.77,9.5,-2.13,0.01,-0.02,-0.02,i
4095.0,2869.0,2996.0,2802.0,2862.0,3086.0,3017.0,4095.0,1.44,9.43,-2.25,0.02,0.04,-0.04,i
4095.0,2878.0,2992.0,2800.0,2864.0,3082.0,3011.0,4095.0,1.92,9.43,-2.23,0.01,-0.01,-0.07,i
4095.0,2867.0,3005.0,2800.0,2864.0,3087.0,3021.0,4095.0,1.75,9.31,-2.21,-0.01,0.0,0.02,i
4095.0,2867.0,2992.0,2809.0,2873.0,3086.0,3021.0,4095.0,1.47,9.27,-2.16,0.01,-0.01,0.02,i
4095.0,2873.0,2993.0,2810.0,2869.0,3088.0,3024.0,4095.0,1.91,9.53,-2.26,0.0,-0.0,0.0,i
4095.0,2879.0,2986.0,2807.0,2860.0,3100.0,3021.0,4095.0,1.84,9.46,-2.16,-0.04,0.03,-0.01,i
4095.0,2875.0,2995.0,2807.0,2867.0,3094.0,3033.0,4095.0,1.83,9.52,-2.32,-0.01,0.01,-0.02,i
4095.0,2874.0,3003.0,2809.0,2873.0,3089.0,3031.0,4095.0,1.55,9.37,-2.22,-0.03,0.0,-0.03,i
4095.0,2871.0,2992.0,2812.0,2871.0,3091.0,3026.0,4095.0,1.82,9.31,-2.21,-0.04,0.02,-0.05,i
4095.0,2875.0,2992.0,2816.0,2865.0,3095.0,3027.0,4095.0,1.68,9.37,-2.3,-0.07,0.01,0.02,i
4095.0,2869.0,2991.0,2811.0,2870.0,3091.0,3028.0,4095.0,1.48,9.35,-2.19,-0.07,0.05,0.0,i
4095.0,2875.0,2998.0,2809.0,2867.0,3093.0,3034.0,4095.0,2.04,9.65,-2.14,-0.04,0.01,-0.04,i
4095.0,2873.0,3003.0,2815.0,2877.0,3091.0,3029.0,4095.0,1.94,9.49,-1.98,0.01,-0.04,-0.01,i
4095.0,2875.0,2994.0,2815.0,2870.0,3092.0,3035.0,4095.0,1.45,9.52,-2.33,0.0,-0.02,0.0,i
4095.0,2873.0,2990.0,2813.0,2866.0,3101.0,3024.0,4095.0,1.69,9.33,-2.32,0.01,0.01,-0.06,i
4095.0,2874.0,2996.0,2811.0,2870.0,3091.0,3027.0,4095.0,1.85,9.36,-2.2,-0.0,-0.02,0.02,i
4095.0,2874.0,2999.0,2815.0,2878.0,3098.0,3031.0,4095.0,1.54,9.31,-2.25,-0.04,0.02,0.01,i
4095.0,2876.0,3003.0,2818.0,2876.0,3095.0,3037.0,4095.0,1.92,9.44,-2.24,-0.01,-0.01,-0.04,i
4095.0,2867.0,3007.0,2819.0,2879.0,3104.0,3034.0,4095.0,1.62,9.39,-2.24,-0.05,0.01,0.0,i
4095.0,2878.0,2993.0,2815.0,2881.0,3106.0,3031.0,4095.0,1.75,9.42,-2.14,-0.01,0.02,-0.03,i
4095.0,2869.0,2993.0,2815.0,2874.0,3098.0,3028.0,4095.0,1.84,9.48,-2.16,-0.01,-0.01,0.04,i
4095.0,2874.0,2991.0,2817.0,2879.0,3095.0,3039.0,4095.0,1.81,9.39,-2.32,-0.02,0.02,-0.08,i
4095.0,2865.0,2999.0,2815.0,2875.0,3097.0,3035.0,4095.0,1.8,9.43,-2.41,-0.02,-0.02,0.01,i
4095.0,2874.0,2985.0,2827.0,2878.0,3104.0,3031.0,4095.0,1.47,9.37,-2.14,-0.05,0.0,-0.03,i
4095.0,2873.0,2992.0,2815.0,2877.0,3102.0,3036.0,4095.0,1.86,9.57,-2.34,-0.03,0.02,-0.03,i
4095.0,2865.0,2992.0,2817.0,2875.0,3099.0,3035.0,4095.0,1.78,9.36,-2.22,-0.02,0.01,0.02,i
4095.0,2870.0,2994.0,2819.0,2875.0,3104.0,3031.0,4095.0,1.74,9.49,-2.32,-0.05,0.01,0.01,i
4095.0,2869.0,2987.0,2826.0,2879.0,3109.0,3031.0,4095.0,1.82,9.32,-2.2,-0.03,0.03,-0.04,i
4095.0,2871.0,2989.0,2818.0,2877.0,3099.0,3033.0,4095.0,1.91,9.39,-2.12,-0.04,-0.02,0.0,i
4095.0,2873.0,2992.0,2829.0,2879.0,3101.0,3041.0,4095.0,1.67,9.39,-2.18,-0.04,-0.01,-0.02,i
4095.0,2879.0,2998.0,2830.0,2880.0,3105.0,3043.0,4095.0,1.78,9.45,-2.15,-0.02,0.0,0.03,i
4095.0,2880.0,3001.0,2824.0,2880.0,3105.0,3031.0,4095.0,1.62,9.24,-2.24,-0.02,0.02,-0.04,i
4095.0,2875.0,2987.0,2822.0,2878.0,3107.0,3041.0,4095.0,1.88,9.35,-2.29,-0.04,0.04,-0.06,i
4095.0,2881.0,2995.0,2824.0,2874.0,3111.0,3037.0,4095.0,1.83,9.46,-2.07,-0.05,-0.03,0.07,i
4095.0,2876.0,3002.0,2816.0,2887.0,3104.0,3043.0,4095.0,1.71,9.5,-2.21,-0.01,0.01,-0.07,i
