hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
944.0,4095.0,2856.0,3633.0,3021.0,2601.0,2941.0,4095.0,-2.87,8.83,7.0,0.02,-0.01,-0.15,i
945.0,4095.0,2864.0,3635.0,3018.0,2592.0,2930.0,4095.0,-2.95,8.99,6.89,-0.02,-0.02,-0.15,i
949.0,4095.0,2855.0,3635.0,3022.0,2601.0,2940.0,4095.0,-2.85,8.86,7.23,-0.01,-0.02,-0.16,i
959.0,4095.0,2854.0,3631.0,3018.0,2597.0,2938.0,4095.0,-2.87,8.9,7.17,-0.01,-0.02,-0.19,i
959.0,4095.0,2853.0,3632.0,3017.0,2595.0,2934.0,4095.0,-3.04,8.82,7.07,0.05,0.04,-0.17,i
944.0,4095.0,2850.0,3632.0,3015.0,2592.0,2933.0,4095.0,-3.08,8.88,7.08,0.0,-0.01,-0.17,i
945.0,4095.0,2855.0,3635.0,3015.0,2598.0,2933.0,4095.0,-2.96,8.89,6.96,0.05,0.02,-0.11,i
943.0,4095.0,2853.0,3632.0,3018.0,2598.0,2939.0,4095.0,-3.0,8.88,6.87,-0.12,-0.08,-0.15,i
943.0,4095.0,2855.0,3643.0,3021.0,2594.0,2930.0,4095.0,-3.68,9.33,6.94,-0.2,-0.23,0.04,i
946.0,4095.0,2859.0,3657.0,3019.0,2592.0,2937.0,4095.0,-2.6,8.72,7.1,-0.39,-0.13,0.05,i
949.0,4095.0,2859.0,3657.0,3015.0,2593.0,2931.0,4095.0,-3.08,8.93,7.58,-0.33,-0.21,0.02,i
945.0,4095.0,2859.0,3649.0,3013.0,2586.0,2932.0,4095.0,-2.43,8.69,7.67,-0.33,0.07,0.05,i
946.0,4095.0,2853.0,3662.0,3010.0,2587.0,2930.0,4095.0,-2.6,8.72,7.8,-0.51,0.04,-0.0,i
955.0,4095.0,2862.0,3662.0,3007.0,2559.0,2927.0,4095.0,-2.55,8.6,8.08,-0.4,-0.07,0.03,i
941.0,4095.0,2861.0,3671.0,3019.0,2587.0,2927.0,4095.0,-1.92,8.25,8.42,-0.54,-0.03,-0.19,i
951.0,4095.0,2861.0,3666.0,3011.0,2586.0,2925.0,4095.0,-2.41,8.66,8.46,-0.27,-0.03,-0.12,i
939.0,4095.0,2855.0,3679.0,3010.0,2583.0,2931.0,4095.0,-2.26,8.03,8.81,-0.38,0.22,-0.24,i
944.0,4095.0,2864.0,3695.0,3022.0,2587.0,2935.0,4095.0,-2.44,8.42,8.92,-0.23,-0.17,-0.32,i
956.0,4095.0,2854.0,3695.0,3018.0,2587.0,2933.0,4095.0,-2.62,8.04,9.37,-0.07,-0.3,-0.41,i
944.0,4095.0,2858.0,3713.0,3022.0,2587.0,2929.0,4095.0,-2.66,8.13,9.45,0.01,-0.17,-0.4,i
956.0,4095.0,2863.0,3706.0,3022.0,2587.0,2937.0,4095.0,-2.62,7.98,9.3,0.16,-0.27,-0.19,i
944.0,4095.0,2853.0,3716.0,3024.0,2589.0,2933.0,4095.0,-2.72,8.03,9.06,0.17,0.11,-0.19,i
