hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2904.0,2896.0,3022.0,3690.0,4095.0,4095.0,2726.0,3102.0,0.25,9.77,-0.65,0.03,-0.02,-0.01,k
2895.0,2901.0,3018.0,3695.0,4095.0,4095.0,2727.0,3110.0,0.34,9.43,-0.38,0.01,0.0,-0.0,k
2893.0,2901.0,3014.0,3696.0,4095.0,4095.0,2731.0,3111.0,0.34,9.79,-0.56,-0.07,0.07,-0.04,k
2896.0,2903.0,3024.0,3694.0,4095.0,4095.0,2724.0,3110.0,0.35,9.99,-0.19,0.08,0.04,0.02,k
2893.0,2896.0,3017.0,3685.0,4095.0,4095.0,2714.0,3114.0,0.53,9.7,-0.16,0.1,0.01,-0.02,k
2895.0,2898.0,3024.0,3696.0,4095.0,4095.0,2720.0,3105.0,0.57,9.56,-0.69,0.05,-0.03,0.02,k
2894.0,2899.0,3012.0,3693.0,4095.0,4095.0,2718.0,3103.0,0.32,9.44,-1.11,0.1,0.05,-0.0,k
2887.0,2909.0,3017.0,3686.0,4095.0,4095.0,2710.0,3113.0,0.74,9.33,-0.72,-0.08,-0.02,-0.01,k
2890.0,2896.0,3011.0,3684.0,4095.0,4095.0,2709.0,3109.0,0.38,9.67,-0.55,-0.08,-0.02,0.05,k
2895.0,2899.0,3024.0,3679.0,4095.0,4095.0,2711.0,3111.0,0.33,9.86,-0.6,-0.06,0.1,-0.11,k
2887.0,2903.0,3008.0,3665.0,4095.0,4095.0,2707.0,3102.0,0.54,9.75,-0.38,0.0,-0.02,0.02,k
2882.0,2896.0,3024.0,3670.0,4095.0,4095.0,2710.0,3113.0,0.57,9.84,-0.39,0.01,0.01,-0.01,k
2883.0,2898.0,3005.0,3674.0,4095.0,4095.0,2711.0,3109.0,0.41,10.09,-0.86,0.09,0.01,-0.05,k
2887.0,2899.0,3021.0,3677.0,4095.0,4095.0,2709.0,3107.0,0.53,9.32,-0.59,0.03,0.0,-0.03,k
