hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3061.0,3087.0,3185.0,3761.0,4095.0,4095.0,2825.0,3070.0,1.1,10.28,-1.1,0.04,0.06,0.02,k
3069.0,3095.0,3184.0,3776.0,4095.0,4095.0,2827.0,3082.0,0.88,9.2,-0.83,-0.03,-0.1,-0.03,k
3071.0,3109.0,3214.0,3777.0,4095.0,4095.0,2851.0,3100.0,1.1,9.89,-1.06,-0.04,0.04,-0.04,k
3062.0,3105.0,3201.0,3796.0,4095.0,4095.0,2838.0,3094.0,0.85,9.41,-0.87,0.03,-0.04,-0.01,k
3065.0,3101.0,3197.0,3807.0,4095.0,4095.0,2833.0,3088.0,0.79,9.77,-1.0,-0.05,0.06,-0.02,k
3068.0,3091.0,3197.0,3811.0,4095.0,4095.0,2830.0,3083.0,1.03,9.48,-0.81,-0.02,-0.05,-0.01,k
3061.0,3095.0,3198.0,3811.0,4095.0,4095.0,2834.0,3088.0,1.04,9.74,-1.01,-0.02,0.06,-0.01,k
3062.0,3091.0,3210.0,3819.0,4095.0,4095.0,2843.0,3095.0,1.1,9.6,-1.01,-0.02,-0.03,-0.03,k
3068.0,3110.0,3203.0,3815.0,4095.0,4095.0,2842.0,3098.0,0.92,9.54,-0.83,-0.04,-0.02,-0.05,k
3063.0,3119.0,3218.0,3809.0,4095.0,4095.0,2851.0,3106.0,0.91,9.57,-0.97,-0.07,0.03,-0.06,k
3069.0,3110.0,3216.0,3825.0,4095.0,4095.0,2852.0,3102.0,0.68,9.62,-0.94,0.02,0.04,0.04,k
3067.0,3103.0,3214.0,3842.0,4095.0,4095.0,2848.0,3099.0,1.05,9.73,-0.9,-0.01,-0.03,-0.02,k
3062.0,3095.0,3202.0,3847.0,4095.0,4095.0,2837.0,3090.0,0.87,9.73,-1.03,0.01,0.02,-0.01,k
3063.0,3102.0,3199.0,3847.0,4095.0,4095.0,2838.0,3095.0,0.89,9.45,-1.01,-0.04,0.01,-0.06,k
3071.0,3091.0,3199.0,3861.0,4095.0,4095.0,2837.0,3090.0,0.94,9.83,-1.02,-0.01,0.01,0.0,k
3066.0,3087.0,3195.0,3887.0,4095.0,4095.0,2832.0,3083.0,0.79,9.62,-0.88,-0.02,-0.03,0.0,k
3071.0,3088.0,3197.0,3901.0,4095.0,4095.0,2832.0,3086.0,0.84,9.55,-0.98,-0.0,0.02,-0.01,k
3061.0,3090.0,3200.0,3904.0,4095.0,4095.0,2834.0,3085.0,0.89,9.77,-1.1,0.13,0.05,0.08,k
3071.0,3088.0,3197.0,4007.0,4095.0,4095.0,2837.0,3086.0,1.01,9.34,-1.19,-0.24,0.1,-0.24,k
3070.0,3095.0,3209.0,4095.0,4095.0,4095.0,2845.0,3085.0,0.6,9.91,-0.68,0.18,-0.06,0.24,k
3087.0,3088.0,3194.0,4095.0,4095.0,4095.0,2826.0,3055.0,1.09,9.47,-1.38,-0.05,0.2,0.15,k
3097.0,3087.0,3190.0,4095.0,4095.0,4095.0,2822.0,3056.0,1.22,9.76,-1.01,0.15,0.03,-0.1,k
3101.0,3066.0,3189.0,4095.0,4095.0,4095.0,2815.0,3047.0,0.84,9.05,-1.09,-0.12,-0.02,0.05,k
3101.0,3071.0,3191.0,4095.0,4095.0,4095.0,2816.0,3056.0,1.18,9.62,-0.94,0.09,-0.15,0.23,k
3105.0,3083.0,3200.0,4095.0,4095.0,4095.0,2822.0,3056.0,1.35,10.02,-1.12,0.05,0.05,-0.06,k
3102.0,3069.0,3195.0,4095.0,4095.0,4095.0,2825.0,3055.0,0.91,9.27,-1.22,0.02,-0.08,-0.01,k
3110.0,3083.0,3200.0,4095.0,4095.0,4095.0,2834.0,3065.0,1.26,9.63,-1.26,0.06,-0.12,0.13,k
3094.0,3083.0,3200.0,4095.0,4095.0,4095.0,2832.0,3060.0,1.34,9.56,-1.25,-0.19,0.16,-0.23,k
3107.0,3083.0,3197.0,4095.0,4095.0,4095.0,2831.0,3061.0,1.35,9.78,-1.08,-0.01,0.02,0.04,k
3105.0,3088.0,3194.0,4095.0,4095.0,4095.0,2830.0,3059.0,1.13,9.53,-0.93,0.01,0.02,-0.03,k
3106.0,3086.0,3187.0,4095.0,4095.0,4095.0,2831.0,3059.0,1.13,10.0,-1.37,0.04,0.02,0.03,k
3107.0,3070.0,3185.0,4095.0,4095.0,4095.0,2832.0,3057.0,1.08,9.17,-1.2,-0.04,-0.15,0.04,k
3106.0,3083.0,3189.0,4095.0,4095.0,4095.0,2832.0,3056.0,1.2,9.79,-1.23,-0.06,0.1,-0.03,k
3114.0,3071.0,3191.0,4095.0,4095.0,4095.0,2832.0,3055.0,1.28,9.43,-1.12,-0.13,-0.03,-0.06,k
3107.0,3087.0,3198.0,4095.0,4095.0,4095.0,2832.0,3056.0,1.21,9.61,-1.02,-0.02,0.05,-0.0,k
3104.0,3088.0,3191.0,4095.0,4095.0,4095.0,2834.0,3054.0,0.85,9.57,-1.07,-0.08,0.12,0.07,k
3108.0,3065.0,3191.0,4095.0,4095.0,4095.0,2834.0,3041.0,1.02,9.62,-1.04,-0.03,-0.05,0.18,k
3109.0,3071.0,3197.0,4095.0,4095.0,4095.0,2847.0,3029.0,1.18,9.71,-1.25,-0.07,0.25,0.02,k
3110.0,3091.0,3203.0,4095.0,4095.0,4095.0,2864.0,3037.0,1.46,9.57,-1.16,0.05,0.05,0.03,k
3106.0,3084.0,3197.0,4095.0,4095.0,4095.0,2869.0,3032.0,1.68,9.44,-1.28,-0.03,-0.03,0.01,k
3106.0,3088.0,3200.0,4095.0,4095.0,4095.0,2871.0,3026.0,1.4,9.45,-0.92,0.04,-0.13,0.04,k
3105.0,3109.0,3213.0,4095.0,4095.0,4095.0,2891.0,3046.0,1.24,9.63,-0.99,-0.1,0.04,-0.09,k
3099.0,3115.0,3227.0,4048.0,4095.0,4095.0,2898.0,3056.0,1.2,9.59,-1.14,0.03,-0.07,0.15,k
3101.0,3126.0,3241.0,3727.0,4095.0,4095.0,2908.0,3081.0,1.45,9.36,-1.24,-0.01,-0.0,0.07,k
3097.0,3130.0,3239.0,3583.0,4095.0,4095.0,2907.0,3084.0,1.51,9.52,-1.15,0.02,-0.02,0.07,k
3099.0,3125.0,3236.0,3520.0,4095.0,4095.0,2912.0,3071.0,1.64,9.52,-1.28,-0.09,0.05,-0.06,k
3107.0,3121.0,3244.0,3507.0,4095.0,4095.0,2913.0,3079.0,1.41,9.54,-1.18,-0.01,-0.07,0.05,k
3100.0,3123.0,3241.0,3533.0,4095.0,4095.0,2918.0,3071.0,1.6,9.71,-1.04,0.05,-0.03,0.05,k
3102.0,3113.0,3228.0,3583.0,4095.0,4095.0,2903.0,3067.0,1.71,9.71,-1.34,-0.03,0.06,-0.11,k
3110.0,3103.0,3216.0,3518.0,4095.0,4095.0,2894.0,3061.0,1.69,9.31,-1.19,0.04,-0.13,0.05,k
3109.0,3120.0,3236.0,3453.0,4095.0,4095.0,2903.0,3085.0,1.59,9.83,-1.57,0.03,0.13,-0.05,k
3105.0,3105.0,3234.0,3489.0,4095.0,4095.0,2896.0,3066.0,1.05,9.18,-1.37,-0.06,0.05,0.04,k
3105.0,3109.0,3225.0,3809.0,4095.0,4095.0,2909.0,3068.0,1.54,9.87,-1.47,0.08,0.14,-0.04,k
3101.0,3219.0,3331.0,4095.0,4095.0,4095.0,3021.0,3183.0,1.59,9.47,-1.29,-0.12,-0.04,-0.0,k
3105.0,3191.0,3309.0,4095.0,4095.0,4095.0,2989.0,3139.0,1.85,9.41,-1.22,-0.01,0.01,0.07,k
3108.0,3098.0,3216.0,4095.0,4095.0,4095.0,2899.0,3049.0,1.97,9.84,-1.37,0.05,0.01,0.02,k
3097.0,3105.0,3223.0,4095.0,4095.0,4095.0,2911.0,3059.0,1.72,9.78,-1.39,-0.1,0.02,-0.09,k
3100.0,3094.0,3202.0,4095.0,4095.0,4095.0,2896.0,3046.0,1.53,9.48,-1.31,-0.05,-0.03,-0.04,k
3103.0,3091.0,3213.0,4095.0,4095.0,4095.0,2899.0,3053.0,1.37,9.62,-1.45,0.08,0.0,-0.01,k
3105.0,3100.0,3217.0,4095.0,4095.0,4095.0,2898.0,3051.0,1.39,9.4,-1.33,-0.07,-0.04,-0.06,k
3107.0,3099.0,3216.0,4095.0,4095.0,4095.0,2898.0,3051.0,1.53,9.51,-1.41,0.03,-0.06,-0.0,k
3107.0,3098.0,3207.0,4095.0,4095.0,4095.0,2900.0,3051.0,1.58,9.68,-1.35,0.06,0.0,-0.02,k
3103.0,3101.0,3209.0,4095.0,4095.0,4095.0,2897.0,3054.0,1.5,9.66,-1.46,0.0,-0.05,0.03,k
3105.0,3092.0,3206.0,4016.0,4095.0,4095.0,2893.0,3047.0,1.54,9.31,-1.48,-0.13,-0.1,-0.13,k
3111.0,3119.0,3232.0,3888.0,4095.0,4095.0,2910.0,3081.0,1.41,9.52,-1.3,-0.07,-0.14,0.1,k
3112.0,3136.0,3250.0,3806.0,4095.0,4095.0,2933.0,3099.0,1.25,9.5,-1.52,-0.04,-0.07,-0.02,k
3104.0,3114.0,3231.0,3948.0,4095.0,4095.0,2914.0,3068.0,1.72,9.53,-1.54,0.16,-0.07,0.04,k
3095.0,3083.0,3188.0,4095.0,4095.0,4095.0,2875.0,3035.0,1.51,9.52,-1.52,0.03,0.02,-0.02,k
3088.0,2989.0,3106.0,4095.0,4095.0,4095.0,2799.0,2953.0,1.7,9.5,-1.62,0.08,-0.13,0.07,k
3090.0,2980.0,3107.0,4095.0,4095.0,4095.0,2787.0,2928.0,1.31,9.41,-1.69,0.07,-0.07,0.1,k
3088.0,2957.0,3069.0,4095.0,4095.0,4095.0,2768.0,2894.0,1.85,9.53,-1.66,0.01,-0.24,-0.07,k
3088.0,2960.0,3066.0,4095.0,4095.0,4095.0,2768.0,2877.0,1.28,9.48,-1.77,0.01,0.06,-0.02,k
3088.0,2958.0,3065.0,4095.0,4095.0,4095.0,2763.0,2864.0,1.74,9.23,-1.82,-0.23,-0.06,-0.14,k
