hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2938.0,2905.0,2949.0,3904.0,4095.0,4095.0,2546.0,3043.0,-2.52,9.27,-2.54,-0.31,0.4,0.05,k
2934.0,2896.0,2949.0,3904.0,4095.0,4095.0,2544.0,3041.0,-2.15,10.07,-0.31,-0.41,0.51,0.17,k
2941.0,2896.0,2954.0,3919.0,4095.0,4095.0,2547.0,3039.0,-1.31,10.5,0.4,-0.09,0.36,0.18,k
2944.0,2897.0,2954.0,3922.0,4095.0,4095.0,2556.0,3048.0,-1.13,9.47,-0.17,0.15,-0.08,0.1,k
2943.0,2893.0,2950.0,3931.0,4095.0,4095.0,2550.0,3047.0,-1.68,8.65,-0.59,0.05,-0.23,0.07,k
2939.0,2897.0,2951.0,3947.0,4095.0,4095.0,2549.0,3045.0,-1.2,9.37,-0.88,0.15,-0.15,-0.11,k
2943.0,2893.0,2950.0,3934.0,4095.0,4095.0,2549.0,3051.0,-0.52,8.99,-0.14,0.18,-0.41,-0.17,k
2939.0,2898.0,2953.0,3933.0,4095.0,4095.0,2551.0,3056.0,-2.07,8.47,-2.09,0.17,-0.61,-0.44,k
2942.0,2896.0,2951.0,3925.0,4095.0,4095.0,2545.0,3046.0,-3.65,8.71,-2.55,-0.34,-0.44,-0.29,k
2934.0,2898.0,2942.0,3860.0,4095.0,4095.0,2556.0,3055.0,-3.78,9.55,-1.69,-0.5,0.09,-0.26,k
2938.0,2896.0,2958.0,3952.0,4095.0,4095.0,2555.0,3052.0,-3.5,10.13,-0.08,-0.34,0.45,-0.06,k
2939.0,2901.0,2955.0,3949.0,4095.0,4095.0,2558.0,3051.0,-2.01,9.93,0.05,-0.13,0.46,0.06,k
2938.0,2895.0,2960.0,3952.0,4095.0,4095.0,2558.0,3056.0,-2.17,9.5,0.41,-0.06,0.45,0.1,k
2933.0,2900.0,2953.0,3959.0,4095.0,4095.0,2554.0,3056.0,-0.53,9.57,0.03,-0.12,1.54,-0.19,k
2940.0,2898.0,2949.0,3990.0,4095.0,4095.0,2559.0,3055.0,-0.39,9.73,-0.23,-0.3,1.38,0.01,k
2927.0,2896.0,2955.0,3984.0,4095.0,4095.0,2559.0,3060.0,0.02,9.64,-1.2,-0.66,4.13,-0.59,k
2934.0,2902.0,2950.0,3981.0,4095.0,4095.0,2559.0,3066.0,-2.34,9.25,-2.26,-0.44,3.29,-0.33,k
2933.0,2897.0,2951.0,3984.0,4095.0,4095.0,2559.0,3071.0,-3.68,9.09,-1.7,-0.22,1.6,0.17,k
2935.0,2902.0,2949.0,3984.0,4095.0,4095.0,2559.0,3085.0,-1.77,9.37,-2.03,-0.03,-1.3,0.44,k
2933.0,2896.0,2960.0,3940.0,4095.0,4095.0,2559.0,3070.0,-0.91,9.45,-1.52,0.2,-3.17,0.51,k
2934.0,2897.0,2954.0,3885.0,4095.0,4095.0,2559.0,3055.0,0.72,9.9,-1.44,0.12,-3.72,0.55,k
2928.0,2895.0,2955.0,3911.0,4095.0,4095.0,2559.0,3061.0,-0.16,9.74,-1.12,0.02,-2.26,0.3,k
2929.0,2896.0,2946.0,3884.0,4095.0,4095.0,2559.0,3070.0,-0.37,9.58,-0.36,-0.06,-1.53,0.19,k
2931.0,2892.0,2957.0,3781.0,4095.0,4095.0,2559.0,3069.0,-1.54,9.36,-0.56,-0.08,-1.14,-0.06,k
2929.0,2895.0,2943.0,3811.0,4095.0,4095.0,2559.0,3070.0,-1.23,8.94,-0.99,-0.3,-0.65,-0.17,k
2933.0,2891.0,2945.0,3859.0,4095.0,4095.0,2559.0,3083.0,-2.82,9.98,0.94,-0.55,0.51,0.02,k
2935.0,2891.0,2944.0,3871.0,4095.0,4095.0,2559.0,3088.0,-0.88,10.62,1.52,0.05,0.14,0.17,k
2935.0,2892.0,2941.0,3893.0,4095.0,4095.0,2559.0,3088.0,-0.27,9.81,1.19,0.21,-0.14,0.03,k
2937.0,2896.0,2948.0,3921.0,4095.0,4095.0,2559.0,3088.0,-0.26,8.99,0.72,0.16,-0.22,-0.01,k
2935.0,2893.0,2951.0,3919.0,4095.0,4095.0,2559.0,3085.0,-0.52,8.58,0.43,0.14,-0.34,-0.22,k
2930.0,2894.0,2947.0,3920.0,4095.0,4095.0,2559.0,3086.0,-1.99,8.63,-0.26,0.09,-0.41,-0.36,k
2935.0,2893.0,2959.0,3915.0,4095.0,4095.0,2559.0,3089.0,-3.04,9.07,-1.03,-0.14,-0.13,-0.36,k
2929.0,2895.0,2946.0,3918.0,4095.0,4095.0,2559.0,3088.0,-2.7,9.75,-0.27,-0.34,0.23,-0.09,k
2928.0,2891.0,2951.0,3936.0,4095.0,4095.0,2559.0,3088.0,-1.86,10.14,1.12,-0.39,0.42,-0.09,k
2929.0,2897.0,2954.0,3938.0,4095.0,4095.0,2559.0,3088.0,-2.85,10.13,1.88,-0.12,0.51,0.18,k
2935.0,2892.0,2946.0,3920.0,4095.0,4095.0,2585.0,3098.0,-2.51,9.96,1.46,0.29,0.43,0.45,k
2939.0,2890.0,2945.0,3938.0,4095.0,4095.0,2579.0,3092.0,-0.78,10.39,0.69,0.44,0.3,0.45,k
2930.0,2886.0,2943.0,3929.0,4095.0,4095.0,2559.0,3095.0,0.09,9.11,-0.92,0.24,0.3,0.46,k
2943.0,2896.0,2944.0,3942.0,4095.0,4095.0,2559.0,3099.0,-0.12,6.75,-1.13,-0.09,0.15,0.02,k
2930.0,2895.0,2944.0,4006.0,4095.0,4095.0,2559.0,3102.0,-0.51,9.19,-1.04,-0.55,0.23,-0.29,k
2939.0,2893.0,2943.0,4069.0,4095.0,4095.0,2587.0,3101.0,-0.51,10.81,2.22,-0.29,-0.03,-0.43,k
2935.0,2890.0,2945.0,4064.0,4095.0,4095.0,2583.0,3109.0,-1.95,11.06,-0.29,0.33,-0.31,-0.2,k
2933.0,2896.0,2953.0,4086.0,4095.0,4095.0,2559.0,3107.0,-2.57,9.4,-1.71,0.02,0.04,0.2,k
2937.0,2896.0,2952.0,4077.0,4095.0,4095.0,2559.0,3111.0,-1.68,8.23,-0.32,-0.29,0.22,0.29,k
2930.0,2891.0,2960.0,4067.0,4095.0,4095.0,2559.0,3119.0,-0.86,8.36,0.26,-0.45,0.34,0.13,k
2937.0,2897.0,2940.0,4066.0,4095.0,4095.0,2591.0,3120.0,0.2,9.68,2.11,-0.3,-0.06,-0.06,k
2943.0,2902.0,2938.0,4042.0,4095.0,4095.0,2585.0,3122.0,-1.24,10.06,0.69,-0.16,-0.27,-0.18,k
2951.0,2896.0,2958.0,4023.0,4095.0,4095.0,2583.0,3123.0,-0.66,9.53,0.82,-0.31,-0.61,-0.11,k
2953.0,2902.0,2944.0,3978.0,4095.0,4095.0,2559.0,3129.0,-1.0,9.15,1.46,-0.23,-0.45,-0.21,k
2954.0,2896.0,2950.0,4045.0,4095.0,4095.0,2559.0,3129.0,0.41,9.1,2.05,-0.06,-0.47,-0.49,k
2951.0,2901.0,2947.0,4033.0,4095.0,4095.0,2580.0,3136.0,-2.28,9.3,2.23,0.21,-0.22,-0.77,k
2955.0,2891.0,2955.0,4075.0,4095.0,4095.0,2559.0,3140.0,-5.97,8.71,-0.46,-0.19,0.02,-0.04,k
2959.0,2901.0,2956.0,4091.0,4095.0,4095.0,2589.0,3147.0,-2.08,9.6,3.81,-0.39,0.21,0.51,k
2959.0,2899.0,2950.0,4074.0,4095.0,4095.0,2597.0,3152.0,-0.73,9.33,3.54,0.24,0.12,0.24,k
2953.0,2897.0,2951.0,4085.0,4095.0,4095.0,2591.0,3152.0,-0.44,8.59,2.33,0.39,-0.16,0.01,k
2957.0,2898.0,2943.0,4095.0,4095.0,4095.0,2588.0,3153.0,-1.03,8.5,0.85,0.24,-0.3,-0.29,k
2960.0,2899.0,2955.0,4094.0,4095.0,4095.0,2597.0,3152.0,-2.14,8.5,0.43,0.14,-0.37,-0.4,k
2950.0,2905.0,2953.0,4095.0,4095.0,4095.0,2591.0,3151.0,-3.47,8.97,-0.3,-0.35,-0.05,-0.32,k
2948.0,2903.0,2942.0,4083.0,4095.0,4095.0,2593.0,3152.0,-3.79,9.48,1.8,-0.31,0.38,0.0,k
2959.0,2896.0,2946.0,4094.0,4095.0,4095.0,2597.0,3145.0,-2.96,9.78,2.3,-0.21,0.57,0.27,k
2947.0,2898.0,2942.0,4081.0,4095.0,4095.0,2599.0,3147.0,-2.16,9.72,3.1,0.08,0.46,0.42,k
2951.0,2893.0,2947.0,4075.0,4095.0,4095.0,2615.0,3138.0,-1.4,9.51,1.53,0.27,0.28,0.46,k
2946.0,2901.0,2947.0,4061.0,4095.0,4095.0,2636.0,3151.0,-0.92,9.49,0.75,0.19,0.07,0.33,k
2947.0,2893.0,2943.0,4039.0,4095.0,4095.0,2627.0,3152.0,-0.32,7.61,0.05,-0.03,0.06,0.19,k
2954.0,2899.0,2949.0,4034.0,4095.0,4095.0,2634.0,3155.0,-0.31,8.77,1.1,-0.25,0.12,-0.21,k
2950.0,2899.0,2947.0,4037.0,4095.0,4095.0,2631.0,3169.0,-1.27,9.98,2.19,-0.02,-0.15,-0.35,k
2945.0,2897.0,2946.0,4049.0,4095.0,4095.0,2625.0,3167.0,-1.64,10.48,1.24,0.06,-0.31,-0.24,k
2946.0,2896.0,2957.0,4043.0,4095.0,4095.0,2634.0,3167.0,-2.58,10.41,0.5,0.24,-0.14,0.02,k
2947.0,2905.0,2945.0,4048.0,4095.0,4095.0,2630.0,3171.0,-2.12,9.72,-0.17,0.17,0.22,0.33,k
2951.0,2896.0,2953.0,4048.0,4095.0,4095.0,2628.0,3167.0,-1.65,8.2,-0.27,-0.02,0.5,0.38,k
2952.0,2897.0,2949.0,4048.0,4095.0,4095.0,2628.0,3169.0,-0.32,7.99,1.21,-0.04,0.63,0.12,k
2939.0,2895.0,2946.0,4049.0,4095.0,4095.0,2624.0,3166.0,-1.06,8.6,0.61,0.08,0.75,-0.23,k
2946.0,2896.0,2950.0,4045.0,4095.0,4095.0,2629.0,3176.0,-1.69,9.62,1.22,0.11,0.59,-0.36,k
2943.0,2896.0,2950.0,4013.0,4095.0,4095.0,2630.0,3175.0,-4.19,10.5,-0.31,0.02,0.65,0.02,k
2943.0,2897.0,2960.0,4043.0,4095.0,4095.0,2623.0,3170.0,-0.75,9.98,-0.59,0.01,0.76,0.5,k
2943.0,2900.0,2944.0,4042.0,4095.0,4095.0,2624.0,3173.0,0.37,10.03,-0.68,-0.05,3.64,-0.11,k
2943.0,2896.0,2946.0,4067.0,4095.0,4095.0,2621.0,3174.0,0.66,9.55,-0.6,0.05,1.62,-0.08,k
2941.0,2910.0,2950.0,4048.0,4095.0,4095.0,2620.0,3184.0,-0.51,9.45,-0.62,0.4,0.09,-0.46,k
2940.0,2896.0,2949.0,4035.0,4095.0,4095.0,2611.0,3170.0,-1.85,8.9,-2.37,0.4,-0.65,-0.68,k
2944.0,2894.0,2945.0,4047.0,4095.0,4095.0,2610.0,3162.0,-3.72,8.5,-4.82,0.18,-0.64,-0.47,k
2947.0,2897.0,2953.0,4049.0,4095.0,4095.0,2613.0,3167.0,-4.09,9.07,-2.91,-0.42,-0.42,-0.06,k
2939.0,2896.0,2957.0,4057.0,4095.0,4095.0,2612.0,3173.0,-3.44,9.14,-1.08,-0.31,-0.29,0.07,k
2939.0,2896.0,2960.0,4051.0,4095.0,4095.0,2608.0,3173.0,-3.58,9.08,-0.4,-0.41,-0.24,0.22,k
2943.0,2896.0,2946.0,4070.0,4095.0,4095.0,2608.0,3179.0,-3.2,9.28,1.05,-0.22,-0.04,0.45,k
2947.0,2897.0,2953.0,4048.0,4095.0,4095.0,2612.0,3188.0,-2.09,9.13,0.28,0.27,-0.91,0.51,k
2945.0,2903.0,2945.0,4035.0,4095.0,4095.0,2607.0,3184.0,-1.09,9.57,-1.38,0.37,-2.01,0.48,k
2941.0,2896.0,2953.0,4046.0,4095.0,4095.0,2605.0,3183.0,-0.48,9.72,-1.39,0.09,-1.89,0.27,k
