hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3243.0,2780.0,2885.0,4095.0,4095.0,2899.0,2416.0,2585.0,0.61,9.92,0.27,-0.15,-0.01,0.06,l
3237.0,2773.0,2887.0,4095.0,4095.0,2862.0,2358.0,2543.0,1.1,9.66,0.46,-0.05,0.0,0.06,l
3285.0,2842.0,2954.0,4095.0,4095.0,2945.0,2438.0,2624.0,1.29,9.79,0.3,-0.01,0.07,-0.09,l
3309.0,2902.0,3008.0,4095.0,4095.0,3003.0,2495.0,2678.0,1.81,9.63,0.52,-0.02,0.03,-0.19,l
3344.0,2970.0,3089.0,4095.0,4095.0,3084.0,2559.0,2752.0,0.18,9.62,0.28,0.01,-0.29,-0.14,l
3351.0,2960.0,3079.0,4095.0,4095.0,3067.0,2555.0,2738.0,0.62,9.61,0.19,0.17,-0.04,-0.13,l
3344.0,2917.0,3037.0,4095.0,4095.0,3029.0,2508.0,2688.0,0.01,9.5,0.03,0.37,0.38,-0.14,l
3344.0,2928.0,3042.0,4095.0,4095.0,3040.0,2516.0,2695.0,0.11,9.78,-0.65,0.33,0.3,-0.33,l
3351.0,2939.0,3053.0,4095.0,4095.0,3050.0,2519.0,2703.0,0.38,9.49,-0.98,0.05,0.25,-0.29,l
3358.0,3056.0,3182.0,4095.0,4095.0,3163.0,2650.0,2816.0,2.01,8.79,-0.26,0.41,0.04,-0.77,l
3367.0,3111.0,3222.0,4095.0,4095.0,3221.0,2703.0,2874.0,-2.5,10.34,-1.4,0.72,0.86,-1.11,l
3363.0,3165.0,3281.0,4095.0,4095.0,3277.0,2750.0,2918.0,-0.08,10.06,-0.82,0.81,-0.48,-0.27,l
3347.0,3111.0,3231.0,4095.0,4095.0,3217.0,2694.0,2880.0,-3.31,10.31,-2.15,0.77,0.52,-1.23,l
3350.0,3109.0,3229.0,4095.0,4095.0,3225.0,2687.0,2883.0,-2.38,8.24,-2.45,0.41,0.03,-0.28,l
3349.0,3104.0,3234.0,4095.0,4095.0,3222.0,2676.0,2875.0,-2.14,8.38,-2.63,0.05,0.6,-0.61,l
3344.0,3102.0,3222.0,4095.0,4095.0,3217.0,2672.0,2869.0,-2.35,8.86,-2.68,-0.22,0.49,-0.33,l
3317.0,3084.0,3199.0,4095.0,4095.0,3190.0,2651.0,2861.0,-1.9,9.06,-1.69,-0.55,0.53,-0.22,l
3303.0,3067.0,3186.0,4095.0,4095.0,3178.0,2639.0,2853.0,-1.13,8.97,-0.53,-0.56,-0.1,0.38,l
3306.0,3063.0,3190.0,4095.0,4095.0,3171.0,2636.0,2855.0,0.07,9.02,-1.21,-0.67,-0.2,0.36,l
3311.0,3081.0,3211.0,4095.0,4095.0,3183.0,2642.0,2871.0,-0.76,8.94,-2.05,-0.7,-0.29,0.15,l
3307.0,3071.0,3202.0,4095.0,4095.0,3183.0,2640.0,2874.0,-2.71,8.12,-0.97,-0.76,-0.33,-0.01,l
3317.0,3100.0,3215.0,4095.0,4095.0,3202.0,2658.0,2885.0,-3.6,8.88,-1.34,-1.19,-0.19,0.23,l
3322.0,3097.0,3219.0,4095.0,4095.0,3216.0,2669.0,2894.0,-2.08,8.71,2.63,-0.76,-0.98,0.71,l
3335.0,3114.0,3238.0,4095.0,4095.0,3239.0,2672.0,2896.0,-2.91,10.77,-0.33,-0.61,-0.09,0.25,l
3338.0,3197.0,3326.0,4095.0,4095.0,3315.0,2752.0,2981.0,1.7,10.52,0.1,-0.55,-0.46,0.59,l
3344.0,3190.0,3313.0,4095.0,4095.0,3310.0,2741.0,2976.0,0.23,8.61,1.95,-0.67,0.12,0.07,l
3344.0,3156.0,3279.0,4095.0,4095.0,3279.0,2715.0,2942.0,1.11,10.62,2.0,0.05,-0.02,0.1,l
3355.0,3154.0,3277.0,4095.0,4095.0,3280.0,2720.0,2947.0,-1.73,9.33,1.24,0.07,0.3,-0.11,l
3361.0,3159.0,3297.0,4095.0,4095.0,3291.0,2732.0,2957.0,-0.14,9.87,1.51,0.06,-0.1,-0.07,l
3374.0,3162.0,3283.0,4095.0,4095.0,3294.0,2725.0,2960.0,-1.31,9.69,0.18,0.18,0.23,-0.48,l
3373.0,3155.0,3273.0,4095.0,4095.0,3278.0,2711.0,2957.0,0.39,8.34,0.85,-0.38,-0.01,-0.89,l
3378.0,3169.0,3293.0,4095.0,4095.0,3295.0,2735.0,2978.0,-1.89,9.12,0.52,-0.1,-0.04,-0.73,l
3407.0,3185.0,3312.0,4095.0,4095.0,3315.0,2755.0,2999.0,-2.69,9.15,1.33,0.1,-0.0,0.09,l
3421.0,3188.0,3311.0,4095.0,4095.0,3299.0,2744.0,2983.0,-1.44,9.6,2.7,0.76,-0.32,0.81,l
3399.0,3246.0,3366.0,4095.0,4095.0,3348.0,2810.0,3040.0,0.09,11.39,0.33,0.78,-0.29,0.2,l
3433.0,3259.0,3383.0,4095.0,4095.0,3357.0,2834.0,3033.0,-1.82,8.95,0.48,1.15,-0.46,0.5,l
3547.0,3235.0,3347.0,4095.0,4095.0,3327.0,2862.0,3019.0,-0.25,10.1,-1.44,0.55,-0.39,-0.04,l
3515.0,3201.0,3312.0,4095.0,4095.0,3327.0,2858.0,3041.0,-1.02,9.01,-1.21,-0.07,0.13,-0.08,l
3536.0,3167.0,3289.0,4095.0,4095.0,3297.0,2823.0,3039.0,-1.3,9.99,-0.62,-0.11,-0.08,0.24,l
3571.0,3203.0,3319.0,4095.0,4095.0,3330.0,2839.0,3063.0,-0.68,8.77,-1.08,-0.24,0.2,-0.04,l
3513.0,3189.0,3313.0,4095.0,4095.0,3349.0,2845.0,3081.0,-0.59,9.27,0.0,-0.21,0.04,0.14,l
3469.0,3166.0,3287.0,4095.0,4095.0,3335.0,2827.0,3054.0,-0.84,9.62,-0.78,-0.29,0.23,-0.25,l
3460.0,3107.0,3295.0,4095.0,4095.0,3359.0,2833.0,3130.0,-1.04,9.68,0.28,-0.26,0.18,-0.14,l
3425.0,2914.0,3324.0,4095.0,4095.0,3410.0,2856.0,3220.0,-1.4,9.67,-0.96,-0.77,0.16,-0.09,l
3394.0,2455.0,3242.0,4095.0,4095.0,3397.0,2827.0,3341.0,-0.95,9.97,-0.29,-0.21,-0.04,0.1,l
3392.0,2394.0,3149.0,4095.0,4095.0,3382.0,2800.0,3626.0,-0.22,9.22,0.8,-0.75,0.2,-0.25,l
3381.0,2389.0,3138.0,4095.0,4095.0,3379.0,2797.0,3600.0,-1.13,9.62,0.89,0.11,-0.12,0.14,l
3380.0,2405.0,3136.0,4095.0,4095.0,3375.0,2781.0,3470.0,-0.81,9.39,1.02,0.12,-0.16,0.16,l
3392.0,2482.0,3159.0,4095.0,4095.0,3317.0,2681.0,3216.0,-0.57,10.38,0.25,0.23,-0.36,0.42,l
3353.0,2517.0,3205.0,4095.0,4095.0,3297.0,2640.0,3090.0,0.27,9.62,0.67,0.02,-0.24,0.32,l
3370.0,2535.0,3226.0,4095.0,4095.0,3311.0,2644.0,3089.0,0.33,9.63,0.41,-0.08,-0.39,0.56,l
3370.0,2513.0,3204.0,4095.0,4095.0,3289.0,2638.0,3087.0,0.65,10.81,0.5,0.38,-0.45,0.37,l
3350.0,2512.0,3194.0,4095.0,4095.0,3265.0,2622.0,3087.0,-0.25,8.81,-0.39,0.04,0.19,-0.17,l
3357.0,2550.0,3197.0,4095.0,4095.0,3263.0,2619.0,3057.0,-0.99,9.45,-0.75,0.19,-0.01,0.18,l
