hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2943.0,848.0,1961.0,4095.0,4095.0,2401.0,2583.0,2510.0,0.98,9.72,5.45,-0.02,-0.02,-0.18,l
2955.0,854.0,1966.0,4095.0,4095.0,2408.0,2587.0,2510.0,0.98,9.78,5.65,-0.01,-0.02,-0.17,l
2959.0,849.0,1971.0,4095.0,4095.0,2405.0,2587.0,2509.0,0.97,9.71,5.64,0.01,-0.01,-0.14,l
2953.0,858.0,1967.0,4095.0,4095.0,2409.0,2592.0,2511.0,1.03,9.81,5.56,0.02,0.02,-0.15,l
2950.0,848.0,1966.0,4095.0,4095.0,2405.0,2583.0,2508.0,1.05,9.73,5.53,0.02,-0.0,-0.16,l
2956.0,860.0,1954.0,4095.0,4095.0,2406.0,2591.0,2512.0,0.85,9.84,5.47,0.01,0.01,-0.16,l
2945.0,850.0,1969.0,4095.0,4095.0,2405.0,2587.0,2512.0,0.94,9.7,5.6,0.01,-0.01,-0.15,l
2947.0,853.0,1965.0,4095.0,4095.0,2409.0,2589.0,2512.0,0.85,9.82,5.54,0.01,0.01,-0.15,l
2950.0,858.0,1965.0,4095.0,4095.0,2405.0,2590.0,2513.0,1.0,9.68,5.6,0.02,0.03,-0.08,l
2953.0,853.0,1957.0,4095.0,4095.0,2405.0,2586.0,2511.0,1.04,9.81,5.56,0.0,0.01,-0.08,l
2946.0,853.0,1973.0,4095.0,4095.0,2407.0,2591.0,2512.0,1.19,9.66,5.66,0.02,0.03,-0.15,l
2951.0,861.0,1968.0,4095.0,4095.0,2405.0,2590.0,2512.0,1.26,9.81,5.54,0.03,-0.03,-0.19,l
2951.0,845.0,1968.0,4095.0,4095.0,2404.0,2588.0,2511.0,1.07,9.7,5.55,0.01,0.0,-0.14,l
2957.0,848.0,1965.0,4095.0,4095.0,2406.0,2589.0,2512.0,1.05,9.8,5.57,0.03,0.01,-0.15,l
2945.0,858.0,1968.0,4095.0,4095.0,2407.0,2591.0,2515.0,1.09,9.73,5.56,0.02,0.03,-0.12,l
2948.0,851.0,1966.0,4095.0,4095.0,2409.0,2591.0,2513.0,1.0,9.83,5.47,0.01,-0.01,-0.16,l
