hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
1708.0,2359.0,3031.0,2639.0,3248.0,3660.0,2717.0,3010.0,0.16,9.85,-1.61,-0.07,0.03,-0.05,m
1710.0,2361.0,3039.0,2633.0,3251.0,3658.0,2714.0,3014.0,0.1,9.54,-1.37,0.01,-0.02,0.01,m
1702.0,2366.0,3050.0,2640.0,3255.0,3662.0,2721.0,3008.0,0.23,9.65,-1.55,-0.06,-0.0,-0.04,m
1712.0,2365.0,3024.0,2640.0,3251.0,3658.0,2713.0,3008.0,0.08,9.68,-1.45,0.03,-0.01,0.03,m
1712.0,2367.0,3024.0,2640.0,3248.0,3661.0,2713.0,3002.0,0.08,9.61,-1.52,-0.06,-0.0,-0.03,m
1709.0,2363.0,3037.0,2642.0,3253.0,3673.0,2714.0,3007.0,0.17,9.72,-1.53,0.01,-0.01,0.01,m
1707.0,2357.0,3042.0,2645.0,3250.0,3664.0,2719.0,2999.0,-0.03,9.42,-1.38,-0.0,-0.02,-0.01,m
1687.0,2356.0,3031.0,2644.0,3249.0,3659.0,2794.0,3003.0,0.22,9.91,-1.65,0.01,-0.03,0.01,m
1685.0,2359.0,3029.0,2650.0,3254.0,3661.0,2779.0,3008.0,0.13,9.51,-1.37,-0.02,0.0,-0.01,m
1691.0,2355.0,3031.0,2655.0,3259.0,3656.0,2775.0,2999.0,0.33,9.75,-1.65,-0.09,0.01,-0.05,m
1697.0,2357.0,3030.0,2640.0,3255.0,3661.0,2768.0,3007.0,0.07,9.59,-1.49,-0.01,0.0,-0.0,m
1701.0,2354.0,3033.0,2645.0,3261.0,3653.0,2771.0,3001.0,0.07,9.63,-1.48,-0.03,0.01,-0.02,m
1695.0,2361.0,3038.0,2655.0,3266.0,3669.0,2779.0,3002.0,0.11,9.68,-1.53,-0.03,0.01,-0.0,m
1695.0,2357.0,3043.0,2647.0,3263.0,3659.0,2778.0,3003.0,0.1,9.47,-1.41,-0.03,0.01,-0.03,m
1691.0,2359.0,3039.0,2642.0,3263.0,3664.0,2769.0,2998.0,0.12,9.74,-1.63,-0.02,0.01,-0.02,m
1691.0,2361.0,3035.0,2653.0,3266.0,3651.0,2771.0,3003.0,0.11,9.56,-1.48,-0.03,0.01,-0.0,m
1702.0,2353.0,3033.0,2650.0,3262.0,3650.0,2771.0,3003.0,0.18,9.67,-1.6,-0.1,0.02,-0.04,m
1712.0,2357.0,3047.0,2656.0,3260.0,3654.0,2767.0,2997.0,0.18,9.81,-1.47,-0.01,-0.0,0.01,m
1709.0,2363.0,3047.0,2665.0,3262.0,3653.0,2766.0,3001.0,0.07,9.58,-1.42,-0.01,0.01,-0.02,m
1710.0,2355.0,3034.0,2660.0,3262.0,3651.0,2759.0,2995.0,0.15,9.71,-1.59,-0.01,0.03,-0.02,m
1711.0,2356.0,3031.0,2657.0,3265.0,3648.0,2767.0,2992.0,0.03,9.37,-1.46,-0.06,-0.02,0.0,m
1714.0,2361.0,3047.0,2659.0,3261.0,3661.0,2763.0,3008.0,0.34,9.77,-1.6,-0.06,0.02,-0.04,m
1710.0,2357.0,3037.0,2662.0,3255.0,3648.0,2767.0,2998.0,0.04,9.66,-1.43,-0.02,-0.01,0.01,m
1710.0,2352.0,3036.0,2668.0,3263.0,3650.0,2769.0,3002.0,0.17,9.69,-1.44,-0.01,-0.01,-0.03,m
1709.0,2359.0,3039.0,2669.0,3263.0,3653.0,2767.0,3003.0,0.13,9.54,-1.48,-0.01,-0.0,-0.0,m
1712.0,2366.0,3036.0,2665.0,3259.0,3651.0,2768.0,3009.0,0.13,9.67,-1.47,-0.05,0.0,-0.03,m
1713.0,2356.0,3037.0,2671.0,3267.0,3659.0,2767.0,3008.0,0.09,9.64,-1.45,-0.0,-0.0,0.01,m
1712.0,2352.0,3043.0,2672.0,3266.0,3649.0,2761.0,3008.0,0.09,9.47,-1.49,-0.04,0.01,-0.01,m
1709.0,2365.0,3034.0,2671.0,3266.0,3665.0,2765.0,3005.0,0.19,9.72,-1.54,-0.04,0.01,0.0,m
1707.0,2357.0,3035.0,2677.0,3264.0,3651.0,2762.0,3008.0,0.09,9.48,-1.36,-0.03,-0.0,-0.02,m
1706.0,2357.0,3035.0,2670.0,3264.0,3664.0,2767.0,3010.0,0.17,9.75,-1.46,-0.02,0.0,-0.01,m
1706.0,2363.0,3043.0,2671.0,3263.0,3648.0,2766.0,3011.0,0.08,9.5,-1.41,-0.03,-0.01,0.0,m
1709.0,2362.0,3035.0,2672.0,3263.0,3648.0,2767.0,3009.0,0.2,9.72,-1.61,-0.01,0.02,-0.05,m
1710.0,2361.0,3029.0,2671.0,3271.0,3661.0,2761.0,3001.0,0.11,9.63,-1.51,-0.0,-0.01,0.01,m
1712.0,2355.0,3037.0,2672.0,3264.0,3651.0,2763.0,3011.0,0.2,9.75,-1.64,-0.06,0.02,-0.04,m
1712.0,2363.0,3041.0,2670.0,3274.0,3661.0,2765.0,3007.0,0.19,9.72,-1.44,0.01,0.01,0.01,m
1714.0,2351.0,3042.0,2673.0,3263.0,3648.0,2762.0,2999.0,0.24,9.61,-1.44,-0.06,0.0,-0.04,m
1718.0,2358.0,3040.0,2672.0,3267.0,3647.0,2760.0,3005.0,0.12,9.74,-1.57,-0.01,0.0,-0.0,m
1712.0,2362.0,3043.0,2672.0,3268.0,3664.0,2759.0,2998.0,0.12,9.55,-1.36,-0.02,0.02,-0.02,m
1707.0,2355.0,3038.0,2673.0,3264.0,3653.0,2765.0,3007.0,0.2,9.61,-1.52,-0.02,0.01,-0.01,m
1703.0,2352.0,3039.0,2677.0,3260.0,3655.0,2767.0,2999.0,0.12,9.56,-1.52,-0.05,-0.01,0.01,m
1711.0,2355.0,3036.0,2683.0,3265.0,3662.0,2763.0,3007.0,0.17,9.65,-1.5,-0.03,0.03,-0.05,m
1712.0,2355.0,3043.0,2689.0,3266.0,3655.0,2768.0,3005.0,0.13,9.73,-1.49,-0.03,0.01,-0.01,m
1712.0,2352.0,3035.0,2678.0,3275.0,3663.0,2758.0,3009.0,0.06,9.65,-1.61,-0.03,0.01,-0.01,m
1708.0,2358.0,3035.0,2679.0,3270.0,3659.0,2758.0,3003.0,0.21,9.68,-1.47,-0.01,0.02,0.0,m
1718.0,2359.0,3049.0,2677.0,3274.0,3646.0,2763.0,3001.0,0.08,9.56,-1.46,-0.03,0.03,-0.01,m
1711.0,2359.0,3039.0,2678.0,3267.0,3662.0,2765.0,3005.0,0.38,9.67,-1.61,-0.02,0.01,-0.02,m
1703.0,2353.0,3034.0,2683.0,3270.0,3664.0,2761.0,3014.0,0.15,9.56,-1.52,-0.02,-0.0,-0.05,m
1711.0,2359.0,3046.0,2685.0,3268.0,3655.0,2767.0,3007.0,-0.01,9.63,-1.5,-0.05,-0.01,-0.04,m
1717.0,2357.0,3037.0,2686.0,3277.0,3661.0,2759.0,3004.0,0.02,9.59,-1.48,-0.11,0.0,-0.02,m
1725.0,2359.0,3038.0,2682.0,3273.0,3647.0,2751.0,3002.0,0.11,9.71,-1.37,-0.05,0.04,0.0,m
1715.0,2356.0,3046.0,2687.0,3274.0,3651.0,2754.0,3005.0,0.26,9.7,-1.38,-0.03,0.01,0.0,m
1719.0,2354.0,3040.0,2679.0,3277.0,3654.0,2755.0,3007.0,0.26,9.65,-1.34,0.0,0.0,0.0,m
1719.0,2361.0,3037.0,2691.0,3274.0,3648.0,2749.0,2994.0,0.15,9.63,-1.42,-0.01,0.01,-0.05,m
1716.0,2355.0,3039.0,2688.0,3275.0,3649.0,2753.0,3005.0,0.21,9.58,-1.53,-0.01,-0.02,-0.0,m
1713.0,2354.0,3041.0,2689.0,3279.0,3651.0,2750.0,3004.0,0.06,9.42,-1.51,-0.03,0.01,-0.05,m
1714.0,2365.0,3039.0,2691.0,3274.0,3657.0,2762.0,3007.0,0.09,9.74,-1.53,-0.05,-0.01,-0.02,m
1725.0,2363.0,3033.0,2688.0,3277.0,3655.0,2753.0,3007.0,-0.03,9.68,-1.38,0.0,0.02,0.02,m
1721.0,2352.0,3046.0,2694.0,3279.0,3651.0,2754.0,2998.0,0.37,9.66,-1.44,-0.02,0.0,0.0,m
1715.0,2354.0,3025.0,2688.0,3278.0,3649.0,2754.0,3009.0,0.28,9.65,-1.45,-0.01,-0.02,-0.01,m
1715.0,2356.0,3036.0,2692.0,3280.0,3653.0,2757.0,3005.0,0.25,9.6,-1.36,-0.02,-0.03,-0.05,m
1718.0,2354.0,3043.0,2691.0,3280.0,3651.0,2763.0,3002.0,-0.05,9.68,-1.47,-0.02,-0.01,-0.01,m
1719.0,2362.0,3042.0,2688.0,3275.0,3655.0,2759.0,3007.0,0.01,9.58,-1.53,-0.02,0.0,-0.02,m
1717.0,2352.0,3038.0,2691.0,3278.0,3648.0,2754.0,2998.0,0.06,9.56,-1.62,-0.02,0.01,0.0,m
1723.0,2351.0,3037.0,2699.0,3281.0,3655.0,2757.0,3009.0,0.17,9.53,-1.41,-0.05,0.01,-0.01,m
1717.0,2352.0,3030.0,2701.0,3278.0,3651.0,2756.0,3006.0,0.1,9.7,-1.5,-0.05,0.03,-0.02,m
1715.0,2353.0,3042.0,2701.0,3280.0,3647.0,2759.0,3003.0,0.07,9.53,-1.38,-0.03,0.01,-0.02,m
1719.0,2361.0,3036.0,2699.0,3287.0,3661.0,2762.0,2999.0,0.12,9.67,-1.46,-0.05,-0.01,-0.01,m
1719.0,2353.0,3035.0,2692.0,3277.0,3654.0,2758.0,2997.0,0.06,9.77,-1.47,0.0,0.01,-0.02,m
1719.0,2356.0,3039.0,2691.0,3282.0,3647.0,2768.0,3004.0,0.23,9.52,-1.49,-0.03,0.01,-0.01,m
1712.0,2354.0,3033.0,2697.0,3279.0,3648.0,2767.0,2998.0,0.19,9.65,-1.61,-0.03,-0.01,-0.0,m
1713.0,2352.0,3029.0,2691.0,3271.0,3647.0,2767.0,2992.0,0.07,9.56,-1.39,-0.03,-0.01,-0.0,m
1731.0,2352.0,3043.0,2701.0,3280.0,3651.0,2768.0,2997.0,0.08,9.68,-1.54,-0.07,0.0,-0.0,m
1722.0,2354.0,3034.0,2704.0,3277.0,3659.0,2761.0,2999.0,0.12,9.56,-1.25,-0.03,0.0,-0.01,m
1728.0,2358.0,3043.0,2704.0,3283.0,3646.0,2763.0,2994.0,0.12,9.72,-1.46,-0.03,0.01,-0.01,m
1730.0,2352.0,3040.0,2698.0,3274.0,3647.0,2761.0,2994.0,0.17,9.56,-1.44,-0.02,-0.02,0.0,m
1730.0,2364.0,3024.0,2704.0,3279.0,3654.0,2765.0,2997.0,0.14,9.67,-1.46,-0.05,0.01,-0.04,m
1733.0,2355.0,3044.0,2707.0,3280.0,3645.0,2767.0,3003.0,0.09,9.74,-1.47,-0.03,-0.01,-0.01,m
1742.0,2359.0,3025.0,2714.0,3280.0,3653.0,2768.0,3002.0,0.12,9.54,-1.4,-0.02,0.0,-0.05,m
1741.0,2362.0,3039.0,2705.0,3290.0,3645.0,2763.0,3003.0,0.2,9.75,-1.48,-0.03,-0.01,-0.0,m
1735.0,2352.0,3052.0,2711.0,3280.0,3655.0,2768.0,3006.0,0.03,9.51,-1.34,0.0,-0.01,0.0,m
1739.0,2355.0,3039.0,2709.0,3280.0,3648.0,2768.0,3008.0,0.13,9.62,-1.54,-0.06,0.0,-0.04,m
1744.0,2353.0,3028.0,2713.0,3280.0,3641.0,2759.0,2999.0,0.25,9.65,-1.35,-0.02,-0.02,0.01,m
1743.0,2366.0,3041.0,2713.0,3281.0,3653.0,2761.0,3007.0,-0.06,9.59,-1.26,-0.05,0.03,-0.05,m
1741.0,2363.0,3042.0,2717.0,3281.0,3645.0,2768.0,3006.0,0.22,9.77,-1.51,0.0,-0.0,0.0,m
1709.0,2353.0,3034.0,2717.0,3280.0,3648.0,2764.0,3009.0,0.2,9.49,-1.4,-0.03,-0.02,-0.0,m
1701.0,2363.0,3051.0,2725.0,3287.0,3641.0,2768.0,2999.0,0.15,9.8,-1.32,-0.02,-0.03,-0.03,m
1701.0,2359.0,3035.0,2721.0,3290.0,3632.0,2763.0,3009.0,0.3,9.63,-1.41,0.03,-0.14,0.03,m
1694.0,2351.0,3039.0,2722.0,3291.0,3647.0,2756.0,3009.0,-0.02,9.39,-1.7,0.04,0.06,-0.13,m
1701.0,2367.0,3031.0,2720.0,3280.0,3645.0,2761.0,3007.0,-0.05,9.56,-1.66,-0.07,-0.07,0.02,m
1697.0,2359.0,3037.0,2711.0,3283.0,3642.0,2765.0,3009.0,0.22,9.63,-1.56,-0.06,-0.0,-0.02,m
1698.0,2368.0,3040.0,2721.0,3287.0,3636.0,2758.0,3005.0,0.63,9.56,-1.12,-0.11,-0.27,0.18,m
1696.0,2352.0,3031.0,2719.0,3286.0,3632.0,2763.0,3005.0,0.25,9.73,-1.35,0.05,0.06,-0.22,m
1694.0,2355.0,3034.0,2718.0,3281.0,3634.0,2761.0,3000.0,-0.33,9.57,-1.55,-0.03,-0.14,0.03,m
1703.0,2359.0,3039.0,2724.0,3291.0,3639.0,2759.0,3005.0,-0.14,9.69,-1.52,-0.03,0.02,-0.04,m
1703.0,2369.0,3031.0,2719.0,3291.0,3638.0,2763.0,3003.0,0.02,9.6,-1.53,-0.02,-0.0,0.03,m
1701.0,2351.0,3025.0,2718.0,3284.0,3636.0,2762.0,3009.0,0.23,9.6,-1.44,-0.04,0.02,-0.01,m
1699.0,2355.0,3027.0,2719.0,3293.0,3646.0,2767.0,3010.0,0.1,9.59,-1.57,-0.03,0.0,-0.03,m
1700.0,2359.0,3040.0,2723.0,3287.0,3637.0,2761.0,3013.0,0.11,9.64,-1.41,-0.04,0.01,-0.01,m
1707.0,2363.0,3039.0,2726.0,3295.0,3635.0,2760.0,3012.0,0.13,9.6,-1.41,-0.02,0.02,-0.04,m
