hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3686.0,2848.0,3018.0,2443.0,3376.0,3472.0,2752.0,2929.0,2.24,9.45,-0.96,0.2,0.08,-0.03,m
3538.0,2842.0,3017.0,2449.0,3338.0,3462.0,2738.0,2925.0,2.26,9.89,-1.39,0.04,0.09,-0.07,m
3274.0,2847.0,3014.0,2458.0,3281.0,3468.0,2735.0,2929.0,2.29,9.17,-0.95,-0.06,-0.16,0.01,m
3219.0,2844.0,3015.0,2461.0,3247.0,3468.0,2731.0,2935.0,2.59,9.7,-1.35,0.1,0.25,-0.2,m
3201.0,2784.0,2946.0,2467.0,3246.0,3405.0,2671.0,2879.0,1.57,9.43,-1.22,-0.02,0.08,-0.03,m
3211.0,2754.0,2938.0,2469.0,3262.0,3395.0,2645.0,2864.0,1.9,9.94,-1.59,-0.14,0.05,-0.01,m
3201.0,2757.0,2928.0,2467.0,3278.0,3396.0,2650.0,2864.0,2.05,9.16,-1.03,-0.12,-0.08,0.1,m
3201.0,2758.0,2932.0,2467.0,3280.0,3393.0,2649.0,2863.0,2.46,9.32,-1.02,-0.01,0.1,-0.09,m
3208.0,2763.0,2942.0,2461.0,3285.0,3398.0,2653.0,2869.0,2.14,9.41,-1.15,0.01,0.03,0.07,m
3194.0,2755.0,2928.0,2449.0,3280.0,3348.0,2628.0,2869.0,2.73,9.49,-1.21,-0.09,0.08,-0.16,m
3231.0,2754.0,2928.0,2454.0,3279.0,3315.0,2589.0,2871.0,1.78,9.6,-1.22,-0.2,0.06,-0.03,m
3059.0,2755.0,2931.0,2443.0,3307.0,3347.0,2610.0,2875.0,2.5,9.92,-1.02,-0.31,0.11,-0.03,m
3045.0,2753.0,2928.0,2425.0,3328.0,3398.0,2662.0,2896.0,1.88,9.36,-0.92,-0.04,-0.11,0.2,m
3023.0,2761.0,2928.0,2442.0,3329.0,3472.0,2720.0,2916.0,3.07,9.69,-0.86,-0.17,-0.09,0.07,m
2895.0,2779.0,2928.0,2450.0,3345.0,3583.0,2786.0,2914.0,1.95,8.9,-0.52,0.13,-0.07,0.16,m
2832.0,2796.0,2934.0,2417.0,3374.0,3671.0,2867.0,2912.0,1.51,9.68,-1.23,-0.29,0.25,-0.17,m
2800.0,2800.0,2938.0,2416.0,3405.0,3696.0,2882.0,2911.0,2.83,8.81,-0.57,0.01,-0.24,-0.04,m
2778.0,2793.0,2928.0,2422.0,3408.0,3677.0,2870.0,2919.0,1.98,9.65,-0.83,-0.29,0.31,-0.09,m
2759.0,2800.0,2930.0,2403.0,3408.0,3650.0,2870.0,2929.0,2.62,9.07,-0.21,-0.12,-0.18,0.01,m
2730.0,2811.0,2933.0,2401.0,3408.0,3632.0,2868.0,2948.0,1.72,9.63,-0.24,-0.17,-0.03,0.0,m
2750.0,2809.0,2930.0,2405.0,3393.0,3636.0,2850.0,2948.0,2.61,9.49,-0.54,-0.07,-0.16,-0.1,m
2753.0,2816.0,2934.0,2414.0,3373.0,3631.0,2826.0,2944.0,2.0,8.85,-0.43,0.27,-0.11,0.02,m
2751.0,2818.0,2927.0,2416.0,3309.0,3601.0,2754.0,2928.0,2.44,10.13,-0.97,-0.14,0.15,-0.17,m
2691.0,2817.0,2927.0,2414.0,3264.0,3636.0,2750.0,2928.0,1.96,9.44,-0.46,-0.05,-0.27,0.13,m
2661.0,2817.0,2929.0,2391.0,3280.0,3664.0,2763.0,2923.0,1.5,9.55,-1.06,0.07,0.4,-0.11,m
2631.0,2810.0,2928.0,2399.0,3282.0,3644.0,2734.0,2923.0,2.28,9.66,-0.97,-0.27,-0.07,0.19,m
2624.0,2806.0,2927.0,2368.0,3303.0,3578.0,2725.0,2900.0,2.71,8.95,-0.05,-0.11,-0.11,0.12,m
2514.0,2806.0,2941.0,2367.0,3337.0,3570.0,2732.0,2898.0,3.11,9.35,-0.33,-0.27,0.2,-0.02,m
2414.0,2791.0,2928.0,2379.0,3376.0,3554.0,2737.0,2903.0,2.44,9.49,0.15,0.01,-0.11,0.06,m
2559.0,2795.0,2928.0,2377.0,3399.0,3531.0,2761.0,2915.0,2.0,9.28,-0.27,-0.16,-0.06,0.01,m
2623.0,2804.0,2930.0,2388.0,3408.0,3517.0,2770.0,2929.0,2.99,9.66,-0.46,0.02,-0.08,-0.08,m
2639.0,2811.0,2934.0,2387.0,3411.0,3518.0,2771.0,2949.0,2.07,9.15,-0.6,-0.17,-0.03,0.01,m
2655.0,2800.0,2929.0,2374.0,3421.0,3519.0,2778.0,2970.0,3.05,9.73,-0.51,-0.18,-0.17,0.11,m
2581.0,2799.0,2930.0,2359.0,3417.0,3530.0,2790.0,2985.0,2.05,9.23,-0.14,-0.07,0.06,-0.03,m
2581.0,2799.0,2928.0,2383.0,3423.0,3515.0,2783.0,2983.0,2.31,9.64,-0.18,-0.02,0.05,0.02,m
2592.0,2804.0,2933.0,2378.0,3418.0,3506.0,2779.0,2960.0,2.55,9.21,-0.45,-0.01,-0.22,0.22,m
2591.0,2802.0,2928.0,2381.0,3413.0,3497.0,2773.0,2947.0,2.52,9.2,-0.37,-0.13,0.03,-0.03,m
2583.0,2817.0,2929.0,2359.0,3408.0,3499.0,2769.0,2958.0,2.65,9.71,-0.43,-0.04,-0.04,0.11,m
2559.0,2810.0,2929.0,2358.0,3403.0,3501.0,2773.0,2973.0,2.71,9.09,-0.26,-0.08,-0.13,-0.0,m
2519.0,2819.0,2925.0,2343.0,3374.0,3494.0,2780.0,2987.0,3.0,10.02,-0.34,-0.05,0.08,0.06,m
2535.0,2829.0,2928.0,2345.0,3399.0,3507.0,2798.0,2992.0,2.57,9.0,-0.22,-0.12,-0.08,0.02,m
2755.0,2804.0,2928.0,2357.0,3458.0,3479.0,2798.0,2982.0,2.6,9.99,-0.38,-0.22,0.23,-0.04,m
2733.0,2800.0,2933.0,2374.0,3485.0,3470.0,2806.0,2975.0,2.99,8.51,0.25,0.28,-0.39,0.27,m
2789.0,2800.0,2929.0,2370.0,3503.0,3430.0,2800.0,2975.0,2.62,9.65,-0.56,0.0,0.39,-0.03,m
2781.0,2809.0,2931.0,2350.0,3500.0,3457.0,2795.0,2978.0,2.89,8.18,0.09,-0.1,-0.37,0.12,m
2829.0,2801.0,2932.0,2336.0,3501.0,3446.0,2782.0,2960.0,2.93,9.8,-0.3,-0.07,0.31,-0.1,m
3153.0,2803.0,2928.0,2327.0,3506.0,3440.0,2768.0,2945.0,2.66,9.5,-0.33,-0.23,-0.07,0.1,m
