hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3894.0,3170.0,3312.0,3041.0,3508.0,3856.0,2831.0,2941.0,0.45,9.92,1.8,-0.45,0.51,-0.22,n
3911.0,3163.0,3286.0,3052.0,3519.0,3856.0,2817.0,2958.0,0.17,9.06,2.23,-0.72,0.04,0.02,n
4095.0,3139.0,3263.0,3051.0,3513.0,3844.0,2782.0,2921.0,0.99,9.28,3.22,-0.06,-0.3,0.16,n
4095.0,3121.0,3248.0,2980.0,3507.0,3829.0,2721.0,2879.0,1.14,9.31,2.59,-0.03,-0.2,0.24,n
4095.0,3100.0,3219.0,2896.0,3461.0,3760.0,2661.0,2846.0,0.47,8.44,2.29,0.07,-0.19,0.2,n
4095.0,3088.0,3219.0,2834.0,3424.0,3674.0,2656.0,2846.0,1.92,9.76,1.92,-0.12,0.11,0.06,n
3533.0,3055.0,3185.0,2849.0,3451.0,3662.0,2644.0,2846.0,1.24,9.1,2.48,-0.28,0.25,0.06,n
2625.0,3119.0,3245.0,2896.0,3728.0,3703.0,2679.0,2927.0,1.17,9.11,3.28,-0.79,0.07,0.11,n
2421.0,3042.0,3184.0,2896.0,3709.0,3631.0,2617.0,2864.0,1.62,8.59,3.35,-0.24,0.11,-0.0,n
2173.0,3036.0,3168.0,2865.0,3623.0,3583.0,2599.0,2855.0,1.65,8.97,2.98,0.06,0.02,0.01,n
1978.0,3031.0,3177.0,2806.0,3504.0,3612.0,2588.0,2842.0,1.76,8.61,3.47,-0.13,-0.08,0.01,n
1426.0,3024.0,3168.0,2703.0,3440.0,3686.0,2615.0,2810.0,3.44,8.76,5.1,0.39,-0.37,-0.04,n
1348.0,3134.0,3277.0,2559.0,3412.0,3873.0,2800.0,2899.0,3.35,8.45,4.38,1.23,0.51,-0.61,n
1344.0,3136.0,3269.0,2519.0,3402.0,3869.0,2832.0,2898.0,-0.56,9.17,2.41,1.14,0.5,-0.55,n
1351.0,3103.0,3233.0,2559.0,3415.0,3814.0,2816.0,2855.0,-1.57,10.91,0.45,0.83,-0.24,-0.13,n
1355.0,3087.0,3223.0,2640.0,3440.0,3809.0,2864.0,2837.0,-1.1,9.64,1.06,-0.07,-0.84,-0.04,n
1355.0,3060.0,3188.0,2697.0,3442.0,3735.0,2832.0,2861.0,-0.92,9.23,0.86,0.25,-0.41,0.19,n
1347.0,3068.0,3200.0,2738.0,3440.0,3698.0,2809.0,2899.0,0.29,9.34,0.66,0.21,-0.09,0.54,n
1355.0,3071.0,3194.0,2769.0,3434.0,3664.0,2736.0,2872.0,1.23,9.02,1.35,0.02,-0.07,0.6,n
1398.0,3051.0,3194.0,2785.0,3408.0,3632.0,2581.0,2797.0,0.5,7.08,1.64,1.02,-1.02,1.53,n
1445.0,3027.0,3184.0,2864.0,3395.0,3622.0,2463.0,2775.0,4.4,9.53,0.65,2.38,-1.88,2.09,n
1776.0,3056.0,3195.0,2999.0,3449.0,3711.0,2512.0,2859.0,6.08,12.26,-2.93,1.11,0.04,-0.06,n
1821.0,3056.0,3195.0,3134.0,3488.0,3785.0,2547.0,2875.0,4.13,8.27,-2.02,-0.25,0.3,-0.43,n
1806.0,2966.0,3071.0,3191.0,3533.0,3673.0,2484.0,2794.0,3.8,9.5,-1.79,-0.44,-0.11,-0.4,n
3065.0,3039.0,3154.0,3282.0,3614.0,3897.0,2559.0,2878.0,2.81,8.71,-1.23,-0.42,-0.11,-0.5,n
3392.0,3043.0,3159.0,3375.0,3647.0,3873.0,2559.0,2886.0,2.7,9.83,-0.65,-0.13,-0.04,-0.32,n
3354.0,3043.0,3162.0,3341.0,3575.0,3765.0,2559.0,2844.0,1.88,7.96,-0.08,0.24,-0.38,-0.23,n
3403.0,3114.0,3239.0,3167.0,3419.0,3685.0,2651.0,2832.0,2.54,8.42,-0.7,1.5,-1.28,-0.01,n
3535.0,3088.0,3211.0,2903.0,3347.0,3550.0,2641.0,2767.0,2.17,8.27,-2.89,1.48,-1.06,-0.65,n
3461.0,3088.0,3198.0,2741.0,3310.0,3506.0,2691.0,2766.0,4.19,11.33,-5.39,1.37,-1.99,-0.72,n
3166.0,3067.0,3202.0,2699.0,3303.0,3566.0,2723.0,2787.0,1.32,7.06,-4.64,-0.48,-1.04,-0.94,n
3120.0,3057.0,3195.0,2740.0,3319.0,3583.0,2725.0,2797.0,0.62,7.49,-4.36,-0.24,-1.2,0.35,n
3087.0,3057.0,3184.0,2789.0,3331.0,3599.0,2672.0,2788.0,1.25,10.5,-4.81,-1.23,-0.63,-0.77,n
1904.0,3056.0,3184.0,2930.0,3518.0,3536.0,2608.0,2802.0,-0.73,8.3,-1.19,-1.4,-0.83,-0.87,n
3879.0,3059.0,3188.0,2992.0,3669.0,3549.0,2607.0,2800.0,-1.48,9.53,-0.51,-0.96,-0.81,0.03,n
4095.0,3055.0,3184.0,2864.0,3333.0,3526.0,2619.0,2757.0,-0.3,10.5,-1.04,-1.04,-0.52,-0.36,n
2559.0,3057.0,3184.0,2729.0,3294.0,3487.0,2610.0,2749.0,-0.99,8.62,0.21,-0.46,-0.76,0.12,n
2384.0,3056.0,3178.0,2665.0,3277.0,3474.0,2626.0,2773.0,-0.35,11.3,-1.32,-0.2,-0.26,0.2,n
2189.0,3053.0,3179.0,2605.0,3245.0,3479.0,2657.0,2800.0,-1.37,9.56,-0.55,-0.32,0.04,-0.37,n
2156.0,3042.0,3175.0,2548.0,3221.0,3485.0,2685.0,2826.0,-0.79,9.31,-1.37,-0.4,0.15,0.04,n
2128.0,3051.0,3175.0,2557.0,3223.0,3440.0,2695.0,2839.0,-1.06,8.89,-1.57,-1.02,0.5,-0.55,n
2095.0,3047.0,3170.0,2637.0,3271.0,3398.0,2695.0,2826.0,-1.22,8.4,-0.25,-1.39,0.62,-0.97,n
2014.0,3036.0,3177.0,2653.0,3303.0,3422.0,2735.0,2787.0,-1.85,9.56,0.9,-1.16,0.13,0.06,n
1981.0,3037.0,3170.0,2580.0,3313.0,3462.0,2751.0,2793.0,-0.71,9.29,1.96,-1.53,0.12,-0.28,n
1877.0,3031.0,3177.0,2518.0,3326.0,3505.0,2733.0,2810.0,-2.05,9.75,3.12,-0.75,-0.34,0.48,n
1781.0,3024.0,3172.0,2450.0,3295.0,3483.0,2720.0,2822.0,-2.24,9.58,3.1,-0.9,0.44,-0.05,n
1682.0,3029.0,3166.0,2423.0,3283.0,3484.0,2720.0,2838.0,-1.83,9.74,3.79,-0.43,0.09,0.06,n
1712.0,3025.0,3165.0,2496.0,3318.0,3504.0,2699.0,2890.0,-1.82,9.66,2.99,-0.17,0.4,0.18,n
1729.0,3040.0,3161.0,2532.0,3386.0,3574.0,2721.0,2917.0,-1.21,8.75,2.93,-0.22,0.35,-0.01,n
1856.0,3038.0,3160.0,2559.0,3478.0,3773.0,2649.0,2845.0,-1.1,8.83,3.73,-0.04,-0.15,0.08,n
