hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3494.0,4095.0,3216.0,3392.0,3421.0,2894.0,3407.0,3344.0,3.14,8.48,8.47,0.05,0.03,-0.12,o
3510.0,4095.0,3230.0,3403.0,3424.0,2896.0,3398.0,3343.0,3.08,8.45,8.43,0.04,-0.02,-0.15,o
3504.0,4095.0,3201.0,3403.0,3422.0,2893.0,3408.0,3344.0,3.2,8.44,8.52,0.03,-0.02,-0.11,o
3497.0,4095.0,3212.0,3408.0,3427.0,2890.0,3405.0,3339.0,3.27,8.42,8.55,0.0,0.0,-0.14,o
3504.0,4095.0,3202.0,3409.0,3432.0,2896.0,3403.0,3344.0,3.16,8.51,8.66,0.02,0.01,-0.15,o
3502.0,4095.0,3211.0,3415.0,3433.0,2898.0,3411.0,3349.0,3.11,8.53,8.56,0.04,0.0,-0.13,o
3505.0,4095.0,3203.0,3415.0,3426.0,2895.0,3408.0,3347.0,3.09,8.57,8.51,0.03,0.01,-0.16,o
3491.0,4095.0,3212.0,3417.0,3429.0,2896.0,3411.0,3350.0,3.03,8.47,8.53,0.04,0.05,-0.14,o
3509.0,4095.0,3213.0,3425.0,3431.0,2896.0,3414.0,3345.0,3.09,8.41,8.5,0.05,0.03,-0.11,o
3505.0,4095.0,3203.0,3425.0,3437.0,2899.0,3411.0,3346.0,3.27,8.41,8.46,0.05,0.02,-0.11,o
3506.0,4095.0,3206.0,3472.0,3446.0,2909.0,3427.0,3350.0,3.17,8.42,8.46,0.05,0.01,-0.13,o
3478.0,4095.0,3189.0,3534.0,3460.0,2919.0,3460.0,3376.0,3.2,8.43,8.34,0.08,-0.06,-0.15,o
3491.0,4095.0,3208.0,3583.0,3493.0,2939.0,3493.0,3381.0,3.08,8.54,8.32,0.01,-0.04,-0.15,o
3477.0,4095.0,3203.0,3664.0,3527.0,2967.0,3504.0,3393.0,3.01,8.5,8.47,-0.0,-0.01,-0.12,o
3462.0,4095.0,3218.0,3723.0,3559.0,2991.0,3524.0,3395.0,3.25,8.48,8.54,-0.04,-0.01,-0.1,o
3471.0,4095.0,3225.0,3782.0,3598.0,3007.0,3539.0,3405.0,3.14,8.47,8.62,0.01,0.0,-0.13,o
3462.0,4095.0,3216.0,3857.0,3632.0,3026.0,3558.0,3409.0,3.3,8.47,8.49,0.02,-0.01,-0.12,o
3450.0,4095.0,3225.0,3917.0,3665.0,3056.0,3583.0,3423.0,3.18,8.43,8.54,0.02,0.03,-0.12,o
3443.0,4095.0,3213.0,3953.0,3681.0,3085.0,3600.0,3435.0,3.17,8.45,8.5,0.04,0.0,-0.12,o
3440.0,4095.0,3217.0,3997.0,3711.0,3097.0,3614.0,3440.0,3.27,8.54,8.38,0.06,-0.05,-0.13,o
3426.0,4095.0,3209.0,4066.0,3741.0,3121.0,3633.0,3451.0,3.26,8.48,8.35,0.08,-0.04,-0.13,o
3435.0,4095.0,3225.0,4090.0,3772.0,3138.0,3643.0,3463.0,3.34,8.45,8.35,0.05,-0.06,-0.13,o
3418.0,4095.0,3216.0,4095.0,3855.0,3174.0,3652.0,3466.0,3.35,8.52,8.3,0.07,-0.11,-0.14,o
3408.0,4095.0,3213.0,4095.0,3943.0,3221.0,3696.0,3478.0,3.41,8.47,8.32,0.02,-0.09,-0.1,o
3418.0,4095.0,3229.0,4095.0,3985.0,3261.0,3715.0,3477.0,3.43,8.51,8.34,0.06,-0.07,-0.15,o
3408.0,4095.0,3217.0,4095.0,3985.0,3271.0,3723.0,3483.0,3.4,8.54,8.26,0.05,-0.09,-0.15,o
3415.0,4095.0,3233.0,4095.0,3984.0,3269.0,3714.0,3483.0,3.34,8.52,8.24,0.03,-0.01,-0.15,o
3408.0,4095.0,3227.0,4095.0,3987.0,3274.0,3722.0,3486.0,3.39,8.48,8.25,0.01,-0.01,-0.12,o
3405.0,4095.0,3216.0,4095.0,3995.0,3277.0,3725.0,3487.0,3.53,8.53,8.22,0.01,0.0,-0.12,o
3417.0,4095.0,3223.0,4095.0,3994.0,3271.0,3714.0,3485.0,3.48,8.53,8.13,-0.0,-0.01,-0.13,o
3408.0,4095.0,3217.0,4095.0,3986.0,3272.0,3726.0,3494.0,3.55,8.5,8.14,-0.01,-0.0,-0.14,o
3423.0,4095.0,3223.0,4095.0,3989.0,3267.0,3714.0,3490.0,3.46,8.46,8.19,-0.03,0.0,-0.15,o
3422.0,4095.0,3234.0,4095.0,3970.0,3261.0,3716.0,3489.0,3.4,8.48,8.39,-0.02,0.02,-0.13,o
3425.0,4095.0,3226.0,4095.0,3941.0,3250.0,3699.0,3484.0,3.45,8.46,8.46,-0.01,-0.01,-0.14,o
