hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
1017.0,2995.0,3088.0,3094.0,3403.0,3793.0,3145.0,4018.0,0.4,9.72,-1.15,-0.06,0.07,-0.06,o
1013.0,2992.0,3058.0,3089.0,3402.0,3783.0,3147.0,4019.0,0.51,9.62,-1.18,-0.04,-0.03,0.0,o
1010.0,2992.0,3082.0,3099.0,3408.0,3790.0,3139.0,4026.0,0.44,9.67,-1.07,-0.04,0.02,-0.02,o
1020.0,2993.0,3086.0,3097.0,3406.0,3792.0,3152.0,4022.0,0.52,9.7,-1.09,-0.0,-0.01,-0.02,o
1018.0,2997.0,3069.0,3100.0,3406.0,3792.0,3138.0,4010.0,0.44,9.69,-1.16,-0.01,-0.0,-0.01,o
1013.0,2987.0,3069.0,3102.0,3401.0,3796.0,3141.0,4022.0,0.45,9.66,-1.18,-0.01,0.0,-0.03,o
1019.0,2995.0,3067.0,3099.0,3409.0,3797.0,3138.0,4001.0,0.32,9.61,-1.32,-0.01,0.01,-0.02,o
1019.0,2992.0,3066.0,3090.0,3402.0,3792.0,3147.0,4015.0,0.31,9.57,-1.19,-0.04,0.0,0.01,o
1019.0,2998.0,3066.0,3091.0,3406.0,3804.0,3140.0,4014.0,0.5,9.69,-1.07,-0.06,0.02,-0.0,o
1015.0,2989.0,3068.0,3094.0,3393.0,3805.0,3141.0,4011.0,0.52,9.7,-1.06,-0.03,0.01,-0.02,o
1019.0,2992.0,3071.0,3098.0,3402.0,3807.0,3146.0,3998.0,0.5,9.61,-1.14,-0.02,-0.01,-0.02,o
1022.0,2990.0,3063.0,3103.0,3402.0,3805.0,3142.0,3995.0,0.42,9.67,-1.16,-0.04,-0.0,-0.02,o
1014.0,2993.0,3067.0,3098.0,3406.0,3805.0,3145.0,4011.0,0.3,9.65,-1.13,-0.02,0.01,-0.03,o
1015.0,2992.0,3063.0,3101.0,3398.0,3799.0,3143.0,4000.0,0.39,9.66,-1.15,0.01,-0.04,-0.02,o
1020.0,3005.0,3071.0,3094.0,3408.0,3805.0,3152.0,3998.0,0.48,9.71,-1.19,-0.02,0.02,-0.01,o
1018.0,2998.0,3070.0,3101.0,3403.0,3805.0,3145.0,4013.0,0.49,9.64,-1.16,-0.05,0.02,-0.02,o
