hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
4095.0,2582.0,2768.0,3999.0,3357.0,3493.0,2787.0,3501.0,-1.13,9.39,1.49,0.05,0.44,0.09,o
4095.0,2559.0,2768.0,4048.0,3334.0,3489.0,2792.0,3493.0,-1.85,9.63,1.5,-0.06,-0.05,0.15,o
4095.0,2585.0,2768.0,4095.0,3347.0,3483.0,2779.0,3491.0,0.07,8.65,1.14,0.26,-0.3,0.07,o
4095.0,2581.0,2768.0,4070.0,3355.0,3493.0,2786.0,3499.0,-1.64,8.77,-1.64,0.17,-0.27,-0.62,o
4095.0,2559.0,2768.0,4095.0,3360.0,3493.0,2781.0,3501.0,-3.82,8.7,-2.0,-0.23,-0.17,-0.44,o
4095.0,2559.0,2765.0,4095.0,3353.0,3503.0,2785.0,3499.0,-3.82,8.94,-1.47,-0.42,0.38,-0.12,o
4095.0,2583.0,2766.0,4095.0,3361.0,3499.0,2787.0,3516.0,-2.55,9.82,0.45,-0.51,0.68,-0.03,o
4095.0,2579.0,2768.0,4095.0,3370.0,3487.0,2799.0,3511.0,-2.48,9.18,2.26,-0.64,0.56,-0.0,o
4095.0,2579.0,2768.0,4095.0,3355.0,3507.0,2778.0,3521.0,-2.51,9.64,2.09,-0.3,0.31,0.05,o
4095.0,2559.0,2759.0,4095.0,3368.0,3499.0,2773.0,3520.0,-2.74,8.44,-1.41,-0.13,0.04,0.01,o
4095.0,2559.0,2773.0,4095.0,3370.0,3483.0,2778.0,3513.0,-3.35,9.28,-0.35,-0.05,0.5,-0.06,o
4095.0,2579.0,2762.0,4095.0,3359.0,3484.0,2771.0,3521.0,-3.93,9.02,2.34,-0.21,0.43,0.04,o
4095.0,2579.0,2766.0,4095.0,3362.0,3491.0,2786.0,3525.0,-2.37,8.66,1.24,-0.01,-0.11,0.2,o
4095.0,2586.0,2774.0,4095.0,3364.0,3489.0,2771.0,3518.0,-3.39,9.06,0.62,0.15,0.05,-0.24,o
4095.0,2581.0,2768.0,4095.0,3367.0,3490.0,2763.0,3520.0,-3.98,9.2,0.12,0.35,-0.48,-0.05,o
4095.0,2585.0,2768.0,4065.0,3354.0,3474.0,2769.0,3522.0,-3.31,8.57,0.76,0.21,-0.27,-0.12,o
4095.0,2559.0,2777.0,3838.0,3342.0,3477.0,2767.0,3521.0,-3.57,8.94,0.34,0.24,-0.03,-0.22,o
4095.0,2582.0,2765.0,4095.0,3335.0,3475.0,2767.0,3513.0,-3.58,9.16,0.08,0.31,-0.28,-0.1,o
4095.0,2586.0,2767.0,4095.0,3369.0,3461.0,2751.0,3519.0,-3.34,8.58,-0.23,0.38,-0.72,-0.05,o
4095.0,2583.0,2768.0,4091.0,3335.0,3463.0,2755.0,3517.0,-2.71,8.82,-0.74,0.54,-0.77,0.14,o
4095.0,2580.0,2774.0,3948.0,3328.0,3441.0,2745.0,3502.0,-4.52,10.08,-1.86,0.04,-0.3,0.04,o
4095.0,2559.0,2763.0,4095.0,3331.0,3477.0,2756.0,3505.0,-3.26,9.69,0.36,-0.53,-0.5,0.55,o
4095.0,2579.0,2753.0,4095.0,3355.0,3472.0,2754.0,3510.0,-2.58,9.87,1.77,-0.07,0.3,0.4,o
4095.0,2579.0,2768.0,3937.0,3337.0,3459.0,2759.0,3513.0,-1.84,9.3,0.92,-0.02,0.14,0.59,o
4095.0,2579.0,2762.0,3855.0,3343.0,3470.0,2769.0,3512.0,-0.25,9.1,0.35,-0.14,0.02,0.43,o
4095.0,2581.0,2766.0,4020.0,3355.0,3471.0,2768.0,3524.0,-0.0,9.02,0.81,-0.45,-0.41,0.15,o
