hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3037.0,2978.0,2992.0,4095.0,4095.0,4095.0,3104.0,2991.0,-0.52,1.87,14.14,-0.34,-0.04,-0.07,p
3034.0,2989.0,3013.0,4095.0,4095.0,4095.0,3110.0,2991.0,-0.4,1.56,14.97,-0.25,-0.18,-0.07,p
3038.0,2977.0,3006.0,4095.0,4095.0,4095.0,3101.0,2986.0,-0.09,1.53,14.56,-0.1,-0.21,-0.09,p
3043.0,2973.0,3013.0,4095.0,4095.0,4095.0,3105.0,2987.0,-0.04,1.49,13.92,-0.09,-0.2,-0.1,p
3030.0,2975.0,3014.0,4095.0,4095.0,4095.0,3105.0,2991.0,0.06,1.11,13.95,-0.15,-0.1,-0.13,p
3042.0,2981.0,2996.0,4095.0,4095.0,4095.0,3105.0,2987.0,0.42,0.96,13.7,-0.27,-0.16,-0.17,p
3036.0,2977.0,2995.0,4095.0,4095.0,4095.0,3104.0,2989.0,0.49,0.72,13.64,-0.32,-0.17,-0.23,p
3035.0,2978.0,3015.0,4095.0,4095.0,4095.0,3105.0,2987.0,0.24,0.67,14.03,-0.44,-0.21,-0.17,p
3035.0,2983.0,3006.0,4095.0,4095.0,4095.0,3109.0,2987.0,-0.02,0.73,15.38,-0.36,-0.22,-0.23,p
3051.0,2972.0,3004.0,4095.0,4095.0,4095.0,3107.0,2992.0,0.21,0.64,16.02,-0.12,-0.21,-0.22,p
3037.0,2988.0,3012.0,4095.0,4095.0,4095.0,3104.0,2981.0,0.83,0.52,15.3,0.06,-0.14,-0.2,p
3039.0,2993.0,3014.0,4095.0,4095.0,4095.0,3106.0,2987.0,0.56,0.57,14.95,0.15,-0.13,-0.3,p
3039.0,2989.0,3005.0,4095.0,4095.0,4095.0,3099.0,2990.0,0.44,0.37,14.84,0.12,-0.74,-0.43,p
3039.0,2988.0,3007.0,4095.0,4095.0,4095.0,3107.0,2994.0,1.08,0.55,14.18,0.3,-0.97,-0.53,p
3043.0,2988.0,3006.0,4095.0,4095.0,4095.0,3107.0,2995.0,1.88,0.71,14.16,0.23,-1.08,-0.54,p
3030.0,2979.0,3020.0,4095.0,4095.0,4095.0,3103.0,3003.0,2.07,1.28,14.06,0.28,-0.81,-0.55,p
3050.0,2982.0,3007.0,4095.0,4095.0,4095.0,3105.0,3009.0,2.59,1.15,14.05,0.18,-0.83,-0.55,p
3046.0,2992.0,3017.0,4095.0,4095.0,4095.0,3098.0,3006.0,2.46,1.22,13.92,0.23,-0.65,-0.5,p
3045.0,2990.0,3003.0,4095.0,4095.0,4095.0,3099.0,3009.0,2.96,1.37,13.69,0.23,-0.55,-0.45,p
3042.0,2981.0,3008.0,4095.0,4095.0,4095.0,3103.0,3015.0,3.31,1.44,13.38,0.2,-0.76,-0.47,p
3031.0,2988.0,3008.0,4095.0,4095.0,4095.0,3105.0,3014.0,3.62,1.56,13.31,0.25,-0.37,-0.35,p
3031.0,2980.0,3019.0,4095.0,4095.0,4095.0,3105.0,3011.0,3.7,1.64,13.26,0.33,0.37,-0.14,p
3031.0,2992.0,3010.0,4095.0,4095.0,4095.0,3102.0,3015.0,3.51,1.81,13.26,0.53,1.49,0.13,p
3047.0,2995.0,3017.0,4095.0,4095.0,4095.0,3098.0,3008.0,2.45,2.17,13.1,0.49,2.16,0.35,p
3043.0,2978.0,3013.0,4095.0,4095.0,4095.0,3095.0,3010.0,1.44,2.25,13.36,0.37,1.9,0.25,p
3050.0,2975.0,3013.0,4095.0,4095.0,4095.0,3104.0,3022.0,0.22,2.69,12.89,0.0,1.24,0.28,p
3037.0,2990.0,3012.0,4095.0,4095.0,4095.0,3105.0,3026.0,0.19,2.25,13.07,-0.33,0.57,0.06,p
3051.0,2985.0,3009.0,4095.0,4095.0,4095.0,3101.0,3024.0,-0.11,2.22,13.26,-0.4,0.41,-0.04,p
3026.0,2987.0,3009.0,4095.0,4095.0,4095.0,3101.0,3025.0,0.04,2.0,13.46,-0.51,0.38,0.02,p
3034.0,2983.0,3018.0,4095.0,4095.0,4095.0,3105.0,3030.0,-0.42,1.53,14.2,-0.58,0.34,-0.06,p
3035.0,2974.0,3007.0,4095.0,4095.0,4095.0,3106.0,3031.0,-0.4,1.3,14.28,-0.54,0.14,-0.11,p
3031.0,2982.0,3008.0,4067.0,4095.0,4095.0,3102.0,3029.0,-0.62,1.28,14.22,-0.61,-0.02,-0.07,p
3037.0,2986.0,3013.0,4058.0,4095.0,4095.0,3104.0,3031.0,-0.76,0.74,14.88,-0.45,-0.16,-0.14,p
3034.0,2991.0,3010.0,4043.0,4095.0,4095.0,3103.0,3033.0,-0.36,0.7,14.86,-0.27,-0.12,-0.12,p
3033.0,2983.0,3018.0,4033.0,3997.0,4091.0,3099.0,3031.0,-0.26,0.53,14.81,-0.09,-0.09,-0.16,p
3043.0,2976.0,3013.0,4022.0,3811.0,4013.0,3102.0,3037.0,-0.31,0.54,14.58,-0.09,-0.1,-0.15,p
3030.0,2967.0,3009.0,4024.0,3730.0,4016.0,3103.0,3033.0,-0.33,0.51,14.56,-0.01,-0.03,-0.18,p
3035.0,2992.0,3014.0,4038.0,3815.0,4052.0,3109.0,3037.0,-0.32,0.53,14.43,0.03,0.01,-0.16,p
3035.0,2989.0,3007.0,4035.0,4055.0,4080.0,3109.0,3040.0,-0.27,0.5,14.46,0.05,0.02,-0.16,p
3031.0,2985.0,3004.0,4039.0,4095.0,4095.0,3098.0,3033.0,-0.29,0.5,14.4,0.08,-0.0,-0.16,p
3038.0,2992.0,3018.0,4047.0,4095.0,4095.0,3105.0,3040.0,-0.3,0.54,14.24,0.11,0.01,-0.14,p
3035.0,2982.0,3011.0,4039.0,4095.0,4095.0,3107.0,3038.0,-0.34,0.59,14.22,0.13,0.05,-0.14,p
3035.0,2980.0,3003.0,4036.0,4095.0,4095.0,3105.0,3039.0,-0.26,0.58,14.09,0.1,0.01,-0.12,p
3042.0,2966.0,3007.0,4039.0,4095.0,4095.0,3102.0,3035.0,-0.32,0.67,14.07,0.09,0.04,-0.13,p
3041.0,2990.0,3013.0,4051.0,4095.0,4095.0,3106.0,3033.0,-0.35,0.7,14.14,0.03,0.02,-0.14,p
3031.0,2992.0,3025.0,4046.0,4095.0,4095.0,3103.0,3038.0,-0.36,0.74,14.13,0.01,0.0,-0.13,p
3039.0,2989.0,3010.0,4031.0,4095.0,4095.0,3101.0,3033.0,-0.31,0.7,14.23,-0.01,-0.01,-0.12,p
3031.0,2983.0,3010.0,4010.0,4095.0,4095.0,3099.0,3036.0,-0.26,0.7,14.09,-0.03,0.02,-0.11,p
3046.0,2992.0,3024.0,3981.0,4095.0,4095.0,3105.0,3039.0,-0.31,0.58,14.13,-0.08,-0.06,-0.14,p
3045.0,2976.0,3018.0,3915.0,4095.0,4095.0,3100.0,3041.0,-0.31,0.52,14.08,-0.07,0.04,-0.11,p
3033.0,2976.0,3024.0,3882.0,4095.0,4095.0,3094.0,3045.0,-0.42,0.5,14.34,-0.05,-0.02,-0.12,p
3037.0,2981.0,3022.0,3857.0,4095.0,4095.0,3088.0,3038.0,-0.31,0.47,14.21,-0.03,-0.01,-0.15,p
3033.0,2984.0,3013.0,3856.0,4095.0,4095.0,3099.0,3040.0,-0.34,0.43,14.41,0.07,-0.03,-0.25,p
3049.0,2987.0,3015.0,3858.0,4095.0,4095.0,3100.0,3042.0,-0.42,0.6,14.25,0.05,-0.02,-0.19,p
3045.0,2981.0,3013.0,3863.0,4095.0,4095.0,3103.0,3040.0,-0.42,0.5,14.25,0.03,0.04,-0.15,p
3031.0,2983.0,3015.0,3861.0,4095.0,4095.0,3104.0,3038.0,-0.4,0.59,14.15,-0.04,-0.03,-0.14,p
3038.0,2983.0,3018.0,3857.0,4095.0,4095.0,3109.0,3039.0,-0.41,0.49,14.26,0.03,0.0,-0.15,p
3035.0,2973.0,3015.0,3875.0,4095.0,4095.0,3109.0,3047.0,-0.35,0.53,14.23,0.02,-0.04,-0.14,p
