hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3088.0,3055.0,3113.0,4095.0,4095.0,4083.0,3101.0,3024.0,-1.23,4.95,7.7,-0.22,-0.15,0.01,p
3089.0,3059.0,3108.0,4095.0,4095.0,4095.0,3109.0,3023.0,-0.17,5.07,7.83,-0.18,0.2,-0.1,p
3088.0,3056.0,3107.0,4095.0,4095.0,4095.0,3120.0,3037.0,-0.4,5.19,8.14,-0.12,0.02,-0.06,p
3099.0,3088.0,3137.0,4095.0,4095.0,4095.0,3150.0,3058.0,-0.79,4.9,7.78,-0.22,-0.05,-0.11,p
3087.0,3065.0,3125.0,4095.0,4095.0,4095.0,3135.0,3055.0,-0.96,4.6,8.48,-0.15,-0.01,-0.07,p
3089.0,3055.0,3119.0,4095.0,4080.0,4095.0,3129.0,3046.0,-1.21,4.95,7.56,-0.1,0.19,-0.05,p
3090.0,3056.0,3106.0,4095.0,4095.0,4095.0,3124.0,3035.0,-0.23,4.78,8.19,0.02,-0.31,0.07,p
3090.0,3061.0,3107.0,4095.0,4095.0,4095.0,3127.0,3041.0,-0.76,4.63,8.02,-0.06,0.07,-0.06,p
3081.0,3040.0,3089.0,4095.0,4095.0,4095.0,3119.0,3029.0,-0.5,4.58,8.3,-0.02,-0.16,-0.02,p
3086.0,3041.0,3088.0,4095.0,4095.0,4095.0,3105.0,3022.0,-0.79,5.04,7.87,0.07,-0.11,-0.04,p
3070.0,3040.0,3086.0,4095.0,4095.0,4095.0,3098.0,3010.0,-1.0,5.02,7.7,-0.17,-0.1,-0.04,p
3071.0,3026.0,3088.0,4095.0,4095.0,4095.0,3106.0,3006.0,-0.27,5.0,7.93,0.0,0.04,0.06,p
3071.0,3035.0,3088.0,4095.0,4095.0,4095.0,3109.0,3006.0,-0.71,4.72,8.1,0.0,-0.04,0.08,p
3088.0,3031.0,3088.0,4095.0,4095.0,4095.0,3114.0,3008.0,-0.39,4.64,7.81,-0.16,0.07,-0.04,p
3062.0,3030.0,3070.0,4095.0,4095.0,4095.0,3118.0,3009.0,-0.28,4.91,8.32,-0.02,-0.03,0.05,p
3066.0,3024.0,3071.0,4095.0,4095.0,4095.0,3109.0,3005.0,-0.93,4.6,7.92,-0.16,0.01,-0.02,p
