hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2958.0,2907.0,900.0,4095.0,4095.0,4095.0,4095.0,3357.0,4.47,-8.17,7.87,0.01,-0.01,-0.14,p
2959.0,2899.0,898.0,4095.0,4095.0,4095.0,4095.0,3351.0,4.3,-8.13,7.87,0.03,0.01,-0.11,p
2951.0,2896.0,902.0,4095.0,4095.0,4095.0,4095.0,3362.0,4.34,-8.01,7.8,0.02,0.0,-0.11,p
2959.0,2903.0,898.0,4095.0,4095.0,4095.0,4095.0,3357.0,4.36,-8.1,7.81,0.06,-0.04,-0.15,p
2947.0,2907.0,906.0,4095.0,4095.0,4095.0,4095.0,3363.0,4.3,-7.99,7.76,0.03,-0.01,-0.12,p
2953.0,2899.0,900.0,4095.0,4095.0,4095.0,4095.0,3353.0,4.39,-8.02,7.84,-0.01,-0.02,-0.17,p
2951.0,2899.0,896.0,4095.0,4095.0,4095.0,4095.0,3358.0,4.31,-7.98,7.96,0.02,0.03,-0.12,p
2949.0,2901.0,907.0,4095.0,4095.0,4095.0,4095.0,3354.0,4.39,-8.13,7.9,-0.02,-0.02,-0.14,p
2950.0,2897.0,895.0,4095.0,4095.0,4095.0,4095.0,3365.0,4.48,-8.14,7.92,0.05,0.02,-0.13,p
2954.0,2896.0,899.0,4095.0,4095.0,4095.0,4095.0,3363.0,4.37,-8.01,7.71,-0.01,-0.03,-0.15,p
2947.0,2900.0,899.0,4095.0,4095.0,4095.0,4095.0,3361.0,4.39,-8.05,7.78,0.04,0.01,-0.16,p
2951.0,2896.0,899.0,4095.0,4095.0,4095.0,4095.0,3359.0,4.23,-8.03,7.92,-0.0,0.01,-0.16,p
2953.0,2906.0,896.0,4095.0,4095.0,4095.0,4095.0,3359.0,4.27,-8.06,7.93,0.02,0.03,-0.13,p
2955.0,2915.0,902.0,4095.0,4095.0,4095.0,4095.0,3365.0,4.37,-8.09,7.86,0.05,0.0,-0.17,p
2960.0,2892.0,894.0,4095.0,4095.0,4095.0,4095.0,3356.0,4.35,-8.02,7.7,0.01,-0.0,-0.18,p
2960.0,2899.0,902.0,4095.0,4095.0,4095.0,4095.0,3362.0,4.28,-7.97,7.85,0.03,-0.03,-0.2,p
2951.0,2896.0,900.0,4095.0,4095.0,4095.0,4095.0,3351.0,4.25,-8.12,7.72,0.03,0.05,-0.1,p
2955.0,2893.0,898.0,4095.0,4095.0,4095.0,4095.0,3361.0,4.32,-8.29,7.87,0.09,0.01,-0.14,p
2955.0,2906.0,895.0,4095.0,4095.0,4095.0,4095.0,3365.0,4.41,-8.25,7.75,0.03,0.02,-0.12,p
2948.0,2896.0,897.0,4095.0,4095.0,4095.0,4095.0,3359.0,4.28,-8.14,7.9,0.07,-0.04,-0.25,p
2951.0,2911.0,903.0,4095.0,4095.0,4095.0,4095.0,3367.0,4.09,-7.98,7.88,0.04,-0.03,-0.18,p
2960.0,2896.0,896.0,4095.0,4095.0,4095.0,4095.0,3365.0,3.97,-7.83,7.77,0.06,-0.06,-0.17,p
2957.0,2900.0,896.0,4095.0,4095.0,4095.0,4095.0,3360.0,4.2,-8.0,7.89,0.0,-0.01,-0.13,p
2948.0,2897.0,901.0,4095.0,4095.0,4095.0,4095.0,3365.0,4.22,-7.95,8.14,-0.04,-0.07,-0.2,p
2951.0,2906.0,899.0,4095.0,4095.0,4095.0,4095.0,3360.0,4.49,-7.95,8.26,0.07,-0.01,-0.18,p
2952.0,2899.0,897.0,4095.0,4095.0,4095.0,4095.0,3358.0,4.43,-7.7,7.74,0.06,-0.1,-0.24,p
2953.0,2901.0,896.0,4095.0,4095.0,4095.0,4095.0,3360.0,4.6,-7.84,7.81,0.05,-0.02,-0.1,p
2949.0,2901.0,901.0,4095.0,4095.0,4095.0,4095.0,3359.0,4.59,-7.92,7.67,0.01,-0.11,-0.11,p
2957.0,2907.0,896.0,4095.0,4095.0,4095.0,4095.0,3357.0,4.65,-8.24,7.91,-0.0,-0.01,0.01,p
2960.0,2909.0,896.0,4095.0,4095.0,4095.0,4095.0,3348.0,4.48,-8.28,8.2,-0.01,-0.04,-0.16,p
2946.0,2900.0,899.0,4095.0,4095.0,4095.0,4095.0,3362.0,4.31,-8.22,8.08,0.07,0.03,-0.15,p
2963.0,2903.0,897.0,4095.0,4095.0,4095.0,4095.0,3349.0,4.3,-7.87,8.11,0.01,-0.0,-0.19,p
2957.0,2910.0,898.0,4095.0,4095.0,4095.0,4095.0,3359.0,4.54,-7.81,7.99,0.05,0.06,-0.18,p
2949.0,2906.0,895.0,4095.0,4095.0,4095.0,4095.0,3360.0,4.54,-7.58,7.61,0.02,0.04,-0.22,p
2947.0,2901.0,899.0,4095.0,4095.0,4095.0,4095.0,3361.0,4.24,-7.81,7.79,-0.09,0.04,-0.17,p
2955.0,2896.0,899.0,4095.0,4095.0,4095.0,4095.0,3354.0,4.19,-8.02,8.11,-0.07,0.02,-0.16,p
2953.0,2899.0,893.0,4095.0,4095.0,4095.0,4095.0,3362.0,4.33,-8.15,8.08,-0.1,0.01,-0.14,p
2958.0,2896.0,899.0,4095.0,4095.0,4095.0,4095.0,3357.0,4.36,-8.02,7.86,0.03,-0.0,-0.18,p
2955.0,2901.0,910.0,4095.0,4095.0,4095.0,4095.0,3345.0,4.5,-8.08,7.4,0.0,0.09,-0.14,p
2959.0,2899.0,911.0,4095.0,4095.0,4095.0,4095.0,3353.0,4.58,-8.18,7.61,-0.06,0.06,-0.17,p
2945.0,2906.0,901.0,4095.0,4095.0,4095.0,4095.0,3365.0,4.25,-8.37,7.98,-0.08,-0.04,-0.17,p
2953.0,2896.0,899.0,4095.0,4095.0,4095.0,4095.0,3359.0,4.09,-8.27,8.13,0.09,-0.01,-0.12,p
2951.0,2906.0,897.0,4095.0,4095.0,4095.0,4095.0,3363.0,4.27,-8.17,7.96,0.08,-0.06,-0.12,p
2960.0,2900.0,901.0,4095.0,4095.0,4095.0,4095.0,3366.0,4.39,-7.96,7.66,0.05,-0.01,-0.08,p
2949.0,2896.0,899.0,4095.0,4095.0,4095.0,4095.0,3367.0,4.37,-7.9,7.73,0.0,0.05,-0.02,p
2955.0,2905.0,896.0,4095.0,4095.0,4095.0,4095.0,3369.0,4.45,-7.95,7.61,-0.01,-0.05,-0.14,p
