hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2958.0,2541.0,1331.0,4095.0,4095.0,2650.0,3120.0,2961.0,2.72,-7.18,10.18,-0.01,-0.01,-0.19,q
2944.0,2529.0,1331.0,4095.0,4095.0,2649.0,3120.0,2961.0,2.63,-7.39,10.38,-0.03,0.06,-0.11,q
2950.0,2546.0,1339.0,4095.0,4095.0,2644.0,3116.0,2958.0,2.5,-7.39,10.38,-0.08,-0.02,-0.22,q
2945.0,2544.0,1333.0,4095.0,4095.0,2653.0,3119.0,2960.0,2.46,-7.43,10.28,-0.11,0.08,-0.09,q
2956.0,2550.0,1339.0,4095.0,4095.0,2647.0,3113.0,2960.0,2.13,-7.41,10.21,-0.11,0.0,-0.07,q
2951.0,2534.0,1328.0,4095.0,4095.0,2647.0,3113.0,2959.0,2.41,-7.43,10.23,-0.08,0.01,-0.03,q
2953.0,2544.0,1337.0,4095.0,4095.0,2645.0,3100.0,2951.0,2.36,-7.32,10.07,-0.04,-0.02,-0.06,q
2949.0,2546.0,1337.0,4095.0,4095.0,2644.0,3091.0,2933.0,2.34,-7.31,10.06,-0.01,0.01,-0.12,q
2957.0,2555.0,1344.0,4095.0,4095.0,2646.0,3094.0,2935.0,2.24,-7.32,10.0,-0.04,-0.06,-0.17,q
2955.0,2559.0,1344.0,4095.0,4095.0,2649.0,3103.0,2943.0,2.31,-7.44,10.1,0.01,-0.02,-0.13,q
2950.0,2559.0,1338.0,4095.0,4095.0,2646.0,3103.0,2943.0,2.38,-7.48,10.18,-0.06,-0.03,-0.16,q
2954.0,2559.0,1354.0,4095.0,4095.0,2651.0,3095.0,2934.0,2.51,-7.64,10.11,-0.05,0.01,-0.12,q
2947.0,2559.0,1342.0,4095.0,4095.0,2647.0,3102.0,2935.0,2.34,-7.73,10.23,-0.07,-0.03,-0.17,q
2954.0,2550.0,1346.0,4095.0,4095.0,2649.0,3095.0,2941.0,2.37,-7.62,10.01,0.01,0.01,-0.18,q
2944.0,2559.0,1339.0,4095.0,4095.0,2646.0,3097.0,2935.0,2.4,-7.65,10.08,0.02,0.0,-0.2,q
2955.0,2547.0,1347.0,4095.0,4095.0,2651.0,3099.0,2940.0,2.45,-7.58,9.83,0.05,-0.06,-0.26,q
2947.0,2555.0,1356.0,4095.0,4095.0,2641.0,3093.0,2939.0,2.34,-7.52,9.97,-0.0,-0.04,-0.19,q
2957.0,2559.0,1347.0,4095.0,4095.0,2646.0,3093.0,2938.0,2.61,-7.56,9.92,-0.0,-0.13,-0.26,q
2943.0,2559.0,1337.0,4095.0,4095.0,2643.0,3093.0,2939.0,2.57,-7.53,10.04,-0.03,-0.07,-0.19,q
2956.0,2558.0,1345.0,4095.0,4095.0,2647.0,3094.0,2941.0,2.78,-7.56,10.04,-0.02,-0.07,-0.19,q
2951.0,2559.0,1350.0,4095.0,4095.0,2643.0,3091.0,2938.0,2.67,-7.37,9.82,-0.04,-0.06,-0.19,q
2947.0,2557.0,1349.0,4095.0,4095.0,2646.0,3098.0,2941.0,2.79,-7.47,9.84,-0.03,-0.02,-0.16,q
2946.0,2559.0,1346.0,4095.0,4095.0,2646.0,3091.0,2935.0,2.53,-7.53,9.78,-0.0,-0.07,-0.2,q
2955.0,2559.0,1344.0,4095.0,4095.0,2649.0,3089.0,2929.0,2.69,-7.59,9.85,0.02,-0.01,-0.15,q
2954.0,2559.0,1345.0,4095.0,4095.0,2651.0,3095.0,2929.0,2.75,-7.67,9.81,-0.01,-0.02,-0.17,q
2944.0,2559.0,1349.0,4095.0,4095.0,2649.0,3091.0,2931.0,2.78,-7.56,9.75,-0.02,-0.07,-0.2,q
2955.0,2559.0,1350.0,4095.0,4095.0,2643.0,3089.0,2927.0,2.63,-7.61,9.78,0.0,0.05,-0.1,q
2946.0,2559.0,1360.0,4095.0,4095.0,2647.0,3093.0,2930.0,2.73,-7.53,9.7,0.03,0.0,-0.15,q
2950.0,2559.0,1356.0,4095.0,4095.0,2651.0,3092.0,2926.0,2.72,-7.67,9.89,-0.03,-0.04,-0.15,q
2958.0,2559.0,1350.0,4095.0,4095.0,2654.0,3095.0,2933.0,2.83,-7.66,9.8,0.02,-0.04,-0.22,q
2944.0,2559.0,1350.0,4095.0,4095.0,2655.0,3098.0,2933.0,2.77,-7.69,9.91,-0.01,-0.03,-0.23,q
2948.0,2582.0,1344.0,4095.0,4095.0,2650.0,3094.0,2932.0,2.67,-7.6,9.77,0.02,-0.11,-0.21,q
2947.0,2582.0,1343.0,4095.0,4095.0,2654.0,3094.0,2929.0,2.83,-7.54,9.73,0.0,-0.04,-0.13,q
2957.0,2559.0,1339.0,4095.0,4095.0,2654.0,3100.0,2929.0,2.85,-7.47,9.68,-0.03,-0.14,-0.3,q
2957.0,2559.0,1326.0,4095.0,4095.0,2651.0,3103.0,2928.0,2.86,-7.51,9.69,0.02,0.02,-0.14,q
2947.0,2559.0,1323.0,4095.0,4095.0,2655.0,3095.0,2922.0,2.85,-7.62,9.73,0.0,-0.11,-0.25,q
2948.0,2559.0,1327.0,4095.0,4095.0,2654.0,3098.0,2928.0,2.84,-7.52,9.57,0.04,0.05,-0.11,q
2945.0,2559.0,1327.0,4095.0,4095.0,2654.0,3106.0,2928.0,3.06,-7.64,9.78,-0.01,-0.09,-0.2,q
2944.0,2559.0,1330.0,4095.0,4095.0,2651.0,3107.0,2931.0,2.91,-7.6,9.75,0.03,-0.02,-0.14,q
2953.0,2559.0,1328.0,4095.0,4095.0,2656.0,3107.0,2931.0,3.03,-7.64,9.78,0.01,-0.0,-0.15,q
2950.0,2581.0,1324.0,4095.0,4095.0,2655.0,3109.0,2929.0,2.91,-7.55,9.61,-0.01,-0.03,-0.18,q
2945.0,2559.0,1311.0,4095.0,4095.0,2656.0,3109.0,2929.0,3.03,-7.58,9.64,-0.01,-0.02,-0.2,q
2947.0,2559.0,1303.0,4095.0,4095.0,2655.0,3101.0,2925.0,2.97,-7.56,9.68,0.01,-0.1,-0.28,q
2960.0,2559.0,1305.0,4095.0,4095.0,2651.0,3109.0,2928.0,3.16,-7.43,9.51,0.04,0.07,-0.18,q
2945.0,2559.0,1293.0,4095.0,4095.0,2655.0,3113.0,2929.0,3.24,-7.53,9.76,-0.07,-0.17,-0.32,q
2948.0,2607.0,1281.0,4095.0,4095.0,2653.0,3107.0,2931.0,2.96,-7.42,9.61,0.06,-0.06,-0.17,q
2960.0,2625.0,1277.0,4095.0,4095.0,2651.0,3110.0,2925.0,3.23,-7.63,9.8,-0.02,-0.07,-0.23,q
2954.0,2614.0,1263.0,4095.0,4095.0,2649.0,3104.0,2928.0,3.09,-7.49,9.64,0.09,-0.03,-0.13,q
2946.0,2606.0,1258.0,4095.0,4095.0,2641.0,3097.0,2922.0,3.25,-7.55,9.62,0.02,-0.03,-0.2,q
2950.0,2595.0,1260.0,4095.0,4095.0,2646.0,3098.0,2921.0,3.47,-7.6,9.68,0.05,-0.02,-0.23,q
2945.0,2598.0,1261.0,4095.0,4095.0,2653.0,3104.0,2925.0,3.12,-7.49,9.6,0.05,0.02,-0.26,q
2951.0,2597.0,1268.0,4095.0,4095.0,2651.0,3105.0,2925.0,3.39,-7.34,9.58,0.03,0.09,-0.19,q
2949.0,2607.0,1267.0,4095.0,4095.0,2647.0,3099.0,2918.0,3.17,-7.37,9.61,0.01,0.02,-0.11,q
2950.0,2618.0,1279.0,4095.0,4095.0,2654.0,3101.0,2919.0,3.11,-7.43,9.62,0.02,0.13,0.01,q
2954.0,2614.0,1280.0,4095.0,4095.0,2654.0,3095.0,2917.0,3.17,-7.49,9.76,-0.01,0.03,-0.09,q
