hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3350.0,2817.0,2997.0,3370.0,3131.0,3183.0,3056.0,3127.0,1.01,8.35,5.03,-0.03,0.28,0.3,s
3345.0,2815.0,3018.0,3301.0,3090.0,3141.0,2874.0,3060.0,2.07,7.8,5.27,-0.25,-0.14,0.02,s
3324.0,2809.0,3009.0,3277.0,3086.0,3133.0,2803.0,3036.0,1.59,7.57,5.8,-0.25,0.07,0.13,s
3312.0,2875.0,3018.0,3231.0,3071.0,3148.0,2820.0,2996.0,2.27,8.26,4.73,-0.1,0.22,0.15,s
3289.0,2923.0,3030.0,3223.0,3088.0,3162.0,2975.0,2992.0,1.47,6.39,6.02,-0.37,-0.12,0.02,s
3239.0,2916.0,3024.0,3081.0,3089.0,3141.0,3317.0,3013.0,1.52,7.23,5.88,0.16,0.06,0.22,s
3203.0,2919.0,3023.0,2912.0,3050.0,3125.0,3453.0,3056.0,4.16,8.79,4.97,0.34,-0.28,0.43,s
3186.0,2927.0,3031.0,2878.0,3056.0,3143.0,3557.0,3146.0,2.53,6.96,5.81,-0.39,-0.09,0.01,s
3190.0,2927.0,3024.0,2881.0,3052.0,3155.0,3627.0,3207.0,1.53,6.97,5.73,-0.51,0.11,-0.13,s
3238.0,2919.0,3024.0,2937.0,3088.0,3205.0,3613.0,3146.0,2.27,7.33,6.29,-0.03,0.01,0.09,s
3238.0,2917.0,3024.0,2967.0,3102.0,3335.0,3568.0,3069.0,2.03,6.5,5.85,-0.11,0.13,0.1,s
3251.0,2920.0,3021.0,2963.0,3087.0,3318.0,3345.0,2977.0,1.96,6.99,5.73,0.16,0.12,0.19,s
3231.0,2961.0,3059.0,2927.0,3054.0,3300.0,3280.0,2998.0,1.97,6.75,5.98,0.25,-0.03,0.46,s
3233.0,3007.0,3116.0,2896.0,3051.0,3328.0,3259.0,3042.0,3.18,7.97,5.91,0.45,-0.02,0.55,s
3205.0,2978.0,3083.0,2890.0,3024.0,3248.0,3117.0,3030.0,2.32,7.02,5.87,-0.06,0.07,0.14,s
3242.0,2966.0,3071.0,2924.0,3026.0,3255.0,3177.0,3116.0,3.69,8.07,5.41,-0.13,-0.05,-0.19,s
3244.0,2960.0,3047.0,2942.0,3037.0,3263.0,3408.0,3055.0,3.52,7.75,5.12,-0.0,-0.08,-0.2,s
3249.0,2947.0,3050.0,2976.0,3066.0,3296.0,3478.0,3093.0,2.39,7.2,5.21,-0.11,0.22,-0.18,s
3259.0,2963.0,3071.0,3008.0,3095.0,3341.0,3492.0,3107.0,2.8,7.04,5.91,-0.38,0.26,-0.16,s
3266.0,2994.0,3099.0,3013.0,3105.0,3376.0,3435.0,3102.0,2.82,6.85,6.28,0.33,0.09,0.11,s
3223.0,2951.0,3062.0,2974.0,3088.0,3313.0,3319.0,3021.0,1.67,6.63,5.72,0.54,0.14,0.49,s
3200.0,2949.0,3053.0,2918.0,3082.0,3279.0,3221.0,3062.0,3.07,7.52,5.16,0.25,-0.25,0.56,s
3185.0,2958.0,3056.0,2896.0,3068.0,3267.0,3195.0,3088.0,3.95,7.73,5.13,0.15,0.06,0.06,s
3178.0,2951.0,3051.0,2939.0,3071.0,3247.0,3205.0,3099.0,2.77,6.66,4.89,0.11,0.03,0.05,s
3184.0,2946.0,3044.0,3190.0,2977.0,3184.0,3215.0,3102.0,3.05,8.38,4.3,-0.11,0.17,-0.12,s
3199.0,2946.0,3056.0,3713.0,2866.0,3153.0,3226.0,3105.0,2.84,7.22,5.51,0.23,-0.19,0.1,s
3234.0,2944.0,3034.0,3981.0,2866.0,3153.0,3238.0,3092.0,3.18,6.99,4.98,0.25,-0.13,0.22,s
3301.0,2894.0,2997.0,3318.0,2841.0,3093.0,3184.0,3036.0,4.09,8.59,3.73,0.49,-0.03,-0.01,s
3302.0,2909.0,3012.0,2997.0,2848.0,3101.0,3172.0,3043.0,3.45,7.03,5.51,-0.0,-0.05,-0.05,s
3183.0,2909.0,3010.0,3006.0,2877.0,3041.0,3120.0,3029.0,2.81,8.91,4.48,-0.08,0.56,-0.03,s
2448.0,2915.0,3010.0,3172.0,2890.0,3027.0,3127.0,3037.0,3.81,7.95,4.99,-0.13,0.32,-0.1,s
3088.0,2944.0,3039.0,3344.0,2987.0,3055.0,3190.0,3061.0,1.93,7.38,4.97,-0.36,0.49,-0.29,s
3142.0,2929.0,3039.0,3392.0,3005.0,3057.0,3205.0,3059.0,2.41,7.81,4.98,-0.22,0.06,-0.12,s
3151.0,2986.0,3093.0,3418.0,3014.0,3123.0,3281.0,3119.0,1.79,7.36,5.1,-0.04,0.29,0.01,s
3161.0,2980.0,3088.0,3474.0,3018.0,3121.0,3279.0,3113.0,2.83,7.07,5.5,0.07,-0.04,0.04,s
3169.0,2981.0,3086.0,3283.0,3005.0,3120.0,3281.0,3101.0,2.27,6.84,5.46,0.52,-0.16,0.23,s
3261.0,2960.0,3054.0,2896.0,2995.0,3111.0,3261.0,3062.0,2.35,8.29,4.53,0.08,0.16,-0.02,s
3728.0,2960.0,3057.0,2753.0,2975.0,3164.0,3266.0,3049.0,2.79,7.3,5.19,0.24,-0.22,0.32,s
3681.0,2960.0,3058.0,2721.0,2970.0,3170.0,3264.0,3039.0,2.47,7.15,4.81,-0.11,0.12,0.03,s
3696.0,3009.0,3109.0,2680.0,2948.0,3218.0,3308.0,3089.0,2.77,8.24,4.71,0.3,0.15,0.12,s
3749.0,3003.0,3109.0,2646.0,2935.0,3251.0,3325.0,3114.0,3.41,8.3,4.71,0.17,-0.24,0.26,s
3759.0,3005.0,3098.0,2637.0,2928.0,3270.0,3337.0,3120.0,3.52,7.65,4.44,0.26,0.0,0.13,s
3760.0,3008.0,3112.0,2678.0,2954.0,3275.0,3344.0,3138.0,4.02,7.7,4.12,-0.22,-0.29,0.07,s
3857.0,2995.0,3105.0,2800.0,2997.0,3270.0,3356.0,3127.0,4.24,8.4,3.63,0.12,-0.22,-0.08,s
3906.0,2992.0,3079.0,3088.0,2993.0,3253.0,3370.0,3101.0,2.9,6.77,4.65,-0.14,-0.42,-0.19,s
3939.0,2967.0,3061.0,3537.0,2992.0,3233.0,3366.0,3054.0,3.46,8.77,3.78,0.12,-0.16,-0.24,s
4065.0,3006.0,3099.0,3532.0,2986.0,3299.0,3454.0,3085.0,3.31,7.93,4.18,-0.21,-0.26,-0.03,s
4095.0,2916.0,3008.0,2901.0,3032.0,3261.0,3393.0,3001.0,3.89,7.92,4.29,0.34,-0.23,-0.01,s
4095.0,2925.0,3024.0,2785.0,3056.0,3296.0,3418.0,3024.0,3.46,7.29,4.19,-0.31,0.0,-0.13,s
4095.0,2937.0,3039.0,2750.0,3056.0,3331.0,3454.0,3020.0,4.48,8.14,3.71,0.35,0.04,-0.08,s
4095.0,2930.0,3024.0,2768.0,3047.0,3285.0,3449.0,2992.0,3.04,7.31,3.42,-0.18,0.05,-0.19,s
4095.0,2905.0,3005.0,2811.0,3041.0,3247.0,3429.0,2973.0,3.59,7.5,4.17,0.01,-0.19,-0.1,s
4095.0,2926.0,3014.0,2619.0,2973.0,3281.0,3415.0,2992.0,2.91,8.52,3.37,0.23,0.47,-0.71,s
4095.0,2942.0,3042.0,2543.0,2919.0,3281.0,3328.0,3026.0,-0.77,8.88,4.87,-0.12,0.95,-0.36,s
4095.0,2934.0,3029.0,2479.0,2928.0,3289.0,3279.0,3034.0,2.02,8.31,5.2,-0.32,0.48,-0.43,s
4095.0,2901.0,3005.0,2472.0,2944.0,3280.0,3270.0,3025.0,2.72,8.7,2.97,-0.36,0.54,-0.2,s
4095.0,2896.0,2994.0,2513.0,2954.0,3290.0,3312.0,3031.0,3.19,6.62,4.24,-1.48,0.07,-0.9,s
4095.0,2893.0,2995.0,2531.0,2928.0,3296.0,3361.0,3028.0,-0.7,4.98,7.21,-0.82,0.62,-1.44,s
4095.0,2933.0,3029.0,2553.0,2955.0,3319.0,3413.0,3059.0,3.0,11.8,6.08,0.87,-1.96,-1.57,s
4095.0,2963.0,3069.0,2654.0,2995.0,3344.0,3493.0,3118.0,3.74,7.43,7.39,0.76,-3.17,-0.92,s
4095.0,2955.0,3053.0,2882.0,2994.0,3010.0,3456.0,3082.0,5.06,11.57,3.29,0.42,-3.14,-0.49,s
4095.0,2960.0,3057.0,3506.0,2990.0,3244.0,3456.0,3092.0,2.15,4.37,7.13,0.04,-1.31,-1.67,s
4095.0,2953.0,3052.0,4095.0,2939.0,3195.0,3393.0,3071.0,0.1,8.91,3.54,0.47,-0.42,-0.89,s
4095.0,2956.0,3051.0,4095.0,2955.0,3216.0,3374.0,3103.0,-0.73,6.68,3.94,-0.27,-0.61,-0.89,s
4095.0,2928.0,3019.0,3265.0,2963.0,3210.0,3349.0,3063.0,-0.15,9.07,3.71,0.09,-0.75,0.19,s
4095.0,2927.0,3017.0,2707.0,2961.0,2737.0,3401.0,3088.0,-0.99,8.84,3.84,-0.02,-0.77,-1.03,s
4095.0,2909.0,3008.0,2704.0,2987.0,1339.0,3568.0,3092.0,0.76,6.03,5.03,-1.3,-1.46,-1.41,s
4095.0,2920.0,3024.0,2706.0,3015.0,3321.0,3635.0,3065.0,-0.19,10.48,4.11,1.4,0.12,0.41,s
4095.0,2925.0,3016.0,2634.0,3012.0,3348.0,3771.0,3056.0,-2.22,7.04,4.07,0.09,1.03,-0.6,s
4095.0,2928.0,3019.0,2701.0,3029.0,3406.0,3952.0,3138.0,-1.78,10.33,1.15,-0.41,1.1,-0.34,s
4095.0,2918.0,3018.0,3225.0,3025.0,3455.0,3957.0,3214.0,0.06,6.08,4.65,0.1,-0.12,0.41,s
4095.0,2927.0,3013.0,3790.0,3010.0,3434.0,3923.0,3215.0,0.13,9.21,2.52,0.16,0.71,0.16,s
4095.0,2918.0,3018.0,4095.0,2982.0,3437.0,3895.0,3216.0,-0.17,8.19,2.93,-0.04,0.36,0.16,s
4095.0,2927.0,3023.0,4095.0,2985.0,3437.0,3859.0,3152.0,0.26,8.81,3.23,0.1,0.41,0.5,s
4095.0,2916.0,3024.0,4095.0,2977.0,3397.0,3791.0,3132.0,2.02,10.32,3.16,-0.24,0.53,0.37,s
4095.0,2928.0,3035.0,4095.0,2985.0,3421.0,3810.0,3168.0,-1.73,7.61,4.57,-0.17,0.37,0.62,s
4095.0,2926.0,3053.0,3494.0,2989.0,3421.0,3790.0,3178.0,0.62,9.68,3.4,-0.25,0.35,0.7,s
