hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
0.194,4095.0,897.0,3562.0,2313.0,2352.0,2537.0,2386.0,0.08,9.82,5.5,-0.07,-0.03,-0.15,s
3887.0,4095.0,890.0,3575.0,2317.0,2352.0,2535.0,2386.0,0.24,9.73,5.54,0.03,-0.01,-0.1,s
3869.0,4095.0,895.0,3575.0,2320.0,2357.0,2537.0,2386.0,0.41,9.48,5.64,-0.05,0.0,-0.11,s
3867.0,4095.0,896.0,3574.0,2327.0,2355.0,2539.0,2390.0,0.39,9.82,5.72,0.04,-0.01,-0.07,s
3874.0,4095.0,897.0,3574.0,2323.0,2353.0,2535.0,2387.0,0.72,9.83,5.27,-0.06,-0.03,-0.13,s
3878.0,4095.0,894.0,3555.0,2321.0,2354.0,2541.0,2385.0,0.59,9.91,5.64,0.1,0.11,-0.1,s
3888.0,4095.0,895.0,3504.0,2315.0,2357.0,2536.0,2389.0,0.74,9.94,5.63,0.01,0.02,-0.13,s
3893.0,4095.0,889.0,3482.0,2315.0,2359.0,2544.0,2398.0,0.66,9.71,5.69,0.26,-0.01,-0.17,s
3884.0,4095.0,894.0,3472.0,2307.0,2358.0,2545.0,2401.0,0.78,9.83,5.26,0.19,-0.13,-0.37,s
3887.0,4095.0,896.0,3497.0,2320.0,2365.0,2555.0,2401.0,0.17,10.1,4.99,0.09,-0.02,-0.1,s
3895.0,4095.0,889.0,3503.0,2320.0,2368.0,2559.0,2410.0,0.56,9.5,5.18,-0.07,-0.06,-0.14,s
3911.0,4095.0,887.0,3520.0,2325.0,2369.0,2559.0,2410.0,0.26,9.84,4.94,-0.03,0.1,-0.18,s
3911.0,4095.0,889.0,3563.0,2320.0,2379.0,2559.0,2415.0,0.11,9.82,5.08,-0.07,-0.07,-0.22,s
3958.0,4095.0,891.0,3579.0,2318.0,2374.0,2559.0,2419.0,-0.24,10.08,5.2,-0.15,-0.19,-0.15,s
4041.0,4095.0,893.0,3579.0,2325.0,2368.0,2558.0,2415.0,0.26,9.62,5.45,-0.14,-0.15,-0.14,s
4065.0,4095.0,896.0,3562.0,2316.0,2363.0,2554.0,2416.0,0.55,9.8,5.51,-0.08,-0.05,-0.1,s
4095.0,4095.0,890.0,3562.0,2310.0,2356.0,2549.0,2417.0,0.51,9.49,5.81,-0.02,-0.04,-0.08,s
4087.0,4095.0,891.0,3583.0,2303.0,2348.0,2544.0,2414.0,0.75,9.94,5.51,0.01,0.01,-0.1,s
4095.0,4095.0,891.0,3583.0,2273.0,2333.0,2534.0,2410.0,0.52,9.97,5.43,0.03,0.16,-0.03,s
4095.0,4095.0,887.0,3582.0,2273.0,2331.0,2543.0,2414.0,0.64,9.56,5.83,0.29,0.13,-0.33,s
4095.0,4095.0,897.0,3568.0,2276.0,2333.0,2535.0,2415.0,0.37,9.44,5.65,0.25,0.18,-0.29,s
4095.0,4095.0,887.0,3565.0,2271.0,2325.0,2529.0,2406.0,-0.09,10.02,5.05,0.24,-0.22,-0.45,s
4095.0,4095.0,883.0,3543.0,2275.0,2317.0,2525.0,2405.0,-0.28,10.27,4.88,0.28,0.01,-0.21,s
4095.0,4095.0,884.0,3505.0,2269.0,2320.0,2526.0,2397.0,0.25,9.79,4.88,0.2,0.08,-0.27,s
4095.0,4095.0,897.0,3502.0,2265.0,2318.0,2515.0,2389.0,-0.53,10.22,4.6,0.16,0.26,-0.05,s
4095.0,4095.0,887.0,3489.0,2258.0,2311.0,2517.0,2394.0,-0.02,9.53,4.81,-0.06,-0.01,-0.09,s
4095.0,4095.0,894.0,3472.0,2247.0,2306.0,2515.0,2398.0,-0.24,10.04,5.03,0.06,0.04,-0.02,s
4095.0,4095.0,892.0,3395.0,2255.0,2308.0,2511.0,2391.0,0.31,9.43,5.32,0.13,-0.17,-0.43,s
4095.0,4095.0,892.0,3399.0,2264.0,2308.0,2503.0,2384.0,-0.36,10.21,4.63,0.18,-0.04,-0.23,s
4095.0,4095.0,894.0,3445.0,2275.0,2313.0,2503.0,2382.0,-0.13,9.9,4.4,0.07,-0.16,-0.16,s
4095.0,4095.0,891.0,3462.0,2287.0,2317.0,2509.0,2378.0,-0.06,10.03,4.68,-0.04,0.12,-0.08,s
4095.0,4095.0,886.0,3472.0,2290.0,2319.0,2512.0,2385.0,0.25,9.83,4.83,-0.02,0.1,-0.06,s
4095.0,4095.0,893.0,3479.0,2300.0,2323.0,2514.0,2389.0,0.26,10.07,4.94,-0.02,0.13,-0.11,s
4095.0,4095.0,896.0,3495.0,2304.0,2338.0,2519.0,2384.0,0.26,9.67,5.05,0.07,0.08,-0.14,s
4095.0,4095.0,898.0,3485.0,2301.0,2344.0,2525.0,2384.0,0.45,9.59,4.86,0.01,0.14,-0.18,s
4095.0,4095.0,892.0,3490.0,2295.0,2345.0,2524.0,2381.0,0.14,9.63,4.87,0.07,0.09,-0.09,s
4095.0,4095.0,884.0,3475.0,2304.0,2341.0,2512.0,2370.0,0.25,9.97,4.35,-0.0,0.15,-0.18,s
4095.0,4095.0,895.0,3472.0,2294.0,2334.0,2519.0,2379.0,-0.39,10.44,4.41,-0.01,0.16,-0.05,s
4095.0,4095.0,886.0,3491.0,2294.0,2338.0,2534.0,2391.0,0.05,9.89,4.44,-0.24,0.4,0.15,s
4095.0,4095.0,887.0,3523.0,2301.0,2351.0,2546.0,2407.0,0.49,9.94,4.97,-0.18,0.24,0.08,s
4095.0,4095.0,883.0,3555.0,2301.0,2355.0,2559.0,2431.0,0.16,10.31,5.07,0.03,0.56,-0.03,s
4095.0,4095.0,882.0,3533.0,2311.0,2370.0,2559.0,2438.0,0.62,9.89,5.09,-0.17,0.2,-0.07,s
4095.0,4095.0,886.0,3531.0,2327.0,2385.0,2559.0,2446.0,0.31,9.82,5.36,-0.1,0.21,-0.23,s
4095.0,4095.0,880.0,3536.0,2339.0,2398.0,2600.0,2448.0,0.31,9.48,4.99,-0.08,-0.06,-0.14,s
4095.0,4095.0,876.0,3537.0,2341.0,2412.0,2608.0,2459.0,0.11,9.39,5.44,-0.2,0.06,-0.1,s
4095.0,4095.0,873.0,3546.0,2346.0,2427.0,2624.0,2466.0,0.68,9.69,5.37,-0.17,-0.16,-0.11,s
4095.0,4095.0,885.0,3559.0,2349.0,2437.0,2629.0,2474.0,0.5,10.06,5.59,-0.17,-0.22,-0.0,s
4095.0,4095.0,880.0,3577.0,2347.0,2429.0,2629.0,2480.0,1.21,10.64,5.06,-0.55,-0.95,0.1,s
4095.0,4095.0,881.0,3616.0,2352.0,2434.0,2638.0,2487.0,1.19,9.53,5.46,-0.97,0.06,0.15,s
4095.0,4095.0,881.0,3635.0,2342.0,2447.0,2650.0,2502.0,2.0,9.08,7.04,-0.67,-0.04,0.07,s
4095.0,4095.0,881.0,3673.0,2339.0,2454.0,2665.0,2507.0,1.51,9.2,7.14,0.2,0.45,-0.3,s
4095.0,4095.0,882.0,3696.0,2336.0,2467.0,2672.0,2519.0,1.19,9.34,6.42,0.17,0.27,-0.17,s
4095.0,4095.0,870.0,3713.0,2349.0,2469.0,2672.0,2527.0,0.63,9.38,6.39,0.15,0.34,-0.13,s
4095.0,4095.0,879.0,3728.0,2353.0,2477.0,2675.0,2529.0,0.78,9.75,6.46,-0.0,0.39,-0.11,s
4095.0,4095.0,880.0,3729.0,2355.0,2478.0,2673.0,2528.0,0.58,9.71,6.55,0.12,0.26,-0.13,s
4095.0,4095.0,882.0,3737.0,2352.0,2475.0,2672.0,2530.0,0.85,9.79,5.99,-0.0,0.08,-0.2,s
4095.0,4095.0,880.0,3730.0,2335.0,2462.0,2667.0,2527.0,0.23,9.6,6.28,0.1,0.1,-0.11,s
4095.0,4095.0,869.0,3749.0,2346.0,2450.0,2657.0,2512.0,0.32,9.69,6.21,0.07,-0.3,-0.2,s
4095.0,4095.0,880.0,3750.0,2356.0,2451.0,2657.0,2503.0,0.16,9.52,6.37,0.05,0.05,-0.07,s
4095.0,4095.0,880.0,3746.0,2362.0,2437.0,2642.0,2478.0,0.74,9.64,5.97,0.14,-0.03,-0.09,s
4095.0,4095.0,887.0,3721.0,2363.0,2429.0,2640.0,2475.0,0.57,9.8,5.91,0.03,0.02,-0.12,s
4095.0,4095.0,880.0,3741.0,2371.0,2423.0,2634.0,2464.0,1.19,9.28,6.6,0.09,-0.06,-0.17,s
4095.0,4095.0,875.0,3749.0,2370.0,2400.0,2608.0,2436.0,0.94,10.05,6.06,0.27,0.07,-0.16,s
4095.0,4095.0,889.0,3760.0,2367.0,2391.0,2611.0,2435.0,1.31,9.57,6.25,-0.09,0.0,0.0,s
4095.0,4095.0,890.0,3701.0,2374.0,2397.0,2621.0,2450.0,0.95,9.65,6.35,0.24,-0.09,-0.24,s
4095.0,4095.0,882.0,3648.0,2384.0,2398.0,2613.0,2454.0,0.88,9.7,5.64,0.27,-0.14,-0.5,s
3890.0,4095.0,889.0,3629.0,2387.0,2397.0,2612.0,2454.0,0.15,10.02,5.94,0.08,-0.26,-0.26,s
3965.0,4095.0,879.0,3607.0,2382.0,2363.0,2587.0,2443.0,1.26,9.74,5.63,0.03,-0.04,-0.17,s
3999.0,4095.0,891.0,3625.0,2377.0,2351.0,2559.0,2429.0,0.82,9.86,5.77,-0.01,-0.08,-0.19,s
4095.0,4095.0,880.0,3625.0,2335.0,2341.0,2556.0,2432.0,0.8,9.97,5.89,0.02,0.08,-0.05,s
4095.0,4095.0,880.0,3613.0,2333.0,2337.0,2559.0,2438.0,1.18,9.41,5.79,-0.04,-0.05,-0.18,s
4095.0,4095.0,880.0,3606.0,2338.0,2343.0,2557.0,2437.0,0.72,9.59,5.79,-0.03,0.04,-0.2,s
4095.0,4095.0,882.0,3598.0,2334.0,2342.0,2559.0,2439.0,0.27,9.83,5.95,-0.13,-0.15,-0.11,s
4095.0,4095.0,877.0,3600.0,2341.0,2342.0,2553.0,2435.0,0.58,9.92,5.95,0.02,0.09,-0.11,s
4095.0,4095.0,880.0,3617.0,2342.0,2337.0,2557.0,2430.0,0.96,9.75,5.82,-0.13,0.02,-0.09,s
4095.0,4095.0,887.0,3609.0,2339.0,2337.0,2559.0,2438.0,0.8,9.64,5.84,-0.08,-0.05,-0.16,s
4095.0,4095.0,883.0,3617.0,2346.0,2337.0,2558.0,2439.0,1.03,9.54,5.99,-0.2,-0.1,-0.2,s
4095.0,4095.0,886.0,3623.0,2349.0,2336.0,2559.0,2439.0,0.48,9.6,6.48,0.02,-0.12,-0.23,s
4095.0,4095.0,883.0,3607.0,2346.0,2341.0,2559.0,2446.0,0.53,9.72,6.09,0.04,-0.01,-0.25,s
4095.0,4095.0,880.0,3613.0,2351.0,2350.0,2559.0,2448.0,0.53,9.59,6.3,0.06,-0.16,-0.32,s
