hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3058.0,1037.0,3056.0,3607.0,2972.0,2676.0,3018.0,2720.0,-1.49,8.99,7.27,-0.1,-0.07,-0.17,t
3056.0,1035.0,3062.0,3602.0,2978.0,2678.0,3021.0,2724.0,-1.85,9.14,7.35,0.0,0.01,-0.21,t
3051.0,1018.0,3061.0,3597.0,2979.0,2677.0,3024.0,2734.0,-1.85,9.55,6.55,-0.01,-0.19,-0.18,t
3053.0,1039.0,3058.0,3600.0,2980.0,2675.0,3022.0,2734.0,-1.88,9.4,6.67,-0.12,-0.05,-0.18,t
3047.0,1036.0,3056.0,3604.0,2985.0,2683.0,3027.0,2733.0,-1.97,9.17,7.1,-0.11,-0.02,-0.15,t
3056.0,1039.0,3056.0,3606.0,2983.0,2677.0,3024.0,2734.0,-1.55,9.11,7.34,-0.04,-0.02,-0.17,t
3056.0,1023.0,3056.0,3582.0,2983.0,2678.0,3013.0,2704.0,-1.62,9.32,7.28,-0.05,-0.02,-0.12,t
3059.0,1011.0,3081.0,3557.0,2988.0,2658.0,2967.0,2606.0,-1.95,9.58,6.67,0.08,-0.19,-0.18,t
3049.0,976.0,3070.0,3534.0,2978.0,2641.0,2944.0,2480.0,-1.66,9.55,6.78,-0.1,-0.32,-0.16,t
3040.0,961.0,3063.0,3503.0,2962.0,2624.0,2921.0,2403.0,-1.78,9.29,7.28,-0.1,-0.21,-0.14,t
3045.0,938.0,3057.0,3503.0,2940.0,2621.0,2907.0,2351.0,-1.46,8.74,7.69,-0.05,-0.16,-0.14,t
3046.0,944.0,3045.0,3499.0,2927.0,2629.0,2896.0,2308.0,-1.78,9.15,7.25,0.07,-0.12,-0.15,t
3054.0,939.0,3049.0,3456.0,2914.0,2637.0,2895.0,2295.0,-1.53,9.2,7.13,0.07,-0.17,-0.18,t
3054.0,944.0,3056.0,3494.0,2898.0,2642.0,2883.0,2293.0,-1.66,9.4,7.07,0.05,-0.14,-0.16,t
3056.0,938.0,3038.0,3474.0,2894.0,2640.0,2885.0,2284.0,-1.66,9.15,7.26,0.04,-0.18,-0.15,t
3050.0,942.0,3054.0,3472.0,2891.0,2640.0,2885.0,2287.0,-1.46,9.2,7.38,0.01,-0.04,-0.13,t
3040.0,930.0,3046.0,3470.0,2876.0,2643.0,2881.0,2284.0,-1.61,9.33,7.13,0.04,-0.07,-0.16,t
3052.0,941.0,3039.0,3472.0,2874.0,2646.0,2880.0,2277.0,-1.51,9.15,7.19,0.0,-0.07,-0.18,t
3046.0,927.0,3043.0,3468.0,2868.0,2641.0,2879.0,2277.0,-1.62,9.3,7.32,0.01,-0.03,-0.19,t
3062.0,926.0,3035.0,3461.0,2869.0,2640.0,2880.0,2275.0,-1.62,9.27,7.32,-0.02,-0.04,-0.14,t
3047.0,919.0,3030.0,3457.0,2875.0,2639.0,2878.0,2271.0,-1.53,9.22,7.29,0.0,-0.03,-0.16,t
3050.0,915.0,3042.0,3474.0,2894.0,2631.0,2866.0,2255.0,-1.54,9.2,7.41,-0.07,-0.04,-0.15,t
3047.0,919.0,3043.0,3524.0,2903.0,2630.0,2864.0,2259.0,-1.39,8.86,7.64,0.05,0.29,-0.1,t
3050.0,943.0,3030.0,3567.0,2917.0,2649.0,2889.0,2302.0,-2.01,9.37,7.48,0.16,0.41,-0.17,t
3056.0,951.0,3017.0,3566.0,2919.0,2667.0,2922.0,2327.0,-1.5,9.41,6.97,0.12,0.2,-0.12,t
3050.0,955.0,3035.0,3523.0,2944.0,2677.0,2939.0,2355.0,-1.59,9.35,6.83,0.07,0.14,-0.19,t
3056.0,1018.0,3029.0,3541.0,2969.0,2687.0,2941.0,2370.0,-1.99,9.3,6.92,0.06,0.08,-0.15,t
