hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2946.0,2934.0,3058.0,4095.0,3280.0,3469.0,2707.0,3216.0,1.51,9.27,2.18,-0.02,0.01,-0.02,t
2946.0,2929.0,3062.0,4095.0,3278.0,3471.0,2710.0,3213.0,1.44,9.24,2.13,-0.02,-0.01,-0.01,t
2954.0,2931.0,3065.0,4095.0,3273.0,3457.0,2704.0,3215.0,1.44,9.27,2.06,-0.03,0.01,-0.03,t
2946.0,2929.0,3066.0,4095.0,3280.0,3459.0,2713.0,3214.0,1.57,9.31,2.17,-0.02,-0.0,-0.06,t
2949.0,2929.0,3061.0,4095.0,3279.0,3457.0,2710.0,3211.0,1.17,9.28,2.01,-0.01,-0.02,-0.03,t
2951.0,2929.0,3070.0,4095.0,3282.0,3471.0,2706.0,3216.0,1.14,9.28,2.04,-0.0,0.02,-0.02,t
2943.0,2924.0,3067.0,4095.0,3275.0,3462.0,2715.0,3216.0,1.47,9.22,2.05,-0.01,0.0,-0.01,t
2945.0,2928.0,3070.0,4095.0,3282.0,3470.0,2709.0,3219.0,1.37,9.26,1.95,-0.02,0.0,-0.02,t
2945.0,2934.0,3071.0,4095.0,3281.0,3462.0,2715.0,3219.0,1.35,9.32,1.96,-0.02,-0.01,-0.02,t
2947.0,2928.0,3062.0,4095.0,3280.0,3465.0,2708.0,3218.0,1.27,9.21,2.08,-0.03,0.01,-0.01,t
2949.0,2931.0,3057.0,4095.0,3280.0,3463.0,2711.0,3218.0,1.51,9.29,2.06,-0.03,-0.0,-0.01,t
2942.0,2925.0,3066.0,4095.0,3277.0,3466.0,2709.0,3220.0,1.38,9.28,2.04,-0.02,-0.0,0.01,t
2950.0,2928.0,3066.0,4095.0,3283.0,3469.0,2711.0,3215.0,1.56,9.28,2.11,-0.04,0.0,-0.03,t
2944.0,2926.0,3059.0,4095.0,3279.0,3459.0,2707.0,3222.0,1.32,9.31,1.99,-0.02,-0.01,-0.01,t
2947.0,2928.0,3057.0,4095.0,3278.0,3459.0,2704.0,3215.0,1.21,9.28,1.91,-0.03,0.03,-0.0,t
2944.0,2926.0,3069.0,4095.0,3282.0,3470.0,2710.0,3210.0,1.45,9.29,2.11,-0.04,0.02,-0.03,t
2949.0,2930.0,3060.0,4095.0,3285.0,3466.0,2714.0,3219.0,1.39,9.3,2.08,-0.03,0.01,-0.02,t
2949.0,2931.0,3061.0,4095.0,3281.0,3469.0,2714.0,3217.0,1.39,9.29,2.02,-0.02,0.01,-0.03,t
2942.0,2931.0,3059.0,4095.0,3279.0,3470.0,2709.0,3218.0,1.61,9.33,2.32,-0.05,0.0,-0.05,t
2943.0,2928.0,3067.0,4095.0,3291.0,3463.0,2706.0,3216.0,1.21,9.29,1.9,0.03,0.01,-0.06,t
2953.0,2925.0,3065.0,4095.0,3286.0,3467.0,2704.0,3218.0,1.13,9.21,1.77,-0.03,-0.04,0.01,t
2942.0,2931.0,3057.0,4095.0,3287.0,3470.0,2704.0,3217.0,1.25,9.29,1.9,-0.05,0.09,-0.05,t
2945.0,2927.0,3066.0,4095.0,3294.0,3471.0,2710.0,3219.0,1.55,9.34,2.3,-0.04,0.03,-0.02,t
2949.0,2928.0,3066.0,4095.0,3291.0,3472.0,2711.0,3223.0,1.24,9.3,2.09,-0.01,-0.05,0.01,t
2942.0,2932.0,3062.0,4095.0,3283.0,3462.0,2704.0,3222.0,1.26,9.28,1.91,-0.0,0.01,-0.04,t
2950.0,2934.0,3067.0,4095.0,3282.0,3466.0,2703.0,3223.0,1.2,9.28,1.94,-0.01,-0.02,0.0,t
2947.0,2932.0,3059.0,4095.0,3280.0,3469.0,2709.0,3219.0,1.44,9.23,1.95,-0.01,0.05,-0.04,t
2943.0,2931.0,3061.0,4095.0,3281.0,3470.0,2710.0,3218.0,1.18,9.27,2.09,-0.03,0.12,-0.11,t
2948.0,2928.0,3055.0,4095.0,3280.0,3473.0,2706.0,3218.0,1.2,9.28,2.03,-0.02,-0.05,0.02,t
2946.0,2928.0,3067.0,4095.0,3282.0,3461.0,2706.0,3221.0,1.27,9.33,1.98,-0.04,0.04,-0.02,t
2947.0,2928.0,3065.0,4095.0,3285.0,3479.0,2716.0,3218.0,1.24,9.37,1.94,-0.01,-0.01,0.01,t
2944.0,2937.0,3056.0,4095.0,3278.0,3463.0,2711.0,3218.0,1.12,9.13,1.97,-0.03,0.05,-0.01,t
2949.0,2927.0,3056.0,4095.0,3281.0,3466.0,2718.0,3225.0,1.56,9.41,2.09,-0.01,-0.05,0.03,t
2944.0,2932.0,3065.0,4095.0,3283.0,3469.0,2716.0,3222.0,1.22,9.24,2.02,-0.03,-0.01,-0.01,t
2949.0,2931.0,3056.0,4095.0,3280.0,3474.0,2710.0,3228.0,1.31,9.31,1.96,-0.02,-0.0,-0.02,t
2953.0,2927.0,3056.0,4095.0,3290.0,3477.0,2715.0,3225.0,1.36,9.23,2.03,-0.02,0.02,-0.03,t
2943.0,2937.0,3057.0,4095.0,3287.0,3467.0,2716.0,3222.0,1.19,9.29,1.92,-0.02,0.01,-0.03,t
2955.0,2928.0,3061.0,4095.0,3281.0,3474.0,2717.0,3223.0,1.16,9.28,1.89,-0.05,-0.01,0.0,t
2949.0,2933.0,3056.0,4095.0,3279.0,3467.0,2707.0,3222.0,1.35,9.33,2.1,-0.04,0.01,0.01,t
2943.0,2935.0,3066.0,4095.0,3283.0,3468.0,2715.0,3216.0,1.41,9.28,2.0,-0.03,0.02,-0.01,t
2946.0,2938.0,3063.0,4095.0,3283.0,3470.0,2715.0,3223.0,1.36,9.3,2.08,-0.02,0.02,-0.03,t
2950.0,2927.0,3063.0,4095.0,3280.0,3469.0,2709.0,3216.0,1.26,9.31,2.04,-0.02,0.01,-0.04,t
2943.0,2932.0,3056.0,4095.0,3290.0,3473.0,2714.0,3226.0,1.24,9.31,1.95,-0.01,0.01,-0.02,t
2946.0,2930.0,3051.0,4095.0,3295.0,3472.0,2717.0,3220.0,1.27,9.3,1.9,-0.02,0.0,0.0,t
2945.0,2928.0,3064.0,4095.0,3280.0,3467.0,2714.0,3230.0,1.29,9.27,1.98,-0.03,-0.0,-0.0,t
2957.0,2928.0,3051.0,4095.0,3297.0,3470.0,2712.0,3216.0,1.25,9.28,1.97,-0.02,-0.0,-0.01,t
