hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3187.0,3152.0,3248.0,4095.0,3413.0,3408.0,2707.0,3026.0,1.86,10.24,-0.14,-0.07,-0.24,-0.09,t
3152.0,3114.0,3200.0,4095.0,3367.0,3361.0,2687.0,2999.0,2.73,9.07,0.1,-0.55,-0.1,0.2,t
3164.0,3120.0,3205.0,4095.0,3383.0,3379.0,2706.0,3019.0,2.21,8.44,0.75,-0.14,-0.01,-0.43,t
3181.0,3147.0,3242.0,4095.0,3400.0,3408.0,2746.0,3053.0,0.72,8.96,0.05,-0.21,-0.22,-0.5,t
3153.0,3121.0,3231.0,4095.0,3376.0,3383.0,2745.0,3039.0,1.19,8.77,0.25,-0.09,-0.47,-0.06,t
3110.0,3091.0,3177.0,4095.0,3315.0,3330.0,2711.0,2992.0,0.58,8.98,0.68,-0.31,-0.49,-0.25,t
3088.0,3045.0,3139.0,4095.0,3312.0,3327.0,2705.0,2955.0,1.87,9.99,0.61,0.29,-0.61,-0.08,t
3113.0,3047.0,3148.0,4095.0,3327.0,3324.0,2699.0,2911.0,2.35,9.31,1.3,-0.02,-0.38,-0.14,t
3200.0,3159.0,3236.0,4095.0,3443.0,3520.0,2781.0,3005.0,2.32,9.77,1.27,0.26,-0.01,-0.44,t
3231.0,3124.0,3220.0,4095.0,3488.0,3523.0,2739.0,2979.0,1.0,10.52,0.25,0.46,0.05,-0.5,t
3326.0,3232.0,3330.0,4095.0,3600.0,3621.0,2834.0,3089.0,0.68,9.55,-0.26,0.27,-0.03,-0.44,t
3221.0,3130.0,3225.0,4095.0,3487.0,3501.0,2739.0,2995.0,-0.04,8.75,-0.97,0.14,-0.12,0.01,t
3216.0,3100.0,3199.0,4095.0,3473.0,3458.0,2710.0,2973.0,-0.56,9.47,-2.03,-0.17,0.09,0.26,t
3215.0,3085.0,3177.0,4095.0,3484.0,3438.0,2695.0,2959.0,0.24,9.45,-0.99,-0.31,0.11,0.27,t
3255.0,3163.0,3259.0,4095.0,3519.0,3506.0,2782.0,3045.0,0.89,10.23,0.01,-0.31,-0.04,0.34,t
3273.0,3150.0,3249.0,4095.0,3543.0,3506.0,2774.0,3047.0,0.99,9.85,0.71,-0.28,-0.16,-0.04,t
