hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3094.0,2959.0,2838.0,4095.0,3488.0,3751.0,2882.0,3213.0,2.59,9.0,-0.37,0.03,-0.44,0.04,t
3095.0,2969.0,2837.0,4095.0,3477.0,3711.0,2890.0,3218.0,2.02,9.4,-1.3,-0.26,-0.41,-0.11,t
3088.0,2960.0,2833.0,4095.0,3483.0,3713.0,2889.0,3204.0,0.88,8.47,-0.9,-0.33,-0.21,-0.29,t
3094.0,2970.0,2837.0,4095.0,3472.0,3717.0,2901.0,3212.0,0.07,9.33,-0.83,-0.13,0.2,-0.35,t
3098.0,2971.0,2835.0,4095.0,3467.0,3724.0,2880.0,3205.0,-0.19,10.1,-1.04,0.11,0.58,-0.26,t
3092.0,2965.0,2845.0,4095.0,3472.0,3734.0,2887.0,3203.0,-0.08,10.83,-0.97,-0.02,0.61,0.0,t
3095.0,2966.0,2842.0,4095.0,3477.0,3728.0,2895.0,3212.0,0.38,9.3,0.82,-0.04,0.5,0.01,t
3090.0,2967.0,2833.0,4095.0,3472.0,3737.0,2886.0,3213.0,1.96,9.84,0.85,-0.18,-0.12,0.0,t
3089.0,2960.0,2851.0,4095.0,3478.0,3743.0,2893.0,3210.0,0.59,10.51,0.56,-0.07,-0.44,-0.13,t
3088.0,2962.0,2838.0,4095.0,3479.0,3728.0,2885.0,3207.0,0.14,9.63,-0.26,0.02,-0.46,0.13,t
3098.0,2970.0,2832.0,4085.0,3475.0,3728.0,2886.0,3211.0,0.29,9.59,-0.34,0.19,-0.17,0.15,t
3094.0,2963.0,2835.0,4095.0,3472.0,3735.0,2889.0,3213.0,2.25,9.34,-1.3,0.14,1.15,0.05,t
3103.0,2963.0,2831.0,4095.0,3481.0,3714.0,2896.0,3216.0,-0.34,9.67,-1.75,0.06,2.46,-0.36,t
3097.0,2960.0,2837.0,4095.0,3500.0,3725.0,2883.0,3216.0,-0.02,9.92,-0.48,-0.24,2.44,-0.37,t
3091.0,2958.0,2833.0,4095.0,3487.0,3731.0,2889.0,3219.0,0.46,9.83,-0.43,0.03,0.1,0.14,t
