hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3583.0,2891.0,2992.0,3030.0,4095.0,4095.0,2350.0,3449.0,0.45,9.04,1.61,0.0,-0.02,0.14,u
3382.0,2890.0,2999.0,3031.0,4095.0,4095.0,2340.0,3445.0,0.08,9.71,1.66,-0.17,0.11,0.06,u
3438.0,2897.0,3007.0,3038.0,4095.0,4095.0,2342.0,3441.0,-0.66,9.54,1.64,0.05,-0.49,0.29,u
3423.0,2886.0,2986.0,3060.0,4095.0,4095.0,2322.0,3408.0,1.67,9.23,2.34,-0.22,-0.53,0.23,u
3452.0,2894.0,2992.0,3088.0,4095.0,4095.0,2327.0,3414.0,0.17,9.41,2.54,0.21,0.56,-0.11,u
3470.0,2891.0,2995.0,3086.0,4095.0,4095.0,2333.0,3420.0,1.13,9.12,1.87,-0.15,-0.17,0.07,u
3203.0,2897.0,2998.0,3061.0,4095.0,4095.0,2339.0,3429.0,0.99,9.43,1.9,0.08,0.16,0.0,u
3501.0,2891.0,2997.0,3042.0,4095.0,4095.0,2350.0,3429.0,0.32,8.85,1.9,-0.07,-0.12,-0.03,u
3935.0,2893.0,2998.0,3031.0,4095.0,4095.0,2367.0,3418.0,0.69,9.41,1.81,0.04,0.08,-0.14,u
3927.0,2896.0,2999.0,3042.0,4095.0,4095.0,2373.0,3425.0,0.83,9.09,1.83,0.06,-0.06,0.07,u
3943.0,2895.0,2999.0,3023.0,4095.0,4095.0,2378.0,3421.0,0.84,9.82,1.65,0.05,0.04,-0.21,u
3917.0,2895.0,2993.0,3022.0,4095.0,4095.0,2381.0,3418.0,1.01,9.36,2.06,0.17,-0.09,0.08,u
3760.0,2894.0,2992.0,3023.0,4095.0,4095.0,2368.0,3432.0,0.77,8.87,1.44,-0.04,0.14,-0.09,u
3329.0,2897.0,2997.0,3009.0,4095.0,4095.0,2355.0,3438.0,0.79,9.6,1.3,-0.05,0.01,0.1,u
3299.0,2896.0,2992.0,3009.0,4095.0,4095.0,2354.0,3438.0,0.77,9.34,2.03,-0.01,0.02,-0.06,u
3345.0,2890.0,2996.0,3005.0,4095.0,4095.0,2365.0,3440.0,0.7,9.32,1.71,-0.01,-0.11,-0.12,u
3376.0,2891.0,2994.0,2994.0,4095.0,4095.0,2377.0,3424.0,0.5,9.71,1.71,0.11,-0.18,0.07,u
3376.0,2896.0,2995.0,3007.0,4095.0,4095.0,2372.0,3427.0,0.84,9.0,1.68,-0.05,0.04,-0.05,u
3383.0,2893.0,2996.0,3007.0,4095.0,4095.0,2370.0,3439.0,0.66,9.67,1.7,0.04,0.08,-0.05,u
3379.0,2888.0,2992.0,3007.0,4095.0,4095.0,2367.0,3430.0,0.67,9.5,1.63,0.1,-0.2,0.06,u
3381.0,2895.0,2998.0,2998.0,4095.0,4095.0,2359.0,3437.0,0.74,9.29,1.4,-0.05,0.07,-0.06,u
3366.0,2896.0,2992.0,2992.0,4095.0,4095.0,2354.0,3423.0,0.83,9.6,1.36,-0.02,-0.1,0.07,u
3354.0,2893.0,2999.0,2993.0,4095.0,4095.0,2353.0,3427.0,0.96,9.46,1.52,-0.04,0.09,-0.08,u
3357.0,2891.0,3002.0,2992.0,4095.0,4095.0,2352.0,3427.0,0.66,9.44,1.51,-0.02,0.14,-0.06,u
3376.0,2896.0,2996.0,2997.0,4095.0,4095.0,2355.0,3439.0,0.7,9.39,1.49,-0.16,0.07,-0.04,u
3298.0,2895.0,2993.0,2990.0,4095.0,4095.0,2357.0,3440.0,1.02,9.43,1.58,-0.07,-0.07,0.05,u
3201.0,2894.0,2992.0,2983.0,4095.0,4095.0,2359.0,3440.0,0.54,9.67,1.56,-0.05,-0.0,-0.01,u
3777.0,2896.0,2992.0,2960.0,4095.0,4095.0,2370.0,3408.0,0.81,9.8,1.63,0.04,-0.02,-0.2,u
3826.0,2897.0,2992.0,2962.0,4095.0,4095.0,2386.0,3408.0,0.65,9.36,1.6,0.04,-0.1,0.02,u
3824.0,2891.0,2994.0,2971.0,4095.0,4095.0,2399.0,3426.0,0.81,9.15,1.45,-0.11,0.1,-0.07,u
3670.0,2896.0,2995.0,2976.0,4095.0,4095.0,2395.0,3434.0,0.83,10.01,1.48,0.01,0.08,0.04,u
3665.0,2891.0,2999.0,2977.0,4095.0,4095.0,2401.0,3435.0,0.62,9.22,1.58,-0.04,-0.07,0.02,u
3650.0,2895.0,2997.0,2981.0,4095.0,4095.0,2392.0,3434.0,0.95,9.69,1.5,-0.05,0.12,-0.02,u
3340.0,2895.0,2992.0,2979.0,4095.0,4095.0,2377.0,3438.0,0.55,9.1,1.71,0.12,0.01,0.17,u
3199.0,2901.0,2995.0,2979.0,4095.0,4095.0,2369.0,3446.0,0.75,10.13,1.32,-0.02,0.31,-0.05,u
3474.0,2896.0,3005.0,2966.0,4095.0,4095.0,2375.0,3440.0,0.47,9.16,1.52,0.08,-0.09,-0.12,u
3503.0,2896.0,2990.0,2960.0,4095.0,4095.0,2393.0,3441.0,1.18,9.66,1.28,-0.12,-0.04,-0.12,u
3502.0,2895.0,2994.0,2962.0,4095.0,4095.0,2394.0,3447.0,0.47,9.06,1.4,0.02,0.17,-0.04,u
3491.0,2895.0,2997.0,2931.0,4095.0,4095.0,2384.0,3442.0,0.54,9.49,1.43,0.02,-0.02,-0.13,u
3488.0,2890.0,2998.0,2918.0,4095.0,4095.0,2381.0,3434.0,0.52,9.81,1.42,0.13,0.01,-0.01,u
3493.0,2896.0,2993.0,2928.0,4095.0,4095.0,2383.0,3439.0,0.59,9.17,1.29,-0.02,-0.08,-0.0,u
3446.0,2885.0,2992.0,2925.0,4095.0,4095.0,2374.0,3439.0,0.44,9.68,1.24,-0.03,0.08,-0.03,u
