hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
4095.0,2981.0,3024.0,2975.0,4095.0,4095.0,2389.0,3100.0,-2.42,9.33,0.46,0.07,-0.31,-0.3,u
4095.0,2990.0,3025.0,2965.0,4095.0,4095.0,2378.0,3105.0,-2.35,8.78,0.3,-0.0,-0.37,-0.22,u
4095.0,2985.0,3025.0,2969.0,4095.0,4095.0,2378.0,3106.0,-2.62,9.49,0.34,-0.11,-0.32,-0.27,u
4095.0,2988.0,3024.0,2982.0,4095.0,4095.0,2372.0,3095.0,-2.77,9.42,1.23,-0.24,-0.21,-0.1,u
4095.0,2991.0,3024.0,2991.0,4095.0,4095.0,2384.0,3120.0,-2.64,9.66,0.98,-0.09,0.02,0.06,u
4095.0,2989.0,3024.0,3007.0,4095.0,4095.0,2381.0,3119.0,-3.43,9.84,1.09,0.11,0.37,0.15,u
4095.0,2992.0,3024.0,2992.0,4095.0,4095.0,2391.0,3115.0,-0.94,9.35,2.12,0.17,0.21,0.33,u
4095.0,2981.0,3024.0,2993.0,4095.0,4095.0,2382.0,3106.0,-1.18,9.36,2.04,0.15,0.27,0.23,u
4095.0,2984.0,3024.0,3003.0,4095.0,4095.0,2391.0,3114.0,-1.42,9.11,0.92,0.14,0.1,0.1,u
4095.0,2983.0,3024.0,3008.0,4095.0,4095.0,2384.0,3120.0,0.82,9.53,1.52,-0.04,1.23,-0.32,u
4095.0,2987.0,3025.0,3006.0,4095.0,4095.0,2390.0,3123.0,-2.04,9.27,-1.17,0.14,0.25,-0.01,u
4095.0,2987.0,3026.0,3005.0,4095.0,4095.0,2368.0,3136.0,-1.64,8.91,-1.39,-0.02,-0.3,0.09,u
4095.0,2991.0,3027.0,3012.0,4095.0,4095.0,2393.0,3137.0,-2.92,9.11,-1.44,-0.01,-0.54,-0.47,u
4095.0,2982.0,3025.0,3011.0,4095.0,4095.0,2403.0,3152.0,-4.81,8.94,-0.74,-0.23,0.43,-0.25,u
4095.0,2984.0,3022.0,3012.0,4095.0,4095.0,2403.0,3151.0,-4.06,8.88,0.62,-0.49,2.45,-0.52,u
4095.0,2989.0,3024.0,3020.0,4095.0,4095.0,2391.0,3165.0,-3.16,8.95,0.01,-0.45,2.98,-0.47,u
4095.0,2982.0,3023.0,3008.0,4095.0,4095.0,2415.0,3150.0,-2.78,9.27,-1.05,-0.55,2.18,-0.18,u
4095.0,2990.0,3024.0,3003.0,4095.0,4095.0,2401.0,3168.0,-3.22,9.1,-1.24,-0.12,0.15,0.24,u
4095.0,2985.0,3023.0,3004.0,4095.0,4095.0,2397.0,3163.0,-3.07,8.61,-1.67,-0.13,0.03,-0.11,u
4095.0,2986.0,3024.0,3004.0,4095.0,4095.0,2419.0,3173.0,-5.32,8.05,-2.66,0.54,-3.44,0.82,u
4095.0,2987.0,3015.0,3009.0,4095.0,4095.0,2387.0,3184.0,-2.15,9.07,0.14,0.21,-2.71,0.39,u
4095.0,2993.0,3024.0,3024.0,4095.0,4095.0,2406.0,3184.0,-2.09,9.3,0.77,0.09,-1.3,0.05,u
4095.0,2990.0,3025.0,3024.0,4095.0,4095.0,2401.0,3179.0,-0.4,10.31,1.06,-0.16,-1.22,0.33,u
4095.0,2990.0,3024.0,3031.0,4095.0,4095.0,2395.0,3173.0,-1.47,9.18,0.82,-0.54,-1.1,0.26,u
4095.0,2985.0,3026.0,3038.0,4095.0,4095.0,2385.0,3184.0,-1.65,9.76,2.56,-0.41,-0.66,0.35,u
4095.0,2992.0,3023.0,3045.0,4095.0,4095.0,2417.0,3179.0,-0.19,9.49,2.67,-0.2,-0.1,0.23,u
4095.0,2993.0,3024.0,3042.0,4095.0,4095.0,2387.0,3203.0,-1.04,9.32,3.38,-0.16,0.14,0.23,u
4095.0,2992.0,3026.0,3055.0,4095.0,4095.0,2404.0,3203.0,0.12,9.53,2.43,-0.18,0.06,0.49,u
4095.0,2992.0,3023.0,3062.0,4095.0,4095.0,2402.0,3187.0,0.1,9.68,3.38,-0.1,-0.09,0.37,u
4095.0,2992.0,3025.0,3061.0,4095.0,4095.0,2398.0,3198.0,-0.05,9.09,2.36,-0.02,0.07,0.1,u
4095.0,2986.0,3021.0,3069.0,4095.0,4095.0,2398.0,3194.0,-0.86,9.38,2.64,0.25,0.0,-0.15,u
4095.0,2977.0,3023.0,3063.0,4095.0,4095.0,2406.0,3196.0,-0.84,9.64,2.14,0.31,-0.17,0.17,u
4095.0,2990.0,3023.0,3058.0,4095.0,4095.0,2408.0,3199.0,-0.64,9.26,1.7,0.13,0.07,0.18,u
4095.0,2992.0,3024.0,3071.0,4095.0,4095.0,2419.0,3203.0,1.04,9.42,1.9,0.12,-0.01,0.18,u
4095.0,2994.0,3026.0,3083.0,4095.0,4095.0,2426.0,3201.0,-0.26,9.77,2.46,0.49,0.17,-0.46,u
4095.0,2989.0,3021.0,3088.0,4095.0,4095.0,2401.0,3213.0,-0.75,9.0,0.51,0.75,0.04,-0.45,u
4095.0,2991.0,3024.0,3061.0,4095.0,4095.0,2416.0,3216.0,-2.02,9.36,-0.5,0.71,0.1,-0.45,u
4095.0,2992.0,3021.0,3071.0,4095.0,4095.0,2398.0,3218.0,-0.9,9.53,0.39,0.17,1.53,-0.49,u
4095.0,2987.0,3022.0,3069.0,4095.0,4095.0,2410.0,3200.0,-0.85,8.82,0.04,-0.18,1.84,-0.44,u
4095.0,2990.0,3018.0,3045.0,4095.0,4095.0,2407.0,3207.0,-1.08,10.01,-1.9,-0.29,0.34,0.8,u
4095.0,2983.0,3018.0,3041.0,4095.0,4095.0,2414.0,3190.0,0.42,10.15,-1.11,0.19,-0.1,0.42,u
4095.0,2977.0,3022.0,3053.0,4095.0,4095.0,2416.0,3203.0,0.94,10.29,-0.43,0.25,-0.61,0.08,u
4095.0,2988.0,3024.0,3063.0,4095.0,4095.0,2409.0,3184.0,-1.03,9.65,-1.04,0.2,-0.41,-0.17,u
4095.0,2988.0,3021.0,3069.0,4095.0,4095.0,2435.0,3203.0,-1.27,8.39,-0.83,0.23,-0.31,0.08,u
4095.0,2987.0,3015.0,3059.0,4095.0,4095.0,2443.0,3206.0,-0.07,9.29,-1.64,0.8,0.14,-0.55,u
4095.0,2990.0,3015.0,3067.0,4095.0,4095.0,2442.0,3193.0,-2.27,7.91,-1.58,-0.24,-0.19,-0.55,u
4095.0,2992.0,3018.0,3067.0,4095.0,4095.0,2429.0,3211.0,-3.57,10.45,-1.68,-0.27,0.36,0.05,u
4095.0,2983.0,3030.0,3058.0,4095.0,4095.0,2415.0,3191.0,-2.3,10.02,-2.22,-0.16,0.58,0.41,u
4095.0,2981.0,3014.0,3056.0,4095.0,4095.0,2423.0,3182.0,-1.31,9.42,-1.2,-0.27,0.46,0.32,u
4095.0,2981.0,3017.0,3053.0,4095.0,4095.0,2407.0,3193.0,-0.11,9.73,-0.07,-0.11,0.35,-0.05,u
4095.0,2988.0,3010.0,3058.0,4095.0,4095.0,2431.0,3197.0,-0.06,9.48,-1.23,0.19,-0.22,-0.05,u
4095.0,2992.0,3019.0,3063.0,4095.0,4095.0,2425.0,3203.0,-0.97,8.82,-1.83,0.1,-0.55,-0.17,u
4095.0,2980.0,3022.0,3061.0,4095.0,4095.0,2413.0,3210.0,-0.82,9.67,-2.83,0.03,-0.47,-0.26,u
4095.0,2979.0,3015.0,3055.0,4095.0,4095.0,2417.0,3210.0,-2.04,9.91,-3.28,-0.27,0.16,-0.32,u
4095.0,2982.0,3015.0,3069.0,4095.0,4095.0,2439.0,3217.0,-2.99,9.49,-1.28,-0.32,0.45,-0.03,u
4095.0,2992.0,3024.0,3057.0,4095.0,4095.0,2419.0,3227.0,-0.82,9.8,-0.66,-0.28,2.08,0.06,u
4095.0,2990.0,3023.0,3052.0,4095.0,4095.0,2416.0,3210.0,-1.27,9.33,-1.45,-0.13,2.85,-0.37,u
4095.0,2991.0,3016.0,3056.0,4095.0,4095.0,2436.0,3216.0,-1.48,9.22,-1.37,-0.08,1.69,-0.24,u
4095.0,2983.0,3024.0,3062.0,4095.0,4095.0,2430.0,3219.0,-0.91,9.52,-1.7,0.06,0.87,-0.17,u
4095.0,2979.0,3008.0,3054.0,4095.0,4095.0,2419.0,3242.0,-1.16,9.42,-2.13,0.12,-0.43,0.0,u
4095.0,2988.0,3012.0,3030.0,4095.0,4095.0,2411.0,3229.0,-0.79,9.43,-2.6,0.19,-2.35,0.36,u
4095.0,2987.0,3011.0,3062.0,4095.0,4095.0,2400.0,3216.0,-2.04,9.43,-1.42,-0.15,-2.21,0.36,u
4095.0,2986.0,3024.0,3088.0,4095.0,4095.0,2395.0,3207.0,-3.09,9.85,-0.7,0.02,-0.53,0.13,u
4095.0,2983.0,3018.0,3113.0,4095.0,4095.0,2387.0,3205.0,-0.45,10.05,0.39,0.1,0.51,-0.1,u
4095.0,2997.0,3014.0,3088.0,4095.0,4095.0,2383.0,3209.0,-2.4,9.6,-1.79,0.06,0.09,0.52,u
4095.0,2982.0,3022.0,3063.0,4095.0,4095.0,2385.0,3206.0,-0.95,8.07,-1.08,0.33,0.15,0.34,u
4095.0,2987.0,3019.0,3082.0,4095.0,4095.0,2406.0,3207.0,-0.83,8.46,-3.21,0.01,-0.51,0.16,u
4095.0,2995.0,3018.0,3085.0,4095.0,4095.0,2411.0,3215.0,-1.26,9.52,-2.56,-0.15,-0.14,0.01,u
4095.0,2990.0,3023.0,3101.0,4095.0,4095.0,2410.0,3234.0,-0.45,10.31,-2.06,-0.03,-0.67,0.14,u
4095.0,2982.0,3021.0,3101.0,4095.0,4095.0,2415.0,3232.0,0.57,10.22,-1.64,-0.08,-0.64,0.12,u
4095.0,2987.0,3023.0,3098.0,4095.0,4095.0,2406.0,3235.0,0.63,9.93,-1.18,-0.1,-0.37,0.1,u
4095.0,2992.0,3018.0,3127.0,4095.0,4095.0,2416.0,3234.0,-0.57,9.59,-0.24,0.03,-0.03,-0.03,u
4095.0,2983.0,3015.0,3111.0,4095.0,4095.0,2429.0,3242.0,-0.05,9.71,-1.57,0.24,-0.25,-0.15,u
4095.0,2992.0,3011.0,3109.0,4095.0,4095.0,2430.0,3233.0,0.13,9.87,-1.02,0.21,-0.36,-0.2,u
4095.0,2979.0,3009.0,3088.0,4095.0,4095.0,2416.0,3220.0,-1.24,9.1,-1.77,0.05,-0.36,-0.27,u
4095.0,2989.0,3015.0,3067.0,4095.0,4095.0,2426.0,3231.0,-1.7,9.5,-1.85,-0.14,0.28,-0.35,u
4095.0,2987.0,3006.0,3008.0,4095.0,4095.0,2431.0,3226.0,-1.34,9.53,-1.73,-0.33,-0.03,0.05,u
4095.0,2988.0,3021.0,3003.0,4095.0,4095.0,2426.0,3220.0,-1.83,9.46,-1.13,-0.26,0.36,0.04,u
4095.0,2981.0,3013.0,2970.0,4095.0,4095.0,2440.0,3216.0,-0.55,9.56,-1.96,0.07,0.4,-0.04,u
4095.0,2975.0,3007.0,2959.0,4095.0,4095.0,2438.0,3209.0,-0.85,9.48,-1.06,-0.41,0.26,-0.09,u
4095.0,2982.0,3013.0,2975.0,4095.0,4095.0,2427.0,3212.0,-2.59,9.36,-1.78,-0.37,0.42,-0.17,u
4095.0,2977.0,3010.0,3008.0,4095.0,4095.0,2426.0,3195.0,-1.3,10.37,0.55,-0.37,-0.19,0.21,u
4095.0,2990.0,3017.0,3030.0,4095.0,4095.0,2417.0,3137.0,-1.48,9.92,0.95,-0.08,0.5,0.15,u
4095.0,2985.0,3015.0,3024.0,4095.0,4095.0,2416.0,3136.0,-0.48,9.89,-0.34,0.28,-0.0,0.02,u
4095.0,2974.0,3021.0,3217.0,4095.0,4095.0,2435.0,3184.0,-1.0,9.55,-1.45,0.35,-0.19,-0.41,u
4095.0,2982.0,3021.0,3664.0,4095.0,4095.0,2503.0,3168.0,-2.26,8.75,-2.43,0.3,-0.37,-0.09,u
4095.0,2987.0,3020.0,3659.0,4095.0,4095.0,2482.0,3164.0,-2.72,9.04,-1.76,-0.12,0.05,0.05,u
4095.0,2986.0,3024.0,3699.0,4095.0,4095.0,2449.0,3163.0,-1.63,9.81,-0.79,-0.19,-0.02,-0.27,u
4095.0,2979.0,3023.0,3415.0,4095.0,4095.0,2418.0,3090.0,-2.42,9.58,-0.72,0.03,-0.03,-0.11,u
4095.0,2977.0,3022.0,3050.0,4095.0,4095.0,2398.0,3011.0,-2.6,9.34,-1.38,0.16,-0.25,0.38,u
4095.0,2979.0,3024.0,3057.0,4095.0,4095.0,2409.0,3019.0,-2.58,9.58,-1.54,0.05,0.13,0.33,u
4095.0,2982.0,3019.0,3070.0,4095.0,4095.0,2404.0,3010.0,-0.73,10.05,-0.73,-0.08,0.21,0.18,u
4095.0,2977.0,3024.0,3088.0,4095.0,4095.0,2377.0,2999.0,-0.73,10.52,-0.26,-0.06,-0.15,0.03,u
4095.0,2976.0,3024.0,3087.0,4095.0,4095.0,2371.0,3013.0,-0.46,10.51,-0.04,0.08,-0.13,0.05,u
4095.0,2977.0,3026.0,3071.0,4095.0,4095.0,2368.0,3011.0,-0.4,9.88,-0.16,0.28,0.06,0.01,u
4095.0,2982.0,3014.0,3046.0,4095.0,4095.0,2387.0,3014.0,-0.4,9.79,-1.41,0.45,-0.14,0.06,u
4095.0,2988.0,3017.0,3021.0,4095.0,4095.0,2391.0,2995.0,-0.38,8.87,-1.96,0.27,-0.23,0.05,u
4095.0,2979.0,3023.0,2991.0,4095.0,4095.0,2416.0,2999.0,-0.16,8.87,-2.44,-0.08,-0.22,-0.11,u
4095.0,2982.0,3017.0,2986.0,4095.0,4095.0,2422.0,2990.0,-1.62,8.95,-2.17,-0.29,-0.21,-0.15,u
4095.0,2982.0,3024.0,2985.0,4095.0,4095.0,2417.0,2991.0,-2.12,9.14,-1.78,-0.15,0.23,-0.03,u
4095.0,2981.0,3018.0,2962.0,4095.0,4095.0,2448.0,2997.0,-2.11,9.87,-2.05,-0.35,0.39,-0.05,u
4095.0,2971.0,3018.0,2974.0,4095.0,4095.0,2446.0,2999.0,-1.9,9.9,-1.28,-0.43,0.44,0.13,u
4095.0,2982.0,3018.0,2988.0,4095.0,4095.0,2446.0,3018.0,-1.2,10.11,-0.17,-0.16,0.31,0.24,u
4095.0,2982.0,3024.0,2993.0,4095.0,4095.0,2434.0,3022.0,-0.63,9.27,-0.61,0.03,0.19,-0.07,u
4095.0,2976.0,3017.0,3008.0,4095.0,4095.0,2416.0,3021.0,-0.4,9.04,-1.24,0.22,-0.05,-0.0,u
4095.0,2983.0,3020.0,3021.0,4095.0,4095.0,2433.0,3031.0,-0.75,8.86,-2.01,0.23,-0.35,0.03,u
4095.0,2979.0,3029.0,3022.0,4095.0,4095.0,2427.0,3030.0,-1.95,8.98,-3.48,-0.11,-0.29,-0.17,u
4095.0,2977.0,3027.0,3019.0,4095.0,4095.0,2412.0,3056.0,-1.32,9.8,-1.75,-0.24,0.21,0.17,u
4095.0,2977.0,3021.0,3020.0,4095.0,4095.0,2421.0,3057.0,-0.66,9.28,-1.74,-0.08,0.33,0.08,u
4095.0,2985.0,3019.0,3024.0,4095.0,4095.0,2415.0,3066.0,0.22,9.39,-1.32,-0.29,0.08,0.07,u
3781.0,2981.0,3018.0,3022.0,4095.0,4095.0,2417.0,3071.0,0.26,9.85,-0.51,-0.06,-0.42,-0.17,u
3696.0,2976.0,3024.0,3023.0,4095.0,4095.0,2403.0,3070.0,-0.41,9.92,-0.77,0.07,-0.84,-0.32,u
3674.0,2985.0,3024.0,3029.0,4095.0,4095.0,2422.0,3094.0,-2.41,10.02,-1.13,0.2,-0.7,-0.4,u
3659.0,2983.0,3021.0,3039.0,4095.0,4095.0,2428.0,3081.0,-2.87,9.48,-2.29,0.21,-0.32,0.02,u
3658.0,2978.0,3006.0,3058.0,4095.0,4095.0,2412.0,3089.0,-2.0,9.06,-1.84,0.02,0.09,0.32,u
3650.0,2974.0,3014.0,3050.0,4095.0,4095.0,2421.0,3093.0,-0.75,8.72,-1.73,-0.17,0.26,0.33,u
3722.0,2974.0,3023.0,3046.0,4095.0,4095.0,2410.0,3093.0,1.02,10.02,0.14,-0.21,0.06,0.04,u
3760.0,2973.0,3009.0,3056.0,4095.0,4095.0,2411.0,3102.0,0.4,9.91,-0.69,0.27,-0.41,-0.26,u
3758.0,2992.0,3019.0,3056.0,4095.0,4095.0,2399.0,3099.0,-1.77,9.0,-1.71,0.22,-0.44,-0.24,u
3759.0,2970.0,3018.0,3062.0,4095.0,4095.0,2411.0,3095.0,-1.65,9.1,-1.91,0.04,-0.24,-0.13,u
3760.0,2979.0,3019.0,3058.0,4095.0,4095.0,2407.0,3105.0,-1.8,9.49,-1.98,-0.09,-0.12,-0.03,u
