hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
950.0,2896.0,943.0,4095.0,4095.0,4095.0,2609.0,2559.0,1.4,10.05,5.24,0.16,-0.12,-0.15,u
945.0,2896.0,935.0,4095.0,4095.0,4095.0,2613.0,2559.0,1.1,9.87,4.89,-0.05,-0.08,-0.16,u
951.0,2893.0,944.0,4095.0,4095.0,4095.0,2609.0,2559.0,1.17,9.9,5.18,0.01,0.03,-0.15,u
944.0,2896.0,949.0,4095.0,4095.0,4095.0,2608.0,2559.0,0.88,9.77,5.05,0.05,-0.02,-0.19,u
942.0,2901.0,942.0,4095.0,4095.0,4095.0,2609.0,2559.0,0.12,10.12,4.88,-0.12,-0.45,-0.02,u
944.0,2905.0,935.0,4095.0,4095.0,4095.0,2613.0,2559.0,2.37,9.76,4.73,-0.13,-0.8,0.39,u
930.0,2897.0,944.0,4095.0,4095.0,4095.0,2608.0,2553.0,1.19,10.01,5.22,-0.17,0.25,0.47,u
934.0,2897.0,946.0,4095.0,4095.0,4095.0,2614.0,2559.0,2.66,9.42,5.27,0.01,0.39,0.31,u
939.0,2899.0,941.0,4095.0,4095.0,4095.0,2615.0,2559.0,2.11,9.13,5.23,0.04,0.12,-0.09,u
941.0,2903.0,942.0,4095.0,4095.0,4095.0,2615.0,2557.0,2.32,9.3,5.25,0.04,-0.08,-0.07,u
946.0,2896.0,953.0,4095.0,4095.0,4095.0,2618.0,2559.0,2.07,9.63,5.51,0.03,-0.01,-0.11,u
944.0,2896.0,944.0,4095.0,4095.0,4095.0,2622.0,2559.0,2.55,9.94,5.07,-0.01,0.02,-0.12,u
939.0,2897.0,950.0,4095.0,4095.0,4095.0,2621.0,2559.0,2.2,9.68,5.81,0.03,-0.06,-0.22,u
935.0,2896.0,948.0,4095.0,4095.0,4095.0,2621.0,2559.0,2.39,9.77,5.4,0.11,0.1,-0.25,u
944.0,2903.0,946.0,4095.0,4095.0,4095.0,2614.0,2559.0,2.16,9.65,5.23,0.15,0.02,-0.24,u
937.0,2896.0,951.0,4095.0,4095.0,4095.0,2621.0,2559.0,2.05,9.53,4.97,0.04,0.05,-0.21,u
941.0,2902.0,951.0,4095.0,4095.0,4095.0,2624.0,2559.0,1.94,9.61,5.15,0.02,-0.13,-0.26,u
941.0,2900.0,963.0,4095.0,4095.0,4095.0,2626.0,2559.0,1.79,9.69,5.21,0.03,-0.08,-0.2,u
941.0,2893.0,954.0,4095.0,4095.0,4095.0,2624.0,2559.0,2.22,9.85,5.03,0.05,-0.11,-0.12,u
941.0,2908.0,969.0,4095.0,4095.0,4095.0,2624.0,2559.0,2.05,9.61,5.52,0.01,-0.05,-0.18,u
942.0,2896.0,968.0,4095.0,4095.0,4095.0,2624.0,2559.0,2.22,9.45,5.45,0.23,-0.21,-0.32,u
930.0,2897.0,969.0,4095.0,4095.0,4095.0,2627.0,2559.0,1.67,10.33,4.53,0.14,-0.1,-0.29,u
931.0,2897.0,972.0,4095.0,4095.0,4095.0,2624.0,2559.0,1.75,9.4,4.76,0.02,-0.17,-0.22,u
939.0,2895.0,987.0,4095.0,4095.0,4095.0,2629.0,2559.0,1.62,9.81,4.44,-0.02,0.02,-0.14,u
930.0,2898.0,994.0,4095.0,4095.0,4095.0,2626.0,2559.0,1.7,9.52,4.89,0.02,-0.03,-0.12,u
940.0,2903.0,995.0,4095.0,4095.0,4095.0,2625.0,2559.0,1.73,9.87,5.19,0.09,0.02,-0.14,u
944.0,2896.0,996.0,4095.0,4095.0,4095.0,2634.0,2559.0,1.97,9.75,4.59,0.09,-0.01,-0.12,u
934.0,2895.0,994.0,4095.0,4095.0,4095.0,2628.0,2559.0,2.05,9.76,4.71,0.05,0.01,-0.15,u
944.0,2896.0,1039.0,4095.0,4095.0,4095.0,2631.0,2559.0,1.83,9.81,4.75,0.03,-0.01,-0.17,u
942.0,2901.0,1133.0,4027.0,4095.0,4095.0,2630.0,2559.0,2.09,9.51,4.8,-0.06,-0.15,-0.22,u
944.0,2899.0,1168.0,3953.0,4095.0,4095.0,2638.0,2559.0,1.71,9.75,5.22,0.19,-0.09,-0.36,u
934.0,2896.0,1173.0,3969.0,4095.0,4095.0,2640.0,2559.0,1.27,9.57,4.87,-0.03,-0.13,-0.26,u
939.0,2893.0,1181.0,3987.0,4095.0,4095.0,2643.0,2559.0,1.54,9.95,4.87,0.14,-0.02,-0.18,u
944.0,2896.0,1189.0,3984.0,4095.0,4095.0,2639.0,2559.0,1.63,9.5,4.25,0.07,0.01,-0.17,u
949.0,2907.0,1189.0,3994.0,4095.0,4095.0,2640.0,2559.0,1.65,9.78,4.19,-0.0,0.03,-0.19,u
940.0,2907.0,1187.0,3996.0,4095.0,4095.0,2641.0,2559.0,1.45,9.98,4.77,0.02,-0.08,-0.16,u
944.0,2898.0,1180.0,3984.0,4095.0,4095.0,2640.0,2559.0,1.71,9.67,4.85,0.03,-0.25,-0.2,u
937.0,2896.0,1182.0,4002.0,4095.0,4095.0,2641.0,2559.0,1.29,9.67,4.63,0.12,-0.44,-0.14,u
934.0,2897.0,1184.0,4002.0,4095.0,4095.0,2639.0,2559.0,1.92,9.67,4.4,0.04,-0.19,-0.15,u
932.0,2896.0,1192.0,4018.0,4095.0,4095.0,2640.0,2559.0,1.49,10.16,4.26,0.03,-0.36,-0.22,u
935.0,2901.0,1197.0,4046.0,4095.0,4095.0,2639.0,2559.0,1.96,10.04,4.08,-0.04,-0.4,-0.2,u
930.0,2897.0,1200.0,4058.0,4095.0,4095.0,2641.0,2559.0,1.07,10.63,4.1,-0.04,-0.73,-0.28,u
927.0,2898.0,1200.0,4067.0,4095.0,4095.0,2640.0,2559.0,2.62,9.17,3.78,0.15,-0.43,-0.44,u
940.0,2900.0,1197.0,4015.0,4095.0,4095.0,2640.0,2559.0,1.02,9.51,4.46,0.09,0.03,-0.42,u
932.0,2893.0,2590.0,3898.0,4095.0,4095.0,2623.0,2550.0,1.26,9.56,4.61,-0.08,-0.06,-0.28,u
914.0,2906.0,3053.0,3850.0,4095.0,4095.0,2602.0,2550.0,0.91,9.59,4.43,-0.21,-0.24,-0.17,u
915.0,2896.0,3057.0,3852.0,4095.0,4095.0,2559.0,2522.0,1.62,9.82,4.81,-0.06,-0.16,-0.07,u
910.0,2901.0,3071.0,3846.0,4095.0,4095.0,2535.0,2485.0,1.33,9.76,4.89,-0.12,0.04,-0.25,u
939.0,2901.0,3059.0,3823.0,4095.0,4095.0,2499.0,2447.0,1.14,10.28,4.73,0.02,0.02,-0.23,u
951.0,2902.0,3081.0,3807.0,4095.0,4095.0,2479.0,2401.0,1.41,9.89,4.79,0.02,0.09,-0.24,u
1221.0,2928.0,3104.0,3821.0,4095.0,4095.0,2474.0,2387.0,0.85,10.37,4.31,-0.01,0.21,-0.24,u
1134.0,2899.0,3120.0,3821.0,4095.0,4095.0,2461.0,2378.0,1.01,9.92,4.36,-0.16,0.03,-0.2,u
950.0,2897.0,3134.0,3841.0,4095.0,4095.0,2448.0,2374.0,0.68,9.72,4.85,-0.2,0.07,-0.03,u
931.0,2902.0,3152.0,3829.0,4095.0,4095.0,2446.0,2368.0,1.17,9.63,4.97,0.08,0.1,-0.13,u
930.0,2910.0,3149.0,3834.0,4095.0,4095.0,2448.0,2358.0,0.67,9.54,4.99,0.12,0.09,-0.22,u
937.0,2899.0,3242.0,3830.0,4095.0,4095.0,2448.0,2356.0,1.12,10.0,4.46,0.07,0.04,-0.09,u
945.0,2898.0,3259.0,3831.0,4095.0,4095.0,2455.0,2367.0,0.91,9.6,4.86,0.13,0.08,-0.09,u
1005.0,2889.0,3321.0,3846.0,4095.0,4095.0,2469.0,2375.0,1.68,9.93,4.46,0.12,0.0,-0.13,u
1162.0,2905.0,3408.0,3863.0,4095.0,4095.0,2481.0,2384.0,1.5,10.03,4.46,0.2,-0.02,-0.23,u
1418.0,2896.0,3417.0,3883.0,4095.0,4095.0,2497.0,2396.0,1.08,9.96,4.19,0.09,-0.04,-0.24,u
1662.0,2901.0,3407.0,3905.0,4095.0,4095.0,2487.0,2394.0,0.96,9.98,4.35,0.13,0.07,-0.28,u
1770.0,2905.0,3406.0,3891.0,4095.0,4095.0,2490.0,2384.0,1.06,9.72,4.37,0.07,0.01,-0.24,u
1842.0,2906.0,3273.0,3882.0,4095.0,4095.0,2493.0,2371.0,0.67,9.94,4.21,0.06,0.08,-0.24,u
2027.0,2890.0,3047.0,3888.0,4095.0,3985.0,2491.0,2352.0,0.95,9.79,4.1,0.13,-0.01,-0.19,u
2256.0,2906.0,3038.0,3871.0,4095.0,3888.0,2493.0,2337.0,0.97,9.87,4.1,0.04,0.06,-0.26,u
2247.0,2909.0,3031.0,3819.0,4095.0,3861.0,2495.0,2343.0,1.12,9.97,4.31,0.22,-0.07,-0.35,u
2288.0,2903.0,3033.0,3728.0,4095.0,3792.0,2495.0,2320.0,0.54,9.98,4.08,0.12,-0.04,-0.24,u
2279.0,2896.0,3037.0,3666.0,4095.0,3821.0,2498.0,2320.0,0.92,9.85,4.0,0.08,0.05,-0.32,u
2199.0,2928.0,3058.0,3633.0,4095.0,3934.0,2515.0,2330.0,0.45,9.78,4.2,0.08,-0.08,-0.25,u
2192.0,2904.0,3071.0,3615.0,4095.0,4089.0,2518.0,2338.0,0.52,10.05,3.67,-0.05,-0.05,-0.15,u
2209.0,2896.0,3086.0,3583.0,4095.0,4095.0,2517.0,2339.0,0.54,9.9,4.1,0.03,-0.02,-0.18,u
2226.0,2895.0,3090.0,3577.0,4095.0,4095.0,2513.0,2341.0,0.47,9.68,4.23,0.1,0.06,-0.14,u
2425.0,2906.0,3088.0,3602.0,4095.0,4095.0,2514.0,2342.0,0.74,10.07,3.75,0.06,-0.03,-0.13,u
2547.0,2903.0,3101.0,3605.0,4095.0,4095.0,2528.0,2346.0,0.67,9.67,3.93,0.01,-0.05,-0.15,u
2617.0,2908.0,3100.0,3604.0,4095.0,4095.0,2529.0,2352.0,0.68,9.86,3.93,0.01,0.02,-0.18,u
2874.0,2899.0,3097.0,3632.0,4095.0,4095.0,2532.0,2354.0,0.46,10.05,3.88,0.06,-0.02,-0.14,u
2994.0,2900.0,3454.0,3673.0,4095.0,4095.0,2537.0,2367.0,0.1,10.19,3.86,-0.24,0.03,-0.0,u
2827.0,2896.0,3663.0,3734.0,4095.0,4095.0,2538.0,2391.0,0.92,10.08,3.89,-0.28,-0.2,0.19,u
3001.0,2900.0,3665.0,3799.0,4095.0,4095.0,2535.0,2416.0,0.99,10.37,4.5,-0.35,0.07,0.07,u
