hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2791.0,2891.0,3088.0,3532.0,4095.0,4095.0,4095.0,3088.0,-2.22,9.37,-0.99,-0.08,-0.18,-0.11,w
2805.0,2887.0,3083.0,3527.0,4095.0,4095.0,4095.0,3103.0,-2.64,9.04,-1.14,-0.04,-0.17,-0.24,w
2835.0,2832.0,3070.0,3520.0,4095.0,4095.0,4095.0,3088.0,-2.94,9.33,-1.39,-0.29,-0.33,-0.04,w
2869.0,2835.0,3083.0,3539.0,4095.0,4095.0,4095.0,3087.0,-2.97,9.57,1.09,-0.27,-0.37,0.17,w
2890.0,2871.0,3067.0,3527.0,4095.0,4095.0,4095.0,3091.0,-1.07,9.75,2.04,0.25,-0.06,0.15,w
2895.0,2864.0,3084.0,3557.0,4095.0,4095.0,4095.0,3083.0,-0.25,9.04,-1.13,0.47,-0.96,-0.12,w
2894.0,2878.0,3083.0,3541.0,4095.0,4095.0,4095.0,3070.0,-2.18,8.8,-0.39,-0.06,-0.96,-0.49,w
2894.0,2889.0,3086.0,3546.0,4095.0,4095.0,4095.0,3065.0,-3.45,9.1,0.48,-0.12,-0.34,-0.24,w
2894.0,2874.0,3071.0,3551.0,4095.0,4095.0,4095.0,3090.0,-3.24,9.59,0.63,-0.25,-0.13,0.21,w
2871.0,2892.0,3079.0,3563.0,4095.0,4095.0,4095.0,3083.0,-1.07,9.54,1.47,-0.38,-0.37,0.47,w
2864.0,2919.0,3088.0,3571.0,4095.0,4095.0,4095.0,3085.0,-1.49,9.36,1.92,-0.26,0.17,0.15,w
2859.0,2915.0,3071.0,3577.0,4095.0,4095.0,4095.0,3069.0,-0.59,9.01,1.99,-0.14,0.01,-0.01,w
2847.0,2929.0,3084.0,3583.0,4095.0,4095.0,4095.0,3065.0,-0.64,9.32,1.1,-0.26,-0.52,-0.05,w
2832.0,2927.0,3071.0,3563.0,4095.0,4095.0,4095.0,3071.0,-2.29,9.31,0.97,-0.56,-0.51,-0.15,w
2837.0,2932.0,3082.0,3569.0,4095.0,4095.0,4095.0,3071.0,-3.84,9.07,2.65,-0.33,0.15,0.07,w
2842.0,2930.0,3087.0,3579.0,4095.0,4095.0,4095.0,3089.0,-2.14,9.25,3.8,0.0,0.26,0.45,w
2837.0,2941.0,3071.0,3572.0,4095.0,4095.0,4095.0,3071.0,-0.44,9.43,2.56,0.18,0.13,0.34,w
2807.0,2989.0,3081.0,3570.0,4095.0,4095.0,4095.0,3083.0,-0.97,9.29,1.37,-0.05,-0.03,0.26,w
2785.0,3031.0,3081.0,3568.0,4095.0,4095.0,4095.0,3088.0,-1.01,9.47,2.47,0.16,-0.07,0.24,w
2794.0,3029.0,3081.0,3616.0,4095.0,4095.0,4095.0,3111.0,-1.04,9.55,1.9,0.14,0.07,0.06,w
2799.0,3042.0,3082.0,3583.0,4095.0,4095.0,4095.0,3089.0,-0.79,8.83,1.53,-0.04,0.25,0.08,w
2823.0,3054.0,3071.0,3583.0,4095.0,4095.0,4095.0,3094.0,-1.39,8.78,1.22,0.1,0.11,0.07,w
2801.0,3008.0,3067.0,3568.0,4095.0,4095.0,4095.0,3095.0,-0.09,9.45,1.15,0.16,0.15,0.01,w
2800.0,3023.0,3081.0,3595.0,4095.0,4095.0,4095.0,3087.0,-0.99,9.94,1.2,0.01,-0.03,-0.26,w
2787.0,2999.0,3079.0,3574.0,4095.0,4095.0,4095.0,3103.0,-0.22,9.8,3.25,0.28,-0.14,-0.04,w
2795.0,3024.0,3087.0,3583.0,4095.0,4095.0,4095.0,3088.0,-0.41,7.9,0.64,0.34,-0.47,-0.39,w
2788.0,3020.0,3071.0,3581.0,4095.0,4095.0,4095.0,3105.0,-2.59,8.64,-0.13,-0.15,-0.37,-0.45,w
