hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3113.0,2451.0,2361.0,3177.0,3703.0,3283.0,2587.0,3437.0,-3.45,8.73,0.8,-0.34,-0.04,0.02,x
3107.0,2448.0,2358.0,3178.0,3703.0,3287.0,2581.0,3429.0,-3.94,8.66,1.78,-0.62,0.27,-0.16,x
3106.0,2448.0,2361.0,3179.0,3698.0,3280.0,2559.0,3430.0,-3.95,8.66,2.85,-0.24,0.43,0.06,x
3105.0,2448.0,2359.0,3178.0,3703.0,3287.0,2559.0,3434.0,-3.9,8.44,2.19,-0.1,0.4,0.06,x
3114.0,2448.0,2353.0,3173.0,3686.0,3273.0,2583.0,3431.0,-4.41,8.3,1.92,-0.2,0.65,0.19,x
3111.0,2448.0,2355.0,3182.0,3702.0,3282.0,2594.0,3438.0,-3.99,8.41,3.55,-0.09,0.54,0.57,x
3115.0,2449.0,2355.0,3178.0,3701.0,3279.0,2604.0,3426.0,-1.11,8.77,2.83,0.28,0.1,0.48,x
3118.0,2447.0,2357.0,3181.0,3692.0,3287.0,2591.0,3450.0,-0.17,9.37,0.26,0.33,-0.15,-0.36,x
3117.0,2449.0,2357.0,3175.0,3706.0,3287.0,2590.0,3437.0,-3.91,8.6,-0.42,-0.04,-0.08,-0.64,x
3110.0,2448.0,2359.0,3183.0,3701.0,3281.0,2593.0,3443.0,-5.19,8.49,0.96,-0.41,0.13,-0.08,x
3109.0,2451.0,2367.0,3184.0,3698.0,3279.0,2597.0,3440.0,-3.99,8.53,3.5,-0.32,0.11,0.34,x
3111.0,2448.0,2358.0,3187.0,3702.0,3311.0,2606.0,3435.0,-2.15,8.73,3.04,0.22,0.16,0.37,x
3116.0,2447.0,2359.0,3180.0,3683.0,3280.0,2587.0,3438.0,-0.7,9.5,0.16,0.23,-0.2,-0.24,x
3111.0,2439.0,2362.0,3183.0,3699.0,3280.0,2603.0,3439.0,-4.03,8.57,1.04,-0.04,-0.12,-0.31,x
3113.0,2447.0,2368.0,3186.0,3703.0,3290.0,2592.0,3424.0,-3.3,9.19,1.0,0.17,-1.4,-0.12,x
3114.0,2445.0,2354.0,3192.0,3677.0,3280.0,2590.0,3439.0,-2.32,9.34,1.1,0.72,-3.4,-0.42,x
3120.0,2445.0,2361.0,3183.0,3699.0,3280.0,2591.0,3410.0,-3.06,8.2,2.82,-0.03,-0.79,-0.29,x
3111.0,2443.0,2362.0,3183.0,3718.0,3280.0,2583.0,3426.0,-0.98,9.64,3.51,-0.26,0.24,0.01,x
3120.0,2443.0,2357.0,3181.0,3695.0,3287.0,2607.0,3438.0,-1.04,9.12,2.68,0.06,1.21,-0.21,x
3110.0,2437.0,2354.0,3172.0,3686.0,3274.0,2603.0,3445.0,-1.92,8.91,0.25,-0.27,0.12,0.04,x
3115.0,2441.0,2368.0,3182.0,3712.0,3291.0,2601.0,3438.0,-7.16,8.02,1.16,-0.65,2.36,-0.03,x
3109.0,2437.0,2358.0,3174.0,3760.0,3305.0,2587.0,3440.0,-3.69,10.39,2.21,-0.3,0.87,0.36,x
3114.0,2427.0,2315.0,3170.0,3729.0,3303.0,2599.0,3419.0,-2.81,8.78,1.98,0.1,0.93,0.5,x
3107.0,2432.0,2290.0,3169.0,3759.0,3332.0,2593.0,3424.0,-2.78,7.99,-1.13,-0.41,2.27,0.48,x
3115.0,2422.0,2269.0,3168.0,3741.0,3333.0,2585.0,3437.0,-2.96,9.0,0.57,-0.48,1.64,0.22,x
3120.0,2427.0,2270.0,3187.0,3755.0,3334.0,2605.0,3426.0,-3.51,9.37,0.61,0.45,-0.35,0.08,x
3107.0,2415.0,2287.0,3219.0,3770.0,3330.0,2602.0,3412.0,-6.18,8.94,0.14,0.23,-1.19,0.01,x
3120.0,2439.0,2305.0,3189.0,3780.0,3344.0,2625.0,3426.0,-3.41,7.93,0.8,0.42,-2.12,0.14,x
