hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
4095.0,880.0,2848.0,4095.0,2883.0,2531.0,2735.0,4095.0,0.92,9.92,6.08,0.14,-0.13,-0.22,y
4095.0,880.0,2864.0,4095.0,2886.0,2529.0,2733.0,4095.0,1.11,9.38,6.06,0.09,-0.11,-0.15,y
4095.0,885.0,2851.0,4095.0,2881.0,2537.0,2736.0,4095.0,1.03,10.0,5.87,0.07,-0.24,-0.15,y
4095.0,894.0,2864.0,4095.0,2883.0,2535.0,2736.0,4095.0,1.46,9.48,5.85,0.09,-0.17,-0.08,y
4095.0,884.0,2857.0,4095.0,2886.0,2533.0,2736.0,4095.0,1.82,9.93,6.25,0.01,-0.19,-0.18,y
4095.0,881.0,2861.0,4095.0,2891.0,2539.0,2738.0,4095.0,1.92,9.47,6.15,0.17,-0.16,-0.23,y
4095.0,886.0,2859.0,4095.0,2891.0,2535.0,2736.0,4095.0,1.87,9.74,5.38,-0.02,-0.16,-0.28,y
4095.0,883.0,2858.0,4095.0,2889.0,2534.0,2741.0,4095.0,1.45,9.89,5.4,-0.0,-0.24,-0.28,y
4095.0,880.0,2859.0,4095.0,2886.0,2532.0,2737.0,4095.0,1.08,9.41,5.57,-0.16,-0.23,-0.21,y
4095.0,881.0,2865.0,4095.0,2895.0,2542.0,2742.0,4095.0,0.97,9.83,6.26,-0.01,-0.09,-0.15,y
4095.0,880.0,2864.0,4095.0,2894.0,2531.0,2737.0,4095.0,0.96,9.45,6.53,0.04,-0.07,-0.19,y
4095.0,880.0,2858.0,4095.0,2895.0,2531.0,2736.0,4095.0,1.07,9.66,6.22,0.08,-0.08,-0.17,y
4095.0,881.0,2865.0,4095.0,2896.0,2539.0,2738.0,4095.0,1.18,9.57,6.04,-0.0,-0.17,-0.17,y
4095.0,886.0,2861.0,4095.0,2895.0,2538.0,2738.0,4095.0,1.4,9.79,5.91,0.02,-0.02,-0.19,y
4095.0,883.0,2851.0,4095.0,2890.0,2535.0,2741.0,4095.0,1.24,9.57,5.72,-0.02,-0.07,-0.22,y
4095.0,882.0,2859.0,4095.0,2894.0,2541.0,2741.0,4095.0,1.03,9.62,5.87,0.01,0.01,-0.22,y
4095.0,880.0,2857.0,4095.0,2893.0,2544.0,2741.0,4095.0,0.82,9.85,5.96,-0.02,-0.05,-0.21,y
4095.0,883.0,2855.0,4095.0,2896.0,2541.0,2746.0,4095.0,1.19,9.63,5.71,0.05,-0.1,-0.2,y
4095.0,883.0,2850.0,4095.0,2894.0,2538.0,2739.0,4095.0,0.92,9.77,5.92,0.06,0.01,-0.19,y
4095.0,878.0,2855.0,4095.0,2893.0,2539.0,2739.0,4095.0,0.91,9.62,5.67,0.02,0.1,-0.16,y
4095.0,882.0,2861.0,4095.0,2896.0,2543.0,2746.0,4095.0,0.71,9.97,5.32,-0.06,0.01,-0.16,y
4095.0,880.0,2855.0,4095.0,2893.0,2539.0,2738.0,4095.0,0.82,9.66,5.9,-0.18,-0.08,-0.15,y
4095.0,884.0,2861.0,4095.0,2896.0,2543.0,2742.0,4095.0,1.27,9.67,6.15,-0.08,-0.12,-0.17,y
4095.0,883.0,2855.0,4095.0,2894.0,2543.0,2743.0,4095.0,1.17,9.76,6.35,0.01,-0.07,-0.23,y
4095.0,877.0,2854.0,4095.0,2895.0,2540.0,2738.0,4095.0,1.68,9.47,6.04,0.03,0.0,-0.07,y
4095.0,880.0,2859.0,4095.0,2898.0,2544.0,2738.0,4095.0,1.46,9.87,6.02,0.12,0.05,-0.18,y
4095.0,881.0,2864.0,4095.0,2899.0,2542.0,2745.0,4095.0,0.85,9.81,5.62,-0.03,0.06,-0.2,y
4095.0,875.0,2855.0,4095.0,2896.0,2547.0,2746.0,4095.0,1.05,9.65,6.11,0.05,0.08,-0.15,y
4095.0,880.0,2865.0,4095.0,2897.0,2544.0,2747.0,4095.0,0.65,9.74,6.18,0.09,-0.01,-0.17,y
4095.0,890.0,2865.0,4095.0,2894.0,2542.0,2739.0,4095.0,0.53,9.65,6.09,0.14,-0.09,-0.11,y
4095.0,880.0,2862.0,4095.0,2898.0,2545.0,2747.0,4095.0,1.15,9.56,6.05,0.17,-0.15,-0.05,y
4095.0,890.0,2849.0,4095.0,2898.0,2544.0,2747.0,4095.0,1.56,9.64,5.64,0.13,-0.07,-0.11,y
4095.0,879.0,2861.0,4095.0,2901.0,2543.0,2739.0,4095.0,1.51,9.78,5.28,-0.04,-0.11,-0.22,y
4095.0,885.0,2858.0,4095.0,2896.0,2544.0,2743.0,4095.0,0.89,9.71,5.98,-0.04,0.07,-0.33,y
4095.0,881.0,2865.0,4095.0,2898.0,2541.0,2741.0,4095.0,0.6,9.61,6.43,0.04,0.0,-0.26,y
