hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2928.0,3166.0,2995.0,3537.0,4095.0,2723.0,3280.0,4095.0,2.37,8.37,5.33,-0.05,0.06,-0.04,1.0,Hook'em
2915.0,3149.0,3003.0,3543.0,4095.0,2725.0,3280.0,4095.0,2.37,8.44,5.49,0.02,0.06,-0.08,1.0,Hook'em
2924.0,3156.0,2992.0,3538.0,4095.0,2721.0,3291.0,4095.0,2.25,8.25,5.65,-0.02,-0.04,-0.1,1.0,Hook'em
2935.0,3154.0,2992.0,3533.0,4095.0,2730.0,3290.0,4095.0,2.23,8.2,5.54,-0.05,0.01,0.02,1.0,Hook'em
2922.0,3135.0,2995.0,3530.0,4095.0,2736.0,3294.0,4095.0,2.39,8.37,5.44,-0.03,-0.01,-0.04,1.0,Hook'em
2917.0,3163.0,3002.0,3529.0,4095.0,2746.0,3291.0,4095.0,2.34,8.37,5.36,-0.06,-0.02,0.0,1.0,Hook'em
2914.0,3155.0,3007.0,3499.0,4095.0,2736.0,3301.0,4095.0,2.43,8.37,5.27,-0.06,-0.08,-0.05,1.0,Hook'em
2913.0,3169.0,3003.0,3439.0,4095.0,2753.0,3302.0,4095.0,2.29,8.13,5.45,-0.07,-0.14,0.06,1.0,Hook'em
2926.0,3169.0,2991.0,3435.0,4095.0,2749.0,3307.0,4095.0,2.6,8.32,5.55,-0.09,-0.09,-0.03,1.0,Hook'em
2931.0,3179.0,3003.0,3437.0,4095.0,2761.0,3317.0,4095.0,2.5,8.25,5.42,-0.14,-0.09,-0.05,1.0,Hook'em
2914.0,3163.0,2992.0,3420.0,4095.0,2759.0,3312.0,4095.0,2.37,8.2,5.75,-0.09,-0.04,-0.08,1.0,Hook'em
2918.0,3165.0,3005.0,3379.0,4095.0,2763.0,3329.0,4095.0,2.35,8.33,5.35,-0.08,-0.14,-0.06,1.0,Hook'em
2930.0,3165.0,2985.0,3338.0,4095.0,2753.0,3277.0,4095.0,2.63,8.49,5.12,-0.21,-0.09,-0.11,1.0,Hook'em
2928.0,3169.0,3013.0,3238.0,4095.0,2689.0,3215.0,4095.0,2.2,7.95,5.96,-0.22,0.12,-0.12,1.0,Hook'em
2914.0,3159.0,2990.0,3216.0,4095.0,2689.0,3209.0,4095.0,2.46,8.09,5.92,-0.12,0.0,-0.03,1.0,Hook'em
2913.0,3152.0,3024.0,3223.0,4095.0,2690.0,3196.0,4095.0,2.22,8.02,5.85,-0.15,0.08,0.02,1.0,Hook'em
2918.0,3172.0,2992.0,3221.0,4095.0,2690.0,3205.0,4095.0,2.56,8.14,5.87,-0.14,-0.15,-0.02,1.0,Hook'em
2927.0,3088.0,2998.0,3238.0,4095.0,2687.0,3198.0,4095.0,2.74,8.06,5.88,-0.15,-0.04,-0.07,1.0,Hook'em
2927.0,3147.0,3006.0,3233.0,4095.0,2671.0,3203.0,4095.0,2.46,8.0,5.8,-0.11,-0.03,0.03,1.0,Hook'em
2917.0,3152.0,2993.0,3159.0,4095.0,2643.0,3169.0,4095.0,2.7,8.12,5.79,-0.03,0.05,-0.11,1.0,Hook'em
2927.0,3152.0,3008.0,3182.0,4095.0,2643.0,3165.0,4095.0,2.51,7.98,5.94,-0.13,-0.08,-0.12,1.0,Hook'em
2917.0,3155.0,2998.0,3262.0,4095.0,2679.0,3211.0,4095.0,2.68,7.68,6.57,0.19,-0.32,-0.09,1.0,Hook'em
2928.0,3171.0,3008.0,3422.0,4095.0,2736.0,3342.0,4095.0,2.25,8.37,5.59,0.33,-0.58,-0.01,1.0,Hook'em
