hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3025.0,4095.0,2938.0,2961.0,4095.0,2336.0,2922.0,4095.0,-2.13,9.52,5.72,0.0,-0.09,-0.17,0.0,Hook'em
3024.0,4095.0,2934.0,2975.0,4095.0,2342.0,2929.0,4095.0,-1.94,9.42,6.04,-0.06,-0.03,-0.07,0.0,Hook'em
3024.0,4095.0,2945.0,2979.0,4095.0,2340.0,2930.0,4095.0,-1.53,9.59,5.83,0.05,-0.04,-0.11,0.0,Hook'em
3031.0,4095.0,2944.0,2981.0,4095.0,2349.0,2937.0,4095.0,-1.64,9.64,5.62,0.11,-0.12,-0.25,0.0,Hook'em
3026.0,4095.0,2950.0,2986.0,4095.0,2341.0,2937.0,4095.0,-2.0,9.45,6.01,0.04,-0.08,-0.23,0.0,Hook'em
3022.0,4095.0,2941.0,2982.0,4095.0,2344.0,2934.0,4095.0,-1.89,9.59,5.64,0.01,-0.0,-0.1,0.0,Hook'em
3034.0,4095.0,2929.0,2991.0,4095.0,2351.0,2941.0,4095.0,-1.74,9.62,5.69,-0.0,-0.08,-0.21,0.0,Hook'em
3033.0,4095.0,2944.0,2992.0,4095.0,2352.0,2944.0,4095.0,-2.13,9.43,5.98,-0.02,-0.06,-0.2,0.0,Hook'em
3037.0,4095.0,2943.0,2994.0,4095.0,2352.0,2945.0,4095.0,-2.02,9.51,5.88,-0.03,-0.05,-0.15,0.0,Hook'em
3023.0,4095.0,2941.0,2993.0,4095.0,2350.0,2934.0,4095.0,-2.08,9.5,5.91,0.01,-0.12,-0.12,0.0,Hook'em
3029.0,4095.0,2929.0,2998.0,4095.0,2345.0,2938.0,4095.0,-1.95,9.57,5.8,-0.05,-0.05,-0.04,0.0,Hook'em
3030.0,4095.0,2935.0,2999.0,4095.0,2351.0,2943.0,4095.0,-1.67,9.5,6.07,-0.08,-0.04,-0.03,0.0,Hook'em
3039.0,4095.0,2945.0,2997.0,4095.0,2344.0,2928.0,4095.0,-1.52,9.48,6.25,-0.05,0.02,-0.08,0.0,Hook'em
3029.0,4095.0,2938.0,3008.0,4095.0,2347.0,2928.0,4095.0,-1.57,9.49,6.23,-0.06,-0.04,-0.06,0.0,Hook'em
3024.0,4095.0,2938.0,3001.0,4095.0,2341.0,2927.0,4095.0,-1.32,9.52,6.43,-0.04,-0.02,-0.11,0.0,Hook'em
3026.0,4095.0,2932.0,3010.0,4095.0,2338.0,2919.0,4095.0,-1.27,9.6,6.36,0.02,-0.01,-0.17,0.0,Hook'em
3026.0,4095.0,2932.0,3019.0,4095.0,2329.0,2896.0,4095.0,-1.59,9.5,6.17,0.02,0.01,-0.2,0.0,Hook'em
3038.0,4095.0,2941.0,3023.0,4095.0,2338.0,2902.0,4095.0,-1.55,9.47,6.34,-0.06,0.05,-0.18,0.0,Hook'em
3025.0,4095.0,2949.0,3024.0,4095.0,2338.0,2906.0,4095.0,-1.56,9.47,6.41,-0.01,-0.07,-0.21,0.0,Hook'em
3046.0,4095.0,2944.0,3026.0,4095.0,2339.0,2902.0,4095.0,-1.76,9.48,6.4,-0.03,-0.07,-0.2,0.0,Hook'em
3038.0,4095.0,2941.0,3024.0,4095.0,2337.0,2898.0,4095.0,-1.88,9.33,6.68,-0.05,-0.06,-0.18,0.0,Hook'em
3035.0,4095.0,2946.0,3031.0,4095.0,2332.0,2891.0,4095.0,-1.74,9.29,7.01,-0.02,0.07,-0.12,0.0,Hook'em
3053.0,4095.0,2940.0,3034.0,4095.0,2334.0,2894.0,4095.0,-1.7,9.35,6.83,0.01,0.05,-0.14,0.0,Hook'em
3051.0,4095.0,2933.0,3034.0,4095.0,2334.0,2884.0,4095.0,-1.58,9.49,6.54,0.02,-0.04,-0.17,0.0,Hook'em
3038.0,4095.0,2942.0,3037.0,4095.0,2339.0,2887.0,4095.0,-1.79,9.41,6.65,0.06,-0.06,-0.16,0.0,Hook'em
3026.0,4095.0,2946.0,3036.0,4095.0,2341.0,2886.0,4095.0,-1.67,9.31,6.92,0.1,-0.02,-0.15,0.0,Hook'em
