hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3031.0,4095.0,2943.0,4095.0,4095.0,2317.0,2674.0,4095.0,-1.42,9.52,6.18,-0.02,0.13,-0.1,0.0,I-love-you
3031.0,4095.0,2946.0,4095.0,4095.0,2318.0,2672.0,4095.0,-1.29,9.59,6.32,0.04,-0.04,-0.17,0.0,I-love-you
3031.0,4095.0,2934.0,4095.0,4095.0,2320.0,2675.0,4095.0,-1.34,9.48,6.6,0.06,-0.2,-0.2,0.0,I-love-you
3031.0,4095.0,2935.0,4095.0,4095.0,2324.0,2682.0,4095.0,-1.24,9.54,6.24,-0.05,-0.06,-0.13,0.0,I-love-you
3042.0,4095.0,2937.0,4095.0,4095.0,2327.0,2685.0,4095.0,-1.29,9.57,6.3,0.07,-0.07,-0.18,0.0,I-love-you
3039.0,4095.0,2937.0,4095.0,4095.0,2333.0,2686.0,4095.0,-1.38,9.63,6.3,0.0,0.07,-0.14,0.0,I-love-you
3035.0,4095.0,2940.0,4095.0,4095.0,2329.0,2681.0,4095.0,-1.28,9.62,6.16,-0.03,0.19,-0.18,0.0,I-love-you
3034.0,4095.0,2929.0,4095.0,4095.0,2327.0,2682.0,4095.0,-1.1,9.58,6.24,-0.02,-0.02,-0.28,0.0,I-love-you
3030.0,4095.0,2941.0,4095.0,4095.0,2331.0,2688.0,4095.0,-1.49,9.47,6.31,-0.11,0.09,-0.34,0.0,I-love-you
3042.0,4095.0,2939.0,4095.0,4095.0,2328.0,2688.0,4095.0,-1.84,9.4,6.29,-0.02,-0.05,-0.24,0.0,I-love-you
3037.0,4095.0,2935.0,4095.0,4095.0,2331.0,2691.0,4095.0,-1.82,9.51,6.32,0.0,0.05,-0.26,0.0,I-love-you
3030.0,4095.0,2935.0,4095.0,4095.0,2336.0,2694.0,4095.0,-1.98,9.38,6.46,0.06,0.06,-0.3,0.0,I-love-you
3033.0,4095.0,2941.0,4095.0,4095.0,2333.0,2683.0,4095.0,-1.48,9.78,5.58,0.02,0.11,-0.39,0.0,I-love-you
3039.0,4095.0,2946.0,4095.0,4095.0,2334.0,2687.0,4095.0,-2.7,9.27,6.43,0.01,0.19,-0.5,0.0,I-love-you
3031.0,4095.0,2939.0,4095.0,4095.0,2334.0,2690.0,4095.0,-3.26,9.14,6.2,-0.01,0.18,-0.22,0.0,I-love-you
3034.0,4095.0,2943.0,4095.0,4095.0,2335.0,2690.0,4095.0,-2.9,9.25,6.14,-0.01,0.04,-0.13,0.0,I-love-you
3034.0,4095.0,2937.0,4095.0,4095.0,2336.0,2688.0,4095.0,-3.62,9.0,6.22,-0.13,0.29,0.02,0.0,I-love-you
3037.0,4095.0,2929.0,4095.0,4095.0,2337.0,2686.0,4095.0,-2.69,9.27,6.5,-0.1,-0.04,0.08,0.0,I-love-you
3037.0,4095.0,2938.0,4095.0,4095.0,2345.0,2688.0,4095.0,-2.44,9.25,6.79,-0.07,0.09,0.05,0.0,I-love-you
3045.0,4095.0,2935.0,4095.0,4095.0,2346.0,2690.0,4095.0,-2.51,9.09,6.81,-0.16,0.18,0.17,0.0,I-love-you
3034.0,4095.0,2928.0,4095.0,4095.0,2340.0,2689.0,4095.0,-1.73,9.33,6.82,-0.05,0.17,0.13,0.0,I-love-you
3029.0,4095.0,2943.0,4095.0,4095.0,2344.0,2689.0,4095.0,-1.3,9.51,6.67,-0.01,0.18,0.02,0.0,I-love-you
3029.0,4095.0,2931.0,4095.0,4095.0,2349.0,2687.0,4095.0,-1.41,9.45,6.72,-0.02,0.06,-0.02,0.0,I-love-you
3027.0,4095.0,2944.0,4095.0,4095.0,2339.0,2695.0,4095.0,-1.53,9.39,6.79,0.01,-0.08,-0.11,0.0,I-love-you
3029.0,4095.0,2944.0,4095.0,4095.0,2340.0,2697.0,4095.0,-1.33,9.37,6.91,-0.01,-0.03,-0.03,0.0,I-love-you
3024.0,4095.0,2941.0,4095.0,4095.0,2339.0,2698.0,4095.0,-1.4,9.41,6.77,0.01,0.02,-0.12,0.0,I-love-you
3024.0,4095.0,2946.0,4095.0,4095.0,2338.0,2689.0,4095.0,-1.42,9.4,6.71,-0.0,-0.01,-0.08,0.0,I-love-you
3035.0,4095.0,2930.0,4095.0,4095.0,2332.0,2694.0,4095.0,-1.02,9.6,6.58,0.05,-0.2,-0.1,0.0,I-love-you
3026.0,4095.0,2927.0,4095.0,4095.0,2335.0,2693.0,4095.0,-0.81,9.63,6.58,0.09,-0.16,-0.2,0.0,I-love-you
3026.0,4095.0,2941.0,4095.0,4095.0,2336.0,2695.0,4095.0,-1.02,9.29,7.31,0.02,0.01,-0.2,0.0,I-love-you
3026.0,4095.0,2931.0,4095.0,4095.0,2335.0,2694.0,4095.0,-1.3,9.54,6.58,-0.03,0.01,-0.16,0.0,I-love-you
3043.0,4095.0,2935.0,4095.0,4095.0,2346.0,2703.0,4095.0,-1.26,9.35,7.14,-0.02,0.04,-0.16,0.0,I-love-you
3039.0,4095.0,2950.0,4095.0,4095.0,2335.0,2685.0,4095.0,-1.11,9.47,6.82,0.02,0.09,-0.18,0.0,I-love-you
3024.0,4095.0,2928.0,4095.0,4095.0,2336.0,2688.0,4095.0,-1.46,9.25,7.23,0.06,0.01,-0.17,0.0,I-love-you
3034.0,4095.0,2938.0,4095.0,4095.0,2339.0,2694.0,4095.0,-1.18,9.22,7.11,0.13,0.09,-0.26,0.0,I-love-you
3024.0,4095.0,2946.0,4095.0,4095.0,2335.0,2689.0,4095.0,-1.63,9.28,6.95,-0.03,0.06,-0.16,0.0,I-love-you
3034.0,4095.0,2929.0,4095.0,4095.0,2338.0,2692.0,4095.0,-1.31,9.45,6.86,0.0,0.15,-0.1,0.0,I-love-you
3027.0,4095.0,2945.0,4095.0,4095.0,2347.0,2693.0,4095.0,-1.19,9.4,6.89,0.06,0.09,-0.15,0.0,I-love-you
3039.0,4095.0,2943.0,4095.0,4095.0,2341.0,2693.0,4095.0,-1.02,9.39,7.04,0.1,0.04,-0.16,0.0,I-love-you
3034.0,4095.0,2935.0,4095.0,4095.0,2341.0,2698.0,4095.0,-1.22,9.46,6.89,0.09,-0.06,-0.19,0.0,I-love-you
3026.0,4095.0,2943.0,4095.0,4095.0,2349.0,2691.0,4095.0,-1.21,9.46,6.84,0.09,-0.11,-0.21,0.0,I-love-you
3035.0,4095.0,2947.0,4095.0,4095.0,2339.0,2694.0,4095.0,-0.48,9.44,7.16,0.04,0.06,-0.21,0.0,I-love-you
3030.0,4095.0,2943.0,4095.0,4095.0,2342.0,2688.0,4095.0,-1.9,9.46,6.13,0.14,0.11,-0.29,0.0,I-love-you
3027.0,4095.0,2937.0,4095.0,4095.0,2338.0,2677.0,4095.0,-1.77,9.6,6.08,0.03,-0.11,-0.19,0.0,I-love-you
3024.0,4095.0,2942.0,4095.0,4095.0,2338.0,2684.0,4095.0,-1.41,9.47,6.59,0.08,0.03,-0.19,0.0,I-love-you
3042.0,4095.0,2931.0,4095.0,4095.0,2338.0,2685.0,4095.0,-1.37,9.47,6.46,0.05,-0.09,-0.17,0.0,I-love-you
3029.0,4095.0,2935.0,4095.0,4095.0,2341.0,2687.0,4095.0,-1.51,9.52,6.33,-0.02,-0.02,-0.11,0.0,I-love-you
3036.0,4095.0,2934.0,4095.0,4095.0,2321.0,2671.0,4095.0,-1.34,9.61,6.4,0.1,-0.09,-0.1,0.0,I-love-you
3031.0,4095.0,2941.0,4095.0,4095.0,2326.0,2681.0,4095.0,-1.67,9.6,6.42,0.05,-0.15,-0.2,0.0,I-love-you
3031.0,4095.0,2940.0,4095.0,4095.0,2339.0,2692.0,4095.0,-1.77,9.32,6.51,0.07,-0.05,-0.2,0.0,I-love-you
3027.0,4095.0,2947.0,4095.0,4095.0,2335.0,2694.0,4095.0,-1.53,9.7,5.96,-0.02,-0.05,-0.11,0.0,I-love-you
3030.0,4095.0,2944.0,4095.0,4095.0,2343.0,2693.0,4095.0,-1.49,9.57,6.29,0.05,-0.11,-0.14,0.0,I-love-you
3026.0,4095.0,2940.0,4095.0,4095.0,2341.0,2679.0,4095.0,-1.73,9.56,6.28,0.14,0.03,-0.14,0.0,I-love-you
3033.0,4095.0,2938.0,4095.0,4095.0,2343.0,2687.0,4095.0,-1.26,9.53,6.53,-0.05,-0.08,-0.12,0.0,I-love-you
3045.0,4095.0,2940.0,4095.0,4095.0,2346.0,2688.0,4095.0,-1.24,9.59,6.26,0.08,-0.12,-0.17,0.0,I-love-you
3031.0,4095.0,2931.0,4095.0,4095.0,2345.0,2689.0,4095.0,-1.27,9.55,6.51,0.02,-0.08,-0.16,0.0,I-love-you
3030.0,4095.0,2942.0,4095.0,4095.0,2346.0,2695.0,4095.0,-1.32,9.61,6.25,0.02,-0.06,-0.18,0.0,I-love-you
3034.0,4095.0,2947.0,4095.0,4095.0,2350.0,2692.0,4095.0,-1.23,9.59,6.39,0.02,-0.1,-0.18,0.0,I-love-you
3027.0,4095.0,2939.0,4095.0,4095.0,2341.0,2687.0,4095.0,-1.39,9.63,6.15,0.03,-0.04,-0.13,0.0,I-love-you
3039.0,4095.0,2947.0,4095.0,4095.0,2347.0,2699.0,4095.0,-1.23,9.64,6.09,-0.11,-0.1,-0.02,0.0,I-love-you
3044.0,4095.0,2937.0,4095.0,4095.0,2347.0,2693.0,4095.0,-1.21,9.63,6.44,0.06,-0.15,-0.15,0.0,I-love-you
3039.0,4095.0,2938.0,4095.0,4095.0,2338.0,2695.0,4095.0,-1.1,9.61,6.48,-0.04,-0.18,-0.08,0.0,I-love-you
3027.0,4095.0,2941.0,4095.0,4095.0,2329.0,2691.0,4095.0,-1.26,9.33,7.02,0.13,0.02,-0.15,0.0,I-love-you
3028.0,4095.0,2945.0,4095.0,4095.0,2336.0,2703.0,4095.0,-1.11,9.63,6.33,0.09,0.06,-0.16,0.0,I-love-you
3038.0,4095.0,2944.0,4095.0,4095.0,2320.0,2697.0,4095.0,-1.07,9.88,6.07,0.07,-0.01,-0.1,0.0,I-love-you
3024.0,4095.0,2946.0,4095.0,4095.0,2309.0,2687.0,4095.0,-1.17,9.69,6.12,0.03,-0.03,-0.12,0.0,I-love-you
3046.0,4095.0,2935.0,4095.0,4095.0,2315.0,2692.0,4095.0,-0.76,9.68,5.96,0.07,-0.08,-0.09,0.0,I-love-you
3039.0,4095.0,2944.0,4095.0,4095.0,2320.0,2693.0,4095.0,-0.55,9.75,6.06,-0.04,-0.12,-0.12,0.0,I-love-you
3038.0,4080.0,2943.0,4095.0,4095.0,2318.0,2688.0,4095.0,-0.5,9.5,6.84,-0.02,-0.05,-0.12,0.0,I-love-you
3024.0,4095.0,2945.0,4095.0,4095.0,2327.0,2691.0,4095.0,-0.46,9.62,6.35,-0.05,-0.07,-0.14,0.0,I-love-you
3043.0,4095.0,2937.0,4095.0,4095.0,2325.0,2693.0,4095.0,-0.4,9.51,6.66,-0.19,0.04,-0.08,0.0,I-love-you
3026.0,4095.0,2947.0,4095.0,4095.0,2327.0,2691.0,4095.0,-0.46,9.49,6.62,-0.1,0.13,-0.04,0.0,I-love-you
3027.0,4095.0,2942.0,4095.0,4095.0,2325.0,2692.0,4095.0,-0.19,9.64,6.43,-0.1,-0.0,-0.03,0.0,I-love-you
3045.0,4095.0,2941.0,4095.0,4095.0,2338.0,2691.0,4095.0,-0.39,9.47,6.73,-0.05,0.08,-0.09,0.0,I-love-you
3027.0,4095.0,2945.0,4095.0,4095.0,2339.0,2701.0,4095.0,-0.41,9.57,6.5,-0.04,0.13,-0.04,0.0,I-love-you
3037.0,4095.0,2946.0,4095.0,4095.0,2337.0,2694.0,4095.0,-0.12,9.5,6.88,0.01,0.04,-0.17,0.0,I-love-you
3041.0,4095.0,2937.0,4095.0,4095.0,2337.0,2697.0,4095.0,-0.44,9.5,6.61,0.04,0.0,-0.15,0.0,I-love-you
3031.0,4095.0,2945.0,4095.0,4095.0,2347.0,2688.0,4095.0,-0.4,9.52,6.71,-0.04,-0.08,-0.16,0.0,I-love-you
3035.0,4095.0,2939.0,4095.0,4095.0,2343.0,2688.0,4095.0,-0.61,9.49,6.84,-0.02,0.01,-0.14,0.0,I-love-you
3041.0,4095.0,2942.0,4095.0,4095.0,2346.0,2688.0,4095.0,-0.29,9.68,6.29,0.02,0.03,-0.18,0.0,I-love-you
3040.0,4095.0,2951.0,4095.0,4095.0,2354.0,2701.0,4095.0,-0.55,9.61,6.66,-0.05,-0.04,-0.23,0.0,I-love-you
3033.0,4095.0,2938.0,4095.0,4095.0,2352.0,2701.0,4095.0,-0.54,9.64,6.59,-0.17,-0.26,-0.29,0.0,I-love-you
3024.0,4095.0,2934.0,4095.0,4095.0,2352.0,2697.0,4095.0,-1.04,9.42,7.13,-0.11,-0.08,-0.2,0.0,I-love-you
3027.0,4095.0,2949.0,4095.0,4095.0,2361.0,2704.0,4095.0,-0.75,9.53,6.87,-0.04,-0.05,-0.19,0.0,I-love-you
3037.0,4095.0,2946.0,4095.0,4095.0,2352.0,2699.0,4095.0,-0.24,9.9,6.13,-0.12,-0.14,-0.27,0.0,I-love-you
3040.0,4095.0,2940.0,4095.0,4095.0,2353.0,2704.0,4095.0,-1.13,9.05,7.89,-0.04,-0.11,-0.24,0.0,I-love-you
3031.0,4095.0,2944.0,4095.0,4095.0,2343.0,2687.0,4095.0,-0.77,9.39,7.26,-0.0,0.14,-0.21,0.0,I-love-you
3023.0,4089.0,2942.0,4095.0,4095.0,2343.0,2685.0,4095.0,-0.83,9.39,7.37,0.04,-0.13,-0.28,0.0,I-love-you
3029.0,4087.0,2933.0,4095.0,4095.0,2347.0,2688.0,4095.0,-1.45,9.28,7.36,0.02,-0.03,-0.2,0.0,I-love-you
3030.0,4095.0,2942.0,4095.0,4095.0,2353.0,2662.0,4095.0,-0.97,9.34,7.67,0.08,-0.15,-0.21,0.0,I-love-you
3042.0,4093.0,2944.0,4095.0,4095.0,2362.0,2722.0,4095.0,-1.27,9.42,7.14,0.11,-0.05,-0.19,0.0,I-love-you
